company,sector,model_type,problem_type,horizon_steps,macro_f1,micro_accuracy,expected_return_mean,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,confusion_matrix,confusion_matrix_normalized,bucket_edges,bucket_labels,taus
AAPL,Consumer Goods,GRU,multiclass,5,0.0791693705386113,0.21875,0.017611190676689148,,,,0.0,0.6526315789473685,0.484375,1.0,0.484375,1194,398,42,64,16,"[[0, 0, 0, 0, 6, 17], [0, 0, 0, 0, 1, 6], [0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 2, 3], [0, 0, 0, 0, 1, 11], [0, 0, 0, 0, 1, 13]]","[[0.0, 0.0, 0.0, 0.0, 0.2608695652173913, 0.7391304347826086], [0.0, 0.0, 0.0, 0.0, 0.14285714285714285, 0.8571428571428571], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.4, 0.6], [0.0, 0.0, 0.0, 0.0, 0.08333333333333333, 0.9166666666666666], [0.0, 0.0, 0.0, 0.0, 0.07142857142857142, 0.9285714285714286]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.3133490979671478, 0.3133490979671478, 0.3133490979671478, 0.3133490979671478, 0.44046077132225037]"
ABB,Industrial Goods,GRU,multiclass,5,0.14055645973804543,0.15625,0.014288697391748428,,,,-0.009475800096308811,0.5142857142857142,0.4186046511627907,0.6666666666666666,0.46875,1194,398,42,64,16,"[[0, 1, 5, 9, 1, 0], [0, 2, 3, 8, 0, 4], [0, 0, 1, 2, 1, 0], [0, 0, 1, 2, 0, 0], [0, 0, 5, 5, 0, 1], [0, 0, 3, 5, 0, 5]]","[[0.0, 0.0625, 0.3125, 0.5625, 0.0625, 0.0], [0.0, 0.11764705882352941, 0.17647058823529413, 0.47058823529411764, 0.0, 0.23529411764705882], [0.0, 0.0, 0.25, 0.5, 0.25, 0.0], [0.0, 0.0, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0], [0.0, 0.0, 0.45454545454545453, 0.45454545454545453, 0.0, 0.09090909090909091], [0.0, 0.0, 0.23076923076923078, 0.38461538461538464, 0.0, 0.38461538461538464]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7755733728408813, 0.7640177607536316, 0.7177953124046326, 0.6484616994857788, 0.6253504753112793]"
ABBV,Healthcare,GRU,multiclass,5,0.11241065627030539,0.1875,0.011770214885473251,,,,0.21039790769253672,0.6329113924050633,0.49019607843137253,0.8928571428571429,0.546875,1113,398,42,64,16,"[[2, 2, 6, 9, 1, 4], [0, 0, 0, 5, 0, 2], [0, 0, 0, 2, 0, 3], [1, 0, 0, 0, 1, 0], [0, 1, 0, 6, 0, 4], [0, 1, 0, 0, 4, 10]]","[[0.08333333333333333, 0.08333333333333333, 0.25, 0.375, 0.041666666666666664, 0.16666666666666666], [0.0, 0.0, 0.0, 0.7142857142857143, 0.0, 0.2857142857142857], [0.0, 0.0, 0.0, 0.4, 0.0, 0.6], [0.5, 0.0, 0.0, 0.0, 0.5, 0.0], [0.0, 0.09090909090909091, 0.0, 0.5454545454545454, 0.0, 0.36363636363636365], [0.0, 0.06666666666666667, 0.0, 0.0, 0.26666666666666666, 0.6666666666666666]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7293509244918823, 0.7062397003173828, 0.5560168027877808, 0.532905638217926, 0.47512757778167725]"
AEP,Utilities,GRU,multiclass,5,0.14536642609869155,0.171875,0.0012732429895550013,,,,-0.04350001325672093,0.5352112676056338,0.5428571428571428,0.5277777777777778,0.484375,1194,398,42,64,16,"[[0, 2, 0, 0, 7, 0], [0, 4, 3, 2, 4, 0], [0, 1, 2, 0, 1, 2], [0, 2, 3, 0, 4, 0], [0, 1, 7, 1, 3, 1], [0, 0, 4, 1, 7, 2]]","[[0.0, 0.2222222222222222, 0.0, 0.0, 0.7777777777777778, 0.0], [0.0, 0.3076923076923077, 0.23076923076923078, 0.15384615384615385, 0.3076923076923077, 0.0], [0.0, 0.16666666666666666, 0.3333333333333333, 0.0, 0.16666666666666666, 0.3333333333333333], [0.0, 0.2222222222222222, 0.3333333333333333, 0.0, 0.4444444444444444, 0.0], [0.0, 0.07692307692307693, 0.5384615384615384, 0.07692307692307693, 0.23076923076923078, 0.07692307692307693], [0.0, 0.0, 0.2857142857142857, 0.07142857142857142, 0.5, 0.14285714285714285]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6946840882301331, 0.5097944140434265, 0.44046077132225037, 0.49823880195617676, 0.39423832297325134]"
AGFS,Conglomerates,GRU,multiclass,5,0.08730158730158728,0.15625,0.02201833948493004,,,,0.13948480638371882,0.5,0.42424242424242425,0.6086956521739131,0.5625,637,115,42,64,16,"[[0, 12, 5, 0, 1, 15], [1, 2, 1, 0, 0, 3], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 5], [0, 0, 9, 0, 0, 8]]","[[0.0, 0.36363636363636365, 0.15151515151515152, 0.0, 0.030303030303030304, 0.45454545454545453], [0.14285714285714285, 0.2857142857142857, 0.14285714285714285, 0.0, 0.0, 0.42857142857142855], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.5294117647058824, 0.0, 0.0, 0.47058823529411764]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6022392511367798, 0.59068363904953, 0.59068363904953, 0.59068363904953, 0.5213500261306763]"
AMGN,Healthcare,GRU,multiclass,5,0.17076224429165607,0.265625,-0.011501144617795944,,,,0.3053085028172769,0.4166666666666667,0.9090909090909091,0.2702702702702703,0.5625,1194,398,42,64,21,"[[10, 1, 1, 0, 0, 0], [6, 0, 1, 0, 0, 0], [4, 1, 2, 0, 0, 1], [1, 1, 0, 0, 0, 0], [5, 0, 6, 0, 1, 1], [6, 2, 6, 1, 3, 4]]","[[0.8333333333333334, 0.08333333333333333, 0.08333333333333333, 0.0, 0.0, 0.0], [0.8571428571428571, 0.0, 0.14285714285714285, 0.0, 0.0, 0.0], [0.5, 0.125, 0.25, 0.0, 0.0, 0.125], [0.5, 0.5, 0.0, 0.0, 0.0, 0.0], [0.38461538461538464, 0.0, 0.46153846153846156, 0.0, 0.07692307692307693, 0.07692307692307693], [0.2727272727272727, 0.09090909090909091, 0.2727272727272727, 0.045454545454545456, 0.13636363636363635, 0.18181818181818182]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5560168027877808, 0.3133490979671478, 0.3249046802520752, 0.49823880195617676, 0.5213500261306763]"
AMZN,Services,GRU,multiclass,5,0.061958568738229754,0.15625,-0.010023999027907848,,,,0.22476932842896022,0.24489795918367346,1.0,0.13953488372093023,0.421875,1194,398,42,64,16,"[[9, 0, 0, 0, 0, 0], [9, 0, 1, 0, 0, 0], [2, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0], [11, 0, 1, 0, 0, 2], [18, 3, 2, 3, 0, 1]]","[[1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.9, 0.0, 0.1, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.5, 0.5, 0.0, 0.0, 0.0, 0.0], [0.7857142857142857, 0.0, 0.07142857142857142, 0.0, 0.0, 0.14285714285714285], [0.6666666666666666, 0.1111111111111111, 0.07407407407407407, 0.1111111111111111, 0.0, 0.037037037037037035]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.4057939350605011, 0.41734954714775085, 0.4057939350605011, 0.382682740688324, 0.382682740688324]"
BA,Industrial Goods,GRU,multiclass,5,0.09065228556753979,0.171875,0.006680046673864126,,,,0.0,0.6382978723404256,0.46875,1.0,0.46875,1194,398,42,64,16,"[[0, 0, 0, 4, 11, 0], [0, 0, 0, 3, 13, 0], [0, 0, 0, 1, 2, 0], [0, 0, 0, 0, 2, 0], [0, 0, 0, 1, 8, 0], [0, 0, 0, 2, 14, 3]]","[[0.0, 0.0, 0.0, 0.26666666666666666, 0.7333333333333333, 0.0], [0.0, 0.0, 0.0, 0.1875, 0.8125, 0.0], [0.0, 0.0, 0.0, 0.3333333333333333, 0.6666666666666666, 0.0], [0.0, 0.0, 0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 0.1111111111111111, 0.8888888888888888, 0.0], [0.0, 0.0, 0.0, 0.10526315789473684, 0.7368421052631579, 0.15789473684210525]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7524621486663818, 0.544461190700531, 0.3133490979671478, 0.3133490979671478, 0.3133490979671478]"
BABA,Services,GRU,multiclass,5,0.16515873015873014,0.28125,0.004950753878802061,,,,0.1044465935734187,0.4666666666666667,0.7,0.35,0.5,681,159,42,64,16,"[[9, 3, 2, 1, 3, 0], [2, 0, 1, 1, 0, 1], [1, 0, 0, 0, 0, 0], [1, 1, 0, 1, 0, 1], [2, 1, 0, 1, 0, 0], [17, 2, 2, 0, 3, 8]]","[[0.5, 0.16666666666666666, 0.1111111111111111, 0.05555555555555555, 0.16666666666666666, 0.0], [0.4, 0.0, 0.2, 0.2, 0.0, 0.2], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.25, 0.25, 0.0, 0.25, 0.0, 0.25], [0.5, 0.25, 0.0, 0.25, 0.0, 0.0], [0.53125, 0.0625, 0.0625, 0.0, 0.09375, 0.25]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5791280269622803, 0.5675724148750305, 0.5560168027877808, 0.532905638217926, 0.5213500261306763]"
BAC,Financial,GRU,multiclass,5,0.11691375737286784,0.1875,0.0013123832177370787,,,,0.22721652007844526,0.48148148148148145,0.7647058823529411,0.35135135135135137,0.5625,1194,398,42,64,16,"[[2, 12, 0, 0, 0, 0], [5, 2, 0, 0, 0, 3], [1, 1, 0, 0, 0, 1], [0, 4, 0, 0, 0, 0], [5, 6, 0, 0, 0, 5], [3, 6, 0, 0, 0, 8]]","[[0.14285714285714285, 0.8571428571428571, 0.0, 0.0, 0.0, 0.0], [0.5, 0.2, 0.0, 0.0, 0.0, 0.3], [0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0, 0.3333333333333333], [0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.3125, 0.375, 0.0, 0.0, 0.0, 0.3125], [0.17647058823529413, 0.35294117647058826, 0.0, 0.0, 0.0, 0.47058823529411764]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6831284761428833, 0.4635719656944275, 0.6715728640556335, 0.6715728640556335, 0.6715728640556335]"
