company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,BiGRU,multiclass,10,5,1,1.2210294508454789,1.0756747807775224,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,10,5,2,0.8092671908325886,2.945072753088815,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,10,5,3,0.6847645158144697,3.2899456875664845,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,10,5,4,0.6327880057857265,3.118201868874686,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,10,5,5,0.5981062746527207,3.7130164418901717,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,10,5,6,0.5563333265146418,4.555021535782587,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,10,5,7,0.4909008097409004,4.059833367665608,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,10,5,8,0.42856247700638506,4.392343611944289,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,10,5,9,0.4001864152937079,4.844447907947359,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,10,5,10,0.36177795077089087,5.520551749638149,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,10,5,11,0.3718557570447874,5.333638168516613,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,10,5,1,1.5563620304941532,1.2525701920191448,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,10,5,2,0.9963801197670213,5.361445767538888,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,10,5,3,0.8570964339390472,6.344987960088821,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,10,5,4,0.7886266717359648,5.82048359371367,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,10,5,5,0.7170766888551376,6.369146415165493,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,10,5,6,0.6725328697930628,6.210499036879766,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,10,5,7,0.6201708030760588,7.20700790768578,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,10,5,8,0.5391932152323986,7.257926009950184,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,10,5,9,0.47731059385304475,7.102711223420643,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,10,5,10,0.4676640460539104,7.74467118581136,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,10,5,11,0.45805212084072916,6.871731689998081,398,42,64
ABBV,Healthcare,BiGRU,multiclass,10,5,1,1.2836363878681432,0.772676564398266,398,42,64
ABBV,Healthcare,BiGRU,multiclass,10,5,2,0.9223192792441977,1.9892503420511882,398,42,64
ABBV,Healthcare,BiGRU,multiclass,10,5,3,0.8004478108343767,2.033088218598139,398,42,64
ABBV,Healthcare,BiGRU,multiclass,10,5,4,0.7148000514087964,2.1591841606866744,398,42,64
ABBV,Healthcare,BiGRU,multiclass,10,5,5,0.6437280959819429,3.1768210161299932,398,42,64
ABBV,Healthcare,BiGRU,multiclass,10,5,6,0.5940965252305994,3.80521255447751,398,42,64
ABBV,Healthcare,BiGRU,multiclass,10,5,7,0.5198264577280935,2.5481834638686407,398,42,64
ABBV,Healthcare,BiGRU,multiclass,10,5,8,0.508213538919861,1.923738059543428,398,42,64
ABBV,Healthcare,BiGRU,multiclass,10,5,9,0.43277563596490637,3.434488671166556,398,42,64
ABBV,Healthcare,BiGRU,multiclass,10,5,10,0.42353222507927285,2.552687996909732,398,42,64
ABBV,Healthcare,BiGRU,multiclass,10,5,11,0.3817505584889321,3.3045780885787237,398,42,64
AEP,Utilities,BiGRU,multiclass,10,5,1,1.2126511985333122,1.4310092812492734,398,42,64
