company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,BiLSTM,multiclass,20,1,1,0.9041032231033747,1.2168913710685003,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,1,2,0.7271548437712779,1.3727572162946065,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,1,3,0.5826850584403953,2.914878263359978,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,1,4,0.49900877221145823,2.4636350586300804,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,1,5,0.48211039295747654,3.719386574767885,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,1,6,0.4336439824883063,3.932604948679606,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,1,7,0.3887300259204366,2.9367592391513644,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,1,8,0.3290986727979315,3.762228792621976,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,1,9,0.2566085126831304,3.728061244601295,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,1,10,0.2100440627291574,3.9921650914918807,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,1,11,0.18377184871602897,4.176730346112024,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,20,1,1,1.0087536130119208,0.8904072869391668,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,20,1,2,0.845474362373352,1.3261693432217552,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,20,1,3,0.6609442138192642,1.2557597557703655,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,20,1,4,0.5869064104916463,1.7391850040072487,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,20,1,5,0.5188185649002017,1.5382622537158785,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,20,1,6,0.4520840409712576,2.437818095797584,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,20,1,7,0.536942124965802,2.6298535551343645,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,20,1,8,0.3896605616538369,2.098999852225894,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,20,1,9,0.3155964292473529,2.5093657062167214,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,20,1,10,0.29360147756547783,2.6958746115366616,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,20,1,11,0.26877595379424457,2.9279138360704695,398,42,64
ABBV,Healthcare,BiLSTM,multiclass,20,1,1,0.8187132825204475,0.8154580536342803,398,42,64
ABBV,Healthcare,BiLSTM,multiclass,20,1,2,0.7031660517256464,0.9539476065408616,398,42,64
ABBV,Healthcare,BiLSTM,multiclass,20,1,3,0.6421141046375486,1.7169585455031622,398,42,64
ABBV,Healthcare,BiLSTM,multiclass,20,1,4,0.5400533608755275,2.255511772064936,398,42,64
ABBV,Healthcare,BiLSTM,multiclass,20,1,5,0.5292881053296765,1.7118616104125977,398,42,64
ABBV,Healthcare,BiLSTM,multiclass,20,1,6,0.4745538830757141,2.3759462663105557,398,42,64
ABBV,Healthcare,BiLSTM,multiclass,20,1,7,0.4458735260232609,2.2280771051134383,398,42,64
ABBV,Healthcare,BiLSTM,multiclass,20,1,8,0.34909053828249026,2.290501662663051,398,42,64
ABBV,Healthcare,BiLSTM,multiclass,20,1,9,0.29250500669431445,2.6686726411183677,398,42,64
ABBV,Healthcare,BiLSTM,multiclass,20,1,10,0.2855045517635106,2.835387491044544,398,42,64
ABBV,Healthcare,BiLSTM,multiclass,20,1,11,0.2497800322783053,3.109244017373948,398,42,64
AEP,Utilities,BiLSTM,multiclass,20,1,1,1.0384207975924316,0.8759315922146752,398,42,64
AEP,Utilities,BiLSTM,multiclass,20,1,2,0.7921484645886637,1.4642389161246163,398,42,64
AEP,Utilities,BiLSTM,multiclass,20,1,3,0.599152344555112,2.2382849738711403,398,42,64
AEP,Utilities,BiLSTM,multiclass,20,1,4,0.546560933542012,2.861074748493376,398,42,64
AEP,Utilities,BiLSTM,multiclass,20,1,5,0.4975948086635551,2.432861694267818,398,42,64
AEP,Utilities,BiLSTM,multiclass,20,1,6,0.47563278091013733,4.0056997906594045,398,42,64
AEP,Utilities,BiLSTM,multiclass,20,1,7,0.5549976969484108,2.2079152578399297,398,42,64
AEP,Utilities,BiLSTM,multiclass,20,1,8,0.3937091044145613,3.1531417738823664,398,42,64
AEP,Utilities,BiLSTM,multiclass,20,1,9,0.3122577442595707,3.4125344185602096,398,42,64
AEP,Utilities,BiLSTM,multiclass,20,1,10,0.26240054701440896,3.4103320865404037,398,42,64
AEP,Utilities,BiLSTM,multiclass,20,1,11,0.23738985504936333,3.8589164529527937,398,42,64
AGFS,Conglomerates,BiLSTM,multiclass,20,1,1,0.9368646530877976,1.0929966881161643,105,42,64
AGFS,Conglomerates,BiLSTM,multiclass,20,1,2,0.6963259594781058,1.0161733627319336,105,42,64
AGFS,Conglomerates,BiLSTM,multiclass,20,1,3,0.5784823982488542,1.0176596698306857,105,42,64
AGFS,Conglomerates,BiLSTM,multiclass,20,1,4,0.4850682451611473,1.0726686602547055,105,42,64
AGFS,Conglomerates,BiLSTM,multiclass,20,1,5,0.4196272645677839,1.3178220760254633,105,42,64
AGFS,Conglomerates,BiLSTM,multiclass,20,1,6,0.38328146565528143,1.9111248879205613,105,42,64
AGFS,Conglomerates,BiLSTM,multiclass,20,1,7,0.39808873676118395,2.6073687303633917,105,42,64
