company,sector,model_type,problem_type,horizon_steps,macro_f1,micro_accuracy,expected_return_mean,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,confusion_matrix,confusion_matrix_normalized,bucket_edges,bucket_labels,taus
AAPL,Consumer Goods,BiLSTM,multiclass,5,0.22116013071895424,0.28125,0.004584260284900665,,,,-0.00700902994282404,0.42857142857142855,0.48,0.3870967741935484,0.5,1184,398,42,64,11,"[[14, 0, 0, 2, 2, 5], [4, 0, 0, 2, 0, 1], [1, 0, 1, 1, 0, 0], [2, 0, 0, 2, 0, 1], [6, 0, 0, 3, 1, 2], [10, 1, 0, 2, 1, 0]]","[[0.6086956521739131, 0.0, 0.0, 0.08695652173913043, 0.08695652173913043, 0.21739130434782608], [0.5714285714285714, 0.0, 0.0, 0.2857142857142857, 0.0, 0.14285714285714285], [0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0], [0.4, 0.0, 0.0, 0.4, 0.0, 0.2], [0.5, 0.0, 0.0, 0.25, 0.08333333333333333, 0.16666666666666666], [0.7142857142857143, 0.07142857142857142, 0.0, 0.14285714285714285, 0.07142857142857142, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.575291097164154, 0.5843274593353271, 0.5662547945976257, 0.6385453939437866, 0.5662547945976257]"
ABB,Industrial Goods,BiLSTM,multiclass,5,0.10349206349206348,0.234375,0.012011030688881874,,,,0.0,0.5934065934065934,0.421875,1.0,0.421875,1184,398,42,64,11,"[[0, 0, 0, 0, 5, 11], [0, 0, 0, 0, 4, 13], [0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 1, 2], [0, 0, 0, 0, 3, 8], [0, 0, 0, 0, 1, 12]]","[[0.0, 0.0, 0.0, 0.0, 0.3125, 0.6875], [0.0, 0.0, 0.0, 0.0, 0.23529411764705882, 0.7647058823529411], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.6666666666666666], [0.0, 0.0, 0.0, 0.0, 0.2727272727272727, 0.7272727272727273], [0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.9230769230769231]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6656544208526611, 0.30420130491256714, 0.30420130491256714, 0.30420130491256714, 0.30420130491256714]"
ABBV,Healthcare,BiLSTM,multiclass,5,0.16112740306288695,0.265625,0.025468356907367706,,,,0.15839698777049716,0.6222222222222222,0.45161290322580644,1.0,0.46875,1103,398,42,64,13,"[[0, 2, 0, 1, 6, 15], [0, 0, 0, 0, 2, 5], [0, 0, 0, 0, 1, 4], [0, 0, 0, 1, 0, 1], [0, 0, 0, 1, 2, 8], [0, 0, 0, 1, 0, 14]]","[[0.0, 0.08333333333333333, 0.0, 0.041666666666666664, 0.25, 0.625], [0.0, 0.0, 0.0, 0.0, 0.2857142857142857, 0.7142857142857143], [0.0, 0.0, 0.0, 0.0, 0.2, 0.8], [0.0, 0.0, 0.0, 0.5, 0.0, 0.5], [0.0, 0.0, 0.0, 0.09090909090909091, 0.18181818181818182, 0.7272727272727273], [0.0, 0.0, 0.0, 0.06666666666666667, 0.0, 0.9333333333333333]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6656544208526611, 0.5120368599891663, 0.31323763728141785, 0.5030004978179932, 0.656618058681488]"
AEP,Utilities,BiLSTM,multiclass,5,0.1089605734767025,0.21875,-0.003357273992151022,,,,0.03253000243161777,0.2608695652173913,0.6,0.16666666666666666,0.46875,1184,398,42,64,11,"[[0, 5, 3, 1, 0, 0], [0, 12, 0, 0, 1, 0], [0, 4, 0, 0, 2, 0], [0, 8, 0, 1, 0, 0], [0, 12, 0, 0, 1, 0], [0, 8, 2, 1, 3, 0]]","[[0.0, 0.5555555555555556, 0.3333333333333333, 0.1111111111111111, 0.0, 0.0], [0.0, 0.9230769230769231, 0.0, 0.0, 0.07692307692307693, 0.0], [0.0, 0.6666666666666666, 0.0, 0.0, 0.3333333333333333, 0.0], [0.0, 0.8888888888888888, 0.0, 0.1111111111111111, 0.0, 0.0], [0.0, 0.9230769230769231, 0.0, 0.0, 0.07692307692307693, 0.0], [0.0, 0.5714285714285714, 0.14285714285714285, 0.07142857142857142, 0.21428571428571427, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.358419269323349, 0.6656544208526611, 0.539145827293396, 0.5210731625556946, 0.5210731625556946]"
AGFS,Conglomerates,BiLSTM,multiclass,5,0.06995884773662552,0.265625,0.023901212960481644,,,,0.0,0.5287356321839081,0.359375,1.0,0.359375,627,105,42,64,11,"[[0, 0, 0, 0, 0, 33], [0, 0, 0, 0, 0, 7], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 5], [0, 0, 0, 0, 0, 17]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5572184920310974, 0.539145827293396, 0.5301094651222229, 0.5301094651222229, 0.5210731625556946]"
AMGN,Healthcare,BiLSTM,multiclass,5,0.12485441416259026,0.25,-0.005124214570969343,,,,0.2545468267653503,0.34782608695652173,0.8888888888888888,0.21621621621621623,0.53125,1184,398,42,64,14,"[[12, 0, 0, 0, 0, 0], [7, 0, 0, 0, 0, 0], [6, 1, 0, 0, 0, 1], [2, 0, 0, 0, 0, 0], [6, 3, 2, 2, 0, 0], [8, 6, 2, 2, 0, 4]]","[[1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.75, 0.125, 0.0, 0.0, 0.0, 0.125], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.46153846153846156, 0.23076923076923078, 0.15384615384615385, 0.15384615384615385, 0.0, 0.0], [0.36363636363636365, 0.2727272727272727, 0.09090909090909091, 0.09090909090909091, 0.0, 0.18181818181818182]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6656544208526611, 0.6656544208526611, 0.5210731625556946, 0.4758915305137634, 0.4758915305137634]"
AMZN,Services,BiLSTM,multiclass,5,0.07885670247971349,0.125,-0.0128052718937397,,,,-0.14606945763083234,0.417910447761194,0.5833333333333334,0.32558139534883723,0.390625,1184,398,42,64,11,"[[2, 0, 0, 0, 6, 1], [7, 0, 0, 0, 0, 3], [2, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0], [4, 3, 0, 0, 3, 4], [18, 2, 0, 0, 4, 3]]","[[0.2222222222222222, 0.0, 0.0, 0.0, 0.6666666666666666, 0.1111111111111111], [0.7, 0.0, 0.0, 0.0, 0.0, 0.3], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.5, 0.5, 0.0, 0.0, 0.0, 0.0], [0.2857142857142857, 0.21428571428571427, 0.0, 0.0, 0.21428571428571427, 0.2857142857142857], [0.6666666666666666, 0.07407407407407407, 0.0, 0.0, 0.14814814814814814, 0.1111111111111111]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.42167356610298157, 0.34034663438796997, 0.3493829667568207, 0.3493829667568207, 0.3493829667568207]"
BA,Industrial Goods,BiLSTM,multiclass,5,0.15894660894660892,0.171875,0.0005257627926766872,,,,0.12156862745098039,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5625,1184,398,42,64,11,"[[4, 1, 2, 5, 3, 0], [4, 1, 5, 4, 2, 0], [1, 0, 2, 0, 0, 0], [0, 1, 0, 0, 1, 0], [3, 1, 3, 1, 1, 0], [1, 0, 5, 5, 5, 3]]","[[0.26666666666666666, 0.06666666666666667, 0.13333333333333333, 0.3333333333333333, 0.2, 0.0], [0.25, 0.0625, 0.3125, 0.25, 0.125, 0.0], [0.3333333333333333, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0], [0.0, 0.5, 0.0, 0.0, 0.5, 0.0], [0.3333333333333333, 0.1111111111111111, 0.3333333333333333, 0.1111111111111111, 0.1111111111111111, 0.0], [0.05263157894736842, 0.0, 0.2631578947368421, 0.2631578947368421, 0.2631578947368421, 0.15789473684210525]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6656544208526611, 0.5843274593353271, 0.49396419525146484, 0.49396419525146484, 0.457818865776062]"
BABA,Services,BiLSTM,multiclass,5,0.1541107671138631,0.328125,0.002588906092569232,,,,0.13912166872805048,0.09523809523809523,1.0,0.05,0.40625,671,149,42,64,11,"[[18, 0, 0, 0, 0, 0], [4, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0], [27, 0, 3, 0, 0, 2]]","[[1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.8, 0.2, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.84375, 0.0, 0.09375, 0.0, 0.0, 0.0625]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6295090913772583, 0.6114364266395569, 0.62047278881073, 0.5933637619018555, 0.539145827293396]"
BAC,Financial,BiLSTM,multiclass,5,0.12412177985948476,0.28125,0.00010011639096774161,,,,0.11673043312757338,0.36,0.6923076923076923,0.24324324324324326,0.5,1184,398,42,64,11,"[[14, 0, 0, 0, 0, 0], [7, 0, 0, 0, 0, 3], [2, 0, 0, 0, 0, 1], [4, 0, 0, 0, 0, 0], [11, 0, 2, 0, 0, 3], [9, 2, 0, 1, 1, 4]]","[[1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.7, 0.0, 0.0, 0.0, 0.0, 0.3], [0.6666666666666666, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.6875, 0.0, 0.125, 0.0, 0.0, 0.1875], [0.5294117647058824, 0.11764705882352941, 0.0, 0.058823529411764705, 0.058823529411764705, 0.23529411764705882]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6295090913772583, 0.6024001240730286, 0.6024001240730286, 0.5843274593353271, 0.575291097164154]"
