company,sector,model_type,problem_type,horizon_steps,macro_f1,micro_accuracy,expected_return_mean,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,confusion_matrix,confusion_matrix_normalized,bucket_edges,bucket_labels,taus
AAPL,Consumer Goods,GRU,multiclass,1,0.12307261366084897,0.140625,0.00263720890507102,,,,-0.06859245370246428,0.47761194029850745,0.41025641025641024,0.5714285714285714,0.453125,1188,398,42,64,11,"[[1, 2, 0, 0, 3, 1], [5, 1, 0, 2, 7, 4], [4, 0, 0, 2, 3, 1], [1, 1, 0, 3, 2, 1], [5, 3, 0, 0, 4, 3], [2, 0, 0, 2, 1, 0]]","[[0.14285714285714285, 0.2857142857142857, 0.0, 0.0, 0.42857142857142855, 0.14285714285714285], [0.2631578947368421, 0.05263157894736842, 0.0, 0.10526315789473684, 0.3684210526315789, 0.21052631578947367], [0.4, 0.0, 0.0, 0.2, 0.3, 0.1], [0.125, 0.125, 0.0, 0.375, 0.25, 0.125], [0.3333333333333333, 0.2, 0.0, 0.0, 0.26666666666666666, 0.2], [0.4, 0.0, 0.0, 0.4, 0.2, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.522700309753418, 0.522700309753418, 0.5014198422431946, 0.597182035446167, 0.522700309753418]"
ABB,Industrial Goods,GRU,multiclass,1,0.1287563270127877,0.21875,0.004712408408522606,,,,0.0757356892408296,0.6027397260273972,0.5945945945945946,0.6111111111111112,0.546875,1188,398,42,64,11,"[[0, 0, 0, 2, 0, 1], [1, 8, 1, 3, 5, 1], [0, 3, 0, 3, 0, 0], [1, 5, 0, 3, 1, 5], [0, 7, 0, 5, 3, 4], [0, 1, 0, 0, 1, 0]]","[[0.0, 0.0, 0.0, 0.6666666666666666, 0.0, 0.3333333333333333], [0.05263157894736842, 0.42105263157894735, 0.05263157894736842, 0.15789473684210525, 0.2631578947368421, 0.05263157894736842], [0.0, 0.5, 0.0, 0.5, 0.0, 0.0], [0.06666666666666667, 0.3333333333333333, 0.0, 0.2, 0.06666666666666667, 0.3333333333333333], [0.0, 0.3684210526315789, 0.0, 0.2631578947368421, 0.15789473684210525, 0.21052631578947367], [0.0, 0.5, 0.0, 0.0, 0.5, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6397429704666138, 0.6184625029563904, 0.6078222393989563, 0.6078222393989563, 0.5120600461959839]"
ABBV,Healthcare,GRU,multiclass,1,0.1391304347826087,0.296875,0.002385176718235016,,,,0.0,0.6938775510204082,0.53125,1.0,0.53125,1107,398,42,64,11,"[[0, 0, 0, 0, 9, 2], [0, 0, 0, 0, 14, 1], [0, 0, 0, 0, 4, 0], [0, 0, 0, 0, 5, 0], [0, 0, 0, 0, 14, 5], [0, 0, 0, 0, 5, 5]]","[[0.0, 0.0, 0.0, 0.0, 0.8181818181818182, 0.18181818181818182], [0.0, 0.0, 0.0, 0.0, 0.9333333333333333, 0.06666666666666667], [0.0, 0.0, 0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.7368421052631579, 0.2631578947368421], [0.0, 0.0, 0.0, 0.0, 0.5, 0.5]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6397429704666138, 0.44821861386299133, 0.44821861386299133, 0.458858847618103, 0.3737369179725647]"
AEP,Utilities,GRU,multiclass,1,0.17499999999999996,0.234375,-0.002381784375756979,,,,0.010188710438961876,0.6888888888888889,0.5961538461538461,0.8157894736842105,0.5625,1188,398,42,64,11,"[[0, 0, 1, 0, 2, 2], [0, 1, 1, 4, 3, 1], [0, 2, 0, 1, 3, 5], [0, 1, 1, 7, 5, 1], [0, 4, 1, 2, 4, 8], [0, 0, 0, 1, 0, 3]]","[[0.0, 0.0, 0.2, 0.0, 0.4, 0.4], [0.0, 0.1, 0.1, 0.4, 0.3, 0.1], [0.0, 0.18181818181818182, 0.0, 0.09090909090909091, 0.2727272727272727, 0.45454545454545453], [0.0, 0.06666666666666667, 0.06666666666666667, 0.4666666666666667, 0.3333333333333333, 0.06666666666666667], [0.0, 0.21052631578947367, 0.05263157894736842, 0.10526315789473684, 0.21052631578947367, 0.42105263157894735], [0.0, 0.0, 0.0, 0.25, 0.0, 0.75]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.522700309753418, 0.5439807772636414, 0.5120600461959839, 0.2354137897491455, 0.40565764904022217]"
AGFS,Conglomerates,GRU,multiclass,1,0.05263157894736842,0.1875,0.04338294640183449,,,,0.0,0.5617977528089888,0.390625,1.0,0.390625,631,105,42,64,13,"[[0, 0, 0, 0, 0, 15], [0, 0, 0, 0, 0, 12], [0, 0, 0, 0, 0, 12], [0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 0, 11], [0, 0, 0, 0, 0, 12]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.2354137897491455, 0.458858847618103, 0.44821861386299133, 0.458858847618103, 0.6610234379768372]"
AMGN,Healthcare,GRU,multiclass,1,0.18144626271561257,0.234375,0.0001766886271070689,,,,0.264887162657459,0.47058823529411764,0.8,0.3333333333333333,0.578125,1188,398,42,64,12,"[[2, 2, 1, 0, 1, 0], [3, 10, 2, 0, 0, 1], [2, 3, 0, 0, 0, 1], [1, 4, 2, 1, 1, 0], [3, 5, 4, 2, 0, 3], [2, 0, 3, 2, 1, 2]]","[[0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0], [0.1875, 0.625, 0.125, 0.0, 0.0, 0.0625], [0.3333333333333333, 0.5, 0.0, 0.0, 0.0, 0.16666666666666666], [0.1111111111111111, 0.4444444444444444, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.0], [0.17647058823529413, 0.29411764705882354, 0.23529411764705882, 0.11764705882352941, 0.0, 0.17647058823529413], [0.2, 0.0, 0.3, 0.2, 0.1, 0.2]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6610234379768372, 0.5014198422431946, 0.5439807772636414, 0.522700309753418, 0.3950174152851105]"
AMZN,Services,GRU,multiclass,1,0.06204906204906205,0.125,-0.0032119774259626865,,,,0.0,0.7070707070707071,0.546875,1.0,0.546875,1188,398,42,64,11,"[[0, 0, 0, 4, 0, 0], [0, 0, 0, 15, 0, 0], [0, 0, 0, 9, 1, 0], [0, 0, 0, 6, 0, 0], [0, 0, 0, 15, 2, 0], [0, 0, 0, 11, 1, 0]]","[[0.0, 0.0, 0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.9, 0.1, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.8823529411764706, 0.11764705882352941, 0.0], [0.0, 0.0, 0.0, 0.9166666666666666, 0.08333333333333333, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6397429704666138, 0.6397429704666138, 0.6184625029563904, 0.29925522208213806, 0.2779747545719147]"
BA,Industrial Goods,GRU,multiclass,1,0.12727501256913024,0.1875,7.508772250730544e-05,,,,0.29277002188455997,0.2926829268292683,1.0,0.17142857142857143,0.546875,1188,398,42,64,11,"[[3, 1, 0, 0, 0, 0], [7, 7, 0, 0, 0, 0], [3, 7, 1, 0, 0, 0], [7, 1, 0, 0, 2, 0], [8, 8, 1, 2, 1, 1], [2, 2, 0, 0, 0, 0]]","[[0.75, 0.25, 0.0, 0.0, 0.0, 0.0], [0.5, 0.5, 0.0, 0.0, 0.0, 0.0], [0.2727272727272727, 0.6363636363636364, 0.09090909090909091, 0.0, 0.0, 0.0], [0.7, 0.1, 0.0, 0.0, 0.2, 0.0], [0.38095238095238093, 0.38095238095238093, 0.047619047619047616, 0.09523809523809523, 0.047619047619047616, 0.047619047619047616], [0.5, 0.5, 0.0, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5439807772636414, 0.6291027069091797, 0.6078222393989563, 0.5439807772636414, 0.4801393449306488]"
BABA,Services,GRU,multiclass,1,0.13080944213019685,0.171875,0.0030494972597807646,,,,0.22895974827703014,0.48,0.7058823529411765,0.36363636363636365,0.59375,675,149,42,64,11,"[[6, 0, 0, 1, 0, 0], [12, 0, 0, 3, 0, 0], [8, 0, 0, 0, 0, 1], [3, 0, 0, 1, 0, 0], [8, 0, 0, 2, 1, 1], [9, 0, 1, 3, 1, 3]]","[[0.8571428571428571, 0.0, 0.0, 0.14285714285714285, 0.0, 0.0], [0.8, 0.0, 0.0, 0.2, 0.0, 0.0], [0.8888888888888888, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111], [0.75, 0.0, 0.0, 0.25, 0.0, 0.0], [0.6666666666666666, 0.0, 0.0, 0.16666666666666666, 0.08333333333333333, 0.08333333333333333], [0.5294117647058824, 0.0, 0.058823529411764705, 0.17647058823529413, 0.058823529411764705, 0.17647058823529413]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5759015083312988, 0.5865417718887329, 0.5439807772636414, 0.5546210408210754, 0.5439807772636414]"
BAC,Financial,GRU,multiclass,1,0.1391025641025641,0.21875,-0.0007775054546073079,,,,0.1315409339445988,0.6024096385542169,0.44642857142857145,0.9259259259259259,0.484375,1188,398,42,64,11,"[[0, 0, 1, 0, 4, 0], [0, 0, 3, 5, 11, 1], [0, 0, 2, 2, 6, 2], [0, 0, 1, 0, 3, 1], [0, 0, 1, 1, 10, 1], [0, 0, 0, 2, 5, 2]]","[[0.0, 0.0, 0.2, 0.0, 0.8, 0.0], [0.0, 0.0, 0.15, 0.25, 0.55, 0.05], [0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.5, 0.16666666666666666], [0.0, 0.0, 0.2, 0.0, 0.6, 0.2], [0.0, 0.0, 0.07692307692307693, 0.07692307692307693, 0.7692307692307693, 0.07692307692307693], [0.0, 0.0, 0.0, 0.2222222222222222, 0.5555555555555556, 0.2222222222222222]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.44821861386299133, 0.5014198422431946, 0.4694991111755371, 0.33117595314979553, 0.6610234379768372]"
