company,sector,model_type,problem_type,horizon_steps,macro_f1,micro_accuracy,expected_return_mean,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,confusion_matrix,confusion_matrix_normalized,bucket_edges,bucket_labels,taus
AAPL,Consumer Goods,LSTM,multiclass,1,0.14614293507910528,0.203125,0.005259115248918533,,,,0.05450410372491957,0.40816326530612246,0.47619047619047616,0.35714285714285715,0.546875,1193,398,42,64,11,"[[0, 0, 5, 0, 2, 0], [0, 2, 11, 2, 1, 3], [0, 1, 6, 1, 2, 0], [0, 1, 4, 1, 1, 1], [0, 2, 7, 1, 4, 1], [0, 0, 4, 0, 1, 0]]","[[0.0, 0.0, 0.7142857142857143, 0.0, 0.2857142857142857, 0.0], [0.0, 0.10526315789473684, 0.5789473684210527, 0.10526315789473684, 0.05263157894736842, 0.15789473684210525], [0.0, 0.1, 0.6, 0.1, 0.2, 0.0], [0.0, 0.125, 0.5, 0.125, 0.125, 0.125], [0.0, 0.13333333333333333, 0.4666666666666667, 0.06666666666666667, 0.26666666666666666, 0.06666666666666667], [0.0, 0.0, 0.8, 0.0, 0.2, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7129197716712952, 0.6119049191474915, 0.5992780923843384, 0.5235169529914856, 0.3088604509830475]"
ABB,Industrial Goods,LSTM,multiclass,1,0.12426501035196687,0.21875,0.005869152024388313,,,,0.3333333333333333,0.36363636363636365,1.0,0.2222222222222222,0.5625,1193,398,42,64,11,"[[0, 0, 3, 0, 0, 0], [0, 9, 10, 0, 0, 0], [0, 4, 2, 0, 0, 0], [0, 8, 4, 0, 3, 0], [0, 5, 9, 2, 3, 0], [0, 1, 1, 0, 0, 0]]","[[0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.47368421052631576, 0.5263157894736842, 0.0, 0.0, 0.0], [0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0], [0.0, 0.5333333333333333, 0.26666666666666666, 0.0, 0.2, 0.0], [0.0, 0.2631578947368421, 0.47368421052631576, 0.10526315789473684, 0.15789473684210525, 0.0], [0.0, 0.5, 0.5, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6624123454093933, 0.6371586322784424, 0.6876660585403442, 0.6750392317771912, 0.5992780923843384]"
ABBV,Healthcare,LSTM,multiclass,1,0.21383415435139574,0.296875,0.006308976095169783,,,,0.30991159665316337,0.7311827956989247,0.576271186440678,1.0,0.609375,1112,398,42,64,11,"[[0, 1, 0, 1, 7, 2], [0, 4, 0, 0, 8, 3], [0, 0, 0, 0, 4, 0], [0, 0, 0, 1, 3, 1], [0, 0, 0, 0, 10, 9], [0, 0, 0, 1, 5, 4]]","[[0.0, 0.09090909090909091, 0.0, 0.09090909090909091, 0.6363636363636364, 0.18181818181818182], [0.0, 0.26666666666666666, 0.0, 0.0, 0.5333333333333333, 0.2], [0.0, 0.0, 0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 0.2, 0.6, 0.2], [0.0, 0.0, 0.0, 0.0, 0.5263157894736842, 0.47368421052631576], [0.0, 0.0, 0.0, 0.1, 0.5, 0.4]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7002928853034973, 0.5740243792533875, 0.5613974928855896, 0.5613974928855896, 0.49826323986053467]"
AEP,Utilities,LSTM,multiclass,1,0.09032999164578111,0.171875,-0.00316301709972322,,,,-0.010188710438961876,0.28,0.5833333333333334,0.18421052631578946,0.4375,1193,398,42,64,13,"[[0, 3, 0, 2, 0, 0], [0, 9, 0, 1, 0, 0], [0, 8, 1, 0, 2, 0], [1, 13, 0, 1, 0, 0], [1, 11, 2, 5, 0, 0], [0, 3, 0, 0, 1, 0]]","[[0.0, 0.6, 0.0, 0.4, 0.0, 0.0], [0.0, 0.9, 0.0, 0.1, 0.0, 0.0], [0.0, 0.7272727272727273, 0.09090909090909091, 0.0, 0.18181818181818182, 0.0], [0.06666666666666667, 0.8666666666666667, 0.0, 0.06666666666666667, 0.0, 0.0], [0.05263157894736842, 0.5789473684210527, 0.10526315789473684, 0.2631578947368421, 0.0, 0.0], [0.0, 0.75, 0.0, 0.0, 0.25, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.4856363832950592, 0.7129197716712952, 0.6497855186462402, 0.7129197716712952, 0.7760540246963501]"
AGFS,Conglomerates,LSTM,multiclass,1,0.0398098633392751,0.0625,0.016991904005408287,,,,-0.004034850217792016,0.45901639344262296,0.3888888888888889,0.56,0.484375,636,110,42,64,15,"[[0, 8, 1, 4, 2, 0], [2, 2, 1, 3, 4, 0], [1, 2, 0, 1, 8, 0], [1, 0, 0, 0, 1, 0], [0, 5, 0, 4, 2, 0], [0, 5, 0, 2, 5, 0]]","[[0.0, 0.5333333333333333, 0.06666666666666667, 0.26666666666666666, 0.13333333333333333, 0.0], [0.16666666666666666, 0.16666666666666666, 0.08333333333333333, 0.25, 0.3333333333333333, 0.0], [0.08333333333333333, 0.16666666666666666, 0.0, 0.08333333333333333, 0.6666666666666666, 0.0], [0.5, 0.0, 0.0, 0.0, 0.5, 0.0], [0.0, 0.45454545454545453, 0.0, 0.36363636363636365, 0.18181818181818182, 0.0], [0.0, 0.4166666666666667, 0.0, 0.16666666666666666, 0.4166666666666667, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7381734848022461, 0.6497855186462402, 0.6245318055152893, 0.5866512060165405, 0.4856363832950592]"
AMGN,Healthcare,LSTM,multiclass,1,0.1829657243450347,0.171875,-0.0022946991957724094,,,,0.07936507936507936,0.53125,0.6071428571428571,0.4722222222222222,0.53125,1193,398,42,64,21,"[[3, 0, 1, 0, 2, 0], [11, 0, 0, 1, 3, 1], [1, 0, 1, 2, 1, 1], [3, 0, 0, 2, 4, 0], [9, 1, 1, 1, 1, 4], [4, 0, 1, 0, 1, 4]]","[[0.5, 0.0, 0.16666666666666666, 0.0, 0.3333333333333333, 0.0], [0.6875, 0.0, 0.0, 0.0625, 0.1875, 0.0625], [0.16666666666666666, 0.0, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666], [0.3333333333333333, 0.0, 0.0, 0.2222222222222222, 0.4444444444444444, 0.0], [0.5294117647058824, 0.058823529411764705, 0.058823529411764705, 0.058823529411764705, 0.058823529411764705, 0.23529411764705882], [0.4, 0.0, 0.1, 0.0, 0.1, 0.4]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.801307737827301, 0.43512898683547974, 0.4856363832950592, 0.5487706661224365, 0.4477558434009552]"
AMZN,Services,LSTM,multiclass,1,0.05087719298245614,0.078125,0.0027519362047314644,,,,0.08449792771373392,0.6818181818181818,0.5660377358490566,0.8571428571428571,0.5625,1193,398,42,64,14,"[[0, 1, 0, 3, 0, 0], [0, 0, 3, 12, 0, 0], [0, 0, 2, 8, 0, 0], [0, 0, 2, 3, 1, 0], [0, 0, 2, 15, 0, 0], [0, 0, 1, 10, 1, 0]]","[[0.0, 0.25, 0.0, 0.75, 0.0, 0.0], [0.0, 0.0, 0.2, 0.8, 0.0, 0.0], [0.0, 0.0, 0.2, 0.8, 0.0, 0.0], [0.0, 0.0, 0.3333333333333333, 0.5, 0.16666666666666666, 0.0], [0.0, 0.0, 0.11764705882352941, 0.8823529411764706, 0.0, 0.0], [0.0, 0.0, 0.08333333333333333, 0.8333333333333334, 0.08333333333333333, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7508003115653992, 0.7255465984344482, 0.7255465984344482, 0.4098752737045288, 0.5108901262283325]"
BA,Industrial Goods,LSTM,multiclass,1,0.10175438596491228,0.15625,0.0030290542636066675,,,,0.10755941926431617,0.6216216216216216,0.5897435897435898,0.6571428571428571,0.5625,1193,398,42,64,14,"[[0, 2, 1, 1, 0, 0], [0, 0, 4, 3, 5, 2], [0, 6, 0, 2, 3, 0], [0, 4, 0, 2, 2, 2], [0, 4, 1, 1, 8, 7], [0, 2, 1, 0, 1, 0]]","[[0.0, 0.5, 0.25, 0.25, 0.0, 0.0], [0.0, 0.0, 0.2857142857142857, 0.21428571428571427, 0.35714285714285715, 0.14285714285714285], [0.0, 0.5454545454545454, 0.0, 0.18181818181818182, 0.2727272727272727, 0.0], [0.0, 0.4, 0.0, 0.2, 0.2, 0.2], [0.0, 0.19047619047619047, 0.047619047619047616, 0.047619047619047616, 0.38095238095238093, 0.3333333333333333], [0.0, 0.5, 0.25, 0.0, 0.25, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6119049191474915, 0.5740243792533875, 0.5613974928855896, 0.3088604509830475, 0.47300952672958374]"
BABA,Services,LSTM,multiclass,1,0.08788275035414624,0.140625,0.0041963281109929085,,,,0.06702466256013999,0.1111111111111111,0.6666666666666666,0.06060606060606061,0.5,680,154,42,64,12,"[[6, 0, 1, 0, 0, 0], [12, 2, 1, 0, 0, 0], [8, 0, 0, 1, 0, 0], [3, 1, 0, 0, 0, 0], [9, 1, 1, 0, 1, 0], [12, 4, 0, 0, 1, 0]]","[[0.8571428571428571, 0.0, 0.14285714285714285, 0.0, 0.0, 0.0], [0.8, 0.13333333333333333, 0.06666666666666667, 0.0, 0.0, 0.0], [0.8888888888888888, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0], [0.75, 0.25, 0.0, 0.0, 0.0, 0.0], [0.75, 0.08333333333333333, 0.08333333333333333, 0.0, 0.08333333333333333, 0.0], [0.7058823529411765, 0.23529411764705882, 0.0, 0.0, 0.058823529411764705, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5866512060165405, 0.5866512060165405, 0.5992780923843384, 0.5740243792533875, 0.5613974928855896]"
BAC,Financial,LSTM,multiclass,1,0.09085841694537349,0.15625,0.0029019236098974943,,,,-0.05372381380046503,0.21052631578947367,0.36363636363636365,0.14814814814814814,0.53125,1193,398,42,64,12,"[[0, 3, 2, 0, 0, 0], [9, 9, 0, 1, 0, 1], [4, 3, 0, 3, 1, 1], [1, 2, 1, 0, 0, 1], [3, 7, 2, 1, 0, 0], [4, 2, 1, 1, 0, 1]]","[[0.0, 0.6, 0.4, 0.0, 0.0, 0.0], [0.45, 0.45, 0.0, 0.05, 0.0, 0.05], [0.3333333333333333, 0.25, 0.0, 0.25, 0.08333333333333333, 0.08333333333333333], [0.2, 0.4, 0.2, 0.0, 0.0, 0.2], [0.23076923076923078, 0.5384615384615384, 0.15384615384615385, 0.07692307692307693, 0.0, 0.0], [0.4444444444444444, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.0, 0.1111111111111111]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5613974928855896, 0.7760540246963501, 0.763427197933197, 0.7381734848022461, 0.5613974928855896]"
