company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,BiGRU,multiclass,20,1,1,0.9316353420516355,1.4575465463456654,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,20,1,2,0.7596098088738906,2.267290677343096,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,20,1,3,0.6904350189707387,2.6539666539146785,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,20,1,4,0.6557551673309288,3.233216634818486,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,20,1,5,0.5527282572870877,4.4964911597115655,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,20,1,6,0.5282919276599309,3.6770103034519015,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,20,1,7,0.4906770549527365,5.595341773260207,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,20,1,8,0.45956940327457446,5.411099484988621,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,20,1,9,0.4580573457569333,1.9139573176701863,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,20,1,10,0.41383898205793085,4.2750772294544035,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,20,1,11,0.3770599279870939,3.440723254567101,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,20,1,1,0.9378582173256419,0.9291182075228009,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,20,1,2,0.7974600261779287,1.2991579884574527,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,20,1,3,0.7466497520106522,1.6816921120598203,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,20,1,4,0.5804001638038674,1.9364111309959775,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,20,1,5,0.5300353145479557,2.556019601367769,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,20,1,6,0.4900394595747617,2.334947313581194,398,42,64
