company,sector,model_type,problem_type,horizon_steps,macro_f1,micro_accuracy,expected_return_mean,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,confusion_matrix,confusion_matrix_normalized,bucket_edges,bucket_labels,taus
AAPL,Consumer Goods,BiLSTM,multiclass,5,0.14821347806422436,0.3125,-0.0032592504285275936,,,,0.11731960745488151,0.21621621621621623,0.6666666666666666,0.12903225806451613,0.546875,1184,398,42,64,13,"[[17, 5, 1, 0, 0, 0], [4, 2, 0, 1, 0, 0], [2, 0, 0, 1, 0, 0], [2, 2, 0, 1, 0, 0], [8, 1, 0, 3, 0, 0], [11, 3, 0, 0, 0, 0]]","[[0.7391304347826086, 0.21739130434782608, 0.043478260869565216, 0.0, 0.0, 0.0], [0.5714285714285714, 0.2857142857142857, 0.0, 0.14285714285714285, 0.0, 0.0], [0.6666666666666666, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0], [0.4, 0.4, 0.0, 0.2, 0.0, 0.0], [0.6666666666666666, 0.08333333333333333, 0.0, 0.25, 0.0, 0.0], [0.7857142857142857, 0.21428571428571427, 0.0, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.68830806016922, 0.7019625902175903, 0.5927259922027588, 0.5790714025497437, 0.5107985734939575]"
ABB,Industrial Goods,BiLSTM,multiclass,5,0.14532828282828283,0.203125,0.001066743629053235,,,,0.41441262009142055,0.6086956521739131,0.7368421052631579,0.5185185185185185,0.71875,1184,398,42,64,15,"[[8, 8, 0, 0, 0, 0], [9, 2, 3, 3, 0, 0], [0, 2, 0, 1, 0, 1], [2, 0, 0, 0, 1, 0], [6, 1, 0, 3, 1, 0], [3, 0, 1, 4, 3, 2]]","[[0.5, 0.5, 0.0, 0.0, 0.0, 0.0], [0.5294117647058824, 0.11764705882352941, 0.17647058823529413, 0.17647058823529413, 0.0, 0.0], [0.0, 0.5, 0.0, 0.25, 0.0, 0.25], [0.6666666666666666, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0], [0.5454545454545454, 0.09090909090909091, 0.0, 0.2727272727272727, 0.09090909090909091, 0.0], [0.23076923076923078, 0.0, 0.07692307692307693, 0.3076923076923077, 0.23076923076923078, 0.15384615384615385]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7156171798706055, 0.7292717695236206, 0.5927259922027588, 0.5654168725013733, 0.48348939418792725]"
ABBV,Healthcare,BiLSTM,multiclass,5,0.15277777777777776,0.40625,0.006925724446773529,,,,0.25559287624842536,0.46511627906976744,0.6666666666666666,0.35714285714285715,0.640625,1103,398,42,64,11,"[[23, 0, 0, 0, 1, 0], [5, 0, 0, 0, 1, 1], [3, 0, 0, 0, 1, 1], [2, 0, 0, 0, 0, 0], [7, 0, 0, 0, 0, 4], [5, 4, 0, 2, 1, 3]]","[[0.9583333333333334, 0.0, 0.0, 0.0, 0.041666666666666664, 0.0], [0.7142857142857143, 0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285], [0.6, 0.0, 0.0, 0.0, 0.2, 0.2], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.6363636363636364, 0.0, 0.0, 0.0, 0.0, 0.36363636363636365], [0.3333333333333333, 0.26666666666666666, 0.0, 0.13333333333333333, 0.06666666666666667, 0.2]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7292717695236206, 0.7019625902175903, 0.7019625902175903, 0.7156171798706055, 0.6200351715087891]"
AEP,Utilities,BiLSTM,multiclass,5,0.11046976511744126,0.125,0.005214240867644548,,,,-0.11834526708278773,0.45454545454545453,0.5,0.4166666666666667,0.4375,1184,398,42,64,11,"[[0, 0, 2, 6, 1, 0], [2, 3, 4, 4, 0, 0], [1, 1, 0, 1, 3, 0], [1, 2, 2, 4, 0, 0], [6, 0, 4, 2, 1, 0], [1, 1, 4, 3, 5, 0]]","[[0.0, 0.0, 0.2222222222222222, 0.6666666666666666, 0.1111111111111111, 0.0], [0.15384615384615385, 0.23076923076923078, 0.3076923076923077, 0.3076923076923077, 0.0, 0.0], [0.16666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666, 0.5, 0.0], [0.1111111111111111, 0.2222222222222222, 0.2222222222222222, 0.4444444444444444, 0.0, 0.0], [0.46153846153846156, 0.0, 0.3076923076923077, 0.15384615384615385, 0.07692307692307693, 0.0], [0.07142857142857142, 0.07142857142857142, 0.2857142857142857, 0.21428571428571427, 0.35714285714285715, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7156171798706055, 0.6063805818557739, 0.5654168725013733, 0.7019625902175903, 0.5244531035423279]"
AGFS,Conglomerates,BiLSTM,multiclass,5,0.12350427350427351,0.265625,0.024412404745817184,,,,0.0,0.5287356321839081,0.359375,1.0,0.359375,627,105,42,64,11,"[[0, 0, 0, 0, 10, 23], [0, 0, 0, 0, 2, 5], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 4, 1], [0, 0, 0, 0, 4, 13]]","[[0.0, 0.0, 0.0, 0.0, 0.30303030303030304, 0.696969696969697], [0.0, 0.0, 0.0, 0.0, 0.2857142857142857, 0.7142857142857143], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.8, 0.2], [0.0, 0.0, 0.0, 0.0, 0.23529411764705882, 0.7647058823529411]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6063805818557739, 0.5927259922027588, 0.5927259922027588, 0.5790714025497437, 0.5517622828483582]"
AMGN,Healthcare,BiLSTM,multiclass,5,0.17862862862862863,0.265625,0.002464522607624531,,,,0.16353567082690101,0.30434782608695654,0.7777777777777778,0.1891891891891892,0.5,1184,398,42,64,16,"[[10, 0, 2, 0, 0, 0], [5, 0, 1, 0, 1, 0], [3, 0, 4, 0, 1, 0], [0, 0, 2, 0, 0, 0], [2, 0, 8, 0, 3, 0], [4, 2, 12, 2, 2, 0]]","[[0.8333333333333334, 0.0, 0.16666666666666666, 0.0, 0.0, 0.0], [0.7142857142857143, 0.0, 0.14285714285714285, 0.0, 0.14285714285714285, 0.0], [0.375, 0.0, 0.5, 0.0, 0.125, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.15384615384615385, 0.0, 0.6153846153846154, 0.0, 0.23076923076923078, 0.0], [0.18181818181818182, 0.09090909090909091, 0.5454545454545454, 0.09090909090909091, 0.09090909090909091, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6063805818557739, 0.7292717695236206, 0.7156171798706055, 0.4288710951805115, 0.6609988808631897]"
AMZN,Services,BiLSTM,multiclass,5,0.12932437932437932,0.171875,-0.0005476365913636982,,,,0.0359961928254792,0.5217391304347826,0.6923076923076923,0.4186046511627907,0.484375,1184,398,42,64,13,"[[2, 1, 0, 2, 4, 0], [3, 5, 0, 2, 0, 0], [1, 1, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0], [2, 6, 0, 2, 4, 0], [3, 12, 0, 8, 4, 0]]","[[0.2222222222222222, 0.1111111111111111, 0.0, 0.2222222222222222, 0.4444444444444444, 0.0], [0.3, 0.5, 0.0, 0.2, 0.0, 0.0], [0.5, 0.5, 0.0, 0.0, 0.0, 0.0], [0.5, 0.5, 0.0, 0.0, 0.0, 0.0], [0.14285714285714285, 0.42857142857142855, 0.0, 0.14285714285714285, 0.2857142857142857, 0.0], [0.1111111111111111, 0.4444444444444444, 0.0, 0.2962962962962963, 0.14814814814814814, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7156171798706055, 0.4288710951805115, 0.4971439838409424, 0.4971439838409424, 0.5654168725013733]"
BA,Industrial Goods,BiLSTM,multiclass,5,0.06253968253968255,0.125,0.0058663696981966496,,,,0.0,0.6382978723404256,0.46875,1.0,0.46875,1184,398,42,64,11,"[[0, 0, 0, 8, 7, 0], [0, 0, 0, 4, 11, 1], [0, 0, 0, 0, 3, 0], [0, 0, 0, 0, 2, 0], [0, 0, 0, 2, 7, 0], [0, 0, 0, 7, 11, 1]]","[[0.0, 0.0, 0.0, 0.5333333333333333, 0.4666666666666667, 0.0], [0.0, 0.0, 0.0, 0.25, 0.6875, 0.0625], [0.0, 0.0, 0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 0.2222222222222222, 0.7777777777777778, 0.0], [0.0, 0.0, 0.0, 0.3684210526315789, 0.5789473684210527, 0.05263157894736842]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7156171798706055, 0.5517622828483582, 0.31963449716567993, 0.31963449716567993, 0.4971439838409424]"
BABA,Services,BiLSTM,multiclass,5,0.15955072359421127,0.234375,0.012172641232609749,,,,-0.022222222222222223,0.24,0.6,0.15,0.40625,671,149,42,64,12,"[[9, 2, 3, 1, 3, 0], [0, 4, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0], [2, 1, 1, 0, 0, 0], [0, 2, 2, 0, 0, 0], [13, 5, 8, 3, 1, 2]]","[[0.5, 0.1111111111111111, 0.16666666666666666, 0.05555555555555555, 0.16666666666666666, 0.0], [0.0, 0.8, 0.2, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.5, 0.25, 0.25, 0.0, 0.0, 0.0], [0.0, 0.5, 0.5, 0.0, 0.0, 0.0], [0.40625, 0.15625, 0.25, 0.09375, 0.03125, 0.0625]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.68830806016922, 0.6746534705162048, 0.6473442912101746, 0.6609988808631897, 0.6336897015571594]"
BAC,Financial,BiLSTM,multiclass,5,0.16974395113929996,0.203125,0.0017548049800097942,,,,0.18788818120175088,0.6753246753246753,0.65,0.7027027027027027,0.609375,1184,398,42,64,11,"[[3, 2, 2, 0, 7, 0], [2, 2, 1, 0, 4, 1], [0, 1, 0, 0, 2, 0], [0, 2, 0, 2, 0, 0], [3, 2, 2, 2, 6, 1], [0, 1, 1, 7, 8, 0]]","[[0.21428571428571427, 0.14285714285714285, 0.14285714285714285, 0.0, 0.5, 0.0], [0.2, 0.2, 0.1, 0.0, 0.4, 0.1], [0.0, 0.3333333333333333, 0.0, 0.0, 0.6666666666666666, 0.0], [0.0, 0.5, 0.0, 0.5, 0.0, 0.0], [0.1875, 0.125, 0.125, 0.125, 0.375, 0.0625], [0.0, 0.058823529411764705, 0.058823529411764705, 0.4117647058823529, 0.47058823529411764, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.4698348343372345, 0.7156171798706055, 0.4971439838409424, 0.4971439838409424, 0.48348939418792725]"
