company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,GRU,multiclass,10,1,1,0.8924632267137269,1.5075555472146898,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,1,2,0.7025642365067448,2.6553229235467457,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,1,3,0.6233092041770417,4.252787473655882,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,1,4,0.5528143858490278,5.170452322278704,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,1,5,0.48473492833837195,6.977604145095462,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,1,6,0.4676665840436466,6.0740063559441335,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,1,7,0.4181022795300987,7.944744791303362,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,1,8,0.3931748919451057,6.724477066880181,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,1,9,0.35438002458768875,8.048724009877159,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,1,10,0.3238913028234213,9.088522564797174,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,1,11,0.2912023800551592,8.2908867086683,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,1,12,0.2690397271858388,8.225342801639012,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,1,13,0.2549033030942457,9.279075321697054,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,1,14,0.24104096264994923,8.613947862670535,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,1,15,0.2055666627521491,8.810782994542803,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,1,16,0.19672449730598746,9.294203951245262,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,1,1,0.9116876577612144,0.8692563431603568,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,1,2,0.7975272530287354,1.2806105273110526,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,1,3,0.6244647290239382,1.68083956128075,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,1,4,0.5411952193358436,1.8475592476981026,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,1,5,0.473337123891217,2.048949968247187,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,1,6,0.47113884678438084,1.6440400736672538,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,1,7,0.45993337858861416,2.7292704582214355,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,1,8,0.4662929033514243,3.422831489926293,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,1,9,0.46913855474198884,1.8527360530126662,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,1,10,0.36440644656593474,3.354689371018183,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,1,11,0.3398667990262784,3.437522297813779,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,1,12,0.3251961653106776,3.1556694507598877,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,1,13,0.30654548887331884,3.284217743646531,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,1,14,0.26237595867571517,2.7548708007449196,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,1,15,0.2259816866573976,2.3170181683131625,398,42,64
