company,sector,model_type,problem_type,horizon_steps,macro_f1,micro_accuracy,expected_return_mean,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,confusion_matrix,confusion_matrix_normalized,bucket_edges,bucket_labels,taus
AAPL,Consumer Goods,GRU,multiclass,1,0.12184343434343435,0.171875,0.0033477365504950285,,,,-0.1467418177209373,0.2857142857142857,0.3333333333333333,0.25,0.453125,1193,398,42,64,21,"[[0, 0, 3, 2, 0, 2], [1, 5, 4, 4, 2, 3], [1, 3, 5, 0, 0, 1], [0, 3, 3, 1, 0, 1], [4, 1, 5, 1, 0, 4], [0, 2, 3, 0, 0, 0]]","[[0.0, 0.0, 0.42857142857142855, 0.2857142857142857, 0.0, 0.2857142857142857], [0.05263157894736842, 0.2631578947368421, 0.21052631578947367, 0.21052631578947367, 0.10526315789473684, 0.15789473684210525], [0.1, 0.3, 0.5, 0.0, 0.0, 0.1], [0.0, 0.375, 0.375, 0.125, 0.0, 0.125], [0.26666666666666666, 0.06666666666666667, 0.3333333333333333, 0.06666666666666667, 0.0, 0.26666666666666666], [0.0, 0.4, 0.6, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6711229681968689, 0.603326678276062, 0.5645859241485596, 0.4871044456958771, 0.6226970553398132]"
ABB,Industrial Goods,GRU,multiclass,1,0.10122347789690589,0.140625,0.005866420455276966,,,,-0.10722404795288451,0.6666666666666666,0.543859649122807,0.8611111111111112,0.515625,1193,398,42,64,21,"[[0, 0, 0, 0, 0, 3], [0, 1, 1, 6, 5, 6], [0, 0, 0, 2, 3, 1], [1, 1, 0, 4, 3, 6], [0, 0, 3, 3, 3, 10], [0, 0, 0, 0, 1, 1]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.05263157894736842, 0.05263157894736842, 0.3157894736842105, 0.2631578947368421, 0.3157894736842105], [0.0, 0.0, 0.0, 0.3333333333333333, 0.5, 0.16666666666666666], [0.06666666666666667, 0.06666666666666667, 0.0, 0.26666666666666666, 0.2, 0.4], [0.0, 0.0, 0.15789473684210525, 0.15789473684210525, 0.15789473684210525, 0.5263157894736842], [0.0, 0.0, 0.0, 0.0, 0.5, 0.5]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6808081269264221, 0.6614377498626709, 0.5839563012123108, 0.5064747929573059, 0.47741925716400146]"
ABBV,Healthcare,GRU,multiclass,1,0.15363841405508072,0.25,0.008290151134133339,,,,0.0,0.6938775510204082,0.53125,1.0,0.53125,1112,398,42,64,21,"[[0, 0, 0, 2, 6, 3], [0, 0, 0, 8, 2, 5], [0, 0, 0, 3, 1, 0], [0, 0, 0, 1, 2, 2], [0, 0, 0, 6, 8, 5], [0, 0, 0, 2, 1, 7]]","[[0.0, 0.0, 0.0, 0.18181818181818182, 0.5454545454545454, 0.2727272727272727], [0.0, 0.0, 0.0, 0.5333333333333333, 0.13333333333333333, 0.3333333333333333], [0.0, 0.0, 0.0, 0.75, 0.25, 0.0], [0.0, 0.0, 0.0, 0.2, 0.4, 0.4], [0.0, 0.0, 0.0, 0.3157894736842105, 0.42105263157894735, 0.2631578947368421], [0.0, 0.0, 0.0, 0.2, 0.1, 0.7]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6614377498626709, 0.4096229672431946, 0.4193081557750702, 0.4193081557750702, 0.6711229681968689]"
AEP,Utilities,GRU,multiclass,1,0.12065217391304346,0.140625,0.0003532962582539767,,,,-0.2556657194498359,0.48,0.4864864864864865,0.47368421052631576,0.390625,1193,398,42,64,21,"[[0, 1, 0, 1, 1, 2], [2, 1, 0, 2, 4, 1], [1, 2, 0, 2, 3, 3], [4, 7, 1, 1, 1, 1], [4, 2, 1, 2, 4, 6], [1, 0, 0, 0, 0, 3]]","[[0.0, 0.2, 0.0, 0.2, 0.2, 0.4], [0.2, 0.1, 0.0, 0.2, 0.4, 0.1], [0.09090909090909091, 0.18181818181818182, 0.0, 0.18181818181818182, 0.2727272727272727, 0.2727272727272727], [0.26666666666666666, 0.4666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667], [0.21052631578947367, 0.10526315789473684, 0.05263157894736842, 0.10526315789473684, 0.21052631578947367, 0.3157894736842105], [0.25, 0.0, 0.0, 0.0, 0.0, 0.75]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6614377498626709, 0.5549007058143616, 0.5355303883552551, 0.5355303883552551, 0.39025259017944336]"
AGFS,Conglomerates,GRU,multiclass,1,0.10983050847457627,0.21875,0.009490279480814934,,,,0.0,0.5617977528089888,0.390625,1.0,0.390625,636,110,42,64,21,"[[0, 0, 0, 1, 3, 11], [0, 0, 0, 0, 4, 8], [0, 0, 0, 0, 2, 10], [0, 0, 0, 0, 0, 2], [0, 0, 0, 1, 4, 6], [0, 0, 0, 1, 1, 10]]","[[0.0, 0.0, 0.0, 0.06666666666666667, 0.2, 0.7333333333333333], [0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.6666666666666666], [0.0, 0.0, 0.0, 0.0, 0.16666666666666666, 0.8333333333333334], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.09090909090909091, 0.36363636363636365, 0.5454545454545454], [0.0, 0.0, 0.0, 0.08333333333333333, 0.08333333333333333, 0.8333333333333334]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5355303883552551, 0.5452155470848083, 0.5355303883552551, 0.39993777871131897, 0.39025259017944336]"
AMGN,Healthcare,GRU,multiclass,1,0.14908008658008656,0.28125,0.0040719048120081425,,,,0.15131899415399777,0.3404255319148936,0.7272727272727273,0.2222222222222222,0.515625,1193,398,42,64,21,"[[0, 5, 0, 0, 1, 0], [0, 14, 1, 0, 0, 1], [2, 3, 0, 0, 1, 0], [0, 9, 0, 0, 0, 0], [0, 13, 0, 1, 1, 2], [0, 6, 0, 0, 1, 3]]","[[0.0, 0.8333333333333334, 0.0, 0.0, 0.16666666666666666, 0.0], [0.0, 0.875, 0.0625, 0.0, 0.0, 0.0625], [0.3333333333333333, 0.5, 0.0, 0.0, 0.16666666666666666, 0.0], [0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.7647058823529411, 0.0, 0.058823529411764705, 0.058823529411764705, 0.11764705882352941], [0.0, 0.6, 0.0, 0.0, 0.1, 0.3]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6808081269264221, 0.6614377498626709, 0.6517525911331177, 0.45804888010025024, 0.6808081269264221]"
AMZN,Services,GRU,multiclass,1,0.09565217391304348,0.1875,-0.006827260833233595,,,,0.19210545285208808,0.46153846153846156,0.7058823529411765,0.34285714285714286,0.5625,1193,398,42,64,21,"[[0, 3, 0, 1, 0, 0], [1, 10, 2, 2, 0, 0], [0, 8, 0, 2, 0, 0], [0, 4, 0, 2, 0, 0], [1, 7, 4, 5, 0, 0], [3, 3, 1, 5, 0, 0]]","[[0.0, 0.75, 0.0, 0.25, 0.0, 0.0], [0.06666666666666667, 0.6666666666666666, 0.13333333333333333, 0.13333333333333333, 0.0, 0.0], [0.0, 0.8, 0.0, 0.2, 0.0, 0.0], [0.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0.0, 0.0], [0.058823529411764705, 0.4117647058823529, 0.23529411764705882, 0.29411764705882354, 0.0, 0.0], [0.25, 0.25, 0.08333333333333333, 0.4166666666666667, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6323822140693665, 0.6226970553398132, 0.5645859241485596, 0.4289933443069458, 0.39025259017944336]"
BA,Industrial Goods,GRU,multiclass,1,0.1484848484848485,0.234375,0.0033076591789722443,,,,0.2393322795582759,0.6666666666666666,0.6486486486486487,0.6857142857142857,0.625,1193,398,42,64,21,"[[0, 0, 1, 2, 1, 0], [0, 6, 2, 2, 3, 1], [0, 6, 1, 1, 3, 0], [0, 1, 4, 0, 3, 2], [0, 3, 2, 2, 8, 6], [0, 0, 1, 2, 1, 0]]","[[0.0, 0.0, 0.25, 0.5, 0.25, 0.0], [0.0, 0.42857142857142855, 0.14285714285714285, 0.14285714285714285, 0.21428571428571427, 0.07142857142857142], [0.0, 0.5454545454545454, 0.09090909090909091, 0.09090909090909091, 0.2727272727272727, 0.0], [0.0, 0.1, 0.4, 0.0, 0.3, 0.2], [0.0, 0.14285714285714285, 0.09523809523809523, 0.09523809523809523, 0.38095238095238093, 0.2857142857142857], [0.0, 0.0, 0.25, 0.5, 0.25, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6517525911331177, 0.5742710828781128, 0.4289933443069458, 0.5355303883552551, 0.438678503036499]"
BABA,Services,GRU,multiclass,1,0.11230682026574196,0.140625,0.0011040482204407454,,,,0.05908580644613889,0.3404255319148936,0.5714285714285714,0.24242424242424243,0.515625,680,154,42,64,21,"[[5, 1, 1, 0, 0, 0], [8, 2, 2, 3, 0, 0], [4, 2, 0, 2, 1, 0], [3, 0, 0, 1, 0, 0], [6, 0, 3, 2, 0, 1], [8, 2, 3, 2, 1, 1]]","[[0.7142857142857143, 0.14285714285714285, 0.14285714285714285, 0.0, 0.0, 0.0], [0.5333333333333333, 0.13333333333333333, 0.13333333333333333, 0.2, 0.0, 0.0], [0.4444444444444444, 0.2222222222222222, 0.0, 0.2222222222222222, 0.1111111111111111, 0.0], [0.75, 0.0, 0.0, 0.25, 0.0, 0.0], [0.5, 0.0, 0.25, 0.16666666666666666, 0.0, 0.08333333333333333], [0.47058823529411764, 0.11764705882352941, 0.17647058823529413, 0.11764705882352941, 0.058823529411764705, 0.058823529411764705]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6420673727989197, 0.5839563012123108, 0.5452155470848083, 0.5355303883552551, 0.5161600112915039]"
BAC,Financial,GRU,multiclass,1,0.1986510784685227,0.21875,-0.003475446719676256,,,,0.07685926744783814,0.4166666666666667,0.47619047619047616,0.37037037037037035,0.5625,1193,398,42,64,22,"[[4, 1, 0, 0, 0, 0], [8, 5, 2, 0, 4, 1], [5, 1, 0, 0, 6, 0], [1, 1, 0, 0, 3, 0], [8, 0, 3, 0, 2, 0], [3, 0, 1, 1, 1, 3]]","[[0.8, 0.2, 0.0, 0.0, 0.0, 0.0], [0.4, 0.25, 0.1, 0.0, 0.2, 0.05], [0.4166666666666667, 0.08333333333333333, 0.0, 0.0, 0.5, 0.0], [0.2, 0.2, 0.0, 0.0, 0.6, 0.0], [0.6153846153846154, 0.0, 0.23076923076923078, 0.0, 0.15384615384615385, 0.0], [0.3333333333333333, 0.0, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.3333333333333333]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6420673727989197, 0.4096229672431946, 0.4289933443069458, 0.4871044456958771, 0.6808081269264221]"
