company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,LSTM,multiclass,20,1,1,0.8263719516183863,1.2090032526424952,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,1,2,0.7826664387880258,1.5763051027343387,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,1,3,0.7760858299145147,1.8082350861458552,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,1,4,0.7003775835037231,2.9968962499073575,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,1,5,0.7347616373594082,2.964591063204266,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,1,6,0.7039266519211046,3.218523933773949,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,1,7,0.677471979179574,4.050942418121156,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,1,8,0.7003875538032858,2.6936263186591014,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,1,9,0.6239384547549875,5.2576943181809925,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,1,10,0.6542591203996284,4.0408793943268915,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,1,11,0.6134828694501714,3.6160431844847545,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,1,1,0.8748073083671493,0.8988250635919117,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,1,2,0.775859964852357,1.010036621774946,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,1,3,0.7974657359434731,1.4990753900437128,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,1,4,0.8812901072166673,0.8814491970198495,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,1,5,0.9265735526779788,1.4135679517473494,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,1,6,0.7739930242749314,1.3604321763629006,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,1,7,0.8693204758754328,1.5278812930697487,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,1,8,0.7288734005324206,1.6632610502697172,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,1,9,0.7671534011711427,1.4559867154984247,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,1,10,0.981155262221044,1.4228130408695765,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,1,11,0.8421796161924774,1.9347146465664817,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,1,12,0.7330853570645778,1.5360580285390217,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,1,13,0.7908074346619036,1.809740282240368,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,1,14,0.8381024128827618,1.5814655281248546,398,42,64
ABBV,Healthcare,LSTM,multiclass,20,1,1,0.791429492396925,0.7834520112900507,398,42,64
ABBV,Healthcare,LSTM,multiclass,20,1,2,0.7633249840544696,0.7850921068872724,398,42,64
ABBV,Healthcare,LSTM,multiclass,20,1,3,0.7325249182519002,1.0671478396370297,398,42,64
ABBV,Healthcare,LSTM,multiclass,20,1,4,0.7336120440732294,1.2541219677243913,398,42,64
ABBV,Healthcare,LSTM,multiclass,20,1,5,0.7337844590445859,1.3325681175504411,398,42,64
