company,sector,model_type,problem_type,horizon_steps,macro_f1,micro_accuracy,expected_return_mean,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,confusion_matrix,confusion_matrix_normalized,bucket_edges,bucket_labels,taus
AAPL,Consumer Goods,LSTM,multiclass,1,0.15321650027532382,0.1875,0.0015265240799635649,,,,-0.16150120428611295,0.3728813559322034,0.3548387096774194,0.39285714285714285,0.421875,1193,398,42,64,17,"[[1, 1, 1, 2, 2, 0], [2, 4, 1, 4, 8, 0], [0, 4, 2, 2, 1, 1], [0, 2, 1, 1, 4, 0], [2, 4, 3, 1, 4, 1], [1, 1, 3, 0, 0, 0]]","[[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857, 0.2857142857142857, 0.0], [0.10526315789473684, 0.21052631578947367, 0.05263157894736842, 0.21052631578947367, 0.42105263157894735, 0.0], [0.0, 0.4, 0.2, 0.2, 0.1, 0.1], [0.0, 0.25, 0.125, 0.125, 0.5, 0.0], [0.13333333333333333, 0.26666666666666666, 0.2, 0.06666666666666667, 0.26666666666666666, 0.06666666666666667], [0.2, 0.2, 0.6, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6969611644744873, 0.5642039179801941, 0.531014621257782, 0.4978252649307251, 0.2986893653869629]"
ABB,Industrial Goods,LSTM,multiclass,1,0.13715808568749746,0.1875,0.004329900722950697,,,,0.3090575499818436,0.32558139534883723,1.0,0.19444444444444445,0.546875,1193,398,42,64,16,"[[0, 2, 1, 0, 0, 0], [5, 7, 7, 0, 0, 0], [3, 2, 1, 0, 0, 0], [4, 4, 4, 1, 2, 0], [6, 3, 6, 1, 3, 0], [1, 0, 1, 0, 0, 0]]","[[0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0], [0.2631578947368421, 0.3684210526315789, 0.3684210526315789, 0.0, 0.0, 0.0], [0.5, 0.3333333333333333, 0.16666666666666666, 0.0, 0.0, 0.0], [0.26666666666666666, 0.26666666666666666, 0.26666666666666666, 0.06666666666666667, 0.13333333333333333, 0.0], [0.3157894736842105, 0.15789473684210525, 0.3157894736842105, 0.05263157894736842, 0.15789473684210525, 0.0], [0.5, 0.0, 0.5, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7633398175239563, 0.5973932147026062, 0.7301505208015442, 0.6969611644744873, 0.464635968208313]"
ABBV,Healthcare,LSTM,multiclass,1,0.18729857534411617,0.25,0.008268780075013638,,,,0.23498401923230525,0.717391304347826,0.5689655172413793,0.9705882352941176,0.59375,1112,398,42,64,16,"[[0, 1, 0, 0, 8, 2], [1, 1, 1, 3, 7, 2], [0, 0, 1, 1, 1, 1], [0, 0, 1, 0, 3, 1], [0, 0, 0, 2, 8, 9], [0, 0, 0, 2, 2, 6]]","[[0.0, 0.09090909090909091, 0.0, 0.0, 0.7272727272727273, 0.18181818181818182], [0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.2, 0.4666666666666667, 0.13333333333333333], [0.0, 0.0, 0.25, 0.25, 0.25, 0.25], [0.0, 0.0, 0.2, 0.0, 0.6, 0.2], [0.0, 0.0, 0.0, 0.10526315789473684, 0.42105263157894735, 0.47368421052631576], [0.0, 0.0, 0.0, 0.2, 0.2, 0.6]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7965291142463684, 0.531014621257782, 0.4978252649307251, 0.4978252649307251, 0.3650680184364319]"
AEP,Utilities,LSTM,multiclass,1,0.16824155533832952,0.234375,-0.0011578808771446347,,,,-0.01642880193633814,0.45161290322580644,0.5833333333333334,0.3684210526315789,0.46875,1193,398,42,64,16,"[[0, 1, 1, 2, 1, 0], [0, 4, 2, 3, 1, 0], [0, 3, 5, 1, 2, 0], [0, 9, 4, 1, 1, 0], [1, 5, 4, 4, 5, 0], [0, 1, 0, 1, 2, 0]]","[[0.0, 0.2, 0.2, 0.4, 0.2, 0.0], [0.0, 0.4, 0.2, 0.3, 0.1, 0.0], [0.0, 0.2727272727272727, 0.45454545454545453, 0.09090909090909091, 0.18181818181818182, 0.0], [0.0, 0.6, 0.26666666666666666, 0.06666666666666667, 0.06666666666666667, 0.0], [0.05263157894736842, 0.2631578947368421, 0.21052631578947367, 0.21052631578947367, 0.2631578947368421, 0.0], [0.0, 0.25, 0.0, 0.25, 0.5, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6637718677520752, 0.5973932147026062, 0.464635968208313, 0.4978252649307251, 0.4314466416835785]"
AGFS,Conglomerates,LSTM,multiclass,1,0.14125386996904024,0.203125,0.011270338669419289,,,,0.16183579655925293,0.4,0.5333333333333333,0.32,0.625,636,110,42,64,16,"[[0, 4, 7, 4, 0, 0], [0, 8, 4, 0, 0, 0], [0, 6, 3, 3, 0, 0], [0, 1, 1, 0, 0, 0], [1, 3, 2, 3, 2, 0], [0, 4, 5, 0, 3, 0]]","[[0.0, 0.26666666666666666, 0.4666666666666667, 0.26666666666666666, 0.0, 0.0], [0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0], [0.0, 0.5, 0.25, 0.25, 0.0, 0.0], [0.0, 0.5, 0.5, 0.0, 0.0, 0.0], [0.09090909090909091, 0.2727272727272727, 0.18181818181818182, 0.2727272727272727, 0.18181818181818182, 0.0], [0.0, 0.3333333333333333, 0.4166666666666667, 0.0, 0.25, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.531014621257782, 0.5642039179801941, 0.531014621257782, 0.464635968208313, 0.464635968208313]"
AMGN,Healthcare,LSTM,multiclass,1,0.1319713709957612,0.171875,0.003992235753685236,,,,0.20814079896736404,0.27906976744186046,0.8571428571428571,0.16666666666666666,0.515625,1193,398,42,64,16,"[[2, 1, 3, 0, 0, 0], [5, 6, 4, 0, 1, 0], [3, 2, 1, 0, 0, 0], [1, 5, 3, 0, 0, 0], [0, 8, 6, 0, 2, 1], [1, 3, 3, 3, 0, 0]]","[[0.3333333333333333, 0.16666666666666666, 0.5, 0.0, 0.0, 0.0], [0.3125, 0.375, 0.25, 0.0, 0.0625, 0.0], [0.5, 0.3333333333333333, 0.16666666666666666, 0.0, 0.0, 0.0], [0.1111111111111111, 0.5555555555555556, 0.3333333333333333, 0.0, 0.0, 0.0], [0.0, 0.47058823529411764, 0.35294117647058826, 0.0, 0.11764705882352941, 0.058823529411764705], [0.1, 0.3, 0.3, 0.3, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.8297184705734253, 0.4978252649307251, 0.7965291142463684, 0.6305825710296631, 0.531014621257782]"
AMZN,Services,LSTM,multiclass,1,0.08776238661296132,0.125,-0.0010452282149344683,,,,-0.0418647525471434,0.6,0.5333333333333333,0.6857142857142857,0.5,1193,398,42,64,16,"[[0, 0, 2, 2, 0, 0], [0, 0, 4, 8, 3, 0], [0, 0, 2, 7, 1, 0], [0, 2, 1, 2, 1, 0], [0, 0, 5, 8, 4, 0], [0, 0, 3, 6, 3, 0]]","[[0.0, 0.0, 0.5, 0.5, 0.0, 0.0], [0.0, 0.0, 0.26666666666666666, 0.5333333333333333, 0.2, 0.0], [0.0, 0.0, 0.2, 0.7, 0.1, 0.0], [0.0, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.0], [0.0, 0.0, 0.29411764705882354, 0.47058823529411764, 0.23529411764705882, 0.0], [0.0, 0.0, 0.25, 0.5, 0.25, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.531014621257782, 0.23231074213981628, 0.5642039179801941, 0.4978252649307251, 0.398257315158844]"
BA,Industrial Goods,LSTM,multiclass,1,0.213047324192835,0.3125,0.0004714593815151602,,,,0.4303216815410211,0.7631578947368421,0.7073170731707317,0.8285714285714286,0.71875,1193,398,42,64,16,"[[0, 1, 1, 2, 0, 0], [0, 4, 4, 6, 0, 0], [0, 5, 2, 4, 0, 0], [0, 2, 0, 5, 3, 0], [0, 2, 1, 9, 9, 0], [0, 0, 1, 2, 1, 0]]","[[0.0, 0.25, 0.25, 0.5, 0.0, 0.0], [0.0, 0.2857142857142857, 0.2857142857142857, 0.42857142857142855, 0.0, 0.0], [0.0, 0.45454545454545453, 0.18181818181818182, 0.36363636363636365, 0.0, 0.0], [0.0, 0.2, 0.0, 0.5, 0.3, 0.0], [0.0, 0.09523809523809523, 0.047619047619047616, 0.42857142857142855, 0.42857142857142855, 0.0], [0.0, 0.0, 0.25, 0.5, 0.25, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7633398175239563, 0.5642039179801941, 0.531014621257782, 0.23231074213981628, 0.398257315158844]"
BABA,Services,LSTM,multiclass,1,0.09380692167577413,0.15625,0.0006492658867500722,,,,0.17407765595569782,0.11428571428571428,1.0,0.06060606060606061,0.515625,680,154,42,64,18,"[[7, 0, 0, 0, 0, 0], [13, 2, 0, 0, 0, 0], [8, 1, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0], [10, 1, 0, 0, 1, 0], [12, 2, 2, 0, 1, 0]]","[[1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.8666666666666667, 0.13333333333333333, 0.0, 0.0, 0.0, 0.0], [0.8888888888888888, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.8333333333333334, 0.08333333333333333, 0.0, 0.0, 0.08333333333333333, 0.0], [0.7058823529411765, 0.11764705882352941, 0.11764705882352941, 0.0, 0.058823529411764705, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7633398175239563, 0.7633398175239563, 0.8629077672958374, 0.6637718677520752, 0.5642039179801941]"
BAC,Financial,LSTM,multiclass,1,0.11594811496827173,0.171875,0.0006496699061244726,,,,0.0050662305843061466,0.5569620253164557,0.4230769230769231,0.8148148148148148,0.453125,1193,398,42,64,16,"[[0, 1, 0, 1, 3, 0], [1, 1, 2, 6, 9, 1], [0, 1, 1, 3, 6, 1], [0, 0, 1, 0, 4, 0], [0, 1, 1, 3, 8, 0], [0, 0, 2, 2, 4, 1]]","[[0.0, 0.2, 0.0, 0.2, 0.6, 0.0], [0.05, 0.05, 0.1, 0.3, 0.45, 0.05], [0.0, 0.08333333333333333, 0.08333333333333333, 0.25, 0.5, 0.08333333333333333], [0.0, 0.0, 0.2, 0.0, 0.8, 0.0], [0.0, 0.07692307692307693, 0.07692307692307693, 0.23076923076923078, 0.6153846153846154, 0.0], [0.0, 0.0, 0.2222222222222222, 0.2222222222222222, 0.4444444444444444, 0.1111111111111111]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6969611644744873, 0.464635968208313, 0.4314466416835785, 0.464635968208313, 0.3650680184364319]"
