company,sector,model_type,problem_type,horizon_steps,macro_f1,micro_accuracy,expected_return_mean,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,confusion_matrix,confusion_matrix_normalized,bucket_edges,bucket_labels,taus
AAPL,Consumer Goods,LSTM,multiclass,1,0.10296396952871885,0.1407035175879397,-0.008869965560734272,,,,-0.0462587674604634,0.1076923076923077,0.5,0.0603448275862069,0.41708542713567837,1196,798,199,199,17,"[[2, 2, 0, 0, 0, 0], [8, 8, 7, 4, 0, 0], [18, 16, 15, 2, 1, 0], [15, 13, 20, 2, 1, 0], [26, 14, 14, 3, 1, 0], [3, 2, 2, 0, 0, 0]]","[[0.5, 0.5, 0.0, 0.0, 0.0, 0.0], [0.2962962962962963, 0.2962962962962963, 0.25925925925925924, 0.14814814814814814, 0.0, 0.0], [0.34615384615384615, 0.3076923076923077, 0.28846153846153844, 0.038461538461538464, 0.019230769230769232, 0.0], [0.29411764705882354, 0.2549019607843137, 0.39215686274509803, 0.0392156862745098, 0.0196078431372549, 0.0], [0.4482758620689655, 0.2413793103448276, 0.2413793103448276, 0.05172413793103448, 0.017241379310344827, 0.0], [0.42857142857142855, 0.2857142857142857, 0.2857142857142857, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5199999809265137, 0.6399999856948853, 0.36000001430511475, 0.3199999928474426, 0.7799999713897705]"
ABB,Industrial Goods,LSTM,multiclass,1,0.12063679063679063,0.20100502512562815,-0.0009632565779611468,,,,-0.06562187378754293,0.4803921568627451,0.47115384615384615,0.49,0.46733668341708545,1196,798,199,199,18,"[[0, 0, 2, 2, 0, 0], [9, 2, 6, 24, 0, 0], [7, 7, 11, 27, 2, 0], [10, 8, 5, 25, 0, 0], [8, 7, 11, 18, 2, 0], [1, 0, 1, 4, 0, 0]]","[[0.0, 0.0, 0.5, 0.5, 0.0, 0.0], [0.21951219512195122, 0.04878048780487805, 0.14634146341463414, 0.5853658536585366, 0.0, 0.0], [0.12962962962962962, 0.12962962962962962, 0.2037037037037037, 0.5, 0.037037037037037035, 0.0], [0.20833333333333334, 0.16666666666666666, 0.10416666666666667, 0.5208333333333334, 0.0, 0.0], [0.17391304347826086, 0.15217391304347827, 0.2391304347826087, 0.391304347826087, 0.043478260869565216, 0.0], [0.16666666666666666, 0.0, 0.16666666666666666, 0.6666666666666666, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.800000011920929, 0.41999998688697815, 0.5400000214576721, 0.6399999856948853, 0.800000011920929]"
ABBV,Healthcare,LSTM,multiclass,1,0.1239872752659383,0.14594594594594595,-0.0090551245957613,,,,-0.07438355504016189,0.29333333333333333,0.5116279069767442,0.205607476635514,0.42702702702702705,1115,744,186,185,49,"[[2, 0, 1, 0, 1, 0], [9, 6, 4, 1, 2, 3], [16, 7, 12, 5, 6, 3], [24, 10, 5, 3, 3, 4], [19, 14, 11, 4, 4, 4], [1, 0, 1, 0, 0, 0]]","[[0.5, 0.0, 0.25, 0.0, 0.25, 0.0], [0.36, 0.24, 0.16, 0.04, 0.08, 0.12], [0.32653061224489793, 0.14285714285714285, 0.24489795918367346, 0.10204081632653061, 0.12244897959183673, 0.061224489795918366], [0.4897959183673469, 0.20408163265306123, 0.10204081632653061, 0.061224489795918366, 0.061224489795918366, 0.08163265306122448], [0.3392857142857143, 0.25, 0.19642857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142], [0.5, 0.0, 0.5, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5600000023841858, 0.5, 0.5400000214576721, 0.3199999928474426, 0.3799999952316284]"
AEP,Utilities,LSTM,multiclass,1,0.15173111862331842,0.23115577889447236,-0.0009175604209303856,,,,-0.04700232765447295,0.6311787072243346,0.5496688741721855,0.7410714285714286,0.5125628140703518,1196,798,199,199,30,"[[0, 0, 1, 0, 0, 0], [0, 1, 7, 18, 9, 0], [0, 0, 10, 30, 11, 0], [0, 0, 15, 26, 7, 0], [0, 0, 14, 41, 9, 0], [0, 0, 0, 0, 0, 0]]","[[0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.02857142857142857, 0.2, 0.5142857142857142, 0.2571428571428571, 0.0], [0.0, 0.0, 0.19607843137254902, 0.5882352941176471, 0.21568627450980393, 0.0], [0.0, 0.0, 0.3125, 0.5416666666666666, 0.14583333333333334, 0.0], [0.0, 0.0, 0.21875, 0.640625, 0.140625, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.47999998927116394, 0.3799999952316284, 0.4000000059604645, 0.36000001430511475, 0.7200000286102295]"
AGFS,Conglomerates,LSTM,multiclass,1,0.09100529100529102,0.19811320754716982,-0.0003727487928699702,,,,0.0,0.0,0.0,0.0,0.4716981132075472,639,427,106,106,21,"[[17, 2, 0, 0, 0, 0], [15, 4, 2, 0, 0, 0], [8, 2, 0, 0, 0, 0], [6, 1, 0, 0, 0, 0], [20, 3, 1, 0, 0, 0], [20, 3, 2, 0, 0, 0]]","[[0.8947368421052632, 0.10526315789473684, 0.0, 0.0, 0.0, 0.0], [0.7142857142857143, 0.19047619047619047, 0.09523809523809523, 0.0, 0.0, 0.0], [0.8, 0.2, 0.0, 0.0, 0.0, 0.0], [0.8571428571428571, 0.14285714285714285, 0.0, 0.0, 0.0, 0.0], [0.8333333333333334, 0.125, 0.041666666666666664, 0.0, 0.0, 0.0], [0.8, 0.12, 0.08, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.800000011920929, 0.800000011920929, 0.7799999713897705, 0.5, 0.5600000023841858]"
AMGN,Healthcare,LSTM,multiclass,1,0.09345321172019065,0.15577889447236182,-0.005662751384079456,,,,-0.11539017057981947,0.20689655172413793,0.42857142857142855,0.13636363636363635,0.4221105527638191,1196,798,199,199,17,"[[0, 4, 0, 3, 0, 0], [5, 23, 5, 5, 1, 3], [7, 20, 5, 3, 0, 5], [9, 24, 6, 1, 2, 2], [9, 30, 9, 5, 2, 3], [3, 4, 1, 0, 0, 0]]","[[0.0, 0.5714285714285714, 0.0, 0.42857142857142855, 0.0, 0.0], [0.11904761904761904, 0.5476190476190477, 0.11904761904761904, 0.11904761904761904, 0.023809523809523808, 0.07142857142857142], [0.175, 0.5, 0.125, 0.075, 0.0, 0.125], [0.20454545454545456, 0.5454545454545454, 0.13636363636363635, 0.022727272727272728, 0.045454545454545456, 0.045454545454545456], [0.15517241379310345, 0.5172413793103449, 0.15517241379310345, 0.08620689655172414, 0.034482758620689655, 0.05172413793103448], [0.375, 0.5, 0.125, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5199999809265137, 0.5400000214576721, 0.5, 0.5, 0.41999998688697815]"
AMZN,Services,LSTM,multiclass,1,0.12952753566232028,0.22110552763819097,0.005046299193054438,,,,-0.0783185700297674,0.6319702602230484,0.5379746835443038,0.7657657657657657,0.5025125628140703,1196,798,199,199,20,"[[0, 0, 1, 0, 5, 0], [0, 1, 4, 23, 13, 0], [0, 2, 7, 16, 16, 0], [1, 0, 8, 15, 18, 0], [2, 0, 14, 26, 21, 0], [1, 0, 0, 5, 0, 0]]","[[0.0, 0.0, 0.16666666666666666, 0.0, 0.8333333333333334, 0.0], [0.0, 0.024390243902439025, 0.0975609756097561, 0.5609756097560976, 0.3170731707317073, 0.0], [0.0, 0.04878048780487805, 0.17073170731707318, 0.3902439024390244, 0.3902439024390244, 0.0], [0.023809523809523808, 0.0, 0.19047619047619047, 0.35714285714285715, 0.42857142857142855, 0.0], [0.031746031746031744, 0.0, 0.2222222222222222, 0.4126984126984127, 0.3333333333333333, 0.0], [0.16666666666666666, 0.0, 0.0, 0.8333333333333334, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6800000071525574, 0.5400000214576721, 0.5199999809265137, 0.5400000214576721, 0.5400000214576721]"
BA,Industrial Goods,LSTM,multiclass,1,0.026605984515589032,0.03015075376884422,-0.01591075025498867,,,,0.08089776083023388,0.032520325203252036,1.0,0.01652892561983471,0.4020100502512563,1196,798,199,199,28,"[[2, 0, 0, 0, 0, 0], [36, 3, 0, 0, 0, 0], [32, 5, 0, 0, 0, 0], [45, 5, 1, 1, 0, 0], [56, 8, 0, 1, 0, 0], [4, 0, 0, 0, 0, 0]]","[[1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.9230769230769231, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0], [0.8648648648648649, 0.13513513513513514, 0.0, 0.0, 0.0, 0.0], [0.8653846153846154, 0.09615384615384616, 0.019230769230769232, 0.019230769230769232, 0.0, 0.0], [0.8615384615384616, 0.12307692307692308, 0.0, 0.015384615384615385, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.46000000834465027, 0.5400000214576721, 0.46000000834465027, 0.3799999952316284, 0.46000000834465027]"
BABA,Services,LSTM,multiclass,1,0.1367984000695622,0.22123893805309736,0.0038753978442400694,,,,0.09564760689123518,0.6712328767123288,0.6049382716049383,0.7538461538461538,0.5752212389380531,683,456,114,113,39,"[[0, 2, 0, 0, 3, 0], [1, 0, 5, 6, 8, 2], [1, 1, 6, 4, 9, 0], [0, 0, 3, 4, 14, 0], [2, 0, 5, 4, 15, 2], [1, 1, 4, 2, 8, 0]]","[[0.0, 0.4, 0.0, 0.0, 0.6, 0.0], [0.045454545454545456, 0.0, 0.22727272727272727, 0.2727272727272727, 0.36363636363636365, 0.09090909090909091], [0.047619047619047616, 0.047619047619047616, 0.2857142857142857, 0.19047619047619047, 0.42857142857142855, 0.0], [0.0, 0.0, 0.14285714285714285, 0.19047619047619047, 0.6666666666666666, 0.0], [0.07142857142857142, 0.0, 0.17857142857142858, 0.14285714285714285, 0.5357142857142857, 0.07142857142857142], [0.0625, 0.0625, 0.25, 0.125, 0.5, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7799999713897705, 0.5600000023841858, 0.47999998927116394, 0.4399999976158142, 0.4000000059604645]"
BAC,Financial,LSTM,multiclass,1,0.014423076923076922,0.04522613065326633,-0.02133004739880562,,,,0.0,0.0,0.0,0.0,0.5376884422110553,1196,798,199,199,29,"[[9, 0, 0, 0, 0, 0], [50, 0, 0, 0, 0, 0], [48, 0, 0, 0, 0, 0], [28, 0, 0, 0, 0, 0], [47, 0, 0, 0, 0, 0], [17, 0, 0, 0, 0, 0]]","[[1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.800000011920929, 0.800000011920929, 0.7200000286102295, 0.7599999904632568, 0.800000011920929]"
