company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,LSTM,multiclass,12,1,1,0.6989643887469643,0.662887441752544,798,199,199
AAPL,Consumer Goods,LSTM,multiclass,12,1,2,0.6868977442122343,0.6540680824212692,798,199,199
AAPL,Consumer Goods,LSTM,multiclass,12,1,3,0.6740707952277105,0.6668526629107682,798,199,199
AAPL,Consumer Goods,LSTM,multiclass,12,1,4,0.6639653054395116,0.6938037117521967,798,199,199
AAPL,Consumer Goods,LSTM,multiclass,12,1,5,0.6641668288928823,0.7060175900483251,798,199,199
AAPL,Consumer Goods,LSTM,multiclass,12,1,6,0.6579974596960503,0.7013808845275611,798,199,199
AAPL,Consumer Goods,LSTM,multiclass,12,1,7,0.650247821831763,0.7029955168465274,798,199,199
AAPL,Consumer Goods,LSTM,multiclass,12,1,8,0.6492309800365514,0.6728070360332278,798,199,199
AAPL,Consumer Goods,LSTM,multiclass,12,1,9,0.6494482661548414,0.702291462289628,798,199,199
AAPL,Consumer Goods,LSTM,multiclass,12,1,10,0.6422575736105591,0.6891541193478071,798,199,199
AAPL,Consumer Goods,LSTM,multiclass,12,1,11,0.6402103882983214,0.6890959380260065,798,199,199
AAPL,Consumer Goods,LSTM,multiclass,12,1,12,0.629822525912359,0.6913029362807921,798,199,199
AAPL,Consumer Goods,LSTM,multiclass,12,1,13,0.6309265531692887,0.686186401388753,798,199,199
AAPL,Consumer Goods,LSTM,multiclass,12,1,14,0.6293891309795523,0.6791864597617682,798,199,199
AAPL,Consumer Goods,LSTM,multiclass,12,1,15,0.609382540809182,0.7029576541191369,798,199,199
AAPL,Consumer Goods,LSTM,multiclass,12,1,16,0.6189817819081452,0.692869860622751,798,199,199
AAPL,Consumer Goods,LSTM,multiclass,12,1,17,0.6121441594938886,0.7005855180510324,798,199,199
ABB,Industrial Goods,LSTM,multiclass,12,1,1,0.6942379138523475,0.6968767708869436,798,199,199
