company,sector,model_type,problem_type,horizon_steps,macro_f1,micro_accuracy,expected_return_mean,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,confusion_matrix,confusion_matrix_normalized,bucket_edges,bucket_labels,taus
AAPL,Consumer Goods,BiGRU,multiclass,1,0.07151211361737676,0.109375,0.004857273772358894,,,,-0.08571428571428572,0.23809523809523808,0.35714285714285715,0.17857142857142858,0.5,947,398,42,64,25,"[[4, 1, 0, 0, 1, 1], [11, 2, 0, 0, 2, 4], [6, 3, 0, 0, 0, 1], [4, 2, 1, 0, 0, 1], [6, 2, 3, 0, 1, 3], [4, 1, 0, 0, 0, 0]]","[[0.5714285714285714, 0.14285714285714285, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285], [0.5789473684210527, 0.10526315789473684, 0.0, 0.0, 0.10526315789473684, 0.21052631578947367], [0.6, 0.3, 0.0, 0.0, 0.0, 0.1], [0.5, 0.25, 0.125, 0.0, 0.0, 0.125], [0.4, 0.13333333333333333, 0.2, 0.0, 0.06666666666666667, 0.2], [0.8, 0.2, 0.0, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.8543229103088379, 0.7573510408401489, 0.6846221089363098, 0.5149213075637817, 0.5149213075637817]"
ABB,Industrial Goods,BiGRU,multiclass,1,0.13552511415525115,0.34375,-0.001961824717000127,,,,0.1755955280025067,0.23809523809523808,0.8333333333333334,0.1388888888888889,0.5,947,398,42,64,12,"[[0, 3, 0, 0, 0, 0], [0, 18, 0, 0, 1, 0], [0, 6, 0, 0, 0, 0], [0, 14, 0, 0, 1, 0], [0, 11, 4, 0, 4, 0], [0, 2, 0, 0, 0, 0]]","[[0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.9473684210526315, 0.0, 0.0, 0.05263157894736842, 0.0], [0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.9333333333333333, 0.0, 0.0, 0.06666666666666667, 0.0], [0.0, 0.5789473684210527, 0.21052631578947367, 0.0, 0.21052631578947367, 0.0], [0.0, 1.0, 0.0, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6361361742019653, 0.66037917137146, 0.5149213075637817, 0.39370647072792053, 0.3694635033607483]"
ABBV,Healthcare,BiGRU,multiclass,1,0.1395450103965058,0.21875,0.0002492981730028987,,,,0.20321305705762227,0.5666666666666667,0.6538461538461539,0.5,0.59375,866,341,42,64,13,"[[7, 0, 0, 0, 1, 3], [9, 1, 0, 0, 4, 1], [4, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 2], [10, 0, 0, 0, 1, 8], [3, 1, 0, 0, 1, 5]]","[[0.6363636363636364, 0.0, 0.0, 0.0, 0.09090909090909091, 0.2727272727272727], [0.6, 0.06666666666666667, 0.0, 0.0, 0.26666666666666666, 0.06666666666666667], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.6, 0.0, 0.0, 0.0, 0.0, 0.4], [0.5263157894736842, 0.0, 0.0, 0.0, 0.05263157894736842, 0.42105263157894735], [0.3, 0.1, 0.0, 0.0, 0.1, 0.5]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.8058369755744934, 0.6846221089363098, 0.6118932366371155, 0.4906783699989319, 0.4421924352645874]"
AEP,Utilities,BiGRU,multiclass,1,0.12564102564102567,0.203125,0.00797367189079523,,,,0.10981749844451165,0.6582278481012658,0.6341463414634146,0.6842105263157895,0.578125,947,398,42,64,32,"[[0, 0, 1, 2, 1, 1], [1, 0, 6, 3, 0, 0], [0, 0, 3, 6, 1, 1], [1, 0, 4, 9, 0, 1], [1, 1, 4, 8, 0, 5], [0, 0, 1, 2, 0, 1]]","[[0.0, 0.0, 0.2, 0.4, 0.2, 0.2], [0.1, 0.0, 0.6, 0.3, 0.0, 0.0], [0.0, 0.0, 0.2727272727272727, 0.5454545454545454, 0.09090909090909091, 0.09090909090909091], [0.06666666666666667, 0.0, 0.26666666666666666, 0.6, 0.0, 0.06666666666666667], [0.05263157894736842, 0.05263157894736842, 0.21052631578947367, 0.42105263157894735, 0.0, 0.2631578947368421], [0.0, 0.0, 0.25, 0.5, 0.0, 0.25]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.8058369755744934, 0.5391643047332764, 0.5149213075637817, 0.7815939784049988, 0.7573510408401489]"
AMGN,Healthcare,BiGRU,multiclass,1,0.10983692214613755,0.171875,-0.008797970600426197,,,,0.20814079896736404,0.27906976744186046,0.8571428571428571,0.16666666666666666,0.515625,947,398,42,64,15,"[[6, 0, 0, 0, 0, 0], [14, 1, 0, 0, 1, 0], [6, 0, 0, 0, 0, 0], [9, 0, 0, 0, 0, 0], [13, 0, 0, 0, 4, 0], [8, 0, 0, 1, 1, 0]]","[[1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.875, 0.0625, 0.0, 0.0, 0.0625, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.7647058823529411, 0.0, 0.0, 0.0, 0.23529411764705882, 0.0], [0.8, 0.0, 0.0, 0.1, 0.1, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.8543229103088379, 0.66037917137146, 0.563407301902771, 0.4906783699989319, 0.8543229103088379]"
AMZN,Services,BiGRU,multiclass,1,0.1816971544715447,0.25,0.011823303066194057,,,,-0.018122009407318746,0.6265060240963856,0.5416666666666666,0.7428571428571429,0.515625,947,398,42,64,14,"[[0, 0, 2, 0, 0, 2], [0, 0, 3, 1, 3, 8], [0, 0, 2, 0, 2, 6], [0, 1, 1, 1, 0, 3], [0, 0, 4, 2, 7, 4], [0, 0, 3, 0, 3, 6]]","[[0.0, 0.0, 0.5, 0.0, 0.0, 0.5], [0.0, 0.0, 0.2, 0.06666666666666667, 0.2, 0.5333333333333333], [0.0, 0.0, 0.2, 0.0, 0.2, 0.6], [0.0, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0, 0.5], [0.0, 0.0, 0.23529411764705882, 0.11764705882352941, 0.4117647058823529, 0.23529411764705882], [0.0, 0.0, 0.25, 0.0, 0.25, 0.5]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.8058369755744934, 0.3694635033607483, 0.5391643047332764, 0.5391643047332764, 0.4906783699989319]"
BA,Industrial Goods,BiGRU,multiclass,1,0.14511029630195468,0.21875,-0.003738352097570896,,,,0.24913643956121992,0.32558139534883723,0.875,0.2,0.546875,947,398,42,64,16,"[[2, 2, 0, 0, 0, 0], [5, 9, 0, 0, 0, 0], [2, 7, 1, 1, 0, 0], [2, 6, 1, 0, 1, 0], [3, 12, 0, 4, 2, 0], [1, 3, 0, 0, 0, 0]]","[[0.5, 0.5, 0.0, 0.0, 0.0, 0.0], [0.35714285714285715, 0.6428571428571429, 0.0, 0.0, 0.0, 0.0], [0.18181818181818182, 0.6363636363636364, 0.09090909090909091, 0.09090909090909091, 0.0, 0.0], [0.2, 0.6, 0.1, 0.0, 0.1, 0.0], [0.14285714285714285, 0.5714285714285714, 0.0, 0.19047619047619047, 0.09523809523809523, 0.0], [0.25, 0.75, 0.0, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.8300799131393433, 0.39370647072792053, 0.7573510408401489, 0.4179494380950928, 0.8300799131393433]"
BAC,Financial,BiGRU,multiclass,1,0.09082355816226784,0.109375,-0.005411546677350998,,,,0.05088020923938863,0.18181818181818182,0.5,0.1111111111111111,0.578125,947,398,42,64,15,"[[2, 2, 1, 0, 0, 0], [16, 2, 1, 1, 0, 0], [6, 2, 2, 1, 1, 0], [2, 1, 2, 0, 0, 0], [7, 4, 1, 0, 1, 0], [6, 0, 1, 1, 1, 0]]","[[0.4, 0.4, 0.2, 0.0, 0.0, 0.0], [0.8, 0.1, 0.05, 0.05, 0.0, 0.0], [0.5, 0.16666666666666666, 0.16666666666666666, 0.08333333333333333, 0.08333333333333333, 0.0], [0.4, 0.2, 0.4, 0.0, 0.0, 0.0], [0.5384615384615384, 0.3076923076923077, 0.07692307692307693, 0.0, 0.07692307692307693, 0.0], [0.6666666666666666, 0.0, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.8543229103088379, 0.8300799131393433, 0.3694635033607483, 0.39370647072792053, 0.7815939784049988]"
BBL,Basic Matierials,BiGRU,multiclass,1,0.09890622915832999,0.171875,0.01350286602973938,,,,0.04645240022848054,0.5277777777777778,0.40425531914893614,0.76,0.46875,947,398,42,64,14,"[[5, 0, 0, 0, 3, 12], [3, 0, 0, 0, 1, 8], [3, 0, 0, 0, 1, 3], [0, 0, 0, 0, 1, 0], [1, 1, 0, 0, 1, 9], [2, 1, 1, 1, 2, 5]]","[[0.25, 0.0, 0.0, 0.0, 0.15, 0.6], [0.25, 0.0, 0.0, 0.0, 0.08333333333333333, 0.6666666666666666], [0.42857142857142855, 0.0, 0.0, 0.0, 0.14285714285714285, 0.42857142857142855], [0.0, 0.0, 0.0, 0.0, 1.0, 0.0], [0.08333333333333333, 0.08333333333333333, 0.0, 0.0, 0.08333333333333333, 0.75], [0.16666666666666666, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.16666666666666666, 0.4166666666666667]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.8300799131393433, 0.7088651061058044, 0.66037917137146, 0.5391643047332764, 0.4906783699989319]"
BCH,Financial,BiGRU,multiclass,1,0.11444925444925443,0.125,0.012205542996525764,,,,-0.03163859985841663,0.4406779661016949,0.40625,0.48148148148148145,0.484375,947,398,42,64,17,"[[1, 0, 1, 1, 0, 1], [4, 2, 2, 1, 0, 11], [5, 1, 2, 2, 1, 2], [4, 0, 1, 0, 0, 3], [3, 2, 3, 1, 1, 6], [1, 0, 0, 0, 0, 2]]","[[0.25, 0.0, 0.25, 0.25, 0.0, 0.25], [0.2, 0.1, 0.1, 0.05, 0.0, 0.55], [0.38461538461538464, 0.07692307692307693, 0.15384615384615385, 0.15384615384615385, 0.07692307692307693, 0.15384615384615385], [0.5, 0.0, 0.125, 0.0, 0.0, 0.375], [0.1875, 0.125, 0.1875, 0.0625, 0.0625, 0.375], [0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.6666666666666666]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.8543229103088379, 0.8058369755744934, 0.8300799131393433, 0.6846221089363098, 0.7088651061058044]"
