company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,GRU,multiclass,15,1,1,2.0511572669498883,3.1990835666656494,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,2,1.9397697068339017,3.0389652252197266,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,3,1.8537883983185544,2.8364169597625732,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,4,1.7611666330740081,2.5870401859283447,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,5,1.6469955710909474,2.301978349685669,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,6,1.598588144659397,2.019277334213257,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,7,1.5624271634236053,1.777671456336975,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,8,1.4990832545050425,1.5781000852584839,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,9,1.445904145288707,1.4326212406158447,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,10,1.2940071647490687,1.3461755514144897,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,11,1.307842384930232,1.2860381603240967,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,12,1.293830901534114,1.2595878839492798,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,13,1.2126977344853196,1.2953628301620483,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,14,1.2025744256062723,1.3678032159805298,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,15,1.1248875477505689,1.403395652770996,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,16,1.0958394156628517,1.4531768560409546,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,17,1.1746925332737927,1.470828890800476,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,18,0.9826412939246575,1.4721750020980835,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,19,1.0613098289798852,1.542150855064392,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,20,1.007152855845552,1.6524136066436768,398,42,64
ABB,Industrial Goods,GRU,multiclass,15,1,1,2.067557019803991,2.194236993789673,398,42,64
ABB,Industrial Goods,GRU,multiclass,15,1,2,1.9268768277000543,2.0636250972747803,398,42,64
ABB,Industrial Goods,GRU,multiclass,15,1,3,1.8715524302056088,1.9338983297348022,398,42,64
ABB,Industrial Goods,GRU,multiclass,15,1,4,1.7692690165198628,1.7860380411148071,398,42,64
ABB,Industrial Goods,GRU,multiclass,15,1,5,1.6627912551314388,1.6539783477783203,398,42,64
ABB,Industrial Goods,GRU,multiclass,15,1,6,1.5914216053545776,1.4940847158432007,398,42,64
ABB,Industrial Goods,GRU,multiclass,15,1,7,1.474275095977975,1.3413479328155518,398,42,64
ABB,Industrial Goods,GRU,multiclass,15,1,8,1.4371644695799555,1.2165030241012573,398,42,64
ABB,Industrial Goods,GRU,multiclass,15,1,9,1.35474074126488,1.134676218032837,398,42,64
ABB,Industrial Goods,GRU,multiclass,15,1,10,1.377335387857715,1.1049036979675293,398,42,64
ABB,Industrial Goods,GRU,multiclass,15,1,11,1.2544988890988145,1.1254578828811646,398,42,64
ABB,Industrial Goods,GRU,multiclass,15,1,12,1.232476367123762,1.1702642440795898,398,42,64
ABB,Industrial Goods,GRU,multiclass,15,1,13,1.186321714715143,1.2276626825332642,398,42,64
ABB,Industrial Goods,GRU,multiclass,15,1,14,1.1747724312034684,1.2871325016021729,398,42,64
ABB,Industrial Goods,GRU,multiclass,15,1,15,1.0928871143403365,1.3277238607406616,398,42,64
ABB,Industrial Goods,GRU,multiclass,15,1,16,1.085969384591184,1.3387069702148438,398,42,64
ABB,Industrial Goods,GRU,multiclass,15,1,17,1.043071671646444,1.3378736972808838,398,42,64
ABB,Industrial Goods,GRU,multiclass,15,1,18,0.9505112084312055,1.3446846008300781,398,42,64
ABB,Industrial Goods,GRU,multiclass,15,1,19,1.035163235724272,1.357757568359375,398,42,64
ABB,Industrial Goods,GRU,multiclass,15,1,20,0.9315691515428937,1.363633394241333,398,42,64
ABBV,Healthcare,GRU,multiclass,15,1,1,1.9637955340734061,1.7344995737075806,331,42,64
ABBV,Healthcare,GRU,multiclass,15,1,2,1.8472156956836896,1.6974815130233765,331,42,64
ABBV,Healthcare,GRU,multiclass,15,1,3,1.796103871120787,1.653941035270691,331,42,64
ABBV,Healthcare,GRU,multiclass,15,1,4,1.750467057314524,1.6016597747802734,331,42,64
ABBV,Healthcare,GRU,multiclass,15,1,5,1.7206161526394754,1.536516547203064,331,42,64
ABBV,Healthcare,GRU,multiclass,15,1,6,1.660891618973539,1.4622814655303955,331,42,64
ABBV,Healthcare,GRU,multiclass,15,1,7,1.5759121554135556,1.3817270994186401,331,42,64
ABBV,Healthcare,GRU,multiclass,15,1,8,1.5553785540906324,1.2983516454696655,331,42,64
ABBV,Healthcare,GRU,multiclass,15,1,9,1.5188278734143768,1.216057538986206,331,42,64
ABBV,Healthcare,GRU,multiclass,15,1,10,1.4672650037575343,1.1403818130493164,331,42,64
ABBV,Healthcare,GRU,multiclass,15,1,11,1.4127352410572893,1.0725040435791016,331,42,64
ABBV,Healthcare,GRU,multiclass,15,1,12,1.3691014361165441,1.0171083211898804,331,42,64
ABBV,Healthcare,GRU,multiclass,15,1,13,1.311220742424449,0.9706533551216125,331,42,64
ABBV,Healthcare,GRU,multiclass,15,1,14,1.2727466189609193,0.9384658932685852,331,42,64
ABBV,Healthcare,GRU,multiclass,15,1,15,1.233665884261405,0.9178112149238586,331,42,64
ABBV,Healthcare,GRU,multiclass,15,1,16,1.187096932503392,0.9043462872505188,331,42,64
ABBV,Healthcare,GRU,multiclass,15,1,17,1.1584625879803454,0.8967340588569641,331,42,64
ABBV,Healthcare,GRU,multiclass,15,1,18,1.1181348598255492,0.89373779296875,331,42,64
ABBV,Healthcare,GRU,multiclass,15,1,19,1.0935927269321915,0.892660915851593,331,42,64
ABBV,Healthcare,GRU,multiclass,15,1,20,1.0285678599536239,0.8926710486412048,331,42,64
AEP,Utilities,GRU,multiclass,15,1,1,2.0354030527661195,2.3135547637939453,398,42,64
AEP,Utilities,GRU,multiclass,15,1,2,1.9313446229426705,2.306370973587036,398,42,64
AEP,Utilities,GRU,multiclass,15,1,3,1.8943192946850953,2.2807016372680664,398,42,64
AEP,Utilities,GRU,multiclass,15,1,4,1.8081941556690926,2.2372512817382812,398,42,64
AEP,Utilities,GRU,multiclass,15,1,5,1.757985561936345,2.1603169441223145,398,42,64
