company,sector,model_type,problem_type,horizon_steps,macro_f1,micro_accuracy,expected_return_mean,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,confusion_matrix,confusion_matrix_normalized,bucket_edges,bucket_labels,taus
AAPL,Consumer Goods,GRU,multiclass,5,0.1522331154684096,0.28125,0.00020167359616607428,,,,-0.12635708425057254,0.2553191489361702,0.375,0.1935483870967742,0.453125,933,398,42,64,21,"[[15, 1, 0, 0, 1, 6], [4, 0, 1, 1, 1, 0], [2, 0, 0, 1, 0, 0], [3, 0, 0, 1, 0, 1], [8, 0, 0, 1, 2, 1], [13, 0, 1, 0, 0, 0]]","[[0.6521739130434783, 0.043478260869565216, 0.0, 0.0, 0.043478260869565216, 0.2608695652173913], [0.5714285714285714, 0.0, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.0], [0.6666666666666666, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0], [0.6, 0.0, 0.0, 0.2, 0.0, 0.2], [0.6666666666666666, 0.0, 0.0, 0.08333333333333333, 0.16666666666666666, 0.08333333333333333], [0.9285714285714286, 0.0, 0.07142857142857142, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.8070031404495239, 0.6197880506515503, 0.6197880506515503, 0.5781846642494202, 0.5573830008506775]"
ABB,Industrial Goods,GRU,multiclass,5,0.19374416433239963,0.265625,0.009210687130689621,,,,0.2915201088653453,0.3888888888888889,0.7777777777777778,0.25925925925925924,0.65625,933,398,42,64,21,"[[6, 7, 2, 1, 0, 0], [8, 7, 2, 0, 0, 0], [0, 2, 1, 1, 0, 0], [3, 0, 0, 0, 0, 0], [3, 3, 2, 0, 3, 0], [3, 3, 3, 1, 3, 0]]","[[0.375, 0.4375, 0.125, 0.0625, 0.0, 0.0], [0.47058823529411764, 0.4117647058823529, 0.11764705882352941, 0.0, 0.0, 0.0], [0.0, 0.5, 0.25, 0.25, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.2727272727272727, 0.2727272727272727, 0.18181818181818182, 0.0, 0.2727272727272727, 0.0], [0.23076923076923078, 0.23076923076923078, 0.23076923076923078, 0.07692307692307693, 0.23076923076923078, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7445980906486511, 0.8070031404495239, 0.7029947638511658, 0.6197880506515503, 0.5781846642494202]"
ABBV,Healthcare,GRU,multiclass,5,0.19494295405488746,0.375,0.01343195978552103,,,,0.38331077069024155,0.6865671641791045,0.5897435897435898,0.8214285714285714,0.671875,852,331,42,64,21,"[[14, 0, 2, 1, 1, 6], [3, 0, 0, 1, 1, 2], [1, 0, 0, 0, 2, 2], [1, 0, 0, 0, 0, 1], [3, 0, 0, 0, 2, 6], [1, 0, 0, 0, 6, 8]]","[[0.5833333333333334, 0.0, 0.08333333333333333, 0.041666666666666664, 0.041666666666666664, 0.25], [0.42857142857142855, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857], [0.2, 0.0, 0.0, 0.0, 0.4, 0.4], [0.5, 0.0, 0.0, 0.0, 0.0, 0.5], [0.2727272727272727, 0.0, 0.0, 0.0, 0.18181818181818182, 0.5454545454545454], [0.06666666666666667, 0.0, 0.0, 0.0, 0.4, 0.5333333333333333]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7445980906486511, 0.8070031404495239, 0.6613913774490356, 0.4325729310512543, 0.7445980906486511]"
AEP,Utilities,GRU,multiclass,5,0.2184013868390845,0.296875,-0.006966513115912676,,,,0.4879500364742666,0.7,0.875,0.5833333333333334,0.71875,933,398,42,64,27,"[[6, 1, 0, 0, 2, 0], [6, 5, 1, 0, 1, 0], [5, 1, 0, 0, 0, 0], [4, 2, 0, 0, 2, 1], [2, 2, 0, 0, 6, 3], [2, 3, 0, 0, 7, 2]]","[[0.6666666666666666, 0.1111111111111111, 0.0, 0.0, 0.2222222222222222, 0.0], [0.46153846153846156, 0.38461538461538464, 0.07692307692307693, 0.0, 0.07692307692307693, 0.0], [0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0], [0.4444444444444444, 0.2222222222222222, 0.0, 0.0, 0.2222222222222222, 0.1111111111111111], [0.15384615384615385, 0.15384615384615385, 0.0, 0.0, 0.46153846153846156, 0.23076923076923078], [0.14285714285714285, 0.21428571428571427, 0.0, 0.0, 0.5, 0.14285714285714285]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.45337459444999695, 0.474176287651062, 0.39096954464912415, 0.286961168050766, 0.6197880506515503]"
AMGN,Healthcare,GRU,multiclass,5,0.08228936379267994,0.203125,-0.018036335706710815,,,,0.3053085028172769,0.4166666666666667,0.9090909090909091,0.2702702702702703,0.5625,933,398,42,64,21,"[[12, 0, 0, 0, 0, 0], [7, 0, 0, 0, 0, 0], [7, 0, 0, 1, 0, 0], [2, 0, 0, 0, 0, 0], [8, 1, 3, 1, 0, 0], [11, 0, 2, 7, 1, 1]]","[[1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.875, 0.0, 0.0, 0.125, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.6153846153846154, 0.07692307692307693, 0.23076923076923078, 0.07692307692307693, 0.0, 0.0], [0.5, 0.0, 0.09090909090909091, 0.3181818181818182, 0.045454545454545456, 0.045454545454545456]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5157796144485474, 0.37016788125038147, 0.286961168050766, 0.4117712378501892, 0.3493661880493164]"
AMZN,Services,GRU,multiclass,5,0.039272030651340994,0.078125,-0.0055396053940057755,,,,0.1106007806555201,0.20408163265306123,0.8333333333333334,0.11627906976744186,0.390625,933,398,42,64,21,"[[4, 0, 5, 0, 0, 0], [7, 0, 2, 1, 0, 0], [2, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0], [5, 0, 5, 3, 0, 1], [19, 0, 7, 0, 0, 1]]","[[0.4444444444444444, 0.0, 0.5555555555555556, 0.0, 0.0, 0.0], [0.7, 0.0, 0.2, 0.1, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.35714285714285715, 0.0, 0.35714285714285715, 0.21428571428571427, 0.0, 0.07142857142857142], [0.7037037037037037, 0.0, 0.25925925925925924, 0.0, 0.0, 0.037037037037037035]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.640589714050293, 0.4949779510498047, 0.4325729310512543, 0.45337459444999695, 0.3493661880493164]"
BA,Industrial Goods,GRU,multiclass,5,0.15948436916178851,0.234375,0.006684407126158476,,,,-0.07160575596310784,0.5569620253164557,0.4489795918367347,0.7333333333333333,0.453125,933,398,42,64,22,"[[6, 0, 0, 3, 2, 4], [1, 0, 0, 3, 5, 7], [0, 0, 0, 0, 2, 1], [1, 0, 0, 0, 1, 0], [2, 0, 0, 2, 4, 1], [3, 1, 1, 1, 8, 5]]","[[0.4, 0.0, 0.0, 0.2, 0.13333333333333333, 0.26666666666666666], [0.0625, 0.0, 0.0, 0.1875, 0.3125, 0.4375], [0.0, 0.0, 0.0, 0.0, 0.6666666666666666, 0.3333333333333333], [0.5, 0.0, 0.0, 0.0, 0.5, 0.0], [0.2222222222222222, 0.0, 0.0, 0.2222222222222222, 0.4444444444444444, 0.1111111111111111], [0.15789473684210525, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.42105263157894735, 0.2631578947368421]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7029947638511658, 0.5365813374519348, 0.7029947638511658, 0.37016788125038147, 0.2661594748497009]"
BAC,Financial,GRU,multiclass,5,0.07799145299145299,0.109375,0.001030872343108058,,,,-0.04054846624431496,0.28,0.5384615384615384,0.1891891891891892,0.4375,933,398,42,64,26,"[[3, 10, 0, 1, 0, 0], [5, 1, 0, 0, 4, 0], [0, 2, 0, 1, 0, 0], [0, 4, 0, 0, 0, 0], [8, 3, 0, 0, 3, 2], [6, 9, 0, 1, 1, 0]]","[[0.21428571428571427, 0.7142857142857143, 0.0, 0.07142857142857142, 0.0, 0.0], [0.5, 0.1, 0.0, 0.0, 0.4, 0.0], [0.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.5, 0.1875, 0.0, 0.0, 0.1875, 0.125], [0.35294117647058826, 0.5294117647058824, 0.0, 0.058823529411764705, 0.058823529411764705, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7862014770507812, 0.4949779510498047, 0.8070031404495239, 0.5989863276481628, 0.5157796144485474]"
BBL,Basic Matierials,GRU,multiclass,5,0.1375886524822695,0.34375,0.015965234488248825,,,,0.246629342416258,0.49122807017543857,0.35,0.8235294117647058,0.546875,933,398,42,64,21,"[[12, 2, 1, 3, 1, 20], [5, 0, 0, 0, 0, 2], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 3], [1, 0, 0, 1, 0, 10]]","[[0.3076923076923077, 0.05128205128205128, 0.02564102564102564, 0.07692307692307693, 0.02564102564102564, 0.5128205128205128], [0.7142857142857143, 0.0, 0.0, 0.0, 0.0, 0.2857142857142857], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.25, 0.0, 0.0, 0.0, 0.0, 0.75], [0.08333333333333333, 0.0, 0.0, 0.08333333333333333, 0.0, 0.8333333333333334]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7862014770507812, 0.7445980906486511, 0.7237964272499084, 0.640589714050293, 0.5365813374519348]"
BCH,Financial,GRU,multiclass,5,0.1818082788671024,0.21875,0.017629312351346016,,,,0.13483997249264842,0.46153846153846156,0.375,0.6,0.5625,933,398,42,64,21,"[[8, 2, 2, 0, 0, 8], [11, 0, 1, 1, 1, 6], [0, 0, 0, 0, 2, 2], [1, 0, 1, 2, 0, 1], [2, 0, 0, 0, 0, 5], [3, 1, 0, 0, 0, 4]]","[[0.4, 0.1, 0.1, 0.0, 0.0, 0.4], [0.55, 0.0, 0.05, 0.05, 0.05, 0.3], [0.0, 0.0, 0.0, 0.0, 0.5, 0.5], [0.2, 0.0, 0.2, 0.4, 0.0, 0.2], [0.2857142857142857, 0.0, 0.0, 0.0, 0.0, 0.7142857142857143], [0.375, 0.125, 0.0, 0.0, 0.0, 0.5]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.8070031404495239, 0.7862014770507812, 0.7862014770507812, 0.7862014770507812, 0.7237964272499084]"
