company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,LSTM,multiclass,15,1,1,1.7288137180122298,2.982281446456909,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,1,2,1.0960973327483363,2.3415684700012207,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,1,3,1.0499698667969537,1.7128511667251587,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,1,4,0.9622106770774228,1.7512117624282837,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,1,5,0.9036894040790635,1.6803489923477173,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,1,6,0.8885232072379721,1.9507910013198853,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,1,7,0.872240841238942,1.4756624698638916,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,1,8,0.9409670671026911,1.657325029373169,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,1,9,0.7997561446086845,1.4233430624008179,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,1,10,0.8436579675830189,1.1106667518615723,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,1,11,0.8483560673855058,1.1434307098388672,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,1,12,0.787589675367777,1.1618157625198364,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,1,13,0.7922702891443243,1.6886322498321533,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,1,14,0.7784839840091053,1.5768173933029175,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,1,15,0.775516115840356,1.8624681234359741,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,1,16,0.7713811402045303,1.3066751956939697,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,1,17,0.7879856209359576,1.3123867511749268,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,1,18,0.7556838066733662,2.0205724239349365,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,1,19,0.6883357390386975,2.105142116546631,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,1,20,0.7359346265169844,2.091059446334839,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,1,1,1.5840039280191738,2.058027744293213,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,1,2,1.1547123562151462,1.672705054283142,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,1,3,1.0629728732995651,1.1779016256332397,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,1,4,1.0812281454028796,1.4316657781600952,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,1,5,1.0337516252119936,1.29440176486969,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,1,6,0.9700192988817417,1.597396969795227,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,1,7,0.892227863247071,1.6817970275878906,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,1,8,0.9526479870230709,2.1200244426727295,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,1,9,0.8997944964835393,1.7076348066329956,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,1,10,0.9167938079666252,1.601434588432312,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,1,11,0.8554101993690184,1.288993000984192,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,1,12,0.7970935187148089,1.9810259342193604,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,1,13,0.7591148854500085,2.316528558731079,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,1,14,0.733561342385546,2.3114163875579834,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,1,15,0.7579718933033583,2.4478466510772705,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,1,16,0.6734907695995503,2.1570613384246826,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,1,17,0.7474639835070126,2.283740758895874,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,1,18,0.7369712531267099,2.386746644973755,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,1,19,0.7482600224078001,1.875006914138794,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,1,20,0.7537315679554963,2.132457971572876,398,42,64
ABBV,Healthcare,LSTM,multiclass,15,1,1,1.628606037070744,1.5686601400375366,331,42,64
ABBV,Healthcare,LSTM,multiclass,15,1,2,1.0912503315602904,1.3071321249008179,331,42,64
ABBV,Healthcare,LSTM,multiclass,15,1,3,1.0209259509680135,1.1470082998275757,331,42,64
ABBV,Healthcare,LSTM,multiclass,15,1,4,0.9299667259717636,1.0223015546798706,331,42,64
ABBV,Healthcare,LSTM,multiclass,15,1,5,0.9418507389431634,0.9247573018074036,331,42,64
ABBV,Healthcare,LSTM,multiclass,15,1,6,0.8971135481246648,0.8499264717102051,331,42,64
ABBV,Healthcare,LSTM,multiclass,15,1,7,0.9918020769188411,1.0108473300933838,331,42,64
ABBV,Healthcare,LSTM,multiclass,15,1,8,0.8833047194783421,1.0721714496612549,331,42,64
ABBV,Healthcare,LSTM,multiclass,15,1,9,0.9004071392681664,1.068999171257019,331,42,64
ABBV,Healthcare,LSTM,multiclass,15,1,10,0.8462886608619344,1.172581672668457,331,42,64
ABBV,Healthcare,LSTM,multiclass,15,1,11,0.8552155853038108,1.0793275833129883,331,42,64
ABBV,Healthcare,LSTM,multiclass,15,1,12,0.8616975506266799,1.1383882761001587,331,42,64
ABBV,Healthcare,LSTM,multiclass,15,1,13,0.8048490229149959,1.104565978050232,331,42,64
ABBV,Healthcare,LSTM,multiclass,15,1,14,0.851085844716997,1.055749773979187,331,42,64
ABBV,Healthcare,LSTM,multiclass,15,1,15,0.7770684548735258,1.0264595746994019,331,42,64
