company,sector,model_type,problem_type,horizon_steps,macro_f1,micro_accuracy,expected_return_mean,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,confusion_matrix,confusion_matrix_normalized,bucket_edges,bucket_labels,taus
AAPL,Consumer Goods,BiGRU,multiclass,1,0.05922431865828093,0.109375,-0.002029281109571457,,,,-0.0678326525517921,0.20512820512820512,0.36363636363636365,0.14285714285714285,0.515625,947,398,42,64,30,"[[5, 0, 0, 1, 0, 1], [12, 2, 1, 0, 0, 4], [8, 1, 0, 0, 0, 1], [7, 0, 0, 0, 0, 1], [9, 2, 1, 0, 0, 3], [5, 0, 0, 0, 0, 0]]","[[0.7142857142857143, 0.0, 0.0, 0.14285714285714285, 0.0, 0.14285714285714285], [0.631578947368421, 0.10526315789473684, 0.05263157894736842, 0.0, 0.0, 0.21052631578947367], [0.8, 0.1, 0.0, 0.0, 0.0, 0.1], [0.875, 0.0, 0.0, 0.0, 0.0, 0.125], [0.6, 0.13333333333333333, 0.06666666666666667, 0.0, 0.0, 0.2], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7367824912071228, 0.6084712147712708, 0.49182456731796265, 0.5501478910446167, 0.46849524974823]"
ABB,Industrial Goods,BiGRU,multiclass,1,0.14924812030075188,0.21875,0.002469283528625965,,,,0.29095718698132317,0.5,0.8125,0.3611111111111111,0.59375,947,398,42,64,30,"[[0, 0, 2, 0, 1, 0], [0, 6, 11, 1, 1, 0], [0, 5, 1, 0, 0, 0], [0, 3, 8, 1, 3, 0], [0, 2, 9, 2, 6, 0], [0, 0, 1, 1, 0, 0]]","[[0.0, 0.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0.0], [0.0, 0.3157894736842105, 0.5789473684210527, 0.05263157894736842, 0.05263157894736842, 0.0], [0.0, 0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0], [0.0, 0.2, 0.5333333333333333, 0.06666666666666667, 0.2, 0.0], [0.0, 0.10526315789473684, 0.47368421052631576, 0.10526315789473684, 0.3157894736842105, 0.0], [0.0, 0.0, 0.5, 0.5, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7484471201896667, 0.5034892559051514, 0.526818573474884, 0.5151538848876953, 0.596806526184082]"
ABBV,Healthcare,BiGRU,multiclass,1,0.1769280102613436,0.265625,-0.0029461905360221863,,,,0.2842974802836732,0.5714285714285714,0.7272727272727273,0.47058823529411764,0.625,866,341,42,64,30,"[[1, 6, 1, 1, 1, 1], [2, 10, 0, 0, 2, 1], [1, 3, 0, 0, 0, 0], [1, 2, 0, 0, 2, 0], [5, 5, 1, 0, 2, 6], [0, 3, 1, 1, 1, 4]]","[[0.09090909090909091, 0.5454545454545454, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091], [0.13333333333333333, 0.6666666666666666, 0.0, 0.0, 0.13333333333333333, 0.06666666666666667], [0.25, 0.75, 0.0, 0.0, 0.0, 0.0], [0.2, 0.4, 0.0, 0.0, 0.4, 0.0], [0.2631578947368421, 0.2631578947368421, 0.05263157894736842, 0.0, 0.10526315789473684, 0.3157894736842105], [0.0, 0.3, 0.1, 0.1, 0.1, 0.4]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5151538848876953, 0.6901237964630127, 0.526818573474884, 0.42183658480644226, 0.3985072672367096]"
AEP,Utilities,BiGRU,multiclass,1,0.057704706640876846,0.109375,-0.007125646807253361,,,,-0.10100707475121518,0.2692307692307692,0.5,0.18421052631578946,0.40625,947,398,42,64,30,"[[0, 4, 0, 1, 0, 0], [3, 6, 0, 1, 0, 0], [2, 4, 0, 4, 1, 0], [2, 11, 1, 0, 1, 0], [5, 9, 0, 3, 1, 1], [0, 3, 0, 1, 0, 0]]","[[0.0, 0.8, 0.0, 0.2, 0.0, 0.0], [0.3, 0.6, 0.0, 0.1, 0.0, 0.0], [0.18181818181818182, 0.36363636363636365, 0.0, 0.36363636363636365, 0.09090909090909091, 0.0], [0.13333333333333333, 0.7333333333333333, 0.06666666666666667, 0.0, 0.06666666666666667, 0.0], [0.2631578947368421, 0.47368421052631576, 0.0, 0.15789473684210525, 0.05263157894736842, 0.05263157894736842], [0.0, 0.75, 0.0, 0.25, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5034892559051514, 0.5734772086143494, 0.46849524974823, 0.6318005323410034, 0.6551298499107361]"
AMGN,Healthcare,BiGRU,multiclass,1,0.11099592231667703,0.171875,-0.01067022979259491,,,,0.2277100170213244,0.2,1.0,0.1111111111111111,0.5,947,398,42,64,30,"[[6, 0, 0, 0, 0, 0], [13, 2, 1, 0, 0, 0], [5, 1, 0, 0, 0, 0], [7, 2, 0, 0, 0, 0], [11, 3, 0, 0, 3, 0], [5, 2, 2, 0, 1, 0]]","[[1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.8125, 0.125, 0.0625, 0.0, 0.0, 0.0], [0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0], [0.7777777777777778, 0.2222222222222222, 0.0, 0.0, 0.0, 0.0], [0.6470588235294118, 0.17647058823529413, 0.0, 0.0, 0.17647058823529413, 0.0], [0.5, 0.2, 0.2, 0.0, 0.1, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7251178026199341, 0.6551298499107361, 0.49182456731796265, 0.3985072672367096, 0.526818573474884]"
AMZN,Services,BiGRU,multiclass,1,0.0628213726805276,0.171875,0.014829032123088837,,,,0.0,0.7070707070707071,0.546875,1.0,0.546875,947,398,42,64,30,"[[0, 0, 0, 0, 0, 4], [0, 0, 0, 1, 1, 13], [0, 0, 0, 0, 0, 10], [0, 0, 0, 0, 0, 6], [0, 0, 0, 0, 1, 16], [0, 0, 0, 0, 2, 10]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.8666666666666667], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.058823529411764705, 0.9411764705882353], [0.0, 0.0, 0.0, 0.0, 0.16666666666666666, 0.8333333333333334]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.3985072672367096, 0.7134531140327454, 0.6434651613235474, 0.5501478910446167, 0.49182456731796265]"
BA,Industrial Goods,BiGRU,multiclass,1,0.12207117595048629,0.15625,-0.004689924884587526,,,,0.18508449659368734,0.24390243902439024,0.8333333333333334,0.14285714285714285,0.515625,947,398,42,64,30,"[[2, 0, 2, 0, 0, 0], [9, 2, 3, 0, 0, 0], [4, 5, 1, 1, 0, 0], [3, 5, 2, 0, 0, 0], [3, 4, 9, 0, 5, 0], [1, 2, 1, 0, 0, 0]]","[[0.5, 0.0, 0.5, 0.0, 0.0, 0.0], [0.6428571428571429, 0.14285714285714285, 0.21428571428571427, 0.0, 0.0, 0.0], [0.36363636363636365, 0.45454545454545453, 0.09090909090909091, 0.09090909090909091, 0.0, 0.0], [0.3, 0.5, 0.2, 0.0, 0.0, 0.0], [0.14285714285714285, 0.19047619047619047, 0.42857142857142855, 0.0, 0.23809523809523808, 0.0], [0.25, 0.5, 0.25, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5034892559051514, 0.538483202457428, 0.3985072672367096, 0.3985072672367096, 0.46849524974823]"
BAC,Financial,BiGRU,multiclass,1,0.14263305322128852,0.171875,-0.006880202796310186,,,,0.059322539724914275,0.36363636363636365,0.47058823529411764,0.2962962962962963,0.5625,947,398,42,64,30,"[[2, 1, 1, 1, 0, 0], [9, 6, 3, 0, 2, 0], [3, 3, 0, 2, 4, 0], [1, 0, 2, 1, 1, 0], [5, 2, 3, 1, 2, 0], [3, 2, 1, 0, 3, 0]]","[[0.4, 0.2, 0.2, 0.2, 0.0, 0.0], [0.45, 0.3, 0.15, 0.0, 0.1, 0.0], [0.25, 0.25, 0.0, 0.16666666666666666, 0.3333333333333333, 0.0], [0.2, 0.0, 0.4, 0.2, 0.2, 0.0], [0.38461538461538464, 0.15384615384615385, 0.23076923076923078, 0.07692307692307693, 0.15384615384615385, 0.0], [0.3333333333333333, 0.2222222222222222, 0.1111111111111111, 0.0, 0.3333333333333333, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.4451659321784973, 0.42183658480644226, 0.3985072672367096, 0.3985072672367096, 0.5618125200271606]"
BBL,Basic Matierials,BiGRU,multiclass,1,0.1410324171952079,0.203125,0.012039895169436932,,,,0.04003550427859755,0.5074626865671642,0.40476190476190477,0.68,0.484375,947,398,42,64,30,"[[4, 1, 0, 1, 2, 12], [3, 3, 0, 0, 2, 4], [3, 0, 0, 0, 2, 2], [0, 0, 0, 0, 1, 0], [0, 3, 0, 0, 1, 8], [2, 3, 0, 0, 2, 5]]","[[0.2, 0.05, 0.0, 0.05, 0.1, 0.6], [0.25, 0.25, 0.0, 0.0, 0.16666666666666666, 0.3333333333333333], [0.42857142857142855, 0.0, 0.0, 0.0, 0.2857142857142857, 0.2857142857142857], [0.0, 0.0, 0.0, 0.0, 1.0, 0.0], [0.0, 0.25, 0.0, 0.0, 0.08333333333333333, 0.6666666666666666], [0.16666666666666666, 0.25, 0.0, 0.0, 0.16666666666666666, 0.4166666666666667]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7017884850502014, 0.7251178026199341, 0.5501478910446167, 0.4101719260215759, 0.5618125200271606]"
BCH,Financial,BiGRU,multiclass,1,0.08413561076604555,0.109375,-0.005486501380801201,,,,0.13095730467575414,0.4090909090909091,0.5294117647058824,0.3333333333333333,0.59375,947,398,42,64,30,"[[1, 2, 1, 0, 0, 0], [4, 3, 7, 5, 1, 0], [2, 7, 2, 2, 0, 0], [2, 2, 2, 1, 1, 0], [3, 5, 3, 5, 0, 0], [0, 1, 0, 2, 0, 0]]","[[0.25, 0.5, 0.25, 0.0, 0.0, 0.0], [0.2, 0.15, 0.35, 0.25, 0.05, 0.0], [0.15384615384615385, 0.5384615384615384, 0.15384615384615385, 0.15384615384615385, 0.0, 0.0], [0.25, 0.25, 0.25, 0.125, 0.125, 0.0], [0.1875, 0.3125, 0.1875, 0.3125, 0.0, 0.0], [0.0, 0.3333333333333333, 0.0, 0.6666666666666666, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7134531140327454, 0.3985072672367096, 0.49182456731796265, 0.3985072672367096, 0.3985072672367096]"
