company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,BiLSTM,multiclass,15,5,1,0.7292500153258817,0.7069949507713318,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,15,5,2,0.6856420633181854,0.7035800814628601,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,15,5,3,0.6443507668360993,0.7023470997810364,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,15,5,4,0.6322861805034043,0.7047964930534363,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,15,5,5,0.6105015969755662,0.7105028033256531,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,15,5,6,0.5908729460970241,0.7153674364089966,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,15,5,7,0.5785961852001784,0.7216963768005371,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,15,5,8,0.558214935226057,0.7286826968193054,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,15,5,9,0.5454200131809293,0.7480325698852539,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,15,5,10,0.5197928904288978,0.7646539807319641,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,15,5,11,0.5243113364406566,0.7786794900894165,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,15,5,12,0.49575609897249306,0.7880219221115112,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,15,5,13,0.5066723399725391,0.8034945726394653,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,15,5,14,0.4925451039069861,0.8122947812080383,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,15,5,15,0.4878378537432033,0.8184934854507446,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,15,5,16,0.48745513037221516,0.8243427276611328,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,15,5,1,0.8555648860020854,0.8107364773750305,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,15,5,2,0.7923274178001749,0.8116809129714966,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,15,5,3,0.7777842259287235,0.818423867225647,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,15,5,4,0.7657975290887918,0.8409342169761658,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,15,5,5,0.7400371159740429,0.8947926759719849,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,15,5,6,0.7178802849659368,0.9966046214103699,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,15,5,7,0.7098759823109038,1.1510295867919922,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,15,5,8,0.6940513921143422,1.2689284086227417,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,15,5,9,0.672111939245732,1.3708794116973877,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,15,5,10,0.6779861417248021,1.4565527439117432,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,15,5,11,0.675251332958739,1.5249768495559692,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,15,5,12,0.6687768509040526,1.5975617170333862,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,15,5,13,0.6440056620830268,1.659803032875061,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,15,5,14,0.64997436473118,1.6882532835006714,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,15,5,15,0.6475771779391035,1.7210915088653564,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,15,5,16,0.6442801023847494,1.7569469213485718,398,42,64
ABBV,Healthcare,BiLSTM,multiclass,15,5,1,0.6547260891274743,0.6761497259140015,331,42,64
ABBV,Healthcare,BiLSTM,multiclass,15,5,2,0.609063199819755,0.6674168705940247,331,42,64
ABBV,Healthcare,BiLSTM,multiclass,15,5,3,0.5838966567710807,0.6591308116912842,331,42,64
ABBV,Healthcare,BiLSTM,multiclass,15,5,4,0.5697648010225095,0.6563429832458496,331,42,64
ABBV,Healthcare,BiLSTM,multiclass,15,5,5,0.5448161576989914,0.6602776646614075,331,42,64
ABBV,Healthcare,BiLSTM,multiclass,15,5,6,0.5223882635014295,0.6731469035148621,331,42,64
ABBV,Healthcare,BiLSTM,multiclass,15,5,7,0.5106625282332257,0.7056300044059753,331,42,64
ABBV,Healthcare,BiLSTM,multiclass,15,5,8,0.5007245058919728,0.7553425431251526,331,42,64
ABBV,Healthcare,BiLSTM,multiclass,15,5,9,0.4956385374429363,0.8038427233695984,331,42,64
ABBV,Healthcare,BiLSTM,multiclass,15,5,10,0.48804229858058457,0.8589311838150024,331,42,64
ABBV,Healthcare,BiLSTM,multiclass,15,5,11,0.46432900149656564,0.8953673243522644,331,42,64
ABBV,Healthcare,BiLSTM,multiclass,15,5,12,0.4542217166402189,0.9293763041496277,331,42,64
ABBV,Healthcare,BiLSTM,multiclass,15,5,13,0.4458128013999801,0.9520120620727539,331,42,64
ABBV,Healthcare,BiLSTM,multiclass,15,5,14,0.4554316631076559,0.971165120601654,331,42,64
ABBV,Healthcare,BiLSTM,multiclass,15,5,15,0.45508718643663876,0.9745050668716431,331,42,64
ABBV,Healthcare,BiLSTM,multiclass,15,5,16,0.4303733554311389,0.9683141708374023,331,42,64
ABBV,Healthcare,BiLSTM,multiclass,15,5,17,0.4271044894107519,0.9634426236152649,331,42,64
ABBV,Healthcare,BiLSTM,multiclass,15,5,18,0.428452583508189,0.9576249122619629,331,42,64
ABBV,Healthcare,BiLSTM,multiclass,15,5,19,0.4378237127357379,0.9552916884422302,331,42,64
