company,sector,model_type,problem_type,horizon_steps,macro_f1,micro_accuracy,expected_return_mean,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,confusion_matrix,confusion_matrix_normalized,bucket_edges,bucket_labels,taus
AAPL,Consumer Goods,GRU,multiclass,5,0.13480392156862744,0.25,-0.002758500399067998,,,,-0.009163235455864739,0.4074074074074074,0.4782608695652174,0.3548387096774194,0.5,928,398,42,64,16,"[[14, 1, 0, 0, 0, 8], [2, 0, 1, 0, 0, 4], [2, 0, 1, 0, 0, 0], [2, 0, 0, 0, 1, 2], [5, 1, 0, 1, 0, 5], [8, 1, 3, 1, 0, 1]]","[[0.6086956521739131, 0.043478260869565216, 0.0, 0.0, 0.0, 0.34782608695652173], [0.2857142857142857, 0.0, 0.14285714285714285, 0.0, 0.0, 0.5714285714285714], [0.6666666666666666, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0], [0.4, 0.0, 0.0, 0.0, 0.2, 0.4], [0.4166666666666667, 0.08333333333333333, 0.0, 0.08333333333333333, 0.0, 0.4166666666666667], [0.5714285714285714, 0.07142857142857142, 0.21428571428571427, 0.07142857142857142, 0.0, 0.07142857142857142]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6884605288505554, 0.663054883480072, 0.5614323019981384, 0.45980972051620483, 0.30737584829330444]"
ABB,Industrial Goods,GRU,multiclass,5,0.2161172161172161,0.265625,-0.011585194617509842,,,,0.19955825456831924,0.42857142857142855,0.6,0.3333333333333333,0.625,928,398,42,64,14,"[[9, 3, 0, 0, 4, 0], [13, 2, 1, 0, 1, 0], [1, 1, 1, 0, 1, 0], [3, 0, 0, 0, 0, 0], [6, 1, 0, 0, 4, 0], [6, 2, 0, 1, 3, 1]]","[[0.5625, 0.1875, 0.0, 0.0, 0.25, 0.0], [0.7647058823529411, 0.11764705882352941, 0.058823529411764705, 0.0, 0.058823529411764705, 0.0], [0.25, 0.25, 0.25, 0.0, 0.25, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.5454545454545454, 0.09090909090909091, 0.0, 0.0, 0.36363636363636365, 0.0], [0.46153846153846156, 0.15384615384615385, 0.0, 0.07692307692307693, 0.23076923076923078, 0.07692307692307693]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6884605288505554, 0.48521536588668823, 0.33278149366378784, 0.23115892708301544, 0.20575328171253204]"
ABBV,Healthcare,GRU,multiclass,5,0.21527003592220983,0.25,-0.013613812625408173,,,,0.2809057653515085,0.647887323943662,0.5348837209302325,0.8214285714285714,0.609375,847,326,42,64,14,"[[3, 9, 1, 6, 3, 2], [0, 3, 0, 3, 0, 1], [0, 0, 0, 3, 1, 1], [0, 1, 0, 0, 0, 1], [0, 3, 0, 2, 5, 1], [0, 1, 0, 6, 3, 5]]","[[0.125, 0.375, 0.041666666666666664, 0.25, 0.125, 0.08333333333333333], [0.0, 0.42857142857142855, 0.0, 0.42857142857142855, 0.0, 0.14285714285714285], [0.0, 0.0, 0.0, 0.6, 0.2, 0.2], [0.0, 0.5, 0.0, 0.0, 0.0, 0.5], [0.0, 0.2727272727272727, 0.0, 0.18181818181818182, 0.45454545454545453, 0.09090909090909091], [0.0, 0.06666666666666667, 0.0, 0.4, 0.2, 0.3333333333333333]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.40899842977523804, 0.23115892708301544, 0.20575328171253204, 0.28197020292282104, 0.23115892708301544]"
AEP,Utilities,GRU,multiclass,5,0.1414768806073154,0.171875,-0.000957729178480804,,,,0.1889822365046136,0.6176470588235294,0.65625,0.5833333333333334,0.59375,928,398,42,64,16,"[[0, 6, 1, 0, 0, 2], [3, 5, 0, 0, 0, 5], [1, 1, 0, 0, 2, 2], [3, 1, 0, 1, 1, 3], [4, 2, 1, 0, 1, 5], [1, 2, 1, 0, 6, 4]]","[[0.0, 0.6666666666666666, 0.1111111111111111, 0.0, 0.0, 0.2222222222222222], [0.23076923076923078, 0.38461538461538464, 0.0, 0.0, 0.0, 0.38461538461538464], [0.16666666666666666, 0.16666666666666666, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333], [0.3333333333333333, 0.1111111111111111, 0.0, 0.1111111111111111, 0.1111111111111111, 0.3333333333333333], [0.3076923076923077, 0.15384615384615385, 0.07692307692307693, 0.0, 0.07692307692307693, 0.38461538461538464], [0.07142857142857142, 0.14285714285714285, 0.07142857142857142, 0.0, 0.42857142857142855, 0.2857142857142857]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.45980972051620483, 0.43440407514572144, 0.33278149366378784, 0.663054883480072, 0.20575328171253204]"
AMGN,Healthcare,GRU,multiclass,5,0.11880434782608695,0.25,-0.02137484773993492,,,,0.19798889010020074,0.2727272727272727,0.8571428571428571,0.16216216216216217,0.5,928,398,42,64,16,"[[12, 0, 0, 0, 0, 0], [7, 0, 0, 0, 0, 0], [7, 0, 0, 0, 1, 0], [2, 0, 0, 0, 0, 0], [12, 0, 0, 0, 1, 0], [17, 0, 0, 1, 1, 3]]","[[1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.875, 0.0, 0.0, 0.0, 0.125, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.9230769230769231, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0], [0.7727272727272727, 0.0, 0.0, 0.045454545454545456, 0.045454545454545456, 0.13636363636363635]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7138661742210388, 0.536026656627655, 0.28197020292282104, 0.23115892708301544, 0.20575328171253204]"
AMZN,Services,GRU,multiclass,5,0.1339506172839506,0.171875,-0.007434180937707424,,,,-0.26005806930980846,0.525,0.5675675675675675,0.4883720930232558,0.40625,928,398,42,64,21,"[[2, 0, 0, 0, 0, 7], [3, 0, 0, 1, 2, 4], [0, 0, 0, 0, 2, 0], [1, 0, 0, 1, 0, 0], [3, 0, 0, 1, 1, 9], [18, 0, 0, 1, 1, 7]]","[[0.2222222222222222, 0.0, 0.0, 0.0, 0.0, 0.7777777777777778], [0.3, 0.0, 0.0, 0.1, 0.2, 0.4], [0.0, 0.0, 0.0, 0.0, 1.0, 0.0], [0.5, 0.0, 0.0, 0.5, 0.0, 0.0], [0.21428571428571427, 0.0, 0.0, 0.07142857142857142, 0.07142857142857142, 0.6428571428571429], [0.6666666666666666, 0.0, 0.0, 0.037037037037037035, 0.037037037037037035, 0.25925925925925924]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5868379473686218, 0.48521536588668823, 0.35818713903427124, 0.25656455755233765, 0.20575328171253204]"
BA,Industrial Goods,GRU,multiclass,5,0.21903381642512076,0.296875,-0.013779707252979279,,,,0.22618098660385072,0.4186046511627907,0.6923076923076923,0.3,0.609375,928,398,42,64,15,"[[10, 3, 1, 0, 0, 1], [9, 3, 1, 0, 2, 1], [1, 0, 2, 0, 0, 0], [1, 1, 0, 0, 0, 0], [5, 0, 4, 0, 0, 0], [9, 0, 1, 3, 2, 4]]","[[0.6666666666666666, 0.2, 0.06666666666666667, 0.0, 0.0, 0.06666666666666667], [0.5625, 0.1875, 0.0625, 0.0, 0.125, 0.0625], [0.3333333333333333, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0], [0.5, 0.5, 0.0, 0.0, 0.0, 0.0], [0.5555555555555556, 0.0, 0.4444444444444444, 0.0, 0.0, 0.0], [0.47368421052631576, 0.0, 0.05263157894736842, 0.15789473684210525, 0.10526315789473684, 0.21052631578947367]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.45980972051620483, 0.33278149366378784, 0.25656455755233765, 0.23115892708301544, 0.5106210112571716]"
BAC,Financial,GRU,multiclass,5,0.11885809049988155,0.265625,-0.01339775137603283,,,,0.03587480016670876,0.2222222222222222,0.625,0.13513513513513514,0.453125,928,398,42,64,15,"[[14, 0, 0, 0, 0, 0], [7, 0, 0, 0, 0, 3], [2, 1, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0], [13, 1, 0, 0, 2, 0], [13, 1, 0, 0, 2, 1]]","[[1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.7, 0.0, 0.0, 0.0, 0.0, 0.3], [0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.8125, 0.0625, 0.0, 0.0, 0.125, 0.0], [0.7647058823529411, 0.058823529411764705, 0.0, 0.0, 0.11764705882352941, 0.058823529411764705]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.663054883480072, 0.6884605288505554, 0.5106210112571716, 0.35818713903427124, 0.33278149366378784]"
BBL,Basic Matierials,GRU,multiclass,5,0.13398520084566598,0.234375,0.016498399898409843,,,,0.20934427194271113,0.4727272727272727,0.34210526315789475,0.7647058823529411,0.546875,928,398,42,64,16,"[[6, 5, 6, 2, 2, 18], [3, 0, 1, 1, 0, 2], [0, 0, 1, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 3], [0, 1, 1, 1, 1, 8]]","[[0.15384615384615385, 0.1282051282051282, 0.15384615384615385, 0.05128205128205128, 0.05128205128205128, 0.46153846153846156], [0.42857142857142855, 0.0, 0.14285714285714285, 0.14285714285714285, 0.0, 0.2857142857142857], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.25, 0.0, 0.0, 0.75], [0.0, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.6666666666666666]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7138661742210388, 0.663054883480072, 0.7138661742210388, 0.5614323019981384, 0.5106210112571716]"
BCH,Financial,GRU,multiclass,5,0.07867132867132867,0.140625,0.015087761916220188,,,,0.16363636363636364,0.5,0.36363636363636365,0.8,0.5,928,398,42,64,14,"[[0, 2, 6, 4, 1, 7], [2, 2, 4, 3, 0, 9], [0, 0, 0, 0, 0, 4], [1, 0, 0, 0, 0, 4], [1, 1, 0, 0, 0, 5], [0, 1, 0, 0, 0, 7]]","[[0.0, 0.1, 0.3, 0.2, 0.05, 0.35], [0.1, 0.1, 0.2, 0.15, 0.0, 0.45], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.2, 0.0, 0.0, 0.0, 0.0, 0.8], [0.14285714285714285, 0.14285714285714285, 0.0, 0.0, 0.0, 0.7142857142857143], [0.0, 0.125, 0.0, 0.0, 0.0, 0.875]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5614323019981384, 0.6122435927391052, 0.6376492381095886, 0.7138661742210388, 0.536026656627655]"
