company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,1,0.7192866302015793,0.7185078859329224,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,2,0.8485022073415056,0.7989913821220398,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,3,0.6704550670019945,0.8580374121665955,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,4,0.580803451825626,1.0614145994186401,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,5,0.5493522687773009,1.2894306182861328,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,6,0.4820914529076773,1.277889609336853,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,7,0.46753508736140764,1.3916715383529663,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,8,0.41103244366957314,1.3668569326400757,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,9,0.357429758238433,1.706694483757019,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,10,0.312545356214346,1.9206323623657227,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,11,0.28838399299724615,2.0341718196868896,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,12,0.2703219273656457,2.352048397064209,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,13,0.3257795308328154,2.3768887519836426,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,14,0.32038269008523856,2.043220281600952,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,15,0.3100059078865914,2.4741971492767334,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,16,0.25781008035843095,3.123548984527588,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,20,5,1,0.9353240327020387,0.9563841223716736,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,20,5,2,0.7934090417234143,0.8739550709724426,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,20,5,3,0.7438420851026947,0.8687707781791687,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,20,5,4,0.5992664133184519,1.0195271968841553,398,42,64
