company,sector,model_type,problem_type,horizon_steps,macro_f1,micro_accuracy,expected_return_mean,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,confusion_matrix,confusion_matrix_normalized,bucket_edges,bucket_labels,taus
AAPL,Consumer Goods,BiLSTM,multiclass,5,0.17352039993549426,0.375,-0.0016624291893094778,,,,0.43821088921503637,0.6896551724137931,0.7407407407407407,0.6451612903225806,0.71875,928,398,42,64,16,"[[14, 2, 4, 1, 0, 2], [4, 0, 0, 0, 0, 3], [2, 0, 0, 0, 0, 1], [0, 0, 1, 0, 0, 4], [6, 0, 0, 1, 0, 5], [4, 0, 0, 0, 0, 10]]","[[0.6086956521739131, 0.08695652173913043, 0.17391304347826086, 0.043478260869565216, 0.0, 0.08695652173913043], [0.5714285714285714, 0.0, 0.0, 0.0, 0.0, 0.42857142857142855], [0.6666666666666666, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333], [0.0, 0.0, 0.2, 0.0, 0.0, 0.8], [0.5, 0.0, 0.0, 0.08333333333333333, 0.0, 0.4166666666666667], [0.2857142857142857, 0.0, 0.0, 0.0, 0.0, 0.7142857142857143]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.4499436020851135, 0.4946676790714264, 0.47230565547943115, 0.4834866523742676, 0.4834866523742676]"
ABB,Industrial Goods,BiLSTM,multiclass,5,0.2219532740632485,0.28125,0.0018946942873299122,,,,0.2790096695024261,0.5416666666666666,0.6190476190476191,0.48148148148148145,0.65625,928,398,42,64,17,"[[3, 8, 1, 2, 2, 0], [4, 8, 3, 2, 0, 0], [0, 2, 0, 1, 1, 0], [0, 2, 1, 0, 0, 0], [1, 4, 1, 0, 4, 1], [0, 5, 0, 2, 3, 3]]","[[0.1875, 0.5, 0.0625, 0.125, 0.125, 0.0], [0.23529411764705882, 0.47058823529411764, 0.17647058823529413, 0.11764705882352941, 0.0, 0.0], [0.0, 0.5, 0.0, 0.25, 0.25, 0.0], [0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0], [0.09090909090909091, 0.36363636363636365, 0.09090909090909091, 0.0, 0.36363636363636365, 0.09090909090909091], [0.0, 0.38461538461538464, 0.0, 0.15384615384615385, 0.23076923076923078, 0.23076923076923078]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6176589131355286, 0.5729348063468933, 0.5841158628463745, 0.5617538094520569, 0.5170297026634216]"
ABBV,Healthcare,BiLSTM,multiclass,5,0.12402986540917575,0.1875,0.0034524735528975725,,,,0.1111111111111111,0.6153846153846154,0.4444444444444444,1.0,0.453125,847,326,42,64,17,"[[0, 0, 1, 16, 4, 3], [0, 0, 0, 4, 2, 1], [0, 0, 0, 2, 0, 3], [0, 0, 0, 1, 0, 1], [0, 0, 0, 3, 3, 5], [0, 0, 0, 1, 6, 8]]","[[0.0, 0.0, 0.041666666666666664, 0.6666666666666666, 0.16666666666666666, 0.125], [0.0, 0.0, 0.0, 0.5714285714285714, 0.2857142857142857, 0.14285714285714285], [0.0, 0.0, 0.0, 0.4, 0.0, 0.6], [0.0, 0.0, 0.0, 0.5, 0.0, 0.5], [0.0, 0.0, 0.0, 0.2727272727272727, 0.2727272727272727, 0.45454545454545453], [0.0, 0.0, 0.0, 0.06666666666666667, 0.4, 0.5333333333333333]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.4499436020851135, 0.5282107591629028, 0.6176589131355286, 0.349314421415329, 0.38285747170448303]"
AEP,Utilities,BiLSTM,multiclass,5,0.13464506172839505,0.265625,0.003390880534425378,,,,0.14285714285714285,0.7272727272727273,0.5714285714285714,1.0,0.578125,928,398,42,64,18,"[[0, 0, 0, 3, 4, 2], [0, 0, 1, 1, 9, 2], [0, 0, 0, 0, 5, 1], [0, 0, 0, 0, 6, 3], [0, 0, 0, 0, 10, 3], [0, 0, 0, 0, 7, 7]]","[[0.0, 0.0, 0.0, 0.3333333333333333, 0.4444444444444444, 0.2222222222222222], [0.0, 0.0, 0.07692307692307693, 0.07692307692307693, 0.6923076923076923, 0.15384615384615385], [0.0, 0.0, 0.0, 0.0, 0.8333333333333334, 0.16666666666666666], [0.0, 0.0, 0.0, 0.0, 0.6666666666666666, 0.3333333333333333], [0.0, 0.0, 0.0, 0.0, 0.7692307692307693, 0.23076923076923078], [0.0, 0.0, 0.0, 0.0, 0.5, 0.5]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.3045903444290161, 0.4387625753879547, 0.4499436020851135, 0.46112462878227234, 0.5841158628463745]"
AMGN,Healthcare,BiLSTM,multiclass,5,0.12395833333333334,0.265625,-0.013314003124833107,,,,0.2545468267653503,0.34782608695652173,0.8888888888888888,0.21621621621621623,0.53125,928,398,42,64,20,"[[11, 1, 0, 0, 0, 0], [7, 0, 0, 0, 0, 0], [7, 0, 0, 0, 0, 1], [2, 0, 0, 0, 0, 0], [12, 0, 0, 0, 0, 1], [13, 1, 1, 0, 1, 6]]","[[0.9166666666666666, 0.08333333333333333, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.875, 0.0, 0.0, 0.0, 0.0, 0.125], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.9230769230769231, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693], [0.5909090909090909, 0.045454545454545456, 0.045454545454545456, 0.0, 0.045454545454545456, 0.2727272727272727]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5841158628463745, 0.4946676790714264, 0.4499436020851135, 0.33813339471817017, 0.349314421415329]"
AMZN,Services,BiLSTM,multiclass,5,0.0989010989010989,0.421875,0.000991194974631071,,,,0.0,0.8037383177570093,0.671875,1.0,0.671875,928,398,42,64,16,"[[0, 0, 0, 0, 0, 9], [0, 0, 0, 0, 0, 10], [0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 0, 14], [0, 0, 0, 0, 0, 27]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.33813339471817017, 0.349314421415329, 0.349314421415329, 0.3604954481124878, 0.349314421415329]"
BA,Industrial Goods,BiLSTM,multiclass,5,0.09370370370370369,0.109375,-0.003013329580426216,,,,0.30991159665316337,0.2857142857142857,1.0,0.16666666666666666,0.609375,928,398,42,64,18,"[[3, 0, 12, 0, 0, 0], [3, 3, 10, 0, 0, 0], [2, 1, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0], [3, 1, 5, 0, 0, 0], [0, 4, 10, 2, 2, 1]]","[[0.2, 0.0, 0.8, 0.0, 0.0, 0.0], [0.1875, 0.1875, 0.625, 0.0, 0.0, 0.0], [0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0], [0.5, 0.0, 0.5, 0.0, 0.0, 0.0], [0.3333333333333333, 0.1111111111111111, 0.5555555555555556, 0.0, 0.0, 0.0], [0.0, 0.21052631578947367, 0.5263157894736842, 0.10526315789473684, 0.10526315789473684, 0.05263157894736842]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.4499436020851135, 0.6512019634246826, 0.4834866523742676, 0.5393917560577393, 0.628839910030365]"
BAC,Financial,BiLSTM,multiclass,5,0.06402116402116402,0.078125,0.0008387603447772563,,,,-0.2988512850292851,0.5476190476190477,0.48936170212765956,0.6216216216216216,0.40625,928,398,42,64,16,"[[0, 1, 0, 6, 6, 1], [0, 1, 1, 4, 0, 4], [0, 0, 0, 1, 2, 0], [0, 1, 0, 2, 1, 0], [0, 4, 1, 6, 1, 4], [0, 4, 4, 4, 4, 1]]","[[0.0, 0.07142857142857142, 0.0, 0.42857142857142855, 0.42857142857142855, 0.07142857142857142], [0.0, 0.1, 0.1, 0.4, 0.0, 0.4], [0.0, 0.0, 0.0, 0.3333333333333333, 0.6666666666666666, 0.0], [0.0, 0.25, 0.0, 0.5, 0.25, 0.0], [0.0, 0.25, 0.0625, 0.375, 0.0625, 0.25], [0.0, 0.23529411764705882, 0.23529411764705882, 0.23529411764705882, 0.23529411764705882, 0.058823529411764705]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5841158628463745, 0.4499436020851135, 0.4834866523742676, 0.4834866523742676, 0.4946676790714264]"
BBL,Basic Matierials,BiLSTM,multiclass,5,0.14464823675349991,0.21875,0.009724216535687447,,,,0.03975246094233088,0.4166666666666667,0.2727272727272727,0.8823529411764706,0.34375,928,398,42,64,20,"[[5, 0, 2, 3, 10, 19], [0, 0, 0, 3, 1, 3], [0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 3], [1, 0, 1, 1, 2, 7]]","[[0.1282051282051282, 0.0, 0.05128205128205128, 0.07692307692307693, 0.2564102564102564, 0.48717948717948717], [0.0, 0.0, 0.0, 0.42857142857142855, 0.14285714285714285, 0.42857142857142855], [0.0, 0.0, 0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.25, 0.75], [0.08333333333333333, 0.0, 0.08333333333333333, 0.08333333333333333, 0.16666666666666666, 0.5833333333333334]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6512019634246826, 0.349314421415329, 0.5282107591629028, 0.33813339471817017, 0.3157713711261749]"
BCH,Financial,BiLSTM,multiclass,5,0.0392156862745098,0.125,0.012099521234631538,,,,0.0,0.47619047619047616,0.3125,1.0,0.3125,928,398,42,64,18,"[[0, 0, 0, 0, 2, 18], [0, 0, 0, 0, 2, 18], [0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 0, 5], [0, 0, 0, 0, 0, 7], [0, 0, 0, 0, 0, 8]]","[[0.0, 0.0, 0.0, 0.0, 0.1, 0.9], [0.0, 0.0, 0.0, 0.0, 0.1, 0.9], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5393917560577393, 0.5282107591629028, 0.5393917560577393, 0.5729348063468933, 0.5393917560577393]"
