company,sector,model_type,problem_type,horizon_steps,macro_f1,micro_accuracy,expected_return_mean,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,confusion_matrix,confusion_matrix_normalized,bucket_edges,bucket_labels,taus
AAPL,Consumer Goods,LSTM,multiclass,1,0.037545787545787544,0.03125,0.009964510798454285,,,,0.11617858011292062,0.5974025974025974,0.46938775510204084,0.8214285714285714,0.515625,942,398,42,64,30,"[[0, 1, 1, 0, 2, 3], [5, 0, 1, 0, 4, 9], [1, 0, 1, 0, 1, 7], [2, 1, 0, 0, 1, 4], [1, 0, 0, 1, 1, 12], [0, 1, 0, 0, 4, 0]]","[[0.0, 0.14285714285714285, 0.14285714285714285, 0.0, 0.2857142857142857, 0.42857142857142855], [0.2631578947368421, 0.0, 0.05263157894736842, 0.0, 0.21052631578947367, 0.47368421052631576], [0.1, 0.0, 0.1, 0.0, 0.1, 0.7], [0.25, 0.125, 0.0, 0.0, 0.125, 0.5], [0.06666666666666667, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.8], [0.0, 0.2, 0.0, 0.0, 0.8, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6658458113670349, 0.43089020252227783, 0.5353149175643921, 0.43089020252227783, 0.48310256004333496]"
ABB,Industrial Goods,LSTM,multiclass,1,0.15315758410387567,0.265625,-0.0013194860657677054,,,,0.23809523809523808,0.3181818181818182,0.875,0.19444444444444445,0.53125,942,398,42,64,30,"[[0, 1, 2, 0, 0, 0], [0, 10, 8, 0, 1, 0], [0, 3, 3, 0, 0, 0], [1, 6, 7, 0, 1, 0], [0, 7, 7, 1, 4, 0], [0, 0, 1, 0, 1, 0]]","[[0.0, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.0], [0.0, 0.5263157894736842, 0.42105263157894735, 0.0, 0.05263157894736842, 0.0], [0.0, 0.5, 0.5, 0.0, 0.0, 0.0], [0.06666666666666667, 0.4, 0.4666666666666667, 0.0, 0.06666666666666667, 0.0], [0.0, 0.3684210526315789, 0.3684210526315789, 0.05263157894736842, 0.21052631578947367, 0.0], [0.0, 0.0, 0.5, 0.0, 0.5, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5092087388038635, 0.6658458113670349, 0.4569963812828064, 0.5353149175643921, 0.5614210963249207]"
ABBV,Healthcare,LSTM,multiclass,1,0.10796019900497512,0.28125,0.0037890439853072166,,,,0.1807753815155468,0.6829268292682927,0.5833333333333334,0.8235294117647058,0.59375,861,336,42,64,30,"[[0, 4, 0, 0, 7, 0], [1, 3, 0, 0, 11, 0], [0, 2, 0, 0, 2, 0], [0, 2, 0, 0, 3, 0], [0, 4, 0, 0, 15, 0], [0, 0, 0, 0, 10, 0]]","[[0.0, 0.36363636363636365, 0.0, 0.0, 0.6363636363636364, 0.0], [0.06666666666666667, 0.2, 0.0, 0.0, 0.7333333333333333, 0.0], [0.0, 0.5, 0.0, 0.0, 0.5, 0.0], [0.0, 0.4, 0.0, 0.0, 0.6, 0.0], [0.0, 0.21052631578947367, 0.0, 0.0, 0.7894736842105263, 0.0], [0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6397396326065063, 0.5092087388038635, 0.22204074263572693, 0.27425310015678406, 0.5614210963249207]"
AEP,Utilities,LSTM,multiclass,1,0.1284722222222222,0.296875,0.0029258541762828827,,,,-0.2135744251723958,0.6938775510204082,0.5666666666666667,0.8947368421052632,0.53125,942,398,42,64,30,"[[0, 0, 0, 1, 4, 0], [0, 0, 0, 1, 9, 0], [0, 0, 0, 3, 8, 0], [0, 3, 0, 5, 7, 0], [0, 1, 0, 4, 14, 0], [0, 0, 0, 1, 3, 0]]","[[0.0, 0.0, 0.0, 0.2, 0.8, 0.0], [0.0, 0.0, 0.0, 0.1, 0.9, 0.0], [0.0, 0.0, 0.0, 0.2727272727272727, 0.7272727272727273, 0.0], [0.0, 0.2, 0.0, 0.3333333333333333, 0.4666666666666667, 0.0], [0.0, 0.05263157894736842, 0.0, 0.21052631578947367, 0.7368421052631579, 0.0], [0.0, 0.0, 0.0, 0.25, 0.75, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.22204074263572693, 0.4569963812828064, 0.3264654576778412, 0.3786778151988983, 0.718058168888092]"
AMGN,Healthcare,LSTM,multiclass,1,0.12760079426746093,0.1875,-0.0061302585527300835,,,,0.17554514371740437,0.3111111111111111,0.7777777777777778,0.19444444444444445,0.515625,942,398,42,64,30,"[[5, 1, 0, 0, 0, 0], [12, 3, 0, 0, 1, 0], [4, 1, 0, 0, 1, 0], [8, 1, 0, 0, 0, 0], [13, 0, 0, 0, 4, 0], [6, 0, 1, 0, 3, 0]]","[[0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0], [0.75, 0.1875, 0.0, 0.0, 0.0625, 0.0], [0.6666666666666666, 0.16666666666666666, 0.0, 0.0, 0.16666666666666666, 0.0], [0.8888888888888888, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0], [0.7647058823529411, 0.0, 0.0, 0.0, 0.23529411764705882, 0.0], [0.6, 0.0, 0.1, 0.0, 0.3, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7441643476486206, 0.6919519901275635, 0.5614210963249207, 0.43089020252227783, 0.6658458113670349]"
AMZN,Services,LSTM,multiclass,1,0.10736145574855253,0.1875,0.0038658000994473696,,,,-0.030286553988057928,0.14634146341463414,0.5,0.08571428571428572,0.453125,942,398,42,64,30,"[[0, 1, 3, 0, 0, 0], [0, 2, 11, 2, 0, 0], [0, 0, 9, 1, 0, 0], [0, 0, 6, 0, 0, 0], [0, 2, 14, 1, 0, 0], [1, 0, 9, 0, 1, 1]]","[[0.0, 0.25, 0.75, 0.0, 0.0, 0.0], [0.0, 0.13333333333333333, 0.7333333333333333, 0.13333333333333333, 0.0, 0.0], [0.0, 0.0, 0.9, 0.1, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.11764705882352941, 0.8235294117647058, 0.058823529411764705, 0.0, 0.0], [0.08333333333333333, 0.0, 0.75, 0.0, 0.08333333333333333, 0.08333333333333333]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5614210963249207, 0.48310256004333496, 0.7441643476486206, 0.6658458113670349, 0.5875272750854492]"
BA,Industrial Goods,LSTM,multiclass,1,0.11544150525356517,0.15625,0.0007406276417896152,,,,0.18547738582708967,0.6176470588235294,0.6363636363636364,0.6,0.59375,942,398,42,64,30,"[[2, 0, 1, 1, 0, 0], [8, 1, 0, 5, 0, 0], [4, 1, 0, 6, 0, 0], [4, 0, 0, 5, 0, 1], [6, 1, 2, 8, 2, 2], [1, 0, 0, 3, 0, 0]]","[[0.5, 0.0, 0.25, 0.25, 0.0, 0.0], [0.5714285714285714, 0.07142857142857142, 0.0, 0.35714285714285715, 0.0, 0.0], [0.36363636363636365, 0.09090909090909091, 0.0, 0.5454545454545454, 0.0, 0.0], [0.4, 0.0, 0.0, 0.5, 0.0, 0.1], [0.2857142857142857, 0.047619047619047616, 0.09523809523809523, 0.38095238095238093, 0.09523809523809523, 0.09523809523809523], [0.25, 0.0, 0.0, 0.75, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6397396326065063, 0.5614210963249207, 0.48310256004333496, 0.718058168888092, 0.5614210963249207]"
BAC,Financial,LSTM,multiclass,1,0.09027777777777779,0.171875,-0.004384712316095829,,,,0.03013774920513892,0.2631578947368421,0.45454545454545453,0.18518518518518517,0.5625,942,398,42,64,30,"[[0, 0, 3, 2, 0, 0], [2, 4, 11, 3, 0, 0], [0, 4, 7, 1, 0, 0], [0, 1, 4, 0, 0, 0], [3, 1, 5, 4, 0, 0], [0, 2, 6, 1, 0, 0]]","[[0.0, 0.0, 0.6, 0.4, 0.0, 0.0], [0.1, 0.2, 0.55, 0.15, 0.0, 0.0], [0.0, 0.3333333333333333, 0.5833333333333334, 0.08333333333333333, 0.0, 0.0], [0.0, 0.2, 0.8, 0.0, 0.0, 0.0], [0.23076923076923078, 0.07692307692307693, 0.38461538461538464, 0.3076923076923077, 0.0, 0.0], [0.0, 0.2222222222222222, 0.6666666666666666, 0.1111111111111111, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.48310256004333496, 0.43089020252227783, 0.5353149175643921, 0.5875272750854492, 0.3786778151988983]"
BBL,Basic Matierials,LSTM,multiclass,1,0.159000464694367,0.15625,0.010951003059744835,,,,0.06497057526101395,0.5405405405405406,0.40816326530612246,0.8,0.46875,942,398,42,64,30,"[[1, 2, 1, 7, 0, 9], [1, 2, 2, 4, 1, 2], [0, 0, 1, 2, 1, 3], [0, 0, 0, 1, 0, 0], [0, 0, 1, 4, 2, 5], [0, 3, 1, 4, 1, 3]]","[[0.05, 0.1, 0.05, 0.35, 0.0, 0.45], [0.08333333333333333, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.08333333333333333, 0.16666666666666666], [0.0, 0.0, 0.14285714285714285, 0.2857142857142857, 0.14285714285714285, 0.42857142857142855], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 0.08333333333333333, 0.3333333333333333, 0.16666666666666666, 0.4166666666666667], [0.0, 0.25, 0.08333333333333333, 0.3333333333333333, 0.08333333333333333, 0.25]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6919519901275635, 0.5875272750854492, 0.4569963812828064, 0.6919519901275635, 0.6136334538459778]"
BCH,Financial,LSTM,multiclass,1,0.14283334523214583,0.203125,0.0069909365847706795,,,,0.0757356892408296,0.4727272727272727,0.4642857142857143,0.48148148148148145,0.546875,942,398,42,64,30,"[[2, 0, 0, 0, 2, 0], [5, 3, 4, 1, 6, 1], [3, 3, 2, 0, 5, 0], [3, 0, 1, 0, 4, 0], [4, 3, 3, 0, 6, 0], [0, 0, 0, 0, 3, 0]]","[[0.5, 0.0, 0.0, 0.0, 0.5, 0.0], [0.25, 0.15, 0.2, 0.05, 0.3, 0.05], [0.23076923076923078, 0.23076923076923078, 0.15384615384615385, 0.0, 0.38461538461538464, 0.0], [0.375, 0.0, 0.125, 0.0, 0.5, 0.0], [0.25, 0.1875, 0.1875, 0.0, 0.375, 0.0], [0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7441643476486206, 0.7441643476486206, 0.7441643476486206, 0.6136334538459778, 0.5092087388038635]"
BHP,Basic Matierials,LSTM,multiclass,1,0.14003387916431395,0.15625,0.011060744524002075,,,,-0.09626669171599594,0.5542168674698795,0.41818181818181815,0.8214285714285714,0.421875,942,398,42,64,30,"[[1, 0, 0, 2, 7, 7], [1, 0, 1, 5, 7, 1], [0, 0, 1, 0, 0, 3], [0, 0, 0, 0, 0, 0], [2, 1, 0, 1, 5, 11], [2, 0, 0, 0, 3, 3]]","[[0.058823529411764705, 0.0, 0.0, 0.11764705882352941, 0.4117647058823529, 0.4117647058823529], [0.06666666666666667, 0.0, 0.06666666666666667, 0.3333333333333333, 0.4666666666666667, 0.06666666666666667], [0.0, 0.0, 0.25, 0.0, 0.0, 0.75], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.1, 0.05, 0.0, 0.05, 0.25, 0.55], [0.25, 0.0, 0.0, 0.0, 0.375, 0.375]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.718058168888092, 0.5875272750854492, 0.5092087388038635, 0.6919519901275635, 0.48310256004333496]"
BP,Basic Matierials,LSTM,multiclass,1,0.12257257257257258,0.203125,0.012098826467990875,,,,0.1636319382479181,0.5833333333333334,0.45652173913043476,0.8076923076923077,0.53125,942,398,42,64,30,"[[0, 2, 0, 0, 4, 2], [0, 6, 0, 0, 7, 6], [0, 5, 0, 0, 1, 5], [0, 1, 0, 0, 2, 3], [0, 3, 0, 0, 2, 4], [0, 1, 0, 0, 5, 5]]","[[0.0, 0.25, 0.0, 0.0, 0.5, 0.25], [0.0, 0.3157894736842105, 0.0, 0.0, 0.3684210526315789, 0.3157894736842105], [0.0, 0.45454545454545453, 0.0, 0.0, 0.09090909090909091, 0.45454545454545453], [0.0, 0.16666666666666666, 0.0, 0.0, 0.3333333333333333, 0.5], [0.0, 0.3333333333333333, 0.0, 0.0, 0.2222222222222222, 0.4444444444444444], [0.0, 0.09090909090909091, 0.0, 0.0, 0.45454545454545453, 0.45454545454545453]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.22204074263572693, 0.6919519901275635, 0.6136334538459778, 0.5353149175643921, 0.6136334538459778]"
BRK-A,Financial,LSTM,multiclass,1,0.17460317460317462,0.109375,0.01103418692946434,,,,0.047619047619047616,0.5952380952380952,0.44642857142857145,0.8928571428571429,0.46875,942,398,42,64,30,"[[1, 0, 0, 1, 0, 0], [0, 2, 1, 12, 2, 5], [0, 1, 0, 6, 1, 4], [0, 0, 0, 3, 2, 6], [0, 2, 0, 3, 0, 8], [0, 1, 0, 0, 2, 1]]","[[0.5, 0.0, 0.0, 0.5, 0.0, 0.0], [0.0, 0.09090909090909091, 0.045454545454545456, 0.5454545454545454, 0.09090909090909091, 0.22727272727272727], [0.0, 0.08333333333333333, 0.0, 0.5, 0.08333333333333333, 0.3333333333333333], [0.0, 0.0, 0.0, 0.2727272727272727, 0.18181818181818182, 0.5454545454545454], [0.0, 0.15384615384615385, 0.0, 0.23076923076923078, 0.0, 0.6153846153846154], [0.0, 0.25, 0.0, 0.0, 0.5, 0.25]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6397396326065063, 0.4569963812828064, 0.5353149175643921, 0.7441643476486206, 0.718058168888092]"
BSAC,Financial,LSTM,multiclass,1,0.13447712418300653,0.171875,0.011651411652565002,,,,0.1619047619047619,0.6153846153846154,0.48,0.8571428571428571,0.53125,942,398,42,64,30,"[[0, 0, 3, 1, 2, 0], [0, 0, 2, 1, 16, 0], [0, 0, 5, 1, 5, 0], [0, 0, 1, 2, 7, 0], [0, 0, 3, 0, 4, 0], [0, 0, 0, 1, 10, 0]]","[[0.0, 0.0, 0.5, 0.16666666666666666, 0.3333333333333333, 0.0], [0.0, 0.0, 0.10526315789473684, 0.05263157894736842, 0.8421052631578947, 0.0], [0.0, 0.0, 0.45454545454545453, 0.09090909090909091, 0.45454545454545453, 0.0], [0.0, 0.0, 0.1, 0.2, 0.7, 0.0], [0.0, 0.0, 0.42857142857142855, 0.0, 0.5714285714285714, 0.0], [0.0, 0.0, 0.0, 0.09090909090909091, 0.9090909090909091, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5092087388038635, 0.48310256004333496, 0.718058168888092, 0.718058168888092, 0.48310256004333496]"
BUD,Consumer Goods,LSTM,multiclass,1,0.010582010582010581,0.03125,-0.0037511885166168213,,,,0.1796053020267749,0.11764705882352941,1.0,0.0625,0.53125,942,398,42,64,30,"[[2, 0, 0, 0, 0, 0], [16, 0, 1, 0, 0, 0], [13, 0, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0], [19, 0, 0, 1, 0, 0], [5, 0, 0, 1, 0, 0]]","[[1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.9411764705882353, 0.0, 0.058823529411764705, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.95, 0.0, 0.0, 0.05, 0.0, 0.0], [0.8333333333333334, 0.0, 0.0, 0.16666666666666666, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7441643476486206, 0.7441643476486206, 0.6397396326065063, 0.5614210963249207, 0.5353149175643921]"
C,Financial,LSTM,multiclass,1,0.10635572058280678,0.125,-0.0002878539962694049,,,,-0.01958443177724344,0.5070422535211268,0.4,0.6923076923076923,0.453125,942,398,42,64,30,"[[1, 0, 0, 2, 0, 0], [4, 3, 1, 14, 1, 0], [1, 0, 1, 6, 3, 1], [1, 0, 1, 3, 0, 1], [1, 2, 1, 7, 0, 0], [1, 0, 1, 5, 2, 0]]","[[0.3333333333333333, 0.0, 0.0, 0.6666666666666666, 0.0, 0.0], [0.17391304347826086, 0.13043478260869565, 0.043478260869565216, 0.6086956521739131, 0.043478260869565216, 0.0], [0.08333333333333333, 0.0, 0.08333333333333333, 0.5, 0.25, 0.08333333333333333], [0.16666666666666666, 0.0, 0.16666666666666666, 0.5, 0.0, 0.16666666666666666], [0.09090909090909091, 0.18181818181818182, 0.09090909090909091, 0.6363636363636364, 0.0, 0.0], [0.1111111111111111, 0.0, 0.1111111111111111, 0.5555555555555556, 0.2222222222222222, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5353149175643921, 0.48310256004333496, 0.6658458113670349, 0.5353149175643921, 0.3264654576778412]"
CAT,Industrial Goods,LSTM,multiclass,1,0.14277518978605935,0.203125,0.007334855850785971,,,,0.033277916281986085,0.5866666666666667,0.5116279069767442,0.6875,0.515625,942,398,42,64,30,"[[1, 0, 0, 1, 3, 0], [4, 2, 0, 9, 4, 0], [4, 0, 0, 3, 1, 0], [1, 1, 0, 3, 1, 0], [4, 1, 1, 5, 7, 0], [2, 0, 0, 5, 1, 0]]","[[0.2, 0.0, 0.0, 0.2, 0.6, 0.0], [0.21052631578947367, 0.10526315789473684, 0.0, 0.47368421052631576, 0.21052631578947367, 0.0], [0.5, 0.0, 0.0, 0.375, 0.125, 0.0], [0.16666666666666666, 0.16666666666666666, 0.0, 0.5, 0.16666666666666666, 0.0], [0.2222222222222222, 0.05555555555555555, 0.05555555555555555, 0.2777777777777778, 0.3888888888888889, 0.0], [0.25, 0.0, 0.0, 0.625, 0.125, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.718058168888092, 0.7441643476486206, 0.5875272750854492, 0.5092087388038635, 0.6658458113670349]"
