company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained
AAPL,Consumer Goods,BiLSTM,regression,5,0.0017629131091919132,0.03191554271363163,-0.2151576423238606,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,1199,398,42,64,16
ABB,Industrial Goods,BiLSTM,regression,5,0.0010022841063368074,0.02498068219083062,-0.04465371026042475,0.0,0.5934065934065934,0.421875,1.0,0.421875,,,,,,1199,398,42,64,16
ABBV,Healthcare,BiLSTM,regression,5,0.004056128904702331,0.04485848803524564,0.047665046898234364,0.2277100170213244,0.6363636363636364,0.4666666666666667,1.0,0.5,,,,,,1118,398,42,64,28
AEP,Utilities,BiLSTM,regression,5,0.0004975510995810317,0.017929276333333966,-0.03157289492734794,0.0,0.72,0.5625,1.0,0.5625,,,,,,1199,398,42,64,16
AGFS,Conglomerates,BiLSTM,regression,5,0.011549551543830128,0.07933468627343164,-0.14992722350951748,0.0,0.5287356321839081,0.359375,1.0,0.359375,,,,,,642,120,42,64,16
AMGN,Healthcare,BiLSTM,regression,5,0.0011800632388961414,0.026934692951639666,-0.0016396524827502201,0.0,0.7326732673267327,0.578125,1.0,0.578125,,,,,,1199,398,42,64,16
AMZN,Services,BiLSTM,regression,5,0.001784174190167834,0.031080824184484546,-0.01135048243140302,0.0,0.8037383177570093,0.671875,1.0,0.671875,,,,,,1199,398,42,64,16
BA,Industrial Goods,BiLSTM,regression,5,0.0012704522677526174,0.02750811460285471,-0.011493895306530666,0.0,0.0,0.0,0.0,0.53125,,,,,,1199,398,42,64,16
BABA,Services,BiLSTM,regression,5,0.004190066048074698,0.05179786244595376,-0.1283882160310641,0.0,0.0,0.0,0.0,0.375,,,,,,686,164,42,64,16
BAC,Financial,BiLSTM,regression,5,0.0012025461519168297,0.026090576911984492,-0.002074905348172784,0.0,0.7326732673267327,0.578125,1.0,0.578125,,,,,,1199,398,42,64,16
BBL,Basic Matierials,BiLSTM,regression,5,0.006016001118261732,0.06441839796452667,-0.2191784914523145,0.0,0.0,0.0,0.0,0.734375,,,,,,1199,398,42,64,16
BCH,Financial,BiLSTM,regression,5,0.00045204401822230547,0.017578011290544426,-0.08166309285627871,0.0,0.0,0.0,0.0,0.6875,,,,,,1199,398,42,64,16
BHP,Basic Matierials,BiLSTM,regression,5,0.004774081884511554,0.05552153662923549,-0.11529706506396287,0.0,0.0,0.0,0.0,0.734375,,,,,,1199,398,42,64,16
BP,Basic Matierials,BiLSTM,regression,5,0.0021313775353001877,0.03484171925869854,-0.05135190593004446,0.0,0.5287356321839081,0.359375,1.0,0.359375,,,,,,1199,398,42,64,16
BRK-A,Financial,BiLSTM,regression,5,0.00035167485613050986,0.01604003466417761,-0.012812486097245168,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,1199,398,42,64,16
BSAC,Financial,BiLSTM,regression,5,0.0010819487759102556,0.026552262604842253,-0.06333079566450972,-0.13452132697638328,0.0,0.0,0.0,0.609375,,,,,,1199,398,42,64,16
BUD,Consumer Goods,BiLSTM,regression,5,0.0007650085494147927,0.022586669413391533,-0.10243806120089305,0.0,0.0,0.0,0.0,0.3125,,,,,,1199,398,42,64,16
C,Financial,BiLSTM,regression,5,0.0010639723119307424,0.02385948606183038,-0.03289335928871151,0.0,0.7070707070707071,0.546875,1.0,0.546875,,,,,,1199,398,42,64,16
CAT,Industrial Goods,BiLSTM,regression,5,0.0015751949181420618,0.031911215335681226,-0.005713240193027769,0.0,0.0,0.0,0.0,0.484375,,,,,,1199,398,42,64,16
CELG,Healthcare,BiLSTM,regression,5,0.002431592397473332,0.03757571603060586,0.001199975569313838,0.0,0.6938775510204082,0.53125,1.0,0.53125,,,,,,1199,398,42,64,16
CHL,Technology,BiLSTM,regression,5,0.0007643660616847735,0.019693040219625382,-0.1669877373824924,-0.1210898699241207,0.0,0.0,0.0,0.65625,,,,,,1199,398,42,64,16
CHTR,Services,BiLSTM,regression,5,0.0007153095122775316,0.020697060409523682,0.05753783635973764,0.1905246652387925,0.38095238095238093,0.6666666666666666,0.26666666666666666,0.59375,,,,,,1199,398,42,64,37
CMCSA,Services,BiLSTM,regression,5,0.0005528621366424941,0.019213044296060654,-0.09205843216891751,0.0,0.6086956521739131,0.4375,1.0,0.4375,,,,,,1199,398,42,64,16
CODI,Conglomerates,BiLSTM,regression,5,0.0005973349766366017,0.01901825055437665,-0.00445515127356666,0.0,0.0,0.0,0.0,0.609375,,,,,,1199,398,42,64,16
CSCO,Technology,BiLSTM,regression,5,0.0011658153419054494,0.02582556412933277,-0.028341123080738218,0.0,0.6804123711340206,0.515625,1.0,0.515625,,,,,,1199,398,42,64,16
CVX,Basic Matierials,BiLSTM,regression,5,0.0018062233943391128,0.031099297608033746,0.023887604721834932,0.29308032406162626,0.5818181818181818,0.6956521739130435,0.5,0.640625,,,,,,1199,398,42,64,23
D,Utilities,BiLSTM,regression,5,0.0005471942943564625,0.019616908160852,-0.03766969268800646,0.0,0.6666666666666666,0.5,1.0,0.5,,,,,,1199,398,42,64,16
DHR,Industrial Goods,BiLSTM,regression,5,0.000593368713091473,0.019523267931987387,-0.07759936501449771,-0.3354321472637219,0.5060240963855421,0.40384615384615385,0.6774193548387096,0.359375,,,,,,1199,398,42,64,25
DIS,Services,BiLSTM,regression,5,0.0011636679270733954,0.026816192049166784,-0.09599788975624168,0.0,0.6938775510204082,0.53125,1.0,0.53125,,,,,,1199,398,42,64,16
DUK,Utilities,BiLSTM,regression,5,0.0006755845251387666,0.019999256023143758,-0.03851734156257969,0.0,0.6666666666666666,0.5,1.0,0.5,,,,,,1199,398,42,64,25
EXC,Utilities,BiLSTM,regression,5,0.0009585371999282011,0.02343448808847433,-0.010759144068111848,0.0,0.0,0.0,0.0,0.53125,,,,,,1199,398,42,64,16
FB,Technology,BiLSTM,regression,5,0.0009599632196281172,0.02471392262131278,-0.034504444399772405,0.0,0.7450980392156863,0.59375,1.0,0.59375,,,,,,1199,398,42,64,16
GD,Industrial Goods,BiLSTM,regression,5,0.0007457652290435788,0.022472326264949355,-0.1708403688752167,0.0,0.5777777777777777,0.40625,1.0,0.40625,,,,,,1199,398,42,64,16
GE,Industrial Goods,BiLSTM,regression,5,0.0008808524738858698,0.019683833388936145,-0.10301861407719692,-0.1962671679947149,0.7572815533980582,0.6610169491525424,0.8863636363636364,0.609375,,,,,,1199,398,42,64,16
GOOG,Technology,BiLSTM,regression,5,0.0009758284189169326,0.02221292125611761,-0.03515747368127786,0.0,0.7924528301886793,0.65625,1.0,0.65625,,,,,,1199,398,42,64,16
HD,Services,BiLSTM,regression,5,0.000764208687930915,0.019261208478323674,-0.002785282052236715,0.0,0.7692307692307693,0.625,1.0,0.625,,,,,,1199,398,42,64,16
HON,Industrial Goods,BiLSTM,regression,5,0.0008016203976158952,0.0219350172055795,0.03953375965938655,0.23175626392360707,0.36363636363636365,0.8,0.23529411764705882,0.5625,,,,,,1199,398,42,64,24
HRG,Conglomerates,BiLSTM,regression,5,0.0011679380835960267,0.02796973443279034,0.04595275522152942,0.24926686217008798,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.625,,,,,,1199,398,42,64,25
HSBC,Financial,BiLSTM,regression,5,0.0008956026805532822,0.02242769010237499,-0.011863465322512035,0.06702466256013999,0.6521739130434783,0.4918032786885246,0.967741935483871,0.5,,,,,,1199,398,42,64,16
IEP,Conglomerates,BiLSTM,regression,5,0.0021647998890350403,0.03756411630993865,-0.024043716475626642,0.0,0.0,0.0,0.0,0.65625,,,,,,1199,398,42,64,16
INTC,Technology,BiLSTM,regression,5,0.001285301073033635,0.02759917327889687,-0.01080010148542443,0.0,0.7070707070707071,0.546875,1.0,0.546875,,,,,,1199,398,42,64,16
JNJ,Healthcare,BiLSTM,regression,5,0.00033299651985058967,0.015021365188121208,-0.008805098452100424,0.0,0.7924528301886793,0.65625,1.0,0.65625,,,,,,1199,398,42,64,16
JPM,Financial,BiLSTM,regression,5,0.0010055972113311514,0.022108991304276,-0.0216499999766393,0.0,0.7450980392156863,0.59375,1.0,0.59375,,,,,,1199,398,42,64,16
KO,Consumer Goods,BiLSTM,regression,5,0.00038474303798459285,0.015391353139476899,-0.05442020016210325,0.0,0.0,0.0,0.0,0.4375,,,,,,1199,398,42,64,16
LMT,Industrial Goods,BiLSTM,regression,5,0.0006593656742124238,0.021303031728738445,0.0003849715755306349,0.0,0.6236559139784946,0.453125,1.0,0.453125,,,,,,1199,398,42,64,16
MA,Financial,BiLSTM,regression,5,0.0006554432433113014,0.019175721883308516,0.002288733909928453,0.0,0.7450980392156863,0.59375,1.0,0.59375,,,,,,1199,398,42,64,16
MCD,Services,BiLSTM,regression,5,0.0007883651313701839,0.020297369525009823,-0.3959041450964622,0.0,0.8256880733944955,0.703125,1.0,0.703125,,,,,,1199,398,42,64,26
MDT,Healthcare,BiLSTM,regression,5,0.00039341308218247557,0.015747933875613254,-0.0038002408473221116,0.0,0.7692307692307693,0.625,1.0,0.625,,,,,,1199,398,42,64,16
MMM,Industrial Goods,BiLSTM,regression,5,0.000910256101266633,0.022374733773529595,-0.005277272293292112,0.0,0.0,0.0,0.0,0.453125,,,,,,1199,398,42,64,16
MO,Consumer Goods,BiLSTM,regression,5,0.000686438177909187,0.019886797514629052,-0.03883133800428529,0.0,0.7572815533980582,0.609375,1.0,0.609375,,,,,,1199,398,42,64,16
MRK,Healthcare,BiLSTM,regression,5,0.000622038386385076,0.019694682020641355,-0.06671630363536085,-0.12211066665535371,0.0,0.0,0.0,0.5,,,,,,1199,398,42,64,28
MSFT,Technology,BiLSTM,regression,5,0.0015130320404505115,0.02466019169280321,-0.025322398301230953,0.0,0.7572815533980582,0.609375,1.0,0.609375,,,,,,1199,398,42,64,16
NEE,Utilities,BiLSTM,regression,5,0.00048066248199816813,0.017295597887846195,-0.010024127845405628,0.0,0.72,0.5625,1.0,0.5625,,,,,,1199,398,42,64,16
NGG,Utilities,BiLSTM,regression,5,0.0004539326825666175,0.016760774091062913,-0.008509955016770654,0.0,0.0,0.0,0.0,0.59375,,,,,,1199,398,42,64,16
