company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,GRU,regression,10,1,1,0.1120486299146959,0.2037833333015442,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,2,0.11210580215082695,0.20442098379135132,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,3,0.11392218286368117,0.20541055500507355,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,4,0.11396055050830745,0.20681381225585938,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,5,0.11203479235196233,0.20911471545696259,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,6,0.11108498267791977,0.21186034381389618,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,7,0.11222973480895536,0.214658722281456,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,8,0.11170253180079724,0.2161376178264618,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,9,0.10902130963215277,0.21749912202358246,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,10,0.11152230000975144,0.2165709286928177,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,11,0.11110687443059893,0.2165757119655609,398,42,64
ABB,Industrial Goods,GRU,regression,10,1,1,0.11898129190032805,0.14152409136295319,398,42,64
ABB,Industrial Goods,GRU,regression,10,1,2,0.11713643544283345,0.14136655628681183,398,42,64
ABB,Industrial Goods,GRU,regression,10,1,3,0.11815199682760479,0.14137162268161774,398,42,64
ABB,Industrial Goods,GRU,regression,10,1,4,0.11864848255212583,0.1417691856622696,398,42,64
ABB,Industrial Goods,GRU,regression,10,1,5,0.11644704872040293,0.14297060668468475,398,42,64
ABB,Industrial Goods,GRU,regression,10,1,6,0.11572465023503231,0.14494533836841583,398,42,64
ABB,Industrial Goods,GRU,regression,10,1,7,0.11553094869282976,0.14683593809604645,398,42,64
ABB,Industrial Goods,GRU,regression,10,1,8,0.11461871712651085,0.14751218259334564,398,42,64
ABB,Industrial Goods,GRU,regression,10,1,9,0.11404656674993698,0.14769691228866577,398,42,64
ABB,Industrial Goods,GRU,regression,10,1,10,0.11501292187963898,0.14639852941036224,398,42,64
ABB,Industrial Goods,GRU,regression,10,1,11,0.11503620558048612,0.14588163793087006,398,42,64
ABBV,Healthcare,GRU,regression,10,1,1,0.12422960992883797,0.1536584347486496,398,42,64
ABBV,Healthcare,GRU,regression,10,1,2,0.12388530504613665,0.15325398743152618,398,42,64
ABBV,Healthcare,GRU,regression,10,1,3,0.12261150878428215,0.1530608832836151,398,42,64
ABBV,Healthcare,GRU,regression,10,1,4,0.12239801389488143,0.15321998298168182,398,42,64
ABBV,Healthcare,GRU,regression,10,1,5,0.12017464154779013,0.15389622747898102,398,42,64
ABBV,Healthcare,GRU,regression,10,1,6,0.11805584098226461,0.15507467091083527,398,42,64
ABBV,Healthcare,GRU,regression,10,1,7,0.11830812269569042,0.15604190528392792,398,42,64
ABBV,Healthcare,GRU,regression,10,1,8,0.11812688294217814,0.15684297680854797,398,42,64
ABBV,Healthcare,GRU,regression,10,1,9,0.1193047577711805,0.15684431791305542,398,42,64
ABBV,Healthcare,GRU,regression,10,1,10,0.11529276860718751,0.15664352476596832,398,42,64
ABBV,Healthcare,GRU,regression,10,1,11,0.1144085733510142,0.1562090665102005,398,42,64
AEP,Utilities,GRU,regression,10,1,1,0.12095377294711732,0.14679300785064697,398,42,64
AEP,Utilities,GRU,regression,10,1,2,0.12169910147411739,0.14676007628440857,398,42,64
AEP,Utilities,GRU,regression,10,1,3,0.11852719443826819,0.14703474938869476,398,42,64
AEP,Utilities,GRU,regression,10,1,4,0.11891578231474861,0.14743518829345703,398,42,64
AEP,Utilities,GRU,regression,10,1,5,0.11701630789730418,0.1476844698190689,398,42,64
AEP,Utilities,GRU,regression,10,1,6,0.11839729000875099,0.14778827130794525,398,42,64
AEP,Utilities,GRU,regression,10,1,7,0.1167514726669345,0.14754736423492432,398,42,64
AEP,Utilities,GRU,regression,10,1,8,0.1166330841393327,0.14705908298492432,398,42,64
AEP,Utilities,GRU,regression,10,1,9,0.11727284052264152,0.14649313688278198,398,42,64
AEP,Utilities,GRU,regression,10,1,10,0.11592773052316215,0.14600813388824463,398,42,64
AEP,Utilities,GRU,regression,10,1,11,0.11705194567166381,0.145597442984581,398,42,64
AGFS,Conglomerates,GRU,regression,10,1,1,0.08788086856188981,0.21240650117397308,115,42,64
AGFS,Conglomerates,GRU,regression,10,1,2,0.08723407167455424,0.21249842643737793,115,42,64
AGFS,Conglomerates,GRU,regression,10,1,3,0.08547207777914793,0.2125655561685562,115,42,64
AGFS,Conglomerates,GRU,regression,10,1,4,0.0861690817967705,0.21263976395130157,115,42,64
AGFS,Conglomerates,GRU,regression,10,1,5,0.08434838471205339,0.21268336474895477,115,42,64
AGFS,Conglomerates,GRU,regression,10,1,6,0.08588718882073527,0.21271392703056335,115,42,64
AGFS,Conglomerates,GRU,regression,10,1,7,0.08270135988359865,0.21275116503238678,115,42,64
AGFS,Conglomerates,GRU,regression,10,1,8,0.08509456910516905,0.21288089454174042,115,42,64
AGFS,Conglomerates,GRU,regression,10,1,9,0.08441107007472412,0.21297769248485565,115,42,64
AGFS,Conglomerates,GRU,regression,10,1,10,0.08204005671584087,0.21308693289756775,115,42,64
AGFS,Conglomerates,GRU,regression,10,1,11,0.08199182418377503,0.2131943255662918,115,42,64
AMGN,Healthcare,GRU,regression,10,1,1,0.11513380444229547,0.20805786550045013,398,42,64
AMGN,Healthcare,GRU,regression,10,1,2,0.11420822907332799,0.20875272154808044,398,42,64
AMGN,Healthcare,GRU,regression,10,1,3,0.11371067518265403,0.20920951664447784,398,42,64
AMGN,Healthcare,GRU,regression,10,1,4,0.11289824470503246,0.20952552556991577,398,42,64
AMGN,Healthcare,GRU,regression,10,1,5,0.1136839653379354,0.20939016342163086,398,42,64
AMGN,Healthcare,GRU,regression,10,1,6,0.11267098439997764,0.20903195440769196,398,42,64
AMGN,Healthcare,GRU,regression,10,1,7,0.11418293004658953,0.20834314823150635,398,42,64
AMGN,Healthcare,GRU,regression,10,1,8,0.11346017138742322,0.2076214849948883,398,42,64
AMGN,Healthcare,GRU,regression,10,1,9,0.11297675360686815,0.2053181529045105,398,42,64
AMGN,Healthcare,GRU,regression,10,1,10,0.11397666682550056,0.20472703874111176,398,42,64
AMGN,Healthcare,GRU,regression,10,1,11,0.11270377174693735,0.20442940294742584,398,42,64
AMZN,Services,GRU,regression,10,1,1,0.09926803279012891,0.1253385990858078,398,42,64
AMZN,Services,GRU,regression,10,1,2,0.09620799139216916,0.12490397691726685,398,42,64
AMZN,Services,GRU,regression,10,1,3,0.09796910691800428,0.12431085854768753,398,42,64
AMZN,Services,GRU,regression,10,1,4,0.09696428766052927,0.12363942712545395,398,42,64
AMZN,Services,GRU,regression,10,1,5,0.0968859970719371,0.12284066528081894,398,42,64
AMZN,Services,GRU,regression,10,1,6,0.09772349253821014,0.1220221221446991,398,42,64
AMZN,Services,GRU,regression,10,1,7,0.09645444929749522,0.12191997468471527,398,42,64
AMZN,Services,GRU,regression,10,1,8,0.09626888292818213,0.12229413539171219,398,42,64
AMZN,Services,GRU,regression,10,1,9,0.09517731506321299,0.12266338616609573,398,42,64
AMZN,Services,GRU,regression,10,1,10,0.09553305864633627,0.12338592857122421,398,42,64
AMZN,Services,GRU,regression,10,1,11,0.09642937801890637,0.12409169226884842,398,42,64
BA,Industrial Goods,GRU,regression,10,1,1,0.11664880557575417,0.1775081306695938,398,42,64
BA,Industrial Goods,GRU,regression,10,1,2,0.11389334245243264,0.17717213928699493,398,42,64
BA,Industrial Goods,GRU,regression,10,1,3,0.11369406023816248,0.17680099606513977,398,42,64
BA,Industrial Goods,GRU,regression,10,1,4,0.11407785136346242,0.17684262990951538,398,42,64
BA,Industrial Goods,GRU,regression,10,1,5,0.11415988371599858,0.17695878446102142,398,42,64
BA,Industrial Goods,GRU,regression,10,1,6,0.11356881107367463,0.17725175619125366,398,42,64
BA,Industrial Goods,GRU,regression,10,1,7,0.11417131938377217,0.1777815818786621,398,42,64
BA,Industrial Goods,GRU,regression,10,1,8,0.11308993245638795,0.17818540334701538,398,42,64
BA,Industrial Goods,GRU,regression,10,1,9,0.11228597579739201,0.17831720411777496,398,42,64
BA,Industrial Goods,GRU,regression,10,1,10,0.11180523906520863,0.17863711714744568,398,42,64
BA,Industrial Goods,GRU,regression,10,1,11,0.11355774314259764,0.17843250930309296,398,42,64
BABA,Services,GRU,regression,10,1,1,0.11064090682837949,0.1967601776123047,159,42,64
BABA,Services,GRU,regression,10,1,2,0.11161864389600994,0.19668057560920715,159,42,64
BABA,Services,GRU,regression,10,1,3,0.10828337762153374,0.19656163454055786,159,42,64
BABA,Services,GRU,regression,10,1,4,0.11073904306446232,0.19644568860530853,159,42,64
BABA,Services,GRU,regression,10,1,5,0.11061324614961192,0.19636672735214233,159,42,64
BABA,Services,GRU,regression,10,1,6,0.1110161266892961,0.19631566107273102,159,42,64
BABA,Services,GRU,regression,10,1,7,0.10863580015845269,0.1962829977273941,159,42,64
BABA,Services,GRU,regression,10,1,8,0.10945388037453657,0.19629564881324768,159,42,64
BABA,Services,GRU,regression,10,1,9,0.10978444412631809,0.19634927809238434,159,42,64
BABA,Services,GRU,regression,10,1,10,0.10694919957679773,0.19642634689807892,159,42,64
BABA,Services,GRU,regression,10,1,11,0.1090616838268514,0.19655513763427734,159,42,64
