company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained
AAPL,Consumer Goods,GRU,regression,5,0.0016711024744925339,0.03095091230608206,-0.15187352819489242,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,1199,398,42,64,16
ABB,Industrial Goods,GRU,regression,5,0.0010072416656286699,0.025015328327558414,-0.04982084069314041,-0.2318104592769849,0.3157894736842105,0.3,0.3333333333333333,0.390625,,,,,,1199,398,42,64,16
ABBV,Healthcare,GRU,regression,5,0.0038501386845456835,0.0421326690660631,0.09602931027873962,0.5393140145164494,0.6666666666666666,0.8823529411764706,0.5357142857142857,0.765625,,,,,,1118,398,42,64,27
AEP,Utilities,GRU,regression,5,0.0004888034217458775,0.01769372567478944,-0.013436330952510955,0.0,0.72,0.5625,1.0,0.5625,,,,,,1199,398,42,64,16
AGFS,Conglomerates,GRU,regression,5,0.012040779985338347,0.0814187980158657,-0.1988362184353174,0.0,0.5287356321839081,0.359375,1.0,0.359375,,,,,,642,120,42,64,16
AMGN,Healthcare,GRU,regression,5,0.0009396914906464988,0.02368640823687032,0.2023882897897853,0.34534534534534533,0.65625,0.7777777777777778,0.5675675675675675,0.65625,,,,,,1199,398,42,64,45
AMZN,Services,GRU,regression,5,0.0019140481654913784,0.03235009634735539,-0.08496891516211913,0.0,0.8037383177570093,0.671875,1.0,0.671875,,,,,,1199,398,42,64,16
BA,Industrial Goods,GRU,regression,5,0.0012482458788950564,0.02763143161209522,0.006186128836335958,-0.018049705127885604,0.5217391304347826,0.46153846153846156,0.6,0.484375,,,,,,1199,398,42,64,16
BABA,Services,GRU,regression,5,0.004745788695751691,0.055342145932218964,-0.27804477987173115,0.0,0.0,0.0,0.0,0.375,,,,,,686,164,42,64,16
BAC,Financial,GRU,regression,5,0.001160231289988336,0.02546350055587772,0.03318582971320316,0.0,0.7326732673267327,0.578125,1.0,0.578125,,,,,,1199,398,42,64,16
BBL,Basic Matierials,GRU,regression,5,0.006211231480005247,0.06574167337051366,-0.25874308813991,0.13957160400219615,0.43137254901960786,0.3235294117647059,0.6470588235294118,0.546875,,,,,,1199,398,42,64,16
BCH,Financial,GRU,regression,5,0.0004314176800904485,0.016945754225433096,-0.032307835848913946,0.0,0.0,0.0,0.0,0.6875,,,,,,1199,398,42,64,16
BHP,Basic Matierials,GRU,regression,5,0.0045162459454497,0.05298604383461744,-0.05506272617743635,0.0,0.0,0.0,0.0,0.734375,,,,,,1199,398,42,64,16
BP,Basic Matierials,GRU,regression,5,0.002045943401000406,0.033603623407942124,-0.009209517526336253,0.0,0.0,0.0,0.0,0.640625,,,,,,1199,398,42,64,16
BRK-A,Financial,GRU,regression,5,0.00036338417526562007,0.016216835328316775,-0.0465349556369381,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,1199,398,42,64,16
BSAC,Financial,GRU,regression,5,0.001009452740707855,0.025648763843439226,0.0079177407825477,0.0,0.0,0.0,0.0,0.640625,,,,,,1199,398,42,64,16
BUD,Consumer Goods,GRU,regression,5,0.0006628870554006247,0.020151234872969145,0.04472712009549917,0.0,0.8148148148148148,0.6875,1.0,0.6875,,,,,,1199,398,42,64,16
C,Financial,GRU,regression,5,0.0010246096528297634,0.02396905607081768,0.005319504649042073,0.15843197301391512,0.5172413793103449,0.6521739130434783,0.42857142857142855,0.5625,,,,,,1199,398,42,64,16
CAT,Industrial Goods,GRU,regression,5,0.0015791083287755633,0.03198183231888471,-0.008211831854983531,0.0,0.0,0.0,0.0,0.484375,,,,,,1199,398,42,64,16
CELG,Healthcare,GRU,regression,5,0.0024919061000797087,0.03759172335247768,-0.02357445936449798,0.0,0.6938775510204082,0.53125,1.0,0.53125,,,,,,1199,398,42,64,16
CHL,Technology,GRU,regression,5,0.0011920144362233165,0.02651809075359464,-0.8198953349516904,0.0,0.47619047619047616,0.3125,1.0,0.3125,,,,,,1199,398,42,64,35
CHTR,Services,GRU,regression,5,0.0007822634688700366,0.02152564654232403,-0.0306779215903199,-0.10846522890932808,0.5384615384615384,0.4375,0.7,0.4375,,,,,,1199,398,42,64,16
CMCSA,Services,GRU,regression,5,0.0005310630624829984,0.019057604270684404,-0.048999121046754635,-0.20602334873357925,0.10526315789473684,0.2,0.07142857142857142,0.46875,,,,,,1199,398,42,64,16
CODI,Conglomerates,GRU,regression,5,0.0006100071612373555,0.018902456981424197,-0.02576420163553861,0.0,0.0,0.0,0.0,0.609375,,,,,,1199,398,42,64,16
CSCO,Technology,GRU,regression,5,0.0011349521859638284,0.025501942885418453,-0.0011173842071794393,0.2374905254044498,0.7045454545454546,0.5636363636363636,0.9393939393939394,0.59375,,,,,,1199,398,42,64,16
CVX,Basic Matierials,GRU,regression,5,0.0018655270755001975,0.0314865066300387,-0.008161065696443703,0.0,0.1111111111111111,0.5,0.0625,0.5,,,,,,1199,398,42,64,16
D,Utilities,GRU,regression,5,0.000530193448949219,0.019423230364444224,-0.005430208082418675,0.0,0.6666666666666666,0.5,1.0,0.5,,,,,,1199,398,42,64,16
DHR,Industrial Goods,GRU,regression,5,0.0005563207000369218,0.018456065783113457,-0.010317564572689397,-0.09720767474833039,0.10810810810810811,0.3333333333333333,0.06451612903225806,0.484375,,,,,,1199,398,42,64,16
DIS,Services,GRU,regression,5,0.0009965425558333633,0.02591528903043501,0.0614087465721056,0.3803921568627451,0.6875,0.7333333333333333,0.6470588235294118,0.6875,,,,,,1199,398,42,64,20
DUK,Utilities,GRU,regression,5,0.0006458487332410862,0.019615228135969887,0.007192905492729995,0.0,0.6595744680851063,0.5,0.96875,0.5,,,,,,1199,398,42,64,22
EXC,Utilities,GRU,regression,5,0.0011120390386645978,0.0252092850570812,-0.1726238970956453,0.0,0.6382978723404256,0.46875,1.0,0.46875,,,,,,1199,398,42,64,16
