company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained
AAPL,Consumer Goods,BiGRU,regression,5,0.0015800637735340988,0.030132833636739284,-0.08912149995250895,0.12855839970025792,0.5757575757575758,0.5428571428571428,0.6129032258064516,0.5625,,,,,,1189,398,42,64,20
ABB,Industrial Goods,BiGRU,regression,5,0.0009740166619782366,0.02459261856145871,-0.0151913148756595,0.0,0.0,0.0,0.0,0.578125,,,,,,1189,398,42,64,11
ABBV,Healthcare,BiGRU,regression,5,0.00440858662141937,0.04628191323584757,-0.03508819172072153,-0.14285714285714285,0.5934065934065934,0.42857142857142855,0.9642857142857143,0.421875,,,,,,1108,398,42,64,11
AEP,Utilities,BiGRU,regression,5,0.0005013598662719919,0.01794164207576382,-0.039469612439991586,-0.09460945407607456,0.13953488372093023,0.42857142857142855,0.08333333333333333,0.421875,,,,,,1189,398,42,64,11
AGFS,Conglomerates,BiGRU,regression,5,0.011386811292670189,0.07725726267487074,-0.1337240450173134,0.260651493629217,0.5833333333333334,0.42857142857142855,0.9130434782608695,0.53125,,,,,,632,110,42,64,20
AMGN,Healthcare,BiGRU,regression,5,0.0012625311694122996,0.028381473513073102,-0.07163856994792361,0.16718560928210283,0.3673469387755102,0.75,0.24324324324324326,0.515625,,,,,,1189,398,42,64,20
AMZN,Services,BiGRU,regression,5,0.001688419245518574,0.03016239368244586,0.04292774331577687,0.0,0.8037383177570093,0.671875,1.0,0.671875,,,,,,1189,398,42,64,20
BA,Industrial Goods,BiGRU,regression,5,0.0012716228296492625,0.027926035836567803,-0.01242585964914178,-0.08795448010813221,0.6153846153846154,0.45901639344262296,0.9333333333333333,0.453125,,,,,,1189,398,42,64,11
BABA,Services,BiGRU,regression,5,0.00457654129554704,0.054440659625939344,-0.23246631647911342,0.0,0.0,0.0,0.0,0.375,,,,,,676,154,42,64,11
BAC,Financial,BiGRU,regression,5,0.001216433494416114,0.02634076514018384,-0.013647149289351956,-0.0898595649225765,0.7010309278350515,0.5666666666666667,0.918918918918919,0.546875,,,,,,1189,398,42,64,11
BBL,Basic Matierials,BiGRU,regression,5,0.005445188268806164,0.06029017883934368,-0.10349986456703286,0.0,0.0,0.0,0.0,0.734375,,,,,,1189,398,42,64,20
BCH,Financial,BiGRU,regression,5,0.00046408718818007077,0.01794053424429881,-0.11048031405420189,-0.0849411985729376,0.0,0.0,0.0,0.671875,,,,,,1189,398,42,64,11
BHP,Basic Matierials,BiGRU,regression,5,0.0045609182700040015,0.05242057927496399,-0.06549885058213856,-0.10801764008560681,0.0,0.0,0.0,0.703125,,,,,,1189,398,42,64,20
BP,Basic Matierials,BiGRU,regression,5,0.00208133845751594,0.03403427806028994,-0.026668958433349044,-0.00806433952177643,0.3,0.35294117647058826,0.2608695652173913,0.5625,,,,,,1189,398,42,64,11
BRK-A,Financial,BiGRU,regression,5,0.00033395743426593833,0.015626850336501824,0.03821312967561252,0.36160513545037,0.7160493827160493,0.58,0.9354838709677419,0.640625,,,,,,1189,398,42,64,18
BSAC,Financial,BiGRU,regression,5,0.0011041931846167943,0.027504922905652845,-0.08519242658054882,-0.04636325549680435,0.36,0.3333333333333333,0.391304347826087,0.5,,,,,,1189,398,42,64,20
BUD,Consumer Goods,BiGRU,regression,5,0.0007923993306073601,0.021994083691193725,-0.14191035172079824,-0.2727272727272727,0.7070707070707071,0.6363636363636364,0.7954545454545454,0.546875,,,,,,1189,398,42,64,13
C,Financial,BiGRU,regression,5,0.001088006025486319,0.024138596368849817,-0.05622504081109514,0.0,0.7070707070707071,0.546875,1.0,0.546875,,,,,,1189,398,42,64,11
CAT,Industrial Goods,BiGRU,regression,5,0.001578727457600479,0.03184578363154586,-0.007968657388650158,0.0,0.6804123711340206,0.515625,1.0,0.515625,,,,,,1189,398,42,64,11
CELG,Healthcare,BiGRU,regression,5,0.002381293891403774,0.03811540488481041,0.021860571951875185,0.19323899556020774,0.7096774193548387,0.559322033898305,0.9705882352941176,0.578125,,,,,,1189,398,42,64,20
CHL,Technology,BiGRU,regression,5,0.00071711000110028,0.018610598048202018,-0.09484005058232814,0.0,0.0,0.0,0.0,0.6875,,,,,,1189,398,42,64,11
CHTR,Services,BiGRU,regression,5,0.000832266548635493,0.022033885431779032,-0.09655990685063087,0.0,0.6382978723404256,0.46875,1.0,0.46875,,,,,,1189,398,42,64,11
CMCSA,Services,BiGRU,regression,5,0.0006022748031897516,0.019798084138105652,-0.18966236555923666,0.0,0.6086956521739131,0.4375,1.0,0.4375,,,,,,1189,398,42,64,11
CODI,Conglomerates,BiGRU,regression,5,0.0006182292332300312,0.0189280202399564,-0.03959011655799505,0.0,0.0,0.0,0.0,0.609375,,,,,,1189,398,42,64,11
CSCO,Technology,BiGRU,regression,5,0.0011541664589567522,0.025488494180410402,-0.018065889136295255,0.0,0.6804123711340206,0.515625,1.0,0.515625,,,,,,1189,398,42,64,11
CVX,Basic Matierials,BiGRU,regression,5,0.001972731036552911,0.03281650791686043,-0.06609582367512656,0.0,0.0,0.0,0.0,0.5,,,,,,1189,398,42,64,11
D,Utilities,BiGRU,regression,5,0.0005491229903927854,0.01941822307176226,-0.041327167636011186,0.2581988897471611,0.6956521739130435,0.5333333333333333,1.0,0.5625,,,,,,1189,398,42,64,20
DHR,Industrial Goods,BiGRU,regression,5,0.0005373779223107544,0.017872056504503547,0.02408385363316401,0.2799807228085951,0.6229508196721312,0.6333333333333333,0.6129032258064516,0.640625,,,,,,1189,398,42,64,11
DIS,Services,BiGRU,regression,5,0.0011463348492599858,0.02696514597432552,-0.07967277134015305,0.0,0.6938775510204082,0.53125,1.0,0.53125,,,,,,1189,398,42,64,20
DUK,Utilities,BiGRU,regression,5,0.0006694222807553658,0.019990682991461672,-0.02904465914168819,-0.17213259316477408,0.14285714285714285,0.3,0.09375,0.4375,,,,,,1189,398,42,64,11
EXC,Utilities,BiGRU,regression,5,0.0009647939186346596,0.024162180097836647,-0.017356734276283925,0.11030375355930092,0.3333333333333333,0.5833333333333334,0.23333333333333334,0.5625,,,,,,1189,398,42,64,20
FB,Technology,BiGRU,regression,5,0.0009420632761398053,0.02455665267709739,-0.015214568793562089,0.0,0.7450980392156863,0.59375,1.0,0.59375,,,,,,1189,398,42,64,11
GD,Industrial Goods,BiGRU,regression,5,0.0006341110292757727,0.020232431365368453,0.0044550717693701,0.35595737528732635,0.65,0.48148148148148145,1.0,0.5625,,,,,,1189,398,42,64,11
GE,Industrial Goods,BiGRU,regression,5,0.0008697952591578009,0.01940907207301394,-0.08917257966566305,0.014456362470655182,0.7843137254901961,0.6896551724137931,0.9090909090909091,0.65625,,,,,,1189,398,42,64,11
