company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained
AAPL,Consumer Goods,GRU,regression,5,0.001828101956274213,0.032737774834061054,-0.26009163556113846,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,1184,398,42,64,16
ABB,Industrial Goods,GRU,regression,5,0.0009407947089399945,0.024132296850008658,0.019435031370955258,0.24234852357906997,0.3783783783783784,0.7,0.25925925925925924,0.640625,,,,,,1184,398,42,64,16
ABBV,Healthcare,GRU,regression,5,0.004304989908459584,0.04512528698080426,-0.010764810216825405,0.007889684472185849,0.4838709677419355,0.4411764705882353,0.5357142857142857,0.5,,,,,,1103,398,42,64,30
AEP,Utilities,GRU,regression,5,0.00046764001404607617,0.017114627163672402,0.030441770745576524,0.38331077069024155,0.7727272727272727,0.6538461538461539,0.9444444444444444,0.6875,,,,,,1184,398,42,64,16
AGFS,Conglomerates,GRU,regression,5,0.010540781838539143,0.07430590104371794,-0.04948940633855847,-0.00806433952177643,0.3,0.35294117647058826,0.2608695652173913,0.5625,,,,,,627,105,42,64,16
AMGN,Healthcare,GRU,regression,5,0.0011105329723258258,0.026204676487978668,0.05737775416883817,0.2596919512521956,0.6933333333333334,0.6842105263157895,0.7027027027027027,0.640625,,,,,,1184,398,42,64,30
AMZN,Services,GRU,regression,5,0.002877045277679985,0.04523066936705236,-0.6308391555002439,0.0,0.0,0.0,0.0,0.328125,,,,,,1184,398,42,64,16
BA,Industrial Goods,GRU,regression,5,0.0012225952250231353,0.027135935763488994,0.02660836779850151,0.07036672182012485,0.2564102564102564,0.5555555555555556,0.16666666666666666,0.546875,,,,,,1184,398,42,64,30
BABA,Services,GRU,regression,5,0.0037038337331509004,0.04796698928333541,0.0025545443260484024,0.0,0.7692307692307693,0.625,1.0,0.625,,,,,,671,149,42,64,16
BAC,Financial,GRU,regression,5,0.0011798091742729966,0.027184287716480682,0.01687168949480289,0.05790766725522051,0.4482758620689655,0.6190476190476191,0.35135135135135137,0.5,,,,,,1184,398,42,64,30
BBL,Basic Matierials,GRU,regression,5,0.00515933248020509,0.05862310327476604,-0.045569484856553766,0.0,0.0,0.0,0.0,0.734375,,,,,,1184,398,42,64,20
BCH,Financial,GRU,regression,5,0.0005332386691030964,0.019487206377760163,-0.27594783871019146,0.0,0.47619047619047616,0.3125,1.0,0.3125,,,,,,1184,398,42,64,18
BHP,Basic Matierials,GRU,regression,5,0.004838310214308532,0.056637749276392896,-0.13030176532872573,0.26489818259524006,0.4878048780487805,0.4166666666666667,0.5882352941176471,0.671875,,,,,,1184,398,42,64,16
BP,Basic Matierials,GRU,regression,5,0.002082946177469794,0.03397811326257334,-0.027462003968310222,0.018027571580063628,0.46875,0.36585365853658536,0.6521739130434783,0.46875,,,,,,1184,398,42,64,16
BRK-A,Financial,GRU,regression,5,0.0003579386269026548,0.01622397108847981,-0.030851948223946213,-0.258597291475905,0.20408163265306123,0.2777777777777778,0.16129032258064516,0.390625,,,,,,1184,398,42,64,24
BSAC,Financial,GRU,regression,5,0.0010249049070779686,0.02579215549057011,-0.007268527483479836,0.0,0.0,0.0,0.0,0.640625,,,,,,1184,398,42,64,16
BUD,Consumer Goods,GRU,regression,5,0.0007173256445386891,0.02014714749704881,-0.033723209263289755,0.0,0.8148148148148148,0.6875,1.0,0.6875,,,,,,1184,398,42,64,16
C,Financial,GRU,regression,5,0.0011362314604259995,0.024498295156591847,-0.10304179622798615,0.0,0.7070707070707071,0.546875,1.0,0.546875,,,,,,1184,398,42,64,16
CAT,Industrial Goods,GRU,regression,5,0.001656494170518669,0.03295515754974038,-0.05762029854577344,0.0,0.0,0.0,0.0,0.484375,,,,,,1184,398,42,64,16
CELG,Healthcare,GRU,regression,5,0.0023574034544504782,0.03736137349961441,0.03167379929927372,0.14379213277409608,0.6493506493506493,0.5813953488372093,0.7352941176470589,0.578125,,,,,,1184,398,42,64,30
CHL,Technology,GRU,regression,5,0.000767281140400509,0.020144647292031595,-0.17143830274023442,0.0778498944161523,0.47058823529411764,0.3333333333333333,0.8,0.4375,,,,,,1184,398,42,64,30
CHTR,Services,GRU,regression,5,0.0007873185693002347,0.02165244406201805,-0.03733831238212426,-0.11834526708278773,0.0,0.0,0.0,0.515625,,,,,,1184,398,42,64,22
CMCSA,Services,GRU,regression,5,0.0006203530551115847,0.02051822168315915,-0.2253720048013217,-0.3228319989860621,0.39436619718309857,0.32558139534883723,0.5,0.328125,,,,,,1184,398,42,64,30
CODI,Conglomerates,GRU,regression,5,0.0006050298905288385,0.01919937287538149,-0.017394617737064744,0.0,0.0,0.0,0.0,0.609375,,,,,,1184,398,42,64,16
CSCO,Technology,GRU,regression,5,0.001064653872992196,0.024695447974300892,0.06089127489467738,0.21796176586341726,0.6575342465753424,0.6,0.7272727272727273,0.609375,,,,,,1184,398,42,64,30
CVX,Basic Matierials,GRU,regression,5,0.002002162896592945,0.03263559889524632,-0.08200127783500966,0.0,0.0,0.0,0.0,0.5,,,,,,1184,398,42,64,22
D,Utilities,GRU,regression,5,0.0005486396846483309,0.020109582498325992,-0.04041065273719946,-0.06262242910851495,0.48484848484848486,0.47058823529411764,0.5,0.46875,,,,,,1184,398,42,64,16
DHR,Industrial Goods,GRU,regression,5,0.0005577260182755381,0.018865650430495734,-0.01286972144945886,-0.12998877418150556,0.6382978723404256,0.47619047619047616,0.967741935483871,0.46875,,,,,,1184,398,42,64,16
DIS,Services,GRU,regression,5,0.0011503918373750536,0.026545797833690085,-0.08349383601799731,0.0,0.6938775510204082,0.53125,1.0,0.53125,,,,,,1184,398,42,64,16
DUK,Utilities,GRU,regression,5,0.000768307502202607,0.020993701661684544,-0.18105231099860752,0.25031308716087947,0.6966292134831461,0.543859649122807,0.96875,0.578125,,,,,,1184,398,42,64,30
EXC,Utilities,GRU,regression,5,0.000976608093284929,0.023428837085482976,-0.029814555483715255,0.11834526708278773,0.6451612903225806,0.47619047619047616,1.0,0.484375,,,,,,1184,398,42,64,16
FB,Technology,GRU,regression,5,0.0009537080287812899,0.024292253584738438,-0.027763537457401677,0.32858324426263996,0.5614035087719298,0.8421052631578947,0.42105263157894735,0.609375,,,,,,1184,398,42,64,17
GD,Industrial Goods,GRU,regression,5,0.0005707372317372281,0.01901142332365352,0.1039509956839414,0.4333893512190911,0.6885245901639344,0.6,0.8076923076923077,0.703125,,,,,,1184,398,42,64,30
GE,Industrial Goods,GRU,regression,5,0.0017963886008405283,0.03877150735391528,-1.2494686949132947,0.07065618047809737,0.16326530612244897,0.8,0.09090909090909091,0.359375,,,,,,1184,398,42,64,30
