company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,GRU,regression,15,1,1,0.2527807889571741,0.47885069251060486,398,42,64
AAPL,Consumer Goods,GRU,regression,15,1,2,0.2525665664193618,0.481141060590744,398,42,64
AAPL,Consumer Goods,GRU,regression,15,1,3,0.25752509463971585,0.48438727855682373,398,42,64
AAPL,Consumer Goods,GRU,regression,15,1,4,0.25858934306020115,0.4893960654735565,398,42,64
AAPL,Consumer Goods,GRU,regression,15,1,5,0.2614157818370129,0.4957190155982971,398,42,64
AAPL,Consumer Goods,GRU,regression,15,1,6,0.2508503089298555,0.5012876987457275,398,42,64
AAPL,Consumer Goods,GRU,regression,15,1,7,0.2504033049446854,0.5058002471923828,398,42,64
AAPL,Consumer Goods,GRU,regression,15,1,8,0.2555666691693828,0.5081228613853455,398,42,64
AAPL,Consumer Goods,GRU,regression,15,1,9,0.25611560099088965,0.5090290307998657,398,42,64
AAPL,Consumer Goods,GRU,regression,15,1,10,0.26543886622591834,0.5085163712501526,398,42,64
AAPL,Consumer Goods,GRU,regression,15,1,11,0.2479960012376009,0.5091221332550049,398,42,64
ABB,Industrial Goods,GRU,regression,15,1,1,0.2634537139130597,0.35273081064224243,398,42,64
ABB,Industrial Goods,GRU,regression,15,1,2,0.2664678210589155,0.35863587260246277,398,42,64
ABB,Industrial Goods,GRU,regression,15,1,3,0.26066104086799236,0.36778873205184937,398,42,64
ABB,Industrial Goods,GRU,regression,15,1,4,0.2619814291671293,0.3804193437099457,398,42,64
ABB,Industrial Goods,GRU,regression,15,1,5,0.26407410915772517,0.394914448261261,398,42,64
ABB,Industrial Goods,GRU,regression,15,1,6,0.25734274950458774,0.40659311413764954,398,42,64
ABB,Industrial Goods,GRU,regression,15,1,7,0.25997943360002795,0.4143136441707611,398,42,64
ABB,Industrial Goods,GRU,regression,15,1,8,0.25398156091795493,0.4205509126186371,398,42,64
ABB,Industrial Goods,GRU,regression,15,1,9,0.2532909603873689,0.4243883490562439,398,42,64
ABB,Industrial Goods,GRU,regression,15,1,10,0.2538970764258399,0.42644011974334717,398,42,64
ABB,Industrial Goods,GRU,regression,15,1,11,0.26250692857569785,0.4275614619255066,398,42,64
ABBV,Healthcare,GRU,regression,15,1,1,0.2728131822305708,0.3763220012187958,398,42,64
ABBV,Healthcare,GRU,regression,15,1,2,0.2652001350968327,0.3767678737640381,398,42,64
ABBV,Healthcare,GRU,regression,15,1,3,0.2749753264925588,0.37907013297080994,398,42,64
ABBV,Healthcare,GRU,regression,15,1,4,0.2663781863810429,0.3827974200248718,398,42,64
ABBV,Healthcare,GRU,regression,15,1,5,0.27008975967390453,0.38934531807899475,398,42,64
ABBV,Healthcare,GRU,regression,15,1,6,0.26975839416585373,0.39493316411972046,398,42,64
ABBV,Healthcare,GRU,regression,15,1,7,0.27201740870523694,0.400767982006073,398,42,64
ABBV,Healthcare,GRU,regression,15,1,8,0.2690290318212317,0.40438875555992126,398,42,64
ABBV,Healthcare,GRU,regression,15,1,9,0.27174041903198665,0.404234379529953,398,42,64
ABBV,Healthcare,GRU,regression,15,1,10,0.27757688398337244,0.4029594659805298,398,42,64
ABBV,Healthcare,GRU,regression,15,1,11,0.27071860881906057,0.4027195870876312,398,42,64
AEP,Utilities,GRU,regression,15,1,1,0.2662728028980332,0.3343566358089447,398,42,64
AEP,Utilities,GRU,regression,15,1,2,0.2689502728195047,0.3344612717628479,398,42,64
AEP,Utilities,GRU,regression,15,1,3,0.26455633559418684,0.3350001275539398,398,42,64
AEP,Utilities,GRU,regression,15,1,4,0.26949288812114963,0.33603668212890625,398,42,64
AEP,Utilities,GRU,regression,15,1,5,0.2735443070306251,0.33718910813331604,398,42,64
AEP,Utilities,GRU,regression,15,1,6,0.27010768876602903,0.338002473115921,398,42,64
AEP,Utilities,GRU,regression,15,1,7,0.2613904026884529,0.33899497985839844,398,42,64
