company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained
AAPL,Consumer Goods,LSTM,regression,5,0.0017596833881200129,0.03186444442019752,-0.21293142923222774,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,1189,398,42,64,16
ABB,Industrial Goods,LSTM,regression,5,0.0009700878980581962,0.024420806331397024,-0.011096470130682379,0.0,0.0,0.0,0.0,0.578125,,,,,,1189,398,42,64,16
ABBV,Healthcare,LSTM,regression,5,0.0042389244203305835,0.044824383419068775,0.004746647879596666,0.0,0.6086956521739131,0.4375,1.0,0.4375,,,,,,1108,398,42,64,16
AEP,Utilities,LSTM,regression,5,0.0004255443767720973,0.016386494826025694,0.11771867244089229,0.22084711628963774,0.7,0.6363636363636364,0.7777777777777778,0.625,,,,,,1189,398,42,64,20
AGFS,Conglomerates,LSTM,regression,5,0.010879269969137625,0.07590038804748031,-0.08319086346725313,0.0,0.5287356321839081,0.359375,1.0,0.359375,,,,,,632,110,42,64,16
AMGN,Healthcare,LSTM,regression,5,0.0009401205197507472,0.024213221272134794,0.20202412916794743,0.4165766546610885,0.6071428571428571,0.8947368421052632,0.4594594594594595,0.65625,,,,,,1189,398,42,64,20
AMZN,Services,LSTM,regression,5,0.0017687269929364733,0.030941682423601624,-0.002594313634521006,0.0,0.8037383177570093,0.671875,1.0,0.671875,,,,,,1189,398,42,64,16
BA,Industrial Goods,LSTM,regression,5,0.0011854536222961048,0.02676642725159295,0.05617933663682628,0.2805550872420795,0.5306122448979592,0.6842105263157895,0.43333333333333335,0.640625,,,,,,1189,398,42,64,20
BABA,Services,LSTM,regression,5,0.0044747430472706325,0.05389443080507682,-0.20505196490332311,0.0,0.0,0.0,0.0,0.375,,,,,,676,154,42,64,16
BAC,Financial,LSTM,regression,5,0.0011964539209413831,0.026516380939851286,0.0030017162586976065,0.0,0.0,0.0,0.0,0.421875,,,,,,1189,398,42,64,16
BBL,Basic Matierials,LSTM,regression,5,0.005858816763667412,0.06263777234239885,-0.18732414492759508,0.23430202631092822,0.4782608695652174,0.3793103448275862,0.6470588235294118,0.625,,,,,,1189,398,42,64,20
BCH,Financial,LSTM,regression,5,0.0004298966442436641,0.017024278569233553,-0.028668260338440055,0.0,0.0,0.0,0.0,0.6875,,,,,,1189,398,42,64,16
BHP,Basic Matierials,LSTM,regression,5,0.004575958431736504,0.053266056123912414,-0.06901245773093234,0.0,0.0,0.0,0.0,0.734375,,,,,,1189,398,42,64,16
BP,Basic Matierials,LSTM,regression,5,0.0020809893215204926,0.034038920903266726,-0.02649673892358928,0.0,0.0,0.0,0.0,0.640625,,,,,,1189,398,42,64,16
BRK-A,Financial,LSTM,regression,5,0.00036639939116078584,0.016268507807774696,-0.055218682248798556,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,1189,398,42,64,16
BSAC,Financial,LSTM,regression,5,0.0010801106813469845,0.026571884354812864,-0.061524330702408925,0.03781924517106361,0.4230769230769231,0.3793103448275862,0.4782608695652174,0.53125,,,,,,1189,398,42,64,16
BUD,Consumer Goods,LSTM,regression,5,0.0007798552484056955,0.022876710053584978,-0.12383333327110035,0.0,0.0,0.0,0.0,0.3125,,,,,,1189,398,42,64,16
C,Financial,LSTM,regression,5,0.0011163532012560817,0.024260296044280087,-0.08374418701335418,0.0,0.7070707070707071,0.546875,1.0,0.546875,,,,,,1189,398,42,64,16
CAT,Industrial Goods,LSTM,regression,5,0.001605433577593309,0.03186251874561194,-0.02501968908106611,0.0,0.6804123711340206,0.515625,1.0,0.515625,,,,,,1189,398,42,64,16
CELG,Healthcare,LSTM,regression,5,0.0024065366628495035,0.037306113723790474,0.011491860171524593,0.48499497501125055,0.7816091954022989,0.6415094339622641,1.0,0.703125,,,,,,1189,398,42,64,16
CHL,Technology,LSTM,regression,5,0.0008987162756103398,0.022065102980851167,-0.3721054944690294,0.0,0.47619047619047616,0.3125,1.0,0.3125,,,,,,1189,398,42,64,16
CHTR,Services,LSTM,regression,5,0.0007847914781928698,0.02150917218352244,-0.03400872188754245,0.0,0.6382978723404256,0.46875,1.0,0.46875,,,,,,1189,398,42,64,16
CMCSA,Services,LSTM,regression,5,0.0005170899473679361,0.01871694067944766,-0.021398283200016577,0.0,0.0,0.0,0.0,0.5625,,,,,,1189,398,42,64,16
CODI,Conglomerates,LSTM,regression,5,0.0006040220000043857,0.018989962956691885,-0.015699788422185446,0.0,0.0,0.0,0.0,0.609375,,,,,,1189,398,42,64,16
CSCO,Technology,LSTM,regression,5,0.0011689490378864794,0.025631727605356126,-0.031105290207977365,0.0,0.6804123711340206,0.515625,1.0,0.515625,,,,,,1189,398,42,64,16
CVX,Basic Matierials,LSTM,regression,5,0.0018571643136407459,0.031474878937076886,-0.003641693654561351,0.0,0.0,0.0,0.0,0.5,,,,,,1189,398,42,64,16
D,Utilities,LSTM,regression,5,0.0005207067424284865,0.019375811813240787,0.012559869558224523,0.0,0.0,0.0,0.0,0.5,,,,,,1189,398,42,64,16
DHR,Industrial Goods,LSTM,regression,5,0.0005460975782174573,0.018421293740863126,0.008248344512278849,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,1189,398,42,64,16
DIS,Services,LSTM,regression,5,0.0010982713849200846,0.02657984751082358,-0.03440431092688967,0.0,0.6938775510204082,0.53125,1.0,0.53125,,,,,,1189,398,42,64,16
