company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained
AAPL,Consumer Goods,BiGRU,regression,1,0.00025340577210005534,0.012697222397808327,-0.032047230718312614,0.004706208053350118,0.5684210526315789,0.45,0.7714285714285715,0.47435897435897434,468,312,78,78,17
ABBV,Healthcare,BiGRU,regression,1,0.0006677425057062549,0.01889225081453517,0.03417823023154354,0.048456983719131694,0.676923076923077,0.5641025641025641,0.8461538461538461,0.5531914893617021,283,189,47,47,20
AMGN,Healthcare,BiGRU,regression,1,0.0003471053002377985,0.01523267979048045,-0.0051554486529910015,0.0,0.7027027027027027,0.5416666666666666,1.0,0.5416666666666666,293,196,49,48,18
AMZN,Services,BiGRU,regression,1,0.00042379339415002154,0.01610498216730364,-0.22865969997949276,0.0,0.0,0.0,0.0,0.4605263157894737,458,306,76,76,16
BA,Industrial Goods,BiGRU,regression,1,0.00018826387049382444,0.009058907133803248,0.06147491369999214,0.5745243840484808,0.8135593220338984,0.7741935483870968,0.8571428571428571,0.7884615384615384,315,211,52,52,19
BABA,Services,BiGRU,regression,1,0.0005804722927704288,0.018480475661012945,-0.014254422869611538,-0.057761553466155406,0.38095238095238093,0.47058823529411764,0.32,0.46938775510204084,245,157,39,49,19
BAC,Financial,BiGRU,regression,1,0.00024769706996155896,0.011949735064020611,-0.0075881281308811666,0.0,0.0,0.0,0.0,0.6,425,284,71,70,16
BHP,Basic Matierials,BiGRU,regression,1,0.000639316714024179,0.01986225479155255,-0.09359540816530187,0.0,0.59375,0.4222222222222222,1.0,0.4222222222222222,183,111,27,45,16
BP,Basic Matierials,BiGRU,regression,1,0.00033984550859188423,0.015373280641140978,-0.005099477772882333,0.0,0.5517241379310345,0.38095238095238093,1.0,0.38095238095238093,254,170,42,42,16
C,Financial,BiGRU,regression,1,0.0002369915438584101,0.011790876545596875,0.004768396572745637,0.0,0.6078431372549019,0.43661971830985913,1.0,0.43661971830985913,429,287,71,71,16
CAT,Industrial Goods,BiGRU,regression,1,0.00030890853447231297,0.013872450329847524,-0.00976234063440895,0.0,0.64,0.47058823529411764,1.0,0.47058823529411764,310,208,51,51,16
CELG,Healthcare,BiGRU,regression,1,0.000655318083193275,0.019131835659278,0.021132629314761453,0.2942059367145857,0.6181818181818182,0.68,0.5666666666666667,0.6440677966101694,357,239,59,59,17
CMCSA,Services,BiGRU,regression,1,0.00015023182863413198,0.00950201514845108,-0.0026937021043504927,0.1,0.5454545454545454,0.5,0.6,0.5454545454545454,265,177,44,44,17
