company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,BiGRU,regression,12,1,1,0.40817544093498814,0.5552642956758157,312,78,78
AAPL,Consumer Goods,BiGRU,regression,12,1,2,0.39113721404320156,0.5550866646644397,312,78,78
AAPL,Consumer Goods,BiGRU,regression,12,1,3,0.35945052519822734,0.5782380684828147,312,78,78
AAPL,Consumer Goods,BiGRU,regression,12,1,4,0.3469882584535159,0.6446882700308775,312,78,78
AAPL,Consumer Goods,BiGRU,regression,12,1,5,0.3332134462319888,0.6387108778342222,312,78,78
AAPL,Consumer Goods,BiGRU,regression,12,1,6,0.3253061060722058,0.6148080245042459,312,78,78
AAPL,Consumer Goods,BiGRU,regression,12,1,7,0.3336654190833752,0.5847755915079361,312,78,78
AAPL,Consumer Goods,BiGRU,regression,12,1,8,0.32492918922350955,0.6975398338758029,312,78,78
AAPL,Consumer Goods,BiGRU,regression,12,1,9,0.32733067870140076,0.7375177572935055,312,78,78
AAPL,Consumer Goods,BiGRU,regression,12,1,10,0.3138074057224469,0.6759722324518057,312,78,78
AAPL,Consumer Goods,BiGRU,regression,12,1,11,0.3249352413874406,0.6959349803435497,312,78,78
AAPL,Consumer Goods,BiGRU,regression,12,1,12,0.30380886563887965,0.7073241716776139,312,78,78
AAPL,Consumer Goods,BiGRU,regression,12,1,13,0.31270726368977475,0.6836706277651664,312,78,78
AAPL,Consumer Goods,BiGRU,regression,12,1,14,0.3185136799628918,0.6773796173242422,312,78,78
AAPL,Consumer Goods,BiGRU,regression,12,1,15,0.29343468180069554,0.653906721335191,312,78,78
AAPL,Consumer Goods,BiGRU,regression,12,1,16,0.32003973233394134,0.641932242955917,312,78,78
AAPL,Consumer Goods,BiGRU,regression,12,1,17,0.2953260808418959,0.6695085152601584,312,78,78
ABBV,Healthcare,BiGRU,regression,12,1,1,0.413828234666239,0.36936032645245814,189,47,47
ABBV,Healthcare,BiGRU,regression,12,1,2,0.378431325551694,0.36641141582042613,189,47,47
ABBV,Healthcare,BiGRU,regression,12,1,3,0.37915441567304903,0.36304203246502165,189,47,47
ABBV,Healthcare,BiGRU,regression,12,1,4,0.36320249681119565,0.36070936030529915,189,47,47
ABBV,Healthcare,BiGRU,regression,12,1,5,0.36155372195773655,0.36061708597426717,189,47,47
ABBV,Healthcare,BiGRU,regression,12,1,6,0.34930445726901765,0.3697163120229193,189,47,47
ABBV,Healthcare,BiGRU,regression,12,1,7,0.34937658227940716,0.3797148288564479,189,47,47
ABBV,Healthcare,BiGRU,regression,12,1,8,0.34563730546721705,0.40041509587714014,189,47,47
ABBV,Healthcare,BiGRU,regression,12,1,9,0.3352434146341193,0.3803952691402841,189,47,47
ABBV,Healthcare,BiGRU,regression,12,1,10,0.3183384894851654,0.3789728080972712,189,47,47
ABBV,Healthcare,BiGRU,regression,12,1,11,0.3330566976120863,0.41761400217705585,189,47,47
ABBV,Healthcare,BiGRU,regression,12,1,12,0.33076104103888154,0.4000046646341364,189,47,47
ABBV,Healthcare,BiGRU,regression,12,1,13,0.3363236275614885,0.403851939008591,189,47,47
ABBV,Healthcare,BiGRU,regression,12,1,14,0.3257751135283677,0.42818200080952745,189,47,47
ABBV,Healthcare,BiGRU,regression,12,1,15,0.3281805477445088,0.42697183375662945,189,47,47
ABBV,Healthcare,BiGRU,regression,12,1,16,0.2966738807618933,0.41468708946349775,189,47,47
ABBV,Healthcare,BiGRU,regression,12,1,17,0.3255228032826116,0.4186195515571757,189,47,47
ABBV,Healthcare,BiGRU,regression,12,1,18,0.30637476234524336,0.4163559421579889,189,47,47
ABBV,Healthcare,BiGRU,regression,12,1,19,0.30320334485756656,0.42653807553839174,189,47,47
ABBV,Healthcare,BiGRU,regression,12,1,20,0.29988988642654724,0.4207816758054368,189,47,47
AMGN,Healthcare,BiGRU,regression,12,1,1,0.4323442833764212,0.7356628653954487,196,49,48
AMGN,Healthcare,BiGRU,regression,12,1,2,0.40222563427321767,0.7258310536949002,196,49,48
AMGN,Healthcare,BiGRU,regression,12,1,3,0.38872014989658277,0.7195354906880126,196,49,48
AMGN,Healthcare,BiGRU,regression,12,1,4,0.37927407026290894,0.7223816015282456,196,49,48
AMGN,Healthcare,BiGRU,regression,12,1,5,0.38686587494246816,0.7340880802699498,196,49,48
AMGN,Healthcare,BiGRU,regression,12,1,6,0.3840324562423083,0.7619359846017799,196,49,48
AMGN,Healthcare,BiGRU,regression,12,1,7,0.36584807901966326,0.7844875065647826,196,49,48
AMGN,Healthcare,BiGRU,regression,12,1,8,0.3635821062691358,0.8027650969369071,196,49,48
AMGN,Healthcare,BiGRU,regression,12,1,9,0.36736953380156534,0.7967672506157233,196,49,48
AMGN,Healthcare,BiGRU,regression,12,1,10,0.37800655073049116,0.8383959896710454,196,49,48
AMGN,Healthcare,BiGRU,regression,12,1,11,0.37043486322675434,0.8571493491834524,196,49,48
AMGN,Healthcare,BiGRU,regression,12,1,12,0.3621200237955366,0.9071310454485367,196,49,48
AMGN,Healthcare,BiGRU,regression,12,1,13,0.3662964811130446,0.9488672833053433,196,49,48
AMGN,Healthcare,BiGRU,regression,12,1,14,0.35463310626088357,0.9698103350035998,196,49,48
AMGN,Healthcare,BiGRU,regression,12,1,15,0.341976598817475,0.9583233047504814,196,49,48
AMGN,Healthcare,BiGRU,regression,12,1,16,0.346846697281818,0.9559313691392237,196,49,48
AMGN,Healthcare,BiGRU,regression,12,1,17,0.35361392035776257,0.9105958719642795,196,49,48
AMGN,Healthcare,BiGRU,regression,12,1,18,0.3451099140303476,0.9020734441523649,196,49,48
AMZN,Services,BiGRU,regression,12,1,1,0.35885704615536856,0.3586860738302532,306,76,76
AMZN,Services,BiGRU,regression,12,1,2,0.3181593698613784,0.43780508794282613,306,76,76
AMZN,Services,BiGRU,regression,12,1,3,0.3195263669381734,0.48413624261554916,306,76,76
AMZN,Services,BiGRU,regression,12,1,4,0.3031549317384857,0.5702755921765378,306,76,76
AMZN,Services,BiGRU,regression,12,1,5,0.29697850171257467,1.0951020905846043,306,76,76
AMZN,Services,BiGRU,regression,12,1,6,0.28655465054356194,1.0560022090610706,306,76,76
AMZN,Services,BiGRU,regression,12,1,7,0.2854882716353423,0.8515054677662096,306,76,76
