company,sector,model_type,problem_type,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained
AAPL,Consumer Goods,BiLSTM,regression,0.00024680688866225914,0.012540744265288756,-0.005171917968445738,0.0,0.6194690265486725,0.44871794871794873,1.0,0.44871794871794873,468,312,78,78,16
ABBV,Healthcare,BiLSTM,regression,0.0006842680679134772,0.019418336930244924,0.01027568156794334,0.16917173936436666,0.7164179104477612,0.5853658536585366,0.9230769230769231,0.5957446808510638,283,189,47,47,19
AMGN,Healthcare,BiLSTM,regression,0.0003775668958083704,0.01519603740521632,-0.09336683217680242,0.19180536399919287,0.14285714285714285,1.0,0.07692307692307693,0.5,293,196,49,48,23
AMZN,Services,BiLSTM,regression,0.00037989503303634075,0.014982504152201336,-0.10138978982975289,0.0,0.0,0.0,0.0,0.4605263157894737,458,306,76,76,16
BA,Industrial Goods,BiLSTM,regression,0.00018454363882268495,0.008963150972261089,0.08002085531403513,0.4958959143880507,0.7719298245614035,0.7586206896551724,0.7857142857142857,0.75,315,211,52,52,23
BABA,Services,BiLSTM,regression,0.0006270427376044146,0.01940761830801641,-0.09562657488472248,0.0,0.0,0.0,0.0,0.4897959183673469,245,157,39,49,26
BAC,Financial,BiLSTM,regression,0.00024137145223712662,0.011942808989532632,0.018143372541377323,0.058321184351980436,0.47619047619047616,0.42857142857142855,0.5357142857142857,0.5285714285714286,425,284,71,70,19
BHP,Basic Matierials,BiLSTM,regression,0.0005913496037566332,0.01893474546940738,-0.011544352122423662,0.0,0.0,0.0,0.0,0.5777777777777777,183,111,27,45,16
BP,Basic Matierials,BiLSTM,regression,0.00033886277935041607,0.015153911766380368,-0.002193037574556911,0.0,0.5517241379310345,0.38095238095238093,1.0,0.38095238095238093,254,170,42,42,18
C,Financial,BiLSTM,regression,0.00023907720713728917,0.011561718377713092,-0.003990219770495296,0.038190386906315044,0.42105263157894735,0.46153846153846156,0.3870967741935484,0.5352112676056338,429,287,71,71,16
