company,sector,model_type,problem_type,sequence_length,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,BiLSTM,regression,12,1,0.4163927565782498,0.547191430360843,312,78,78
AAPL,Consumer Goods,BiLSTM,regression,12,2,0.3634158594486041,0.5511818482325628,312,78,78
AAPL,Consumer Goods,BiLSTM,regression,12,3,0.35327343757335955,0.5532163687241383,312,78,78
AAPL,Consumer Goods,BiLSTM,regression,12,4,0.3420146757211441,0.5528667187079405,312,78,78
AAPL,Consumer Goods,BiLSTM,regression,12,5,0.33504700584289354,0.5600827932357788,312,78,78
AAPL,Consumer Goods,BiLSTM,regression,12,6,0.33734204983099914,0.5764996852630224,312,78,78
AAPL,Consumer Goods,BiLSTM,regression,12,7,0.33169175951908797,0.612387981170263,312,78,78
AAPL,Consumer Goods,BiLSTM,regression,12,8,0.32401069845908725,0.6495998333661984,312,78,78
AAPL,Consumer Goods,BiLSTM,regression,12,9,0.32438984971780044,0.64862510179862,312,78,78
AAPL,Consumer Goods,BiLSTM,regression,12,10,0.3190129414582864,0.6737637305871035,312,78,78
AAPL,Consumer Goods,BiLSTM,regression,12,11,0.3187102774779002,0.6849416280404116,312,78,78
AAPL,Consumer Goods,BiLSTM,regression,12,12,0.3085711888777904,0.6619842083026202,312,78,78
AAPL,Consumer Goods,BiLSTM,regression,12,13,0.3109440811169453,0.6539641007398947,312,78,78
AAPL,Consumer Goods,BiLSTM,regression,12,14,0.3114948769410451,0.6601957449546227,312,78,78
AAPL,Consumer Goods,BiLSTM,regression,12,15,0.3019158702630263,0.6761831625913962,312,78,78
AAPL,Consumer Goods,BiLSTM,regression,12,16,0.29945404330889386,0.6912502203232203,312,78,78
ABBV,Healthcare,BiLSTM,regression,12,1,0.4102516787708121,0.3595142833730008,189,47,47
ABBV,Healthcare,BiLSTM,regression,12,2,0.3822903239695483,0.3599685874391109,189,47,47
ABBV,Healthcare,BiLSTM,regression,12,3,0.37042050568199664,0.35945744590556367,189,47,47
ABBV,Healthcare,BiLSTM,regression,12,4,0.3622535715500514,0.35764490543527805,189,47,47
ABBV,Healthcare,BiLSTM,regression,12,5,0.34936865628081026,0.3595716763049998,189,47,47
ABBV,Healthcare,BiLSTM,regression,12,6,0.33768659727598627,0.36688597785665633,189,47,47
ABBV,Healthcare,BiLSTM,regression,12,7,0.34772880793248534,0.3760255105951999,189,47,47
ABBV,Healthcare,BiLSTM,regression,12,8,0.3511618001278115,0.38521160343860056,189,47,47
ABBV,Healthcare,BiLSTM,regression,12,9,0.3435766611780439,0.41004518118310485,189,47,47
ABBV,Healthcare,BiLSTM,regression,12,10,0.32322285375582477,0.4223956440357452,189,47,47
ABBV,Healthcare,BiLSTM,regression,12,11,0.33278694835604816,0.40813342307476286,189,47,47
ABBV,Healthcare,BiLSTM,regression,12,12,0.3183193960517803,0.3809649069258507,189,47,47
