company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained
AAPL,Consumer Goods,GRU,regression,1,0.0002583370442065854,0.012613042697285203,-0.05213085264722972,0.15329494408023653,0.5853658536585366,0.5106382978723404,0.6857142857142857,0.5641025641025641,468,312,78,78,18
ABBV,Healthcare,GRU,regression,1,0.0006567731394947098,0.018989250814141927,0.05004430524869008,-0.13250859756292663,0.6944444444444444,0.5434782608695652,0.9615384615384616,0.5319148936170213,283,189,47,47,18
AMGN,Healthcare,GRU,regression,1,0.0003609354321632263,0.015617235341240857,-0.04520506025762416,-0.3314881943258343,0.45614035087719296,0.41935483870967744,0.5,0.3541666666666667,293,196,49,48,18
AMZN,Services,GRU,regression,1,0.0003823185429111703,0.01504669456232696,-0.10841601760207964,0.0,0.0,0.0,0.0,0.4605263157894737,458,306,76,76,16
BA,Industrial Goods,GRU,regression,1,0.00019473587603873867,0.009659463389968925,0.029210945331329508,0.3019518288806687,0.5957446808510638,0.7368421052631579,0.5,0.6346153846153846,315,211,52,52,18
BABA,Services,GRU,regression,1,0.000559848066820674,0.01824397766552151,-0.029923532077865023,0.06819943394704735,0.20689655172413793,0.6,0.125,0.5208333333333334,244,157,39,48,19
BAC,Financial,GRU,regression,1,0.00024416017431581677,0.01214240865004097,0.0067993414651085216,0.07142857142857142,0.5142857142857142,0.42857142857142855,0.6428571428571429,0.5142857142857142,425,284,71,70,16
BHP,Basic Matierials,GRU,regression,1,0.0006606514174424475,0.020184250872885685,-0.1300898923246896,0.0,0.59375,0.4222222222222222,1.0,0.4222222222222222,183,111,27,45,17
BP,Basic Matierials,GRU,regression,1,0.00033600144154234023,0.014866409060944654,0.006269422760861176,-0.03739787960033829,0.42105263157894735,0.36363636363636365,0.5,0.47619047619047616,254,170,42,42,17
C,Financial,GRU,regression,1,0.000244657784104073,0.01146667979562849,-0.027425514010443797,0.0,0.0,0.0,0.0,0.5633802816901409,429,287,71,71,16
