company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained
AAPL,Consumer Goods,LSTM,regression,1,0.000252729988352662,0.012837246711781686,-0.02929496213626015,0.0,0.6194690265486725,0.44871794871794873,1.0,0.44871794871794873,468,312,78,78,17
ABBV,Healthcare,LSTM,regression,1,0.0006833983059452484,0.01916700859524939,0.011533703988642063,-0.03248528763050698,0.6764705882352942,0.5476190476190477,0.8846153846153846,0.5319148936170213,283,189,47,47,20
AMGN,Healthcare,LSTM,regression,1,0.00035153382756883514,0.015143852631469964,-0.017979679148032668,0.03836107279983858,0.5490196078431373,0.56,0.5384615384615384,0.5208333333333334,293,196,49,48,19
AMZN,Services,LSTM,regression,1,0.00036628246885476155,0.01471698027979238,-0.061924311476001304,0.0,0.0,0.0,0.0,0.4605263157894737,458,306,76,76,16
BA,Industrial Goods,LSTM,regression,1,0.0002729312287943873,0.012978787520135312,-0.3606052206741499,0.23405536260702517,0.5333333333333333,0.7058823529411765,0.42857142857142855,0.5961538461538461,315,211,52,52,23
BABA,Services,LSTM,regression,1,0.0008436330026485476,0.02340708902168416,-0.47407294865228766,0.0,0.0,0.0,0.0,0.4897959183673469,245,157,39,49,30
BAC,Financial,LSTM,regression,1,0.00024678359396987674,0.011909043475254982,-0.0038722684128214002,0.0,0.0,0.0,0.0,0.6,425,284,71,70,17
BHP,Basic Matierials,LSTM,regression,1,0.0006052288886488666,0.019239936007422673,-0.0352858278164101,0.0,0.59375,0.4222222222222222,1.0,0.4222222222222222,183,111,27,45,16
BP,Basic Matierials,LSTM,regression,1,0.0003433981187035052,0.015484674363114768,-0.015606388935886617,0.0,0.5517241379310345,0.38095238095238093,1.0,0.38095238095238093,254,170,42,42,18
C,Financial,LSTM,regression,1,0.00024780716985341747,0.011530385877141485,-0.04065116830215798,0.0,0.0,0.0,0.0,0.5633802816901409,429,287,71,71,16
CAT,Industrial Goods,LSTM,regression,1,0.00030396840518862907,0.013660365094983728,0.006385987921972647,0.0,0.64,0.47058823529411764,1.0,0.47058823529411764,310,208,51,51,17
CELG,Healthcare,LSTM,regression,1,0.0006266752813815964,0.01852766486420647,0.06391720190252403,0.3218012344332424,0.6774193548387096,0.65625,0.7,0.6610169491525424,357,239,59,59,20
