company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,BiGRU,regression,5,1,1,0.16863958679850977,0.3062088056689217,398,42,64
AAPL,Consumer Goods,BiGRU,regression,5,1,2,0.17159545421600342,0.3071993270090648,398,42,64
AAPL,Consumer Goods,BiGRU,regression,5,1,3,0.16979338588127538,0.3091210176547368,398,42,64
AAPL,Consumer Goods,BiGRU,regression,5,1,4,0.1711084462290433,0.31245826539539157,398,42,64
AAPL,Consumer Goods,BiGRU,regression,5,1,5,0.1702132940142598,0.3158353638081324,398,42,64
AAPL,Consumer Goods,BiGRU,regression,5,1,6,0.17038196295350042,0.31659893975371406,398,42,64
AAPL,Consumer Goods,BiGRU,regression,5,1,7,0.16880918223055164,0.3169210631222952,398,42,64
AAPL,Consumer Goods,BiGRU,regression,5,1,8,0.16798010940228275,0.3169059661172685,398,42,64
AAPL,Consumer Goods,BiGRU,regression,5,1,9,0.16543384195871688,0.31797186675525846,398,42,64
AAPL,Consumer Goods,BiGRU,regression,5,1,10,0.16658645441484213,0.3168340999455679,398,42,64
AAPL,Consumer Goods,BiGRU,regression,5,1,11,0.16915150945210577,0.3166043779679707,398,42,64
ABB,Industrial Goods,BiGRU,regression,5,1,1,0.16213578989158323,0.23167202728135244,398,42,64
ABB,Industrial Goods,BiGRU,regression,5,1,2,0.17060796414787446,0.23783343462716966,398,42,64
ABB,Industrial Goods,BiGRU,regression,5,1,3,0.16552230880488103,0.25081093112627667,398,42,64
ABB,Industrial Goods,BiGRU,regression,5,1,4,0.17023033128311885,0.26409606564612614,398,42,64
ABB,Industrial Goods,BiGRU,regression,5,1,5,0.16455394426482406,0.27484366297721863,398,42,64
ABB,Industrial Goods,BiGRU,regression,5,1,6,0.1725249186382821,0.28437878546260653,398,42,64
ABB,Industrial Goods,BiGRU,regression,5,1,7,0.16534961161002443,0.2857654250803448,398,42,64
ABB,Industrial Goods,BiGRU,regression,5,1,8,0.16617508195153433,0.2895502774488358,398,42,64
ABB,Industrial Goods,BiGRU,regression,5,1,9,0.1661786502180387,0.28964973773275104,398,42,64
ABB,Industrial Goods,BiGRU,regression,5,1,10,0.16526590721990594,0.292138934135437,398,42,64
ABB,Industrial Goods,BiGRU,regression,5,1,11,0.16173735403235834,0.290115502618608,398,42,64
ABBV,Healthcare,BiGRU,regression,5,1,1,0.1718906063081032,0.23000365779513404,398,42,64
ABBV,Healthcare,BiGRU,regression,5,1,2,0.1696097888614065,0.23011565208435059,398,42,64
ABBV,Healthcare,BiGRU,regression,5,1,3,0.176344017437355,0.23040817323185148,398,42,64
ABBV,Healthcare,BiGRU,regression,5,1,4,0.17116191054708393,0.23154700370061965,398,42,64
ABBV,Healthcare,BiGRU,regression,5,1,5,0.170446545110276,0.23206322391827902,398,42,64
ABBV,Healthcare,BiGRU,regression,5,1,6,0.170071001103775,0.23243521934463865,398,42,64
ABBV,Healthcare,BiGRU,regression,5,1,7,0.16933002176895812,0.23253120127178373,398,42,64
ABBV,Healthcare,BiGRU,regression,5,1,8,0.16956898873325568,0.23192019121987478,398,42,64
ABBV,Healthcare,BiGRU,regression,5,1,9,0.16991238505696532,0.23167383528891064,398,42,64
ABBV,Healthcare,BiGRU,regression,5,1,10,0.16829566927111927,0.231150644166129,398,42,64
ABBV,Healthcare,BiGRU,regression,5,1,11,0.1715294700022319,0.23093815502666293,398,42,64
AEP,Utilities,BiGRU,regression,5,1,1,0.18544507782962455,0.22218550883588337,398,42,64
AEP,Utilities,BiGRU,regression,5,1,2,0.1867183431159312,0.22367660914148604,398,42,64
AEP,Utilities,BiGRU,regression,5,1,3,0.17940668799170298,0.22596817286241622,398,42,64
AEP,Utilities,BiGRU,regression,5,1,4,0.18499035099942482,0.22875201063496725,398,42,64
AEP,Utilities,BiGRU,regression,5,1,5,0.1806013286113739,0.2303104450305303,398,42,64
AEP,Utilities,BiGRU,regression,5,1,6,0.18100264848177158,0.23007111180396306,398,42,64
AEP,Utilities,BiGRU,regression,5,1,7,0.1832094674733416,0.22931441877569472,398,42,64
AEP,Utilities,BiGRU,regression,5,1,8,0.18246578661041643,0.22825983521484194,398,42,64
AEP,Utilities,BiGRU,regression,5,1,9,0.17971050454743542,0.22836554050445557,398,42,64
AEP,Utilities,BiGRU,regression,5,1,10,0.18257370695995925,0.22730696201324463,398,42,64
