company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained
AAPL,Consumer Goods,BiGRU,regression,5,0.0015154381663266673,0.03011655986360924,-0.044575742093843296,-0.15817026088703048,0.25,0.35294117647058826,0.1935483870967742,0.4375,,,,,,933,398,42,64,16
ABB,Industrial Goods,BiGRU,regression,5,0.001006249447533242,0.02504731233656922,-0.04878667851474927,0.0,0.5934065934065934,0.421875,1.0,0.421875,,,,,,933,398,42,64,16
ABBV,Healthcare,BiGRU,regression,5,0.004300670433534948,0.046134029363256834,-0.009750644482346749,0.0,0.6086956521739131,0.4375,1.0,0.4375,,,,,,852,331,42,64,16
AEP,Utilities,BiGRU,regression,5,0.0005065642666417301,0.018067740405020405,-0.05025989782031259,0.0,0.0,0.0,0.0,0.4375,,,,,,933,398,42,64,16
AMGN,Healthcare,BiGRU,regression,5,0.0012228264652314447,0.027645308784873396,-0.03793715057751479,0.05718335949618505,0.6233766233766234,0.6,0.6486486486486487,0.546875,,,,,,933,398,42,64,16
AMZN,Services,BiGRU,regression,5,0.001637251959113394,0.03117129070320515,0.07193167133791512,0.4821516867973654,0.7323943661971831,0.9285714285714286,0.6046511627906976,0.703125,,,,,,933,398,42,64,26
BA,Industrial Goods,BiGRU,regression,5,0.0011067381436498218,0.026275455319648228,0.1188501099809458,0.1843137254901961,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.59375,,,,,,933,398,42,64,30
BAC,Financial,BiGRU,regression,5,0.001207675119472875,0.026104297263076462,-0.006348844997029923,0.0,0.7326732673267327,0.578125,1.0,0.578125,,,,,,933,398,42,64,16
BBL,Basic Matierials,BiGRU,regression,5,0.005346618527554273,0.05949402127054636,-0.08352411887151856,0.0,0.0,0.0,0.0,0.734375,,,,,,933,398,42,64,16
BCH,Financial,BiGRU,regression,5,0.00046184775438888625,0.018171991450410763,-0.10512173660781654,-0.17650092658394914,0.16216216216216217,0.17647058823529413,0.15,0.515625,,,,,,933,398,42,64,20
BHP,Basic Matierials,BiGRU,regression,5,0.004888791122252655,0.05657992371091998,-0.14209486185153608,0.24263906828890588,0.3333333333333333,0.5714285714285714,0.23529411764705882,0.75,,,,,,933,398,42,64,16
BP,Basic Matierials,BiGRU,regression,5,0.0022136489147967855,0.03586733744437377,-0.09193419142601122,0.0,0.5287356321839081,0.359375,1.0,0.359375,,,,,,933,398,42,64,16
BRK-A,Financial,BiGRU,regression,5,0.0003622701886181272,0.016171123316448793,-0.04332670925179505,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,933,398,42,64,16
BSAC,Financial,BiGRU,regression,5,0.0010601825195586398,0.025062955795639302,-0.041939089143533836,0.0,0.0,0.0,0.0,0.640625,,,,,,933,398,42,64,22
BUD,Consumer Goods,BiGRU,regression,5,0.000762053091164907,0.021415569934420328,-0.09817901120013595,0.0,0.8148148148148148,0.6875,1.0,0.6875,,,,,,933,398,42,64,20
C,Financial,BiGRU,regression,5,0.001007178005922483,0.023900364790655056,0.022241967884314207,0.2538818955528622,0.4489795918367347,0.7857142857142857,0.3142857142857143,0.578125,,,,,,933,398,42,64,16
CAT,Industrial Goods,BiGRU,regression,5,0.0015928738572915098,0.032426675421626,-0.017000696094763512,0.0,0.0,0.0,0.0,0.484375,,,,,,933,398,42,64,20
