company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained
AAPL,Consumer Goods,BiLSTM,regression,1,0.000240103651488171,0.012119469173941216,0.0012525302383217252,0.0,0.0,0.0,0.0,0.5625,,,,,,932,398,42,64,11
ABB,Industrial Goods,BiLSTM,regression,1,0.00013430057204054488,0.00987989112346975,-0.016937226466833044,0.0,0.0,0.0,0.0,0.4375,,,,,,932,398,42,64,11
ABBV,Healthcare,BiLSTM,regression,1,0.0007085740371770895,0.018629658789915043,-0.009709501122860287,0.0,0.6938775510204082,0.53125,1.0,0.53125,,,,,,851,326,42,64,11
AEP,Utilities,BiLSTM,regression,1,0.00016887570625696158,0.00954569958760594,-0.009164082566149201,0.0,0.7450980392156863,0.59375,1.0,0.59375,,,,,,932,398,42,64,11
AMGN,Healthcare,BiLSTM,regression,1,0.0003366621485128609,0.01460445551672429,-0.034266179100591154,0.031199984310868976,0.37735849056603776,0.5882352941176471,0.2777777777777778,0.484375,,,,,,932,398,42,64,14
AMZN,Services,BiLSTM,regression,1,0.0003391962730248515,0.01413585229711925,-0.009047604880750626,0.0,0.7070707070707071,0.546875,1.0,0.546875,,,,,,932,398,42,64,11
BA,Industrial Goods,BiLSTM,regression,1,0.00019459436833237483,0.01035296026034051,0.035732545450381625,0.12156613477096616,0.5084745762711864,0.625,0.42857142857142855,0.546875,,,,,,932,398,42,64,13
BAC,Financial,BiLSTM,regression,1,0.00028961159017499834,0.013127263643619887,-0.01934626860661881,0.0,0.0,0.0,0.0,0.578125,,,,,,932,398,42,64,11
BBL,Basic Matierials,BiLSTM,regression,1,0.0007219305253450326,0.021795698865527124,-0.0372475542375994,0.05501903637039413,0.43137254901960786,0.4230769230769231,0.44,0.546875,,,,,,932,398,42,64,16
BCH,Financial,BiLSTM,regression,1,0.00013732682416471337,0.009409159935976075,0.00952794239741317,0.0,0.0,0.0,0.0,0.578125,,,,,,932,398,42,64,11
BHP,Basic Matierials,BiLSTM,regression,1,0.0005839908209568818,0.01993345218440904,-0.023195459095131987,0.0,0.0,0.0,0.0,0.5625,,,,,,932,398,42,64,11
BP,Basic Matierials,BiLSTM,regression,1,0.0003722632876806413,0.015107961263067425,-0.0023375052838057186,0.0,0.5777777777777777,0.40625,1.0,0.40625,,,,,,932,398,42,64,11
BRK-A,Financial,BiLSTM,regression,1,0.0001349057883498663,0.008866055964492386,-0.004711885211150291,0.0,0.0,0.0,0.0,0.5625,,,,,,932,398,42,64,11
BSAC,Financial,BiLSTM,regression,1,0.0002397009878971815,0.011952429885220092,-0.004528170355659666,-0.03253000243161777,0.38461538461538464,0.4166666666666667,0.35714285714285715,0.5,,,,,,932,398,42,64,11
BUD,Consumer Goods,BiLSTM,regression,1,0.00015098752301470739,0.00943956374459945,-0.0966996544581411,0.0,0.0,0.0,0.0,0.5,,,,,,932,398,42,64,11
C,Financial,BiLSTM,regression,1,0.000249240704864483,0.011738584422941317,-0.008635609054437943,0.0,0.0,0.0,0.0,0.59375,,,,,,932,398,42,64,11
CAT,Industrial Goods,BiLSTM,regression,1,0.0002932473954679038,0.013104392828853006,0.00022496415201733733,0.0,0.5897435897435898,0.5,0.71875,0.5,,,,,,932,398,42,64,11
CELG,Healthcare,BiLSTM,regression,1,0.0006142684668743474,0.0188742267776231,0.0032996483582212743,0.0,0.6804123711340206,0.515625,1.0,0.515625,,,,,,932,398,42,64,11
CHL,Technology,BiLSTM,regression,1,0.00017358903059072557,0.010572573484026307,-0.09670513376836953,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,932,398,42,64,11
CHTR,Services,BiLSTM,regression,1,0.00028374757657994296,0.012510560380508726,-0.017445232712512526,-0.0629940788348712,0.43333333333333335,0.4642857142857143,0.40625,0.46875,,,,,,932,398,42,64,20
CMCSA,Services,BiLSTM,regression,1,0.0001589721212485679,0.010133744015199224,-0.08582264013645013,0.0,0.6382978723404256,0.46875,1.0,0.46875,,,,,,932,398,42,64,11
CODI,Conglomerates,BiLSTM,regression,1,0.00012796198669264664,0.008919500877816192,-0.037587973041023126,0.0,0.0,0.0,0.0,0.546875,,,,,,932,398,42,64,11
CSCO,Technology,BiLSTM,regression,1,0.00021164351636567485,0.010470503917448276,-0.010502230641976418,0.0,0.0,0.0,0.0,0.5,,,,,,932,398,42,64,11
CVX,Basic Matierials,BiLSTM,regression,1,0.0004064201261599194,0.016496631972689774,-0.06582578420147711,0.0,0.0,0.0,0.0,0.53125,,,,,,932,398,42,64,13
D,Utilities,BiLSTM,regression,1,0.00010478819587792662,0.0078124153181400036,0.0010043271278046273,0.0,0.0,0.0,0.0,0.5,,,,,,932,398,42,64,11
DHR,Industrial Goods,BiLSTM,regression,1,0.00013984053020409627,0.008329834879851672,-0.03787471567860434,0.0,0.0,0.0,0.0,0.484375,,,,,,932,398,42,64,11
DIS,Services,BiLSTM,regression,1,0.0001681845904879948,0.010036395898444225,0.04006056823458648,0.2057101528827944,0.6575342465753424,0.631578947368421,0.6857142857142857,0.609375,,,,,,932,398,42,64,20
DUK,Utilities,BiLSTM,regression,1,0.00017147474806952214,0.009594364193276764,-0.009148211777145754,0.0,0.0,0.0,0.0,0.421875,,,,,,932,398,42,64,11
EXC,Utilities,BiLSTM,regression,1,0.00021243997248856253,0.011611882593052451,-0.001595329626668418,0.0,0.0,0.0,0.0,0.5,,,,,,932,398,42,64,11
FB,Technology,BiLSTM,regression,1,0.0002512540968581335,0.012781362274958588,-0.026854974402343412,-0.03559091993731713,0.18604651162790697,0.5,0.11428571428571428,0.453125,,,,,,932,398,42,64,11
GD,Industrial Goods,BiLSTM,regression,1,0.0001241438829753931,0.008714580456414892,0.0009792505481338587,0.0,0.0,0.0,0.0,0.5625,,,,,,932,398,42,64,11
GE,Industrial Goods,BiLSTM,regression,1,0.0001538568547341365,0.008971414007811186,-0.06987275665376647,0.24867951769188518,0.23809523809523808,1.0,0.13513513513513514,0.5,,,,,,932,398,42,64,11
