company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,GRU,regression,10,1,1,0.2520542080378413,0.4390680193901062,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,2,0.24076129054304343,0.4392733871936798,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,3,0.24761721671526157,0.4394623637199402,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,4,0.25255505358753494,0.43972015380859375,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,5,0.24058624300824938,0.440256267786026,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,6,0.2494032457845295,0.4410859942436218,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,7,0.2668433018665218,0.44225621223449707,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,8,0.2357811647743436,0.44387418031692505,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,9,0.24825969563057673,0.4451609253883362,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,10,0.2442055367045666,0.4469526410102844,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,11,0.24514424755944678,0.4484078586101532,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,12,0.2466998200620239,0.44987478852272034,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,13,0.2456919360699965,0.4514343738555908,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,14,0.24826970554176886,0.45213544368743896,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,15,0.23961955129201687,0.4527320861816406,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,16,0.24583630211389246,0.45281219482421875,398,42,64
ABB,Industrial Goods,GRU,regression,10,1,1,0.25111916556430225,0.31281572580337524,398,42,64
ABB,Industrial Goods,GRU,regression,10,1,2,0.26287981044107944,0.31228262186050415,398,42,64
ABB,Industrial Goods,GRU,regression,10,1,3,0.25823068618774414,0.31188151240348816,398,42,64
ABB,Industrial Goods,GRU,regression,10,1,4,0.26628572557439756,0.31176742911338806,398,42,64
ABB,Industrial Goods,GRU,regression,10,1,5,0.25479186929051,0.31159254908561707,398,42,64
ABB,Industrial Goods,GRU,regression,10,1,6,0.2538822568840717,0.31186503171920776,398,42,64
ABB,Industrial Goods,GRU,regression,10,1,7,0.25543922051113455,0.31231293082237244,398,42,64
ABB,Industrial Goods,GRU,regression,10,1,8,0.25059001619492344,0.3128059208393097,398,42,64
ABB,Industrial Goods,GRU,regression,10,1,9,0.2545786335240656,0.31339526176452637,398,42,64
ABB,Industrial Goods,GRU,regression,10,1,10,0.2528633479796462,0.31407448649406433,398,42,64
ABB,Industrial Goods,GRU,regression,10,1,11,0.2540307000054786,0.31494927406311035,398,42,64
ABB,Industrial Goods,GRU,regression,10,1,12,0.25008582694446624,0.31545960903167725,398,42,64
ABB,Industrial Goods,GRU,regression,10,1,13,0.26330081841454434,0.3161979615688324,398,42,64
ABB,Industrial Goods,GRU,regression,10,1,14,0.26088794451862124,0.3170396685600281,398,42,64
ABB,Industrial Goods,GRU,regression,10,1,15,0.2599785221581483,0.31719884276390076,398,42,64
ABB,Industrial Goods,GRU,regression,10,1,16,0.26023843944372244,0.31728440523147583,398,42,64
ABBV,Healthcare,GRU,regression,10,1,1,0.2434548565319606,0.33229535818099976,336,42,64
ABBV,Healthcare,GRU,regression,10,1,2,0.25491731081690105,0.3315161466598511,336,42,64
ABBV,Healthcare,GRU,regression,10,1,3,0.259400249237106,0.3306911885738373,336,42,64
ABBV,Healthcare,GRU,regression,10,1,4,0.2487121479851859,0.32994410395622253,336,42,64
ABBV,Healthcare,GRU,regression,10,1,5,0.2445869410321826,0.3289352059364319,336,42,64
ABBV,Healthcare,GRU,regression,10,1,6,0.24368527744497573,0.3278598487377167,336,42,64
ABBV,Healthcare,GRU,regression,10,1,7,0.25158245861530304,0.3268125653266907,336,42,64
ABBV,Healthcare,GRU,regression,10,1,8,0.25768918224743437,0.3255218267440796,336,42,64
ABBV,Healthcare,GRU,regression,10,1,9,0.25672440230846405,0.324101060628891,336,42,64
ABBV,Healthcare,GRU,regression,10,1,10,0.24583525458971658,0.32248491048812866,336,42,64
ABBV,Healthcare,GRU,regression,10,1,11,0.24920447028818585,0.3210708796977997,336,42,64
ABBV,Healthcare,GRU,regression,10,1,12,0.25366505909533726,0.3200063705444336,336,42,64
ABBV,Healthcare,GRU,regression,10,1,13,0.23459892045883907,0.31837037205696106,336,42,64
ABBV,Healthcare,GRU,regression,10,1,14,0.2482016845828011,0.31751754879951477,336,42,64
ABBV,Healthcare,GRU,regression,10,1,15,0.24445393539610363,0.31693777441978455,336,42,64
ABBV,Healthcare,GRU,regression,10,1,16,0.2438001355954579,0.3161744475364685,336,42,64
ABBV,Healthcare,GRU,regression,10,1,17,0.25505354078043074,0.31571587920188904,336,42,64
ABBV,Healthcare,GRU,regression,10,1,18,0.25325228841531844,0.3151288628578186,336,42,64
ABBV,Healthcare,GRU,regression,10,1,19,0.248778787397203,0.3150491416454315,336,42,64
ABBV,Healthcare,GRU,regression,10,1,20,0.24889630292143142,0.3147532343864441,336,42,64
ABBV,Healthcare,GRU,regression,10,1,21,0.24745387193702517,0.3142622113227844,336,42,64
ABBV,Healthcare,GRU,regression,10,1,22,0.24383815981092907,0.31426379084587097,336,42,64
ABBV,Healthcare,GRU,regression,10,1,23,0.2486480666058404,0.31378743052482605,336,42,64
ABBV,Healthcare,GRU,regression,10,1,24,0.2449245559317725,0.31369832158088684,336,42,64
ABBV,Healthcare,GRU,regression,10,1,25,0.24072756582782381,0.3138672709465027,336,42,64
ABBV,Healthcare,GRU,regression,10,1,26,0.24735551150072188,0.3137107491493225,336,42,64
ABBV,Healthcare,GRU,regression,10,1,27,0.2447715373266311,0.31332388520240784,336,42,64
ABBV,Healthcare,GRU,regression,10,1,28,0.24928871435778482,0.31372636556625366,336,42,64
ABBV,Healthcare,GRU,regression,10,1,29,0.24158882669040135,0.3141735792160034,336,42,64
ABBV,Healthcare,GRU,regression,10,1,30,0.24386175473531088,0.31339994072914124,336,42,64
AEP,Utilities,GRU,regression,10,1,1,0.274679809059929,0.3110192120075226,398,42,64
AEP,Utilities,GRU,regression,10,1,2,0.27227837798283927,0.31125736236572266,398,42,64
AEP,Utilities,GRU,regression,10,1,3,0.2739076731941808,0.3115076422691345,398,42,64
AEP,Utilities,GRU,regression,10,1,4,0.2737416538161848,0.311791330575943,398,42,64
AEP,Utilities,GRU,regression,10,1,5,0.2835647379932691,0.3121461868286133,398,42,64
AEP,Utilities,GRU,regression,10,1,6,0.26580318568938943,0.3126540780067444,398,42,64
AEP,Utilities,GRU,regression,10,1,7,0.2754567476672743,0.3134581446647644,398,42,64
AEP,Utilities,GRU,regression,10,1,8,0.2638425684753974,0.31424909830093384,398,42,64
AEP,Utilities,GRU,regression,10,1,9,0.26690482127307047,0.31518104672431946,398,42,64
AEP,Utilities,GRU,regression,10,1,10,0.26143209636211395,0.31566041707992554,398,42,64
AEP,Utilities,GRU,regression,10,1,11,0.2595849653434514,0.3166795074939728,398,42,64
AEP,Utilities,GRU,regression,10,1,12,0.26109041490746504,0.31727588176727295,398,42,64
AEP,Utilities,GRU,regression,10,1,13,0.2723991049444256,0.3177521228790283,398,42,64
AEP,Utilities,GRU,regression,10,1,14,0.2706758558151111,0.3177582323551178,398,42,64
AEP,Utilities,GRU,regression,10,1,15,0.25355610161570447,0.3186827003955841,398,42,64
AEP,Utilities,GRU,regression,10,1,16,0.26600421238784216,0.3185022473335266,398,42,64
AMGN,Healthcare,GRU,regression,10,1,1,0.2670035705195,0.4361448287963867,398,42,64
AMGN,Healthcare,GRU,regression,10,1,2,0.25836474227545847,0.4373961091041565,398,42,64
AMGN,Healthcare,GRU,regression,10,1,3,0.2655079229992239,0.43871980905532837,398,42,64
AMGN,Healthcare,GRU,regression,10,1,4,0.2614461113160579,0.44060781598091125,398,42,64
AMGN,Healthcare,GRU,regression,10,1,5,0.26326979868975114,0.4424755871295929,398,42,64
AMGN,Healthcare,GRU,regression,10,1,6,0.26657484808758874,0.4444202184677124,398,42,64
AMGN,Healthcare,GRU,regression,10,1,7,0.2644854340721015,0.4461858868598938,398,42,64
AMGN,Healthcare,GRU,regression,10,1,8,0.2553785109340246,0.44772884249687195,398,42,64
AMGN,Healthcare,GRU,regression,10,1,9,0.25370474436774326,0.448604941368103,398,42,64
AMGN,Healthcare,GRU,regression,10,1,10,0.26470263684215256,0.4498967230319977,398,42,64
AMGN,Healthcare,GRU,regression,10,1,11,0.2635644448162922,0.4497581720352173,398,42,64
AMGN,Healthcare,GRU,regression,10,1,12,0.25415440989499116,0.4500563144683838,398,42,64
AMGN,Healthcare,GRU,regression,10,1,13,0.2573329056028146,0.45042628049850464,398,42,64
AMGN,Healthcare,GRU,regression,10,1,14,0.25903895961579365,0.4511122703552246,398,42,64
AMGN,Healthcare,GRU,regression,10,1,15,0.25389266583188697,0.45132455229759216,398,42,64
AMGN,Healthcare,GRU,regression,10,1,16,0.2662253183635635,0.4530569016933441,398,42,64
AMZN,Services,GRU,regression,10,1,1,0.22159243640887677,0.2610790431499481,398,42,64
AMZN,Services,GRU,regression,10,1,2,0.23009403821211963,0.26168540120124817,398,42,64
AMZN,Services,GRU,regression,10,1,3,0.21599225917054182,0.26252052187919617,398,42,64
AMZN,Services,GRU,regression,10,1,4,0.20853409186080474,0.2633501887321472,398,42,64
AMZN,Services,GRU,regression,10,1,5,0.22629807028339136,0.26428115367889404,398,42,64
