company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained
AAPL,Consumer Goods,GRU,regression,1,0.00024269406581471208,0.01229882502727822,-0.009522690122684585,0.05382272057250939,0.5822784810126582,0.45098039215686275,0.8214285714285714,0.484375,,,,,,942,398,42,64,16
ABB,Industrial Goods,GRU,regression,1,0.00013108871059981658,0.009641527910835154,0.007383306317970906,0.1793740008335438,0.5714285714285714,0.6666666666666666,0.5,0.578125,,,,,,942,398,42,64,16
ABBV,Healthcare,GRU,regression,1,0.0006880584075282199,0.018333047517699347,0.019525024969159532,0.1773241389867146,0.6666666666666666,0.5909090909090909,0.7647058823529411,0.59375,,,,,,861,336,42,64,30
AEP,Utilities,GRU,regression,1,0.00017081588541061808,0.009533535610743729,-0.020758166517066856,0.0,0.7450980392156863,0.59375,1.0,0.59375,,,,,,942,398,42,64,16
AMGN,Healthcare,GRU,regression,1,0.00033343627760559774,0.014568043349277748,-0.02435591983246499,0.0,0.0,0.0,0.0,0.4375,,,,,,942,398,42,64,16
AMZN,Services,GRU,regression,1,0.00033526307065822095,0.013910553224400019,0.002652961260991904,0.0,0.7070707070707071,0.546875,1.0,0.546875,,,,,,942,398,42,64,16
BA,Industrial Goods,GRU,regression,1,0.00020621522463159072,0.010789919931359498,-0.021851924333410766,0.0,0.0,0.0,0.0,0.453125,,,,,,942,398,42,64,16
BAC,Financial,GRU,regression,1,0.00028266332554125536,0.013177668823122206,0.005109546933834919,0.0,0.5934065934065934,0.421875,1.0,0.421875,,,,,,942,398,42,64,16
BBL,Basic Matierials,GRU,regression,1,0.0007189073391418711,0.021883356720620237,-0.032903933369461846,0.22432695033178982,0.14814814814814814,1.0,0.08,0.640625,,,,,,942,398,42,64,16
BCH,Financial,GRU,regression,1,0.00014302326711361783,0.009502056776780232,-0.03155774936699984,0.0,0.0,0.0,0.0,0.578125,,,,,,942,398,42,64,16
BHP,Basic Matierials,GRU,regression,1,0.0005829952841524945,0.019903675975666606,-0.021451204389309364,0.019772733298509516,0.45614035087719296,0.4482758620689655,0.4642857142857143,0.515625,,,,,,942,398,42,64,16
BP,Basic Matierials,GRU,regression,1,0.0003699766566979035,0.014969205233745113,0.003819362907581114,-0.05683588085644007,0.5194805194805194,0.39215686274509803,0.7692307692307693,0.421875,,,,,,942,398,42,64,16
BRK-A,Financial,GRU,regression,1,0.00013618458638243108,0.009031510276122284,-0.014235743288836256,-0.14285714285714285,0.5128205128205128,0.4,0.7142857142857143,0.40625,,,,,,942,398,42,64,16
BSAC,Financial,GRU,regression,1,0.00024066605414438576,0.011876952075631886,-0.008572526785229018,0.0,0.0,0.0,0.0,0.5625,,,,,,942,398,42,64,16
BUD,Consumer Goods,GRU,regression,1,0.0001420999018620332,0.009326883180075296,-0.03214431337778456,0.0,0.30434782608695654,0.5,0.21875,0.5,,,,,,942,398,42,64,16
C,Financial,GRU,regression,1,0.00025006359900992664,0.012481883301498839,-0.011965724566782576,0.0,0.5777777777777777,0.40625,1.0,0.40625,,,,,,942,398,42,64,16
CAT,Industrial Goods,GRU,regression,1,0.00029794668208184857,0.013098103283776252,-0.015796420915768605,0.0,0.0,0.0,0.0,0.5,,,,,,942,398,42,64,16
CELG,Healthcare,GRU,regression,1,0.0006205184296674255,0.019020652628389506,-0.00684142260592302,0.0,0.0,0.0,0.0,0.484375,,,,,,942,398,42,64,16
