company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,LSTM,regression,10,5,1,0.43040338053775196,0.5572779774665833,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,5,2,0.44422055488854795,0.5571192502975464,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,5,3,0.46063125373131064,0.5568814277648926,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,5,4,0.44552874714884927,0.5565040707588196,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,5,5,0.4297269142452796,0.5559791326522827,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,5,6,0.4548403854346156,0.5554368495941162,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,5,7,0.4726273168870552,0.5547777414321899,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,5,8,0.43256027644603096,0.5541769862174988,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,5,9,0.476113395475263,0.5537430047988892,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,5,10,0.42977202298054146,0.5533108711242676,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,5,11,0.413128174130042,0.5531616806983948,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,5,12,0.4096640027947162,0.5536677837371826,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,5,13,0.41975392438658515,0.5548417568206787,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,5,14,0.41207043279954536,0.5567397475242615,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,5,15,0.42775475260001333,0.5595712065696716,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,5,16,0.41820298816690493,0.5630893111228943,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,5,17,0.4206220983859882,0.5666874647140503,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,5,18,0.4335692803464343,0.5697899460792542,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,5,19,0.42251046967865835,0.5727534890174866,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,5,20,0.41264921037395996,0.5755950212478638,398,42,64
ABB,Industrial Goods,LSTM,regression,10,5,1,0.49225530252983823,0.6087806224822998,398,42,64
ABB,Industrial Goods,LSTM,regression,10,5,2,0.4996882400021481,0.6090565919876099,398,42,64
ABB,Industrial Goods,LSTM,regression,10,5,3,0.4902075553060177,0.6091885566711426,398,42,64
