company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained
AAPL,Consumer Goods,LSTM,regression,5,0.001668622527501592,0.030847774731829883,-0.15016412656704792,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,938,398,42,64,16
ABB,Industrial Goods,LSTM,regression,5,0.0009158782771214259,0.023920954950289355,0.04540475670247901,0.4220139130427161,0.6885245901639344,0.6176470588235294,0.7777777777777778,0.703125,,,,,,938,398,42,64,16
ABBV,Healthcare,LSTM,regression,5,0.005211421792151704,0.05227734779453813,-0.2235851583189601,-0.25575002517077644,0.4225352112676056,0.3488372093023256,0.5357142857142857,0.359375,,,,,,857,336,42,64,19
AEP,Utilities,LSTM,regression,5,0.0004919010361671982,0.017884803206570488,-0.01985861617841289,0.0,0.72,0.5625,1.0,0.5625,,,,,,938,398,42,64,16
AMGN,Healthcare,LSTM,regression,5,0.0012029085088619891,0.02710178644152858,-0.021030755870456108,0.0,0.7326732673267327,0.578125,1.0,0.578125,,,,,,938,398,42,64,16
AMZN,Services,LSTM,regression,5,0.002025473726575742,0.034316434302125415,-0.14812995379773608,0.16519067019815514,0.36363636363636365,0.8333333333333334,0.23255813953488372,0.453125,,,,,,938,398,42,64,16
BA,Industrial Goods,LSTM,regression,5,0.001292997684806215,0.028388541806760953,-0.029443842971383916,0.0,0.6382978723404256,0.46875,1.0,0.46875,,,,,,938,398,42,64,16
BAC,Financial,LSTM,regression,5,0.0011748927524661613,0.02653342896366731,0.020968515973257107,0.0,0.0,0.0,0.0,0.421875,,,,,,938,398,42,64,16
BBL,Basic Matierials,LSTM,regression,5,0.005592871796918156,0.061271571868221644,-0.13342881196522716,0.0,0.0,0.0,0.0,0.734375,,,,,,938,398,42,64,16
BCH,Financial,LSTM,regression,5,0.0005052085792307918,0.01860348991673952,-0.20887668527794734,0.23750843439814176,0.5277777777777778,0.36538461538461536,0.95,0.46875,,,,,,938,398,42,64,29
BHP,Basic Matierials,LSTM,regression,5,0.00459904534284084,0.053962787559639125,-0.0744059061088489,0.0,0.0,0.0,0.0,0.734375,,,,,,938,398,42,64,16
BP,Basic Matierials,LSTM,regression,5,0.002106166695471066,0.03387689236819383,-0.038916068512479196,0.0,0.0,0.0,0.0,0.640625,,,,,,938,398,42,64,16
BRK-A,Financial,LSTM,regression,5,0.00035542470997801937,0.01616575479442836,-0.023611946825219388,-0.12173183529737108,0.5135135135135135,0.4418604651162791,0.6129032258064516,0.4375,,,,,,938,398,42,64,16
BSAC,Financial,LSTM,regression,5,0.0010568580413291442,0.026015623116162512,-0.03867181793842067,0.12371937255211683,0.3684210526315789,0.4666666666666667,0.30434782608695654,0.625,,,,,,938,398,42,64,18
BUD,Consumer Goods,LSTM,regression,5,0.0007821351959602728,0.022560946273378416,-0.12711891872453185,-0.2934451914681763,0.6451612903225806,0.6122448979591837,0.6818181818181818,0.484375,,,,,,938,398,42,64,16
C,Financial,LSTM,regression,5,0.0010154722792299503,0.02393160853142793,0.014189972805737194,0.24165949998852546,0.5901639344262295,0.6923076923076923,0.5142857142857142,0.609375,,,,,,938,398,42,64,16
CAT,Industrial Goods,LSTM,regression,5,0.0016488651524137333,0.03241089172300335,-0.052749406423511,0.0,0.6804123711340206,0.515625,1.0,0.515625,,,,,,938,398,42,64,16
CELG,Healthcare,LSTM,regression,5,0.0025145886565109002,0.037808913037395364,-0.03289153814018664,0.0,0.6938775510204082,0.53125,1.0,0.53125,,,,,,938,398,42,64,16
CHL,Technology,LSTM,regression,5,0.0007813383715460065,0.020187262148768884,-0.19290003055712468,0.038395331411533284,0.3829787234042553,0.3333333333333333,0.45,0.546875,,,,,,938,398,42,64,18
CHTR,Services,LSTM,regression,5,0.0007163724682382424,0.02058706870746957,0.056137329645663536,0.21837342688456055,0.6388888888888888,0.5476190476190477,0.7666666666666667,0.59375,,,,,,938,398,42,64,18
CMCSA,Services,LSTM,regression,5,0.0005616060162755963,0.01928980772573733,-0.10933005713710386,0.17554514371740437,0.6265060240963856,0.4727272727272727,0.9285714285714286,0.515625,,,,,,938,398,42,64,16
CODI,Conglomerates,LSTM,regression,5,0.0006214945562416519,0.019946513501845002,-0.04508095611683438,0.0,0.5617977528089888,0.390625,1.0,0.390625,,,,,,938,398,42,64,16
CSCO,Technology,LSTM,regression,5,0.0011373981721400262,0.025498045302738227,-0.0032749370211269113,0.13855164404183676,0.6744186046511628,0.5471698113207547,0.8787878787878788,0.5625,,,,,,938,398,42,64,16
CVX,Basic Matierials,LSTM,regression,5,0.0018060595880791603,0.030971121398524856,0.02397612827947737,0.2393949488198693,0.5098039215686274,0.6842105263157895,0.40625,0.609375,,,,,,938,398,42,64,16
