company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,BiGRU,regression,5,1,1,0.21563410908732583,0.4202403121051334,398,42,64
AAPL,Consumer Goods,BiGRU,regression,5,1,2,0.22219122055187895,0.44508702485334306,398,42,64
AAPL,Consumer Goods,BiGRU,regression,5,1,3,0.21466893781369656,0.45890174025581,398,42,64
AAPL,Consumer Goods,BiGRU,regression,5,1,4,0.21460413288830513,0.45908468181178685,398,42,64
AAPL,Consumer Goods,BiGRU,regression,5,1,5,0.212668494363526,0.45767500287010554,398,42,64
AAPL,Consumer Goods,BiGRU,regression,5,1,6,0.2144132079790585,0.459836530543509,398,42,64
AAPL,Consumer Goods,BiGRU,regression,5,1,7,0.21281780864126118,0.4570732819182532,398,42,64
AAPL,Consumer Goods,BiGRU,regression,5,1,8,0.21494860340602434,0.4574012756347656,398,42,64
AAPL,Consumer Goods,BiGRU,regression,5,1,9,0.21532041942653943,0.4558991470507213,398,42,64
AAPL,Consumer Goods,BiGRU,regression,5,1,10,0.21071204183688716,0.45361162296363283,398,42,64
AAPL,Consumer Goods,BiGRU,regression,5,1,11,0.2125019456573467,0.4559334622962134,398,42,64
AAPL,Consumer Goods,BiGRU,regression,5,1,12,0.2133529246901747,0.45736113616398405,398,42,64
AAPL,Consumer Goods,BiGRU,regression,5,1,13,0.21631653719211943,0.4554729170742489,398,42,64
AAPL,Consumer Goods,BiGRU,regression,5,1,14,0.21558932398431865,0.4533308283204124,398,42,64
AAPL,Consumer Goods,BiGRU,regression,5,1,15,0.21070552830720068,0.452200391462871,398,42,64
AAPL,Consumer Goods,BiGRU,regression,5,1,16,0.21174799557307258,0.4548398781390417,398,42,64
AAPL,Consumer Goods,BiGRU,regression,5,1,17,0.2135471965200338,0.4558337430159251,398,42,64
AAPL,Consumer Goods,BiGRU,regression,5,1,18,0.20603563857437976,0.4550184401727858,398,42,64
AAPL,Consumer Goods,BiGRU,regression,5,1,19,0.2167603524785545,0.4533247273592722,398,42,64
AAPL,Consumer Goods,BiGRU,regression,5,1,20,0.21410619418824736,0.45264971398171927,398,42,64
ABB,Industrial Goods,BiGRU,regression,5,1,1,0.23286197188511565,0.2809898243063972,398,42,64
ABB,Industrial Goods,BiGRU,regression,5,1,2,0.23399933139283455,0.29069250963983084,398,42,64
ABB,Industrial Goods,BiGRU,regression,5,1,3,0.23417490526060364,0.30155812416757855,398,42,64
ABB,Industrial Goods,BiGRU,regression,5,1,4,0.23387741653164426,0.30411642647924875,398,42,64
ABB,Industrial Goods,BiGRU,regression,5,1,5,0.22919781738190195,0.30763572738284156,398,42,64
ABB,Industrial Goods,BiGRU,regression,5,1,6,0.2298350991615698,0.3024228981563023,398,42,64
ABB,Industrial Goods,BiGRU,regression,5,1,7,0.2306149447683114,0.3031619318893978,398,42,64
ABB,Industrial Goods,BiGRU,regression,5,1,8,0.22982626150001834,0.2991959083647955,398,42,64
ABB,Industrial Goods,BiGRU,regression,5,1,9,0.22828994009962034,0.2981218837556385,398,42,64
