company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,GRU,regression,15,1,1,0.5076835802452049,1.1813179055849712,398,42,64
AAPL,Consumer Goods,GRU,regression,15,1,2,0.508468485956815,1.199710054056985,398,42,64
AAPL,Consumer Goods,GRU,regression,15,1,3,0.5019266641319696,1.213750495797112,398,42,64
AAPL,Consumer Goods,GRU,regression,15,1,4,0.5354857196160896,1.2150394178572155,398,42,64
AAPL,Consumer Goods,GRU,regression,15,1,5,0.4907899825417217,1.2078132232030232,398,42,64
AAPL,Consumer Goods,GRU,regression,15,1,6,0.5055562102015893,1.2209376806304568,398,42,64
AAPL,Consumer Goods,GRU,regression,15,1,7,0.4973524937677623,1.21210021064395,398,42,64
AAPL,Consumer Goods,GRU,regression,15,1,8,0.5116634755278352,1.209425000917344,398,42,64
AAPL,Consumer Goods,GRU,regression,15,1,9,0.5115976773913781,1.2136141090166002,398,42,64
AAPL,Consumer Goods,GRU,regression,15,1,10,0.48237952155683506,1.2197483636084057,398,42,64
AAPL,Consumer Goods,GRU,regression,15,1,11,0.4819278702064974,1.2111091329937889,398,42,64
ABB,Industrial Goods,GRU,regression,15,1,1,0.499856184475386,0.7265075132960365,398,42,64
ABB,Industrial Goods,GRU,regression,15,1,2,0.4962342369496523,0.8028022618520827,398,42,64
ABB,Industrial Goods,GRU,regression,15,1,3,0.5047399850945976,0.8318962994075957,398,42,64
ABB,Industrial Goods,GRU,regression,15,1,4,0.49790037606828774,0.8339063042686099,398,42,64
ABB,Industrial Goods,GRU,regression,15,1,5,0.5124976745801955,0.8337800900141398,398,42,64
ABB,Industrial Goods,GRU,regression,15,1,6,0.5189330323257638,0.8447090444110689,398,42,64
ABB,Industrial Goods,GRU,regression,15,1,7,0.5134697487605876,0.8328976290566581,398,42,64
ABB,Industrial Goods,GRU,regression,15,1,8,0.52021641153187,0.83697661899385,398,42,64
ABB,Industrial Goods,GRU,regression,15,1,9,0.5039804970199738,0.8397068750290644,398,42,64
ABB,Industrial Goods,GRU,regression,15,1,10,0.524213396724145,0.8473187287648519,398,42,64
ABB,Industrial Goods,GRU,regression,15,1,11,0.5154768611917544,0.8581416890734718,398,42,64
ABBV,Healthcare,GRU,regression,15,1,1,0.6122475637409982,0.7086793013981411,331,42,64
ABBV,Healthcare,GRU,regression,15,1,2,0.5894414177473938,0.7047546136946905,331,42,64
ABBV,Healthcare,GRU,regression,15,1,3,0.6056595493299364,0.7057952937625703,331,42,64
ABBV,Healthcare,GRU,regression,15,1,4,0.5689140101754053,0.7061203945250738,331,42,64
ABBV,Healthcare,GRU,regression,15,1,5,0.6167059994536224,0.7101587851842245,331,42,64
ABBV,Healthcare,GRU,regression,15,1,6,0.6142302213118516,0.7094852470216297,331,42,64
ABBV,Healthcare,GRU,regression,15,1,7,0.5498592052214816,0.7021875551768711,331,42,64
ABBV,Healthcare,GRU,regression,15,1,8,0.5834598238734681,0.7052712951387677,331,42,64
ABBV,Healthcare,GRU,regression,15,1,9,0.5948305637814847,0.7023499693189349,331,42,64
ABBV,Healthcare,GRU,regression,15,1,10,0.5945910289208335,0.7076045047669184,331,42,64
ABBV,Healthcare,GRU,regression,15,1,11,0.5646126894252178,0.7038935877027965,331,42,64
ABBV,Healthcare,GRU,regression,15,1,12,0.5738412826082858,0.7025471471604847,331,42,64
AEP,Utilities,GRU,regression,15,1,1,0.6162617176621403,0.7406069664728074,398,42,64
AEP,Utilities,GRU,regression,15,1,2,0.5713323276845654,0.7778876210962024,398,42,64
AEP,Utilities,GRU,regression,15,1,3,0.5741144274946434,0.7908462186654409,398,42,64
AEP,Utilities,GRU,regression,15,1,4,0.5469791973056506,0.7845107189246586,398,42,64
AEP,Utilities,GRU,regression,15,1,5,0.5694558496151737,0.7933501402537028,398,42,64
AEP,Utilities,GRU,regression,15,1,6,0.5802915701315031,0.7938939049130395,398,42,64
AEP,Utilities,GRU,regression,15,1,7,0.5547829318286186,0.7844937188284737,398,42,64
AEP,Utilities,GRU,regression,15,1,8,0.5693026243442267,0.779433399438858,398,42,64
AEP,Utilities,GRU,regression,15,1,9,0.5659897492159551,0.7741420567035675,398,42,64
AEP,Utilities,GRU,regression,15,1,10,0.5645350156417445,0.7784674039908818,398,42,64
AEP,Utilities,GRU,regression,15,1,11,0.5501041466267265,0.7787615614277976,398,42,64
AMGN,Healthcare,GRU,regression,15,1,1,0.5590693872777661,1.0741183814548312,398,42,64
