company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained
AAPL,Consumer Goods,GRU,regression,1,0.0002506829392765249,0.012447395715865173,-0.04275361812722944,-0.09626669171599594,0.5542168674698795,0.41818181818181815,0.8214285714285714,0.421875,,,,,,937,398,42,64,11
ABB,Industrial Goods,GRU,regression,1,0.00012698654450771574,0.009615198358383967,0.03844531405795226,0.1868706368604627,0.5,0.7,0.3888888888888889,0.5625,,,,,,937,398,42,64,11
ABBV,Healthcare,GRU,regression,1,0.0007531210328331141,0.019460767628934866,-0.07318843543375064,0.1567788077186591,0.20512820512820512,0.8,0.11764705882352941,0.515625,,,,,,856,331,42,64,12
AEP,Utilities,GRU,regression,1,0.00016957841181611304,0.00978577319250186,-0.013363296453291706,-0.004186446382769878,0.43333333333333335,0.5909090909090909,0.34210526315789475,0.46875,,,,,,937,398,42,64,11
AMGN,Healthcare,GRU,regression,1,0.0003560694459653766,0.015059079817665105,-0.09388770611676289,-0.05450410372491957,0.38596491228070173,0.5238095238095238,0.3055555555555556,0.453125,,,,,,937,398,42,64,11
AMZN,Services,GRU,regression,1,0.00044310088808349366,0.01625096918050517,-0.3181450546434068,0.0,0.0,0.0,0.0,0.453125,,,,,,937,398,42,64,11
BA,Industrial Goods,GRU,regression,1,0.00022952078827127376,0.01157461638036697,-0.13733726299078075,0.035182987609823045,0.2978723404255319,0.5833333333333334,0.2,0.484375,,,,,,937,398,42,64,30
BAC,Financial,GRU,regression,1,0.0002881822997215501,0.013063235034714633,-0.01431559324726206,0.04054846624431496,0.3,0.46153846153846156,0.2222222222222222,0.5625,,,,,,937,398,42,64,11
BBL,Basic Matierials,GRU,regression,1,0.00076065905018277,0.022338838042558803,-0.0928915064696707,0.1476408447523867,0.5783132530120482,0.41379310344827586,0.96,0.453125,,,,,,937,398,42,64,11
BCH,Financial,GRU,regression,1,0.00014638698118201227,0.009861931167871846,-0.05581859436049741,0.12682630177432805,0.5538461538461539,0.47368421052631576,0.6666666666666666,0.546875,,,,,,937,398,42,64,11
