company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,LSTM,regression,10,1,1,0.14395905596826544,0.25782057642936707,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,1,2,0.14402279459950912,0.25788456201553345,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,1,3,0.14459538497217936,0.25792789459228516,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,1,4,0.14437423062384427,0.2580224573612213,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,1,5,0.1432156787445797,0.2581923007965088,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,1,6,0.14546141155700587,0.25839322805404663,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,1,7,0.14176369439716915,0.2586764097213745,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,1,8,0.14053675098035803,0.259015828371048,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,1,9,0.14597660722445005,0.2594190239906311,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,1,10,0.14184681689319897,0.2600254714488983,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,1,11,0.14095303064315162,0.2608915865421295,398,42,64
ABB,Industrial Goods,LSTM,regression,10,1,1,0.15621411478399633,0.19510714709758759,398,42,64
ABB,Industrial Goods,LSTM,regression,10,1,2,0.15443177453836604,0.1954181045293808,398,42,64
ABB,Industrial Goods,LSTM,regression,10,1,3,0.15443351423021537,0.19573961198329926,398,42,64
ABB,Industrial Goods,LSTM,regression,10,1,4,0.15704549864009398,0.19619382917881012,398,42,64
ABB,Industrial Goods,LSTM,regression,10,1,5,0.15758249912429695,0.19682177901268005,398,42,64
ABB,Industrial Goods,LSTM,regression,10,1,6,0.15568384820192901,0.19764664769172668,398,42,64
ABB,Industrial Goods,LSTM,regression,10,1,7,0.15410833173061736,0.19851723313331604,398,42,64
ABB,Industrial Goods,LSTM,regression,10,1,8,0.15482637533290902,0.19964854419231415,398,42,64
ABB,Industrial Goods,LSTM,regression,10,1,9,0.15584468197582954,0.20115312933921814,398,42,64
ABB,Industrial Goods,LSTM,regression,10,1,10,0.15641340066739662,0.20293104648590088,398,42,64
ABB,Industrial Goods,LSTM,regression,10,1,11,0.15633146861689773,0.20507009327411652,398,42,64
ABBV,Healthcare,LSTM,regression,10,1,1,0.15034753119661695,0.1950036883354187,336,42,64
ABBV,Healthcare,LSTM,regression,10,1,2,0.1486532273037093,0.19495262205600739,336,42,64
ABBV,Healthcare,LSTM,regression,10,1,3,0.1464867361244701,0.194869726896286,336,42,64
ABBV,Healthcare,LSTM,regression,10,1,4,0.14545542604866482,0.1947428435087204,336,42,64
ABBV,Healthcare,LSTM,regression,10,1,5,0.14662063795895802,0.19461089372634888,336,42,64
ABBV,Healthcare,LSTM,regression,10,1,6,0.1479151507928258,0.19448941946029663,336,42,64
ABBV,Healthcare,LSTM,regression,10,1,7,0.1488996119726272,0.19440358877182007,336,42,64
ABBV,Healthcare,LSTM,regression,10,1,8,0.15017632643381754,0.19430029392242432,336,42,64
ABBV,Healthcare,LSTM,regression,10,1,9,0.14715031747307097,0.19421455264091492,336,42,64
ABBV,Healthcare,LSTM,regression,10,1,10,0.14790168298142298,0.1941262185573578,336,42,64
ABBV,Healthcare,LSTM,regression,10,1,11,0.14605140934387842,0.19400586187839508,336,42,64
AEP,Utilities,LSTM,regression,10,1,1,0.156092866581289,0.18609055876731873,398,42,64
AEP,Utilities,LSTM,regression,10,1,2,0.15880108531096473,0.18613117933273315,398,42,64
AEP,Utilities,LSTM,regression,10,1,3,0.15851168963477838,0.18618591129779816,398,42,64
AEP,Utilities,LSTM,regression,10,1,4,0.15690621636321198,0.18630929291248322,398,42,64
AEP,Utilities,LSTM,regression,10,1,5,0.15177503175771417,0.18646617233753204,398,42,64
AEP,Utilities,LSTM,regression,10,1,6,0.15849352032694985,0.18667395412921906,398,42,64
AEP,Utilities,LSTM,regression,10,1,7,0.15456751168672764,0.18697652220726013,398,42,64
AEP,Utilities,LSTM,regression,10,1,8,0.15765686415547703,0.1873594969511032,398,42,64
AEP,Utilities,LSTM,regression,10,1,9,0.15508678776385196,0.18788093328475952,398,42,64
AEP,Utilities,LSTM,regression,10,1,10,0.15559972785226064,0.1885036826133728,398,42,64
AEP,Utilities,LSTM,regression,10,1,11,0.156925834228645,0.18925227224826813,398,42,64
AMGN,Healthcare,LSTM,regression,10,1,1,0.1427965183653424,0.2623077929019928,398,42,64
AMGN,Healthcare,LSTM,regression,10,1,2,0.14369554750284358,0.2622890770435333,398,42,64
AMGN,Healthcare,LSTM,regression,10,1,3,0.14359449703789237,0.2623387575149536,398,42,64
AMGN,Healthcare,LSTM,regression,10,1,4,0.14323955811747355,0.2623581290245056,398,42,64
AMGN,Healthcare,LSTM,regression,10,1,5,0.1454290338796587,0.2623400390148163,398,42,64
AMGN,Healthcare,LSTM,regression,10,1,6,0.1425064645670167,0.2623433768749237,398,42,64
AMGN,Healthcare,LSTM,regression,10,1,7,0.1431666601393091,0.2622028589248657,398,42,64
AMGN,Healthcare,LSTM,regression,10,1,8,0.14172287240399786,0.261976033449173,398,42,64
AMGN,Healthcare,LSTM,regression,10,1,9,0.14199266728743837,0.2616746723651886,398,42,64
AMGN,Healthcare,LSTM,regression,10,1,10,0.14288665474060191,0.26128867268562317,398,42,64
AMGN,Healthcare,LSTM,regression,10,1,11,0.1440156017565847,0.2607079744338989,398,42,64
AMZN,Services,LSTM,regression,10,1,1,0.12463450079886758,0.1526392102241516,398,42,64
AMZN,Services,LSTM,regression,10,1,2,0.125395347425087,0.15266536176204681,398,42,64
AMZN,Services,LSTM,regression,10,1,3,0.12988781711863512,0.15265454351902008,398,42,64
AMZN,Services,LSTM,regression,10,1,4,0.1272736857434613,0.15266411006450653,398,42,64
AMZN,Services,LSTM,regression,10,1,5,0.12628683417885747,0.1527087390422821,398,42,64
AMZN,Services,LSTM,regression,10,1,6,0.12164608340467041,0.15281768143177032,398,42,64
AMZN,Services,LSTM,regression,10,1,7,0.12411669660453221,0.15299539268016815,398,42,64
AMZN,Services,LSTM,regression,10,1,8,0.12519352744572126,0.1532793939113617,398,42,64
AMZN,Services,LSTM,regression,10,1,9,0.12817345454764725,0.1536245495080948,398,42,64
AMZN,Services,LSTM,regression,10,1,10,0.12289353493769564,0.154091015458107,398,42,64
AMZN,Services,LSTM,regression,10,1,11,0.12504785406829125,0.1546420007944107,398,42,64
BA,Industrial Goods,LSTM,regression,10,1,1,0.1576450753900873,0.2226710319519043,398,42,64
BA,Industrial Goods,LSTM,regression,10,1,2,0.15578982376273554,0.22263163328170776,398,42,64
BA,Industrial Goods,LSTM,regression,10,1,3,0.1563763860332307,0.2225668579339981,398,42,64
BA,Industrial Goods,LSTM,regression,10,1,4,0.15683756461694612,0.22254733741283417,398,42,64
BA,Industrial Goods,LSTM,regression,10,1,5,0.15794465170433772,0.2225479632616043,398,42,64
BA,Industrial Goods,LSTM,regression,10,1,6,0.15585939151857367,0.22256815433502197,398,42,64
BA,Industrial Goods,LSTM,regression,10,1,7,0.15631039335799576,0.22254562377929688,398,42,64
