company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained
AAPL,Consumer Goods,LSTM,regression,5,0.001641226346289096,0.030730673278885748,-0.13128022423670904,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,938,398,42,64,11
ABB,Industrial Goods,LSTM,regression,5,0.0010230346677731661,0.024800343560410457,-0.06628146117199574,0.0,0.0,0.0,0.0,0.578125,,,,,,938,398,42,64,11
ABBV,Healthcare,LSTM,regression,5,0.004438293054747924,0.046250753459477545,-0.04206293918448489,-0.03253000243161777,0.5,0.425,0.6071428571428571,0.46875,,,,,,857,336,42,64,15
AEP,Utilities,LSTM,regression,5,0.0004953774575099577,0.018178463269266754,-0.027066281946928727,-0.09759000729485331,0.6875,0.55,0.9166666666666666,0.53125,,,,,,938,398,42,64,13
AMGN,Healthcare,LSTM,regression,5,0.0011863188381179414,0.02733142196020258,-0.006949415573460627,0.1978273656162033,0.7272727272727273,0.6274509803921569,0.8648648648648649,0.625,,,,,,938,398,42,64,11
AMZN,Services,LSTM,regression,5,0.0017749496934895675,0.03167174732747499,-0.006121621248922571,0.3460734104382403,0.8316831683168316,0.7241379310344828,0.9767441860465116,0.734375,,,,,,938,398,42,64,11
BA,Industrial Goods,LSTM,regression,5,0.0012503187637576084,0.02794954435330463,0.004535763500018608,-0.1341246360271594,0.6236559139784946,0.4603174603174603,0.9666666666666667,0.453125,,,,,,938,398,42,64,11
BAC,Financial,LSTM,regression,5,0.001217359781257473,0.026106547919449136,-0.014419018874066714,0.0,0.7326732673267327,0.578125,1.0,0.578125,,,,,,938,398,42,64,11
BBL,Basic Matierials,LSTM,regression,5,0.0062468944724795895,0.06578477639732114,-0.2659704061724084,-0.06127555276542501,0.36923076923076925,0.25,0.7058823529411765,0.359375,,,,,,938,398,42,64,11
BCH,Financial,LSTM,regression,5,0.00046558685482791563,0.017979849006498516,-0.1140687567703349,0.3090909090909091,0.5625,0.4090909090909091,0.9,0.5625,,,,,,938,398,42,64,20
BHP,Basic Matierials,LSTM,regression,5,0.004377079838412587,0.051736546495828276,-0.022551438250344225,0.0,0.0,0.0,0.0,0.734375,,,,,,938,398,42,64,11
BP,Basic Matierials,LSTM,regression,5,0.0021081225885190256,0.034237525630840135,-0.03988085858355306,-0.18462325038887684,0.06451612903225806,0.125,0.043478260869565216,0.546875,,,,,,938,398,42,64,11
BRK-A,Financial,LSTM,regression,5,0.000412273560563089,0.01731295652846862,-0.18733484224731267,-0.20181644987353448,0.525,0.42857142857142855,0.6774193548387096,0.40625,,,,,,938,398,42,64,15
BSAC,Financial,LSTM,regression,5,0.0012048315899779428,0.028520598729922977,-0.18409906433430678,0.0,0.5287356321839081,0.359375,1.0,0.359375,,,,,,938,398,42,64,11
BUD,Consumer Goods,LSTM,regression,5,0.0007427735246085035,0.022056814782230802,-0.07039562499942753,-0.038395331411533284,0.5070422535211268,0.6666666666666666,0.4090909090909091,0.453125,,,,,,938,398,42,64,11
C,Financial,LSTM,regression,5,0.0010383900278457417,0.024518691430137858,-0.008058341449868944,-0.09513170724773494,0.05263157894736842,0.3333333333333333,0.02857142857142857,0.4375,,,,,,938,398,42,64,11
CAT,Industrial Goods,LSTM,regression,5,0.0015873129925361186,0.03184278738129351,-0.013450255925736121,-0.12211066665535371,0.6666666666666666,0.5079365079365079,0.9696969696969697,0.5,,,,,,938,398,42,64,11
CELG,Healthcare,LSTM,regression,5,0.0026101526763714147,0.03831592193174954,-0.07214538079513066,0.0,0.6938775510204082,0.53125,1.0,0.53125,,,,,,938,398,42,64,11
CHL,Technology,LSTM,regression,5,0.0010219745225191848,0.024103798572459076,-0.5602887091408575,0.0,0.47619047619047616,0.3125,1.0,0.3125,,,,,,938,398,42,64,11
CHTR,Services,LSTM,regression,5,0.0008903526484183843,0.022549905754305155,-0.1730917442429567,0.26035958758213296,0.6744186046511628,0.5178571428571429,0.9666666666666667,0.5625,,,,,,938,398,42,64,20
CMCSA,Services,LSTM,regression,5,0.0005387033037434244,0.01905890161557488,-0.06409074939179438,-0.11142851539596063,0.5066666666666667,0.40425531914893614,0.6785714285714286,0.421875,,,,,,938,398,42,64,11
CODI,Conglomerates,LSTM,regression,5,0.0006020932762602009,0.01904179014318188,-0.012456521953614574,0.0,0.0,0.0,0.0,0.609375,,,,,,938,398,42,64,11
CSCO,Technology,LSTM,regression,5,0.0011780499214522912,0.02559936651290682,-0.03913298764057216,0.0,0.6804123711340206,0.515625,1.0,0.515625,,,,,,938,398,42,64,11
CVX,Basic Matierials,LSTM,regression,5,0.001937851269944331,0.033358580838758936,-0.04724623251284288,-0.13483997249264842,0.5263157894736842,0.45454545454545453,0.625,0.4375,,,,,,938,398,42,64,14
D,Utilities,LSTM,regression,5,0.000607030611368811,0.02054984727263147,-0.15114005107105255,0.0,0.6666666666666666,0.5,1.0,0.5,,,,,,938,398,42,64,11
DHR,Industrial Goods,LSTM,regression,5,0.0005621113111904731,0.019075378526605208,-0.020833722173251745,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,938,398,42,64,11
DIS,Services,LSTM,regression,5,0.001155460239361062,0.027598858997595746,-0.08826749846229287,-0.025552902682603722,0.47619047619047616,0.5172413793103449,0.4411764705882353,0.484375,,,,,,938,398,42,64,12
DUK,Utilities,LSTM,regression,5,0.0006250224440355627,0.019061411916648896,0.039207348831098665,0.22147019900891646,0.576271186440678,0.6296296296296297,0.53125,0.609375,,,,,,938,398,42,64,12
EXC,Utilities,LSTM,regression,5,0.001038321261182779,0.02456543500852891,-0.09488991068832808,0.0686780908582235,0.5974025974025974,0.48936170212765956,0.7666666666666667,0.515625,,,,,,938,398,42,64,14
FB,Technology,LSTM,regression,5,0.0010133376209119718,0.025165113412414175,-0.09202337243403069,0.0,0.7450980392156863,0.59375,1.0,0.59375,,,,,,938,398,42,64,12
GD,Industrial Goods,LSTM,regression,5,0.0007573516130106003,0.022563733908995937,-0.18903082017216843,0.0,0.5777777777777777,0.40625,1.0,0.40625,,,,,,938,398,42,64,11
GE,Industrial Goods,LSTM,regression,5,0.0012600789253480287,0.025383076713537914,-0.5778924974051347,0.07265392195447241,0.8113207547169812,0.6935483870967742,0.9772727272727273,0.6875,,,,,,938,398,42,64,13
GOOG,Technology,LSTM,regression,5,0.0011621406284870366,0.025336094785133642,-0.23279721488560012,0.0,0.0,0.0,0.0,0.34375,,,,,,938,398,42,64,11
HD,Services,LSTM,regression,5,0.000776799651930833,0.019649700425294334,-0.019306990828084514,0.0,0.7692307692307693,0.625,1.0,0.625,,,,,,938,398,42,64,11
HON,Industrial Goods,LSTM,regression,5,0.0007518975083005649,0.021576659712986723,0.09910953480383478,0.10500815676649744,0.5245901639344263,0.5925925925925926,0.47058823529411764,0.546875,,,,,,938,398,42,64,20
HRG,Conglomerates,LSTM,regression,5,0.0010850312451182015,0.024153737227602307,0.11367641449251287,0.3339166792659503,0.4782608695652174,0.8461538461538461,0.3333333333333333,0.625,,,,,,938,398,42,64,20
HSBC,Financial,LSTM,regression,5,0.0008527489262557092,0.02206567231059687,0.036553259266603244,0.2613919486871856,0.3157894736842105,0.8571428571428571,0.1935483870967742,0.59375,,,,,,938,398,42,64,11
IEP,Conglomerates,LSTM,regression,5,0.002290952573769943,0.0391974014727617,-0.08371937738712676,0.30974837520809684,0.5901639344262295,0.46153846153846156,0.8181818181818182,0.609375,,,,,,938,398,42,64,11
INTC,Technology,LSTM,regression,5,0.0010884839747553584,0.026290961529517584,0.14398288834293838,0.38056219755369364,0.5490196078431373,0.875,0.4,0.640625,,,,,,938,398,42,64,20
JNJ,Healthcare,LSTM,regression,5,0.0003687195247926234,0.015902855405163188,-0.1170270988913924,-0.08612363356437983,0.3389830508474576,0.5882352941176471,0.23809523809523808,0.390625,,,,,,938,398,42,64,11
JPM,Financial,LSTM,regression,5,0.0010210676189608189,0.022220391042275564,-0.03736736849794453,0.0,0.7450980392156863,0.59375,1.0,0.59375,,,,,,938,398,42,64,11
KO,Consumer Goods,LSTM,regression,5,0.0003709530421957377,0.0151758526817318,-0.016627573176345,0.2661490888618711,0.35555555555555557,0.8888888888888888,0.2222222222222222,0.546875,,,,,,938,398,42,64,12
LMT,Industrial Goods,LSTM,regression,5,0.000640428263899775,0.020513217395822278,0.02909456427699364,0.20168187964479709,0.4186046511627907,0.6428571428571429,0.3103448275862069,0.609375,,,,,,938,398,42,64,11
MA,Financial,LSTM,regression,5,0.0009361321591973106,0.025786552096617926,-0.4249740329335958,0.1834385401586336,0.14634146341463414,1.0,0.07894736842105263,0.453125,,,,,,938,398,42,64,20
MCD,Services,LSTM,regression,5,0.0008647289255638953,0.021169130482806303,-0.5311162855231062,0.08186537751255636,0.043478260869565216,1.0,0.022222222222222223,0.3125,,,,,,938,398,42,64,12
MDT,Healthcare,LSTM,regression,5,0.0004034327685171255,0.016182587770646947,-0.029365642740264652,0.0,0.7692307692307693,0.625,1.0,0.625,,,,,,938,398,42,64,11
