company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained
AAPL,Consumer Goods,BiGRU,regression,5,0.001566839231070097,0.0301042167758198,-0.08000596058895293,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,928,398,42,64,16
ABB,Industrial Goods,BiGRU,regression,5,0.0009517621401253059,0.024175846940111184,0.008003973443043377,0.10499801858101818,0.1875,0.6,0.1111111111111111,0.59375,,,,,,928,398,42,64,16
ABBV,Healthcare,BiGRU,regression,5,0.004277303652978011,0.04499153038673817,-0.004264378540445479,0.17554514371740437,0.6265060240963856,0.4727272727272727,0.9285714285714286,0.515625,,,,,,847,326,42,64,16
AEP,Utilities,BiGRU,regression,5,0.0005144891824246922,0.018313661004247972,-0.06669062890134048,0.0,0.72,0.5625,1.0,0.5625,,,,,,928,398,42,64,16
AMGN,Healthcare,BiGRU,regression,5,0.0011683331024968033,0.0266377768010935,0.008316906928081957,0.0,0.7326732673267327,0.578125,1.0,0.578125,,,,,,928,398,42,64,20
AMZN,Services,BiGRU,regression,5,0.0018782340912796098,0.03264665620442625,-0.06466788097414056,0.21162620215089678,0.7,0.7567567567567568,0.6511627906976745,0.625,,,,,,928,398,42,64,16
BA,Industrial Goods,BiGRU,regression,5,0.0012982428205040551,0.028549871971414648,-0.03361985404483003,0.0,0.6382978723404256,0.46875,1.0,0.46875,,,,,,928,398,42,64,16
BAC,Financial,BiGRU,regression,5,0.001218266597175493,0.027027022872768702,-0.015174663448513703,-0.004751733362404818,0.18181818181818182,0.5714285714285714,0.10810810810810811,0.4375,,,,,,928,398,42,64,16
BBL,Basic Matierials,BiGRU,regression,5,0.0062951242377689755,0.06629390817156237,-0.27574445563362304,0.2107594826743051,0.4594594594594595,0.2982456140350877,1.0,0.375,,,,,,928,398,42,64,16
BCH,Financial,BiGRU,regression,5,0.00042463292899236674,0.017150540137090553,-0.016073100820516606,0.0,0.0,0.0,0.0,0.6875,,,,,,928,398,42,64,20
BHP,Basic Matierials,BiGRU,regression,5,0.005217293713982019,0.05932583923090147,-0.21883798969990753,-0.20057132771272912,0.3561643835616438,0.23214285714285715,0.7647058823529411,0.265625,,,,,,928,398,42,64,16
BP,Basic Matierials,BiGRU,regression,5,0.0020777896002392316,0.0338546523048901,-0.02491840143443813,0.12371937255211683,0.3684210526315789,0.4666666666666667,0.30434782608695654,0.625,,,,,,928,398,42,64,16
BRK-A,Financial,BiGRU,regression,5,0.0003758943479452586,0.016448838134815597,-0.0825638581083401,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,928,398,42,64,16
BSAC,Financial,BiGRU,regression,5,0.0010534987210795922,0.02627381677203061,-0.03537030426847565,-0.09436299464320372,0.0,0.0,0.0,0.625,,,,,,928,398,42,64,16
BUD,Consumer Goods,BiGRU,regression,5,0.0007221491809027843,0.02137789680743614,-0.04067430815157391,-0.21684543705982773,0.7450980392156863,0.6551724137931034,0.8636363636363636,0.59375,,,,,,928,398,42,64,16
C,Financial,BiGRU,regression,5,0.0010167751040046826,0.024037234800769254,0.012925203936239194,0.09061004703659373,0.39215686274509803,0.625,0.2857142857142857,0.515625,,,,,,928,398,42,64,16
CAT,Industrial Goods,BiGRU,regression,5,0.0015625000868366337,0.03162783808651995,0.002392016990600543,0.16952581789376897,0.5263157894736842,0.625,0.45454545454545453,0.578125,,,,,,928,398,42,64,16
CELG,Healthcare,BiGRU,regression,5,0.002518277158834608,0.0378659434920226,-0.03440662603685052,0.0,0.6938775510204082,0.53125,1.0,0.53125,,,,,,928,398,42,64,16
CHL,Technology,BiGRU,regression,5,0.0011084976957690018,0.025438207030664947,-0.6923870416589204,0.0,0.47619047619047616,0.3125,1.0,0.3125,,,,,,928,398,42,64,16
CHTR,Services,BiGRU,regression,5,0.0007745694127280927,0.021374218435591064,-0.02054055213801398,-0.02533201985524494,0.36,0.45,0.3,0.5,,,,,,928,398,42,64,16
CMCSA,Services,BiGRU,regression,5,0.0008079103889119135,0.022680033456010572,-0.5958505641319596,0.0,0.6086956521739131,0.4375,1.0,0.4375,,,,,,928,398,42,64,16
CODI,Conglomerates,BiGRU,regression,5,0.0005980200059711051,0.01886842108910925,-0.005607069829700384,0.0,0.0,0.0,0.0,0.609375,,,,,,928,398,42,64,16
CSCO,Technology,BiGRU,regression,5,0.001125238045204,0.025069807205469787,0.007451254461101509,0.0,0.6804123711340206,0.515625,1.0,0.515625,,,,,,928,398,42,64,16
CVX,Basic Matierials,BiGRU,regression,5,0.001824918531940218,0.031875713099086725,0.013784449375125019,0.033277916281986085,0.5866666666666667,0.5116279069767442,0.6875,0.515625,,,,,,928,398,42,64,20
D,Utilities,BiGRU,regression,5,0.0005075341762741924,0.019206823332986303,0.037539612245991894,0.19418390934515434,0.4,0.6923076923076923,0.28125,0.578125,,,,,,928,398,42,64,16
DHR,Industrial Goods,BiGRU,regression,5,0.0005578713115372363,0.019020762356345117,-0.0131335842435234,-0.12998877418150556,0.6382978723404256,0.47619047619047616,0.967741935483871,0.46875,,,,,,928,398,42,64,16
DIS,Services,BiGRU,regression,5,0.0012064650227227593,0.027357197798422203,-0.13630623325193758,0.0,0.6938775510204082,0.53125,1.0,0.53125,,,,,,928,398,42,64,16
DUK,Utilities,BiGRU,regression,5,0.0006788179627952644,0.01984004377173626,-0.0434878240916825,0.0,0.6666666666666666,0.5,1.0,0.5,,,,,,928,398,42,64,16
EXC,Utilities,BiGRU,regression,5,0.00096054382617572,0.023641339390547994,-0.012875093066814003,0.0,0.0,0.0,0.0,0.53125,,,,,,928,398,42,64,16
FB,Technology,BiGRU,regression,5,0.0009250666180111532,0.024271898643716677,0.0031018812688117237,0.0,0.7450980392156863,0.59375,1.0,0.59375,,,,,,928,398,42,64,16
GD,Industrial Goods,BiGRU,regression,5,0.0007498683265419574,0.022640686076091793,-0.17728217120313383,0.0,0.5777777777777777,0.40625,1.0,0.40625,,,,,,928,398,42,64,16
GE,Industrial Goods,BiGRU,regression,5,0.0009047869793194331,0.02063126410311271,-0.1329898133354428,0.1429543225323221,0.47619047619047616,0.7894736842105263,0.3409090909090909,0.484375,,,,,,928,398,42,64,19
GOOG,Technology,BiGRU,regression,5,0.0011191006730473102,0.024595523614400747,-0.18714048807107342,-0.050964719143762556,0.23076923076923078,0.6,0.14285714285714285,0.375,,,,,,928,398,42,64,16
HD,Services,BiGRU,regression,5,0.0007609743839255119,0.01921898032645418,0.0014587320574197538,0.0,0.7692307692307693,0.625,1.0,0.625,,,,,,928,398,42,64,16
HON,Industrial Goods,BiGRU,regression,5,0.0008433061908756773,0.022582875764935312,-0.010412321112654332,0.0,0.6938775510204082,0.53125,1.0,0.53125,,,,,,928,398,42,64,16
HRG,Conglomerates,BiGRU,regression,5,0.001244149062719808,0.028815927576080258,-0.016301293752578827,0.0,0.6804123711340206,0.515625,1.0,0.515625,,,,,,928,398,42,64,16
HSBC,Financial,BiGRU,regression,5,0.0008786255619886757,0.022585696439314247,0.007317502304071466,0.0,0.0,0.0,0.0,0.515625,,,,,,928,398,42,64,16
IEP,Conglomerates,BiGRU,regression,5,0.0022060757226343144,0.03816002898557384,-0.04356896601657678,0.0,0.0,0.0,0.0,0.65625,,,,,,928,398,42,64,16
INTC,Technology,BiGRU,regression,5,0.0012934031587560795,0.027155723621384326,-0.017171829668270133,0.1980295566502463,0.59375,0.6551724137931034,0.5428571428571428,0.59375,,,,,,928,398,42,64,20
JNJ,Healthcare,BiGRU,regression,5,0.00034764023889024556,0.015354951767909172,-0.053167899703396415,0.0,0.7924528301886793,0.65625,1.0,0.65625,,,,,,928,398,42,64,20
JPM,Financial,BiGRU,regression,5,0.0009705007453731011,0.02270129015431356,0.014006726236590272,0.1659919028340081,0.5625,0.6923076923076923,0.47368421052631576,0.5625,,,,,,928,398,42,64,16
KO,Consumer Goods,BiGRU,regression,5,0.0003659449481105305,0.014934923450184365,-0.0029024760429010588,0.0,0.72,0.5625,1.0,0.5625,,,,,,928,398,42,64,16
LMT,Industrial Goods,BiGRU,regression,5,0.0006561144567678516,0.021059599365925982,0.005313899400219313,0.04592498424680944,0.6024096385542169,0.46296296296296297,0.8620689655172413,0.484375,,,,,,928,398,42,64,20
MA,Financial,BiGRU,regression,5,0.0006884043929602944,0.020051769930739344,-0.047884504861963384,0.12024651756097046,0.2608695652173913,0.75,0.15789473684210525,0.46875,,,,,,928,398,42,64,16
MCD,Services,BiGRU,regression,5,0.0006912653969973745,0.017686401323723983,-0.2239762955438096,-0.11472754069701295,0.7346938775510204,0.6792452830188679,0.8,0.59375,,,,,,928,398,42,64,20
MDT,Healthcare,BiGRU,regression,5,0.0004042517262510818,0.015715099688838427,-0.03145522747402252,-0.09759000729485333,0.7083333333333334,0.6071428571428571,0.85,0.5625,,,,,,928,398,42,64,16
MMM,Industrial Goods,BiGRU,regression,5,0.0009605965370102663,0.02268852033777298,-0.06087272049737047,0.0,0.7070707070707071,0.546875,1.0,0.546875,,,,,,928,398,42,64,16
MO,Consumer Goods,BiGRU,regression,5,0.0007319079746083547,0.021597710295301116,-0.10764372528678345,0.0,0.0,0.0,0.0,0.390625,,,,,,928,398,42,64,16
MRK,Healthcare,BiGRU,regression,5,0.000555759422720343,0.019128774221831887,0.04694364513419724,0.17407765595569782,0.6666666666666666,0.5,1.0,0.515625,,,,,,928,398,42,64,16
MSFT,Technology,BiGRU,regression,5,0.0014599662297081198,0.025136929008645288,0.010638217788556337,0.0,0.7572815533980582,0.609375,1.0,0.609375,,,,,,928,398,42,64,16
