company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained
AAPL,Consumer Goods,BiLSTM,regression,5,0.0015132959394476703,0.02974667032413371,-0.043099127421213135,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,933,398,42,64,11
ABB,Industrial Goods,BiLSTM,regression,5,0.001138517854842203,0.02602862668114378,-0.18664647452663075,-0.12529113460674984,0.2916666666666667,0.3333333333333333,0.25925925925925924,0.46875,,,,,,933,398,42,64,17
ABBV,Healthcare,BiLSTM,regression,5,0.004865208872865036,0.0494446226234089,-0.14229813021937088,-0.06859245370246428,0.47761194029850745,0.41025641025641024,0.5714285714285714,0.453125,,,,,,852,331,42,64,16
AEP,Utilities,BiLSTM,regression,5,0.0004973850105039096,0.01796768199538723,-0.031228542376932733,0.0,0.72,0.5625,1.0,0.5625,,,,,,933,398,42,64,11
AMGN,Healthcare,BiLSTM,regression,5,0.001108003597001042,0.02616006635565371,0.0595246921784357,0.17155007848855516,0.7422680412371134,0.6,0.972972972972973,0.609375,,,,,,933,398,42,64,20
AMZN,Services,BiLSTM,regression,5,0.0020136091531023233,0.03460047874407968,-0.1414045778942452,0.0,0.0,0.0,0.0,0.328125,,,,,,933,398,42,64,11
BA,Industrial Goods,BiLSTM,regression,5,0.001266132434596421,0.028231289632537043,-0.00805458083786137,0.0,0.6382978723404256,0.46875,1.0,0.46875,,,,,,933,398,42,64,11
BAC,Financial,BiLSTM,regression,5,0.0012078864181802851,0.025810354172715502,-0.006524919014555763,0.0,0.7326732673267327,0.578125,1.0,0.578125,,,,,,933,398,42,64,11
BBL,Basic Matierials,BiLSTM,regression,5,0.005479894441356785,0.06044218746998119,-0.11053327733783624,0.0,0.0,0.0,0.0,0.734375,,,,,,933,398,42,64,11
BCH,Financial,BiLSTM,regression,5,0.0004588126214759542,0.017749159507783885,-0.09785918888792278,0.0,0.0,0.0,0.0,0.6875,,,,,,933,398,42,64,11
BHP,Basic Matierials,BiLSTM,regression,5,0.004534097948709118,0.05320404849227153,-0.05923322164072875,0.0,0.0,0.0,0.0,0.734375,,,,,,933,398,42,64,11
BP,Basic Matierials,BiLSTM,regression,5,0.00228855119014352,0.03714148580745634,-0.128881493647246,-0.022792310997917512,0.3673469387755102,0.34615384615384615,0.391304347826087,0.515625,,,,,,933,398,42,64,13
BRK-A,Financial,BiLSTM,regression,5,0.000358800646243037,0.016105670124458765,-0.033334536717200214,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,933,398,42,64,11
BSAC,Financial,BiLSTM,regression,5,0.0010287599793788117,0.025943642071608042,-0.011057262392441647,0.0,0.0,0.0,0.0,0.640625,,,,,,933,398,42,64,11
BUD,Consumer Goods,BiLSTM,regression,5,0.000711664352416958,0.021156859885973753,-0.025564837810647,0.0,0.8148148148148148,0.6875,1.0,0.6875,,,,,,933,398,42,64,11
