company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,GRU,regression,10,1,1,0.36636772332479006,0.7870886354219346,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,2,0.3190588367045225,0.7725507702146258,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,3,0.31667994883791284,0.7784792809259324,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,4,0.2988486635924584,0.7863740466889881,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,5,0.3037161940905317,0.7710313399632772,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,6,0.2770354997872108,0.7887373963991801,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,7,0.2756238575257249,0.7594388751756578,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,8,0.26981344474619956,0.816673823765346,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,9,0.2600015282031879,0.7829195062319437,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,10,0.266399305819267,0.7722032041776747,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,11,0.24979055317203006,0.795072751385825,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,12,0.23433612504197127,0.6934234726996649,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,13,0.2538343168533028,0.7246190224375043,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,14,0.2454066063890505,0.6973326348123097,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,15,0.24308515838043174,0.7049545248349508,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,16,0.23219844953498647,0.8368849811099824,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,17,0.2352667341579744,0.8843623853865124,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,18,0.22255722961234087,0.7340568559510368,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,19,0.2375239434853271,0.686774145989191,398,42,64
AAPL,Consumer Goods,GRU,regression,10,1,20,0.20708847644940093,0.7226946609360831,398,42,64
ABB,Industrial Goods,GRU,regression,10,1,1,0.3615512558862792,0.5782639270737058,398,42,64
ABB,Industrial Goods,GRU,regression,10,1,2,0.3215046048763409,0.7178383043834141,398,42,64
ABB,Industrial Goods,GRU,regression,10,1,3,0.30896745240268997,0.8266242401940482,398,42,64
ABB,Industrial Goods,GRU,regression,10,1,4,0.2968381414161855,1.018323955081758,398,42,64
ABB,Industrial Goods,GRU,regression,10,1,5,0.28458630469576196,1.1060879003433954,398,42,64
ABB,Industrial Goods,GRU,regression,10,1,6,0.2828315045665856,1.1731959184010823,398,42,64
ABB,Industrial Goods,GRU,regression,10,1,7,0.26405190702658804,1.337411948612758,398,42,64
