company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained
AAPL,Consumer Goods,GRU,regression,5,0.0015894592278518779,0.030440945582999382,-0.09559768874356478,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,933,398,42,64,11
ABB,Industrial Goods,GRU,regression,5,0.0009852472874308964,0.025219691171343678,-0.026896693094760726,0.17577515967558022,0.5357142857142857,0.5172413793103449,0.5555555555555556,0.59375,,,,,,933,398,42,64,12
ABBV,Healthcare,GRU,regression,5,0.004620607284746137,0.04622121286457287,-0.08486833757156442,-0.06859245370246428,0.47761194029850745,0.41025641025641024,0.5714285714285714,0.453125,,,,,,852,331,42,64,15
AEP,Utilities,GRU,regression,5,0.0005126878081915414,0.018420242911738993,-0.06295583897905166,0.0,0.0,0.0,0.0,0.4375,,,,,,933,398,42,64,11
AMGN,Healthcare,GRU,regression,5,0.001148789603945627,0.026553673030021846,0.02490546121218018,0.0,0.7326732673267327,0.578125,1.0,0.578125,,,,,,933,398,42,64,11
AMZN,Services,GRU,regression,5,0.001999614787783455,0.034268800360840845,-0.1334719398174511,-0.47722316529373915,0.3561643835616438,0.43333333333333335,0.3023255813953488,0.265625,,,,,,933,398,42,64,11
BA,Industrial Goods,GRU,regression,5,0.0012619015927767259,0.0292711902530651,-0.004686118455406341,0.06210761473297944,0.5866666666666667,0.4888888888888889,0.7333333333333333,0.515625,,,,,,933,398,42,64,31
BAC,Financial,GRU,regression,5,0.0011693287956125737,0.026140642883655918,0.025604929742934823,0.159079640347213,0.6578947368421053,0.6410256410256411,0.6756756756756757,0.59375,,,,,,933,398,42,64,36
BBL,Basic Matierials,GRU,regression,5,0.00555611305642896,0.060843853197386624,-0.12597943406513568,0.0,0.0,0.0,0.0,0.734375,,,,,,933,398,42,64,11
BCH,Financial,GRU,regression,5,0.00044174921738043284,0.016677104564127854,-0.05702941633346903,0.0,0.0,0.0,0.0,0.6875,,,,,,933,398,42,64,11
BHP,Basic Matierials,GRU,regression,5,0.004548286886822081,0.05282354461554574,-0.06254797019690717,0.0,0.0,0.0,0.0,0.734375,,,,,,933,398,42,64,11
BP,Basic Matierials,GRU,regression,5,0.0020262951766186373,0.03311770515437659,0.0004824294937416651,0.0,0.0,0.0,0.0,0.640625,,,,,,933,398,42,64,11
BRK-A,Financial,GRU,regression,5,0.00040231196144762716,0.016767312858139455,-0.15864575120268354,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,933,398,42,64,12
BSAC,Financial,GRU,regression,5,0.0012292104012245836,0.02888532777410792,-0.2080583693748217,0.0,0.5287356321839081,0.359375,1.0,0.359375,,,,,,933,398,42,64,11
BUD,Consumer Goods,GRU,regression,5,0.00083095949565285,0.023684209913350476,-0.19747861121914667,0.29012942659282975,0.37037037037037035,1.0,0.22727272727272727,0.46875,,,,,,933,398,42,64,11
C,Financial,GRU,regression,5,0.0011595497079977387,0.026537650835374037,-0.12567891074405213,-0.13840913308956662,0.0,0.0,0.0,0.4375,,,,,,933,398,42,64,12
CAT,Industrial Goods,GRU,regression,5,0.0015835135163825727,0.03179396929423714,-0.011024407905653621,0.0,0.0,0.0,0.0,0.484375,,,,,,933,398,42,64,11
CELG,Healthcare,GRU,regression,5,0.0023954141275988753,0.03704428607335131,0.016060548777230954,0.1455213750217998,0.7021276595744681,0.55,0.9705882352941176,0.5625,,,,,,933,398,42,64,11
CHL,Technology,GRU,regression,5,0.0009841887064745906,0.023751252232604478,-0.5025996172496778,0.0,0.47619047619047616,0.3125,1.0,0.3125,,,,,,933,398,42,64,11
CHTR,Services,GRU,regression,5,0.0007881178435272438,0.02162567613195923,-0.038391402973538824,0.0,0.0,0.0,0.0,0.53125,,,,,,933,398,42,64,11
CMCSA,Services,GRU,regression,5,0.0006142035657222252,0.02033531057795778,-0.21322503126834125,-0.14285714285714285,0.5476190476190477,0.4107142857142857,0.8214285714285714,0.40625,,,,,,933,398,42,64,11
CODI,Conglomerates,GRU,regression,5,0.0006029701698371311,0.01920103607726171,-0.01393107192124865,0.0,0.0,0.0,0.0,0.609375,,,,,,933,398,42,64,11
CSCO,Technology,GRU,regression,5,0.0016997549440018209,0.03166971752217545,-0.49931798394417704,0.0,0.6804123711340206,0.515625,1.0,0.515625,,,,,,933,398,42,64,11
CVX,Basic Matierials,GRU,regression,5,0.0019420965007571206,0.0322546551902647,-0.04954042404538983,-0.40032038451271784,0.045454545454545456,0.08333333333333333,0.03125,0.34375,,,,,,933,398,42,64,13
D,Utilities,GRU,regression,5,0.0005813544320682927,0.019538417833281904,-0.10244913203377459,0.1563263498701806,0.5714285714285714,0.5806451612903226,0.5625,0.578125,,,,,,933,398,42,64,50
DHR,Industrial Goods,GRU,regression,5,0.0005735557963031935,0.019496459286739126,-0.041617713001032675,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,933,398,42,64,11
DIS,Services,GRU,regression,5,0.0013591889527922885,0.03112878495647943,-0.2801489062148803,-0.5439093717976677,0.10909090909090909,0.14285714285714285,0.08823529411764706,0.234375,,,,,,933,398,42,64,12
DUK,Utilities,GRU,regression,5,0.000688412655594212,0.020393245567374457,-0.05823691097555672,0.10259783520851541,0.6233766233766234,0.5333333333333333,0.75,0.546875,,,,,,933,398,42,64,23
EXC,Utilities,GRU,regression,5,0.0010115979358991077,0.024964860697841984,-0.06671067529464625,0.030467917928916295,0.5789473684210527,0.4782608695652174,0.7333333333333333,0.5,,,,,,933,398,42,64,39
FB,Technology,GRU,regression,5,0.0011293884816379871,0.026228852586536316,-0.21708559225948432,0.10421364855284106,0.05128205128205128,1.0,0.02631578947368421,0.421875,,,,,,933,398,42,64,11
GD,Industrial Goods,GRU,regression,5,0.0006755273513137358,0.02122456633333314,-0.06056794067996729,-0.03673591791853225,0.2857142857142857,0.375,0.23076923076923078,0.53125,,,,,,933,398,42,64,11
GE,Industrial Goods,GRU,regression,5,0.0008980025732314139,0.019434057887642117,-0.12449426337401603,-0.07878787878787878,0.7474747474747475,0.6727272727272727,0.8409090909090909,0.609375,,,,,,933,398,42,64,11
GOOG,Technology,GRU,regression,5,0.0009796592774458436,0.022722566198276686,-0.03922124325382126,0.0,0.7924528301886793,0.65625,1.0,0.65625,,,,,,933,398,42,64,11
HD,Services,GRU,regression,5,0.0008509587267266926,0.02064570537427475,-0.11661762064733305,0.0,0.7692307692307693,0.625,1.0,0.625,,,,,,933,398,42,64,11
HON,Industrial Goods,GRU,regression,5,0.0008810327747569765,0.022925294398712548,-0.055614651653560276,0.2549019607843137,0.625,0.6666666666666666,0.5882352941176471,0.625,,,,,,933,398,42,64,31
HRG,Conglomerates,GRU,regression,5,0.0012601570244251206,0.02923371453721932,-0.02937763056698417,0.0,0.6804123711340206,0.515625,1.0,0.515625,,,,,,933,398,42,64,11
HSBC,Financial,GRU,regression,5,0.0008788231122995138,0.022605558558641124,0.007094307413702539,0.0,0.0,0.0,0.0,0.515625,,,,,,933,398,42,64,11
IEP,Conglomerates,GRU,regression,5,0.0021160586882519638,0.03677160734220759,-0.0009870262715103717,0.0,0.0,0.0,0.0,0.65625,,,,,,933,398,42,64,11
INTC,Technology,GRU,regression,5,0.0014280762910967835,0.02956834910826177,-0.12308290271829736,0.0,0.0,0.0,0.0,0.453125,,,,,,933,398,42,64,11
JNJ,Healthcare,GRU,regression,5,0.00034452670092085017,0.015548622163431544,-0.04373550990196695,0.1554563560994805,0.5079365079365079,0.7619047619047619,0.38095238095238093,0.515625,,,,,,933,398,42,64,11
JPM,Financial,GRU,regression,5,0.0009797028857536677,0.023375926997973126,0.004657688059420018,0.10421364855284106,0.05128205128205128,1.0,0.02631578947368421,0.421875,,,,,,933,398,42,64,11
KO,Consumer Goods,GRU,regression,5,0.00033785170428606904,0.014116800602634427,0.074089388271945,0.2666780283394888,0.576271186440678,0.7391304347826086,0.4722222222222222,0.609375,,,,,,933,398,42,64,50
LMT,Industrial Goods,GRU,regression,5,0.0006823055012357634,0.022239164724267943,-0.03439238602558792,-0.1305000397701628,0.5647058823529412,0.42857142857142855,0.8275862068965517,0.421875,,,,,,933,398,42,64,11
MA,Financial,GRU,regression,5,0.0008093513559543142,0.01977866942736542,-0.2319891528386313,0.0,0.7450980392156863,0.59375,1.0,0.59375,,,,,,933,398,42,64,11
MCD,Services,GRU,regression,5,0.0008385414293432614,0.022244855567945643,-0.4847478794768525,0.0,0.8256880733944955,0.703125,1.0,0.703125,,,,,,933,398,42,64,12
MDT,Healthcare,GRU,regression,5,0.00038135136051463625,0.015231419874225924,0.026975449295067788,0.015032920560056576,0.7474747474747475,0.6271186440677966,0.925,0.609375,,,,,,933,398,42,64,11
MMM,Industrial Goods,GRU,regression,5,0.000925927900210823,0.02267413753525556,-0.022585042351215057,0.0,0.0,0.0,0.0,0.453125,,,,,,933,398,42,64,11
MO,Consumer Goods,GRU,regression,5,0.0007212357137526842,0.02038192077899232,-0.09149270195938675,0.0,0.7572815533980582,0.609375,1.0,0.609375,,,,,,933,398,42,64,11
