company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained
AAPL,Consumer Goods,LSTM,regression,1,0.0002406017954403848,0.012206501924964835,-0.0008195749077972714,-0.061541083462958945,0.4927536231884058,0.4146341463414634,0.6071428571428571,0.453125,,,,,,932,398,42,64,11
ABB,Industrial Goods,LSTM,regression,1,0.00013579289552172186,0.009889186946034786,-0.02823724759765356,0.0,0.0,0.0,0.0,0.4375,,,,,,932,398,42,64,11
ABBV,Healthcare,LSTM,regression,1,0.000702892076426083,0.018574777452488977,-0.0016127752279140317,0.0,0.6938775510204082,0.53125,1.0,0.53125,,,,,,851,326,42,64,11
AEP,Utilities,LSTM,regression,1,0.000170745567206447,0.009988706546995685,-0.020337960392853738,0.0,0.0,0.0,0.0,0.40625,,,,,,932,398,42,64,11
AMGN,Healthcare,LSTM,regression,1,0.00032705397102198754,0.014322379949241404,-0.004748714587569536,0.0,0.72,0.5625,1.0,0.5625,,,,,,932,398,42,64,11
AMZN,Services,LSTM,regression,1,0.0003500830132184612,0.014181358012126749,-0.041433689254136485,0.031067398795686124,0.15,0.6,0.08571428571428572,0.46875,,,,,,932,398,42,64,11
BA,Industrial Goods,LSTM,regression,1,0.0002035355413209873,0.010632564974276282,-0.008573372507588273,0.0,0.7070707070707071,0.546875,1.0,0.546875,,,,,,932,398,42,64,11
BAC,Financial,LSTM,regression,1,0.000284161123325335,0.013184155321117948,-0.00016225376104150868,0.0,0.5934065934065934,0.421875,1.0,0.421875,,,,,,932,398,42,64,11
BBL,Basic Matierials,LSTM,regression,1,0.0007103076882958356,0.02179038084926431,-0.020548219773496967,0.1622491489185269,0.46808510638297873,0.5,0.44,0.609375,,,,,,932,398,42,64,13
BCH,Financial,LSTM,regression,1,0.0001420627365603877,0.009497996690568111,-0.02462990639651874,0.0,0.0,0.0,0.0,0.578125,,,,,,932,398,42,64,11
BHP,Basic Matierials,LSTM,regression,1,0.0005691206378550931,0.01965660294518693,0.0028582103799004166,0.0,0.0,0.0,0.0,0.5625,,,,,,932,398,42,64,11
BP,Basic Matierials,LSTM,regression,1,0.00037387707892247,0.015002139203157606,-0.00668271884881122,0.14856415213808927,0.5909090909090909,0.41935483870967744,1.0,0.4375,,,,,,932,398,42,64,11
BRK-A,Financial,LSTM,regression,1,0.00013443655024963976,0.009111131728981509,-0.001217230889359211,0.0,0.6086956521739131,0.4375,1.0,0.4375,,,,,,932,398,42,64,11
BSAC,Financial,LSTM,regression,1,0.00024003710739298303,0.011886602460866258,-0.005936764892963797,0.0,0.0,0.0,0.0,0.5625,,,,,,932,398,42,64,11
BUD,Consumer Goods,LSTM,regression,1,0.00014900983668709634,0.00939769226834869,-0.08233470648885532,0.0,0.0,0.0,0.0,0.5,,,,,,932,398,42,64,11
C,Financial,LSTM,regression,1,0.00024775883301119376,0.011815588579626543,-0.0026387205442097716,-0.003704593116088124,0.12903225806451613,0.4,0.07692307692307693,0.578125,,,,,,932,398,42,64,11
CAT,Industrial Goods,LSTM,regression,1,0.00029280262670352403,0.013077378379949378,0.0017413244478772238,0.15018785229652767,0.2564102564102564,0.7142857142857143,0.15625,0.546875,,,,,,932,398,42,64,11
CELG,Healthcare,LSTM,regression,1,0.0006147870641678255,0.01886518384551686,0.0024581822360871808,0.0,0.6804123711340206,0.515625,1.0,0.515625,,,,,,932,398,42,64,11
CHL,Technology,LSTM,regression,1,0.00015807901954057,0.010190147990986262,0.001284403275675361,0.0,0.0,0.0,0.0,0.515625,,,,,,932,398,42,64,11
CHTR,Services,LSTM,regression,1,0.000295100587125421,0.012578328016277826,-0.05815418464668731,0.0,0.6666666666666666,0.5,1.0,0.5,,,,,,932,398,42,64,11
CMCSA,Services,LSTM,regression,1,0.0001471964429336247,0.009817191437928384,-0.005391568217012255,0.0,0.6382978723404256,0.46875,1.0,0.46875,,,,,,932,398,42,64,11
CODI,Conglomerates,LSTM,regression,1,0.00012418473258938456,0.00880896143260848,-0.006959865976084778,0.016912483530155894,0.06451612903225806,0.5,0.034482758620689655,0.546875,,,,,,932,398,42,64,11
CSCO,Technology,LSTM,regression,1,0.00020967623479858834,0.010636902478924598,-0.0011093494142471183,0.0,0.6666666666666666,0.5,1.0,0.5,,,,,,932,398,42,64,11
CVX,Basic Matierials,LSTM,regression,1,0.0003840893335769646,0.016443505017421672,-0.007263884864820769,-0.07570682517832987,0.39285714285714285,0.4230769230769231,0.36666666666666664,0.46875,,,,,,932,398,42,64,11
D,Utilities,LSTM,regression,1,0.00010769197531777206,0.00776885643496758,-0.026678782320517236,-0.0582222509739582,0.6373626373626373,0.4915254237288136,0.90625,0.484375,,,,,,932,398,42,64,11
DHR,Industrial Goods,LSTM,regression,1,0.00013613311407128557,0.008339865666788543,-0.010358848432339585,0.0,0.6804123711340206,0.515625,1.0,0.515625,,,,,,932,398,42,64,11
DIS,Services,LSTM,regression,1,0.00018198000594048263,0.010440204410110773,-0.038678888406503686,0.0,0.7070707070707071,0.546875,1.0,0.546875,,,,,,932,398,42,64,11
DUK,Utilities,LSTM,regression,1,0.0001701465802983103,0.00934417887472648,-0.0013317948041051686,0.04084525678298932,0.7216494845360825,0.5833333333333334,0.9459459459459459,0.578125,,,,,,932,398,42,64,11
EXC,Utilities,LSTM,regression,1,0.00021405152350658377,0.011583344820173265,-0.009193344040796969,0.08006407690254357,0.6428571428571429,0.5192307692307693,0.84375,0.53125,,,,,,932,398,42,64,11
FB,Technology,LSTM,regression,1,0.00024662404721027364,0.012666288928696104,-0.007932339619121542,0.0,0.7070707070707071,0.546875,1.0,0.546875,,,,,,932,398,42,64,11
GD,Industrial Goods,LSTM,regression,1,0.000127999570404337,0.008944249299707815,-0.030048550843249533,-0.0063072969384049705,0.17142857142857143,0.42857142857142855,0.10714285714285714,0.546875,,,,,,932,398,42,64,18
GE,Industrial Goods,LSTM,regression,1,0.00016621335567454316,0.009271221168982026,-0.15579602439865559,0.0,0.0,0.0,0.0,0.421875,,,,,,932,398,42,64,11
GOOG,Technology,LSTM,regression,1,0.0002630519363985783,0.011649758177687125,-0.12070771793092905,0.0,0.0,0.0,0.0,0.46875,,,,,,932,398,42,64,11
HD,Services,LSTM,regression,1,0.0001318998851781481,0.008364387812658275,-0.07143082232151032,0.0,0.0,0.0,0.0,0.421875,,,,,,932,398,42,64,11
HON,Industrial Goods,LSTM,regression,1,0.00017697718902024852,0.009593211120484238,0.024987184191810896,0.20851441405707474,0.48,0.6666666666666666,0.375,0.59375,,,,,,932,398,42,64,13
HRG,Conglomerates,LSTM,regression,1,0.00020370585498063736,0.01196899243964445,-0.0029832935121829607,0.0,0.6938775510204082,0.53125,1.0,0.53125,,,,,,932,398,42,64,11
HSBC,Financial,LSTM,regression,1,0.00015552740944432982,0.0098702026036558,-0.0147585595648283,0.0,0.0,0.0,0.0,0.46875,,,,,,932,398,42,64,11
IEP,Conglomerates,LSTM,regression,1,0.000384122711049405,0.015261372777512106,-0.0007044666188640303,0.0,0.0,0.0,0.0,0.53125,,,,,,932,398,42,64,11
INTC,Technology,LSTM,regression,1,0.00016888378981317004,0.010566306292220003,0.01370383100290018,0.0,0.6666666666666666,0.5,1.0,0.5,,,,,,932,398,42,64,11
JNJ,Healthcare,LSTM,regression,1,0.00010051417120212543,0.007939267586957982,-0.05544041044796333,0.0,0.0,0.0,0.0,0.46875,,,,,,932,398,42,64,11
JPM,Financial,LSTM,regression,1,0.00022181993752806207,0.011321006959921068,-0.015423854014207539,0.0,0.0,0.0,0.0,0.515625,,,,,,932,398,42,64,11
KO,Consumer Goods,LSTM,regression,1,9.814165591953518e-05,0.008102602743523056,-0.008298527569611025,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,932,398,42,64,11
LMT,Industrial Goods,LSTM,regression,1,0.00011811209336770537,0.008466457570136698,0.0007771358305682652,0.0,0.6804123711340206,0.515625,1.0,0.515625,,,,,,932,398,42,64,11
MA,Financial,LSTM,regression,1,0.00015458342978385542,0.009464225704320636,0.02827161452023008,0.09379580992210836,0.5538461538461539,0.5625,0.5454545454545454,0.546875,,,,,,932,398,42,64,14
MCD,Services,LSTM,regression,1,0.00015125366219964664,0.0071019697523449915,-0.020589445588139244,0.0,0.72,0.5625,1.0,0.5625,,,,,,932,398,42,64,11
MDT,Healthcare,LSTM,regression,1,0.0001292825701807889,0.008631806367853906,-0.007284499554368606,0.0,0.6666666666666666,0.5,1.0,0.5,,,,,,932,398,42,64,11
MMM,Industrial Goods,LSTM,regression,1,0.000181220170205658,0.009081078408186838,-0.019147670328419464,0.0,0.0,0.0,0.0,0.453125,,,,,,932,398,42,64,11
MO,Consumer Goods,LSTM,regression,1,0.00013793446404909324,0.008500854456418384,-0.015630483500155057,-0.010055966353275558,0.15384615384615385,0.5,0.09090909090909091,0.484375,,,,,,932,398,42,64,11
MRK,Healthcare,LSTM,regression,1,0.00020181843075111228,0.011213454374563461,-0.01911906080742387,0.0,0.6804123711340206,0.515625,1.0,0.515625,,,,,,932,398,42,64,11
MSFT,Technology,LSTM,regression,1,0.00033318904548016045,0.01234725605599176,-0.16642254976011106,0.0,0.0,0.0,0.0,0.4375,,,,,,932,398,42,64,11
NEE,Utilities,LSTM,regression,1,0.00014348578855262475,0.008647357521591778,-0.007111896601690315,0.052908467726826995,0.34615384615384615,0.6428571428571429,0.23684210526315788,0.46875,,,,,,932,398,42,64,11
NGG,Utilities,LSTM,regression,1,0.00012675786490541554,0.00792578116407193,-0.015025153186084772,0.0,0.6382978723404256,0.46875,1.0,0.46875,,,,,,932,398,42,64,11
NVS,Healthcare,LSTM,regression,1,0.00011127900937158374,0.00876531101334388,-0.009189269451336912,0.034284035108789836,0.07142857142857142,0.5,0.038461538461538464,0.59375,,,,,,932,398,42,64,12
ORCL,Technology,LSTM,regression,1,0.00022253980890075666,0.011021968577885163,-0.038591074384875856,-0.045322786711889926,0.5277777777777778,0.4523809523809524,0.6333333333333333,0.46875,,,,,,932,398,42,64,11
PCG,Utilities,LSTM,regression,1,0.00014981479354041481,0.009547004536752848,-0.038352357795447434,0.0721059823560622,0.6813186813186813,0.543859649122807,0.9117647058823529,0.546875,,,,,,932,398,42,64,13
PCLN,Services,LSTM,regression,1,0.00033308824602478306,0.012034470972104278,-0.003321654678342112,0.0,0.0,0.0,0.0,0.453125,,,,,,932,398,42,64,11
PEP,Consumer Goods,LSTM,regression,1,9.296547337013481e-05,0.0077526948143283175,-0.004085044368046686,0.0,0.6382978723404256,0.46875,1.0,0.46875,,,,,,932,398,42,64,11
PFE,Healthcare,LSTM,regression,1,0.00022178395124222515,0.011436551770260261,0.006876435112084578,0.11468185313135519,0.6304347826086957,0.4603174603174603,1.0,0.46875,,,,,,932,398,42,64,11
PG,Consumer Goods,LSTM,regression,1,9.71559477418694e-05,0.007444220029336784,0.0024717707454060545,0.0,0.72,0.5625,1.0,0.5625,,,,,,932,398,42,64,11
PICO,Conglomerates,LSTM,regression,1,0.0009458007296095104,0.024274571348509966,0.00688453188137117,0.21650635094610968,0.4583333333333333,0.6875,0.34375,0.59375,,,,,,932,398,42,64,11
PM,Consumer Goods,LSTM,regression,1,0.00012033448329215314,0.008416397759104272,-0.07249206048772083,0.0,0.0,0.0,0.0,0.46875,,,,,,932,398,42,64,11
PPL,Utilities,LSTM,regression,1,0.00016721939031489572,0.010470214394378528,-0.004453253035121341,-0.03138824102871723,0.45901639344262296,0.4827586206896552,0.4375,0.484375,,,,,,932,398,42,64,11
PTR,Basic Matierials,LSTM,regression,1,0.0004966098987893189,0.018025035292310587,-0.03301772727922825,0.0,0.6382978723404256,0.46875,1.0,0.46875,,,,,,912,398,42,64,11
RDS-B,Basic Matierials,LSTM,regression,1,0.0004216012659987268,0.016288626687667555,-0.010297796043328367,0.0,0.0,0.0,0.0,0.546875,,,,,,932,398,42,64,11
REX,Conglomerates,LSTM,regression,1,0.0008567174639067453,0.02053052014864317,-0.006323595693637163,-0.10202730382030911,0.611764705882353,0.52,0.7428571428571429,0.484375,,,,,,912,398,42,64,11
SLB,Basic Matierials,LSTM,regression,1,0.0002877269620078074,0.014053256347557386,-0.00879000291897869,0.0,0.6236559139784946,0.453125,1.0,0.453125,,,,,,932,398,42,64,11
SNP,Basic Matierials,LSTM,regression,1,0.00047086372060415243,0.01642146316429259,-0.006051504421267229,0.0,0.6938775510204082,0.53125,1.0,0.53125,,,,,,912,398,42,64,11
