company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,LSTM,regression,10,5,1,0.5447518603885593,0.6726763844490051,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,5,2,0.5140549813083668,0.6729807257652283,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,5,3,0.5098844509028909,0.6733611226081848,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,5,4,0.5009540085816503,0.6736096739768982,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,5,5,0.5183789727076813,0.6740249395370483,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,5,6,0.5062321178877174,0.6744852662086487,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,5,7,0.5130993271592873,0.6749496459960938,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,5,8,0.5283330637006903,0.6755813360214233,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,5,9,0.48771276665692354,0.6762864589691162,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,5,10,0.49245030197066875,0.6774560213088989,398,42,64
AAPL,Consumer Goods,LSTM,regression,10,5,11,0.4727700736055422,0.6786791086196899,398,42,64
ABB,Industrial Goods,LSTM,regression,10,5,1,0.5161090839148765,0.7793847918510437,398,42,64
ABB,Industrial Goods,LSTM,regression,10,5,2,0.49743673175423586,0.7805130481719971,398,42,64
ABB,Industrial Goods,LSTM,regression,10,5,3,0.49483795531431035,0.7817744612693787,398,42,64
ABB,Industrial Goods,LSTM,regression,10,5,4,0.5093494839404695,0.7838048338890076,398,42,64
ABB,Industrial Goods,LSTM,regression,10,5,5,0.4819811617010203,0.7861364483833313,398,42,64
ABB,Industrial Goods,LSTM,regression,10,5,6,0.48255437223156494,0.7892388701438904,398,42,64
ABB,Industrial Goods,LSTM,regression,10,5,7,0.4938796839522357,0.79385906457901,398,42,64
ABB,Industrial Goods,LSTM,regression,10,5,8,0.49096634924112253,0.7996964454650879,398,42,64
ABB,Industrial Goods,LSTM,regression,10,5,9,0.4831150782168211,0.8076870441436768,398,42,64
ABB,Industrial Goods,LSTM,regression,10,5,10,0.4818738092429674,0.817200243473053,398,42,64
ABB,Industrial Goods,LSTM,regression,10,5,11,0.4698748986924713,0.8285539746284485,398,42,64
ABBV,Healthcare,LSTM,regression,10,5,1,0.5050556375866845,0.8735167384147644,336,42,64
ABBV,Healthcare,LSTM,regression,10,5,2,0.4973950627304259,0.8719251751899719,336,42,64
ABBV,Healthcare,LSTM,regression,10,5,3,0.4989017993211746,0.8705384731292725,336,42,64
ABBV,Healthcare,LSTM,regression,10,5,4,0.484533585253216,0.8695106506347656,336,42,64
ABBV,Healthcare,LSTM,regression,10,5,5,0.4881630412169865,0.868882954120636,336,42,64
ABBV,Healthcare,LSTM,regression,10,5,6,0.46952574522722335,0.8681381940841675,336,42,64
ABBV,Healthcare,LSTM,regression,10,5,7,0.48391699932870413,0.867358922958374,336,42,64
ABBV,Healthcare,LSTM,regression,10,5,8,0.4656014726275489,0.8665269613265991,336,42,64
ABBV,Healthcare,LSTM,regression,10,5,9,0.4756234933932622,0.8658257722854614,336,42,64
ABBV,Healthcare,LSTM,regression,10,5,10,0.4755753803820837,0.8652318716049194,336,42,64
ABBV,Healthcare,LSTM,regression,10,5,11,0.45736870382513317,0.8640350103378296,336,42,64
ABBV,Healthcare,LSTM,regression,10,5,12,0.47394608457883197,0.8626705408096313,336,42,64
ABBV,Healthcare,LSTM,regression,10,5,13,0.47310913176763625,0.8607776165008545,336,42,64
ABBV,Healthcare,LSTM,regression,10,5,14,0.4823246229262579,0.8591616749763489,336,42,64
ABBV,Healthcare,LSTM,regression,10,5,15,0.44851247611499967,0.8577070236206055,336,42,64
ABBV,Healthcare,LSTM,regression,10,5,16,0.45385544569719405,0.857668936252594,336,42,64
ABBV,Healthcare,LSTM,regression,10,5,17,0.472980199825196,0.855854332447052,336,42,64
ABBV,Healthcare,LSTM,regression,10,5,18,0.46286421446573167,0.8557456135749817,336,42,64
ABBV,Healthcare,LSTM,regression,10,5,19,0.4341302506980442,0.8563835620880127,336,42,64
ABBV,Healthcare,LSTM,regression,10,5,20,0.4440353761116664,0.8565865755081177,336,42,64
ABBV,Healthcare,LSTM,regression,10,5,21,0.46212793177082423,0.8571163415908813,336,42,64
AEP,Utilities,LSTM,regression,10,5,1,0.4860655952937639,0.6606559157371521,398,42,64
AEP,Utilities,LSTM,regression,10,5,2,0.49433720785768787,0.6611997485160828,398,42,64
AEP,Utilities,LSTM,regression,10,5,3,0.48452158459466904,0.6620011329650879,398,42,64
AEP,Utilities,LSTM,regression,10,5,4,0.488282951577824,0.6631321310997009,398,42,64
AEP,Utilities,LSTM,regression,10,5,5,0.48058731531977056,0.6644742488861084,398,42,64
AEP,Utilities,LSTM,regression,10,5,6,0.5136628478915248,0.6659053564071655,398,42,64
AEP,Utilities,LSTM,regression,10,5,7,0.4861034306149986,0.6675055623054504,398,42,64
AEP,Utilities,LSTM,regression,10,5,8,0.5068005311429201,0.6695355772972107,398,42,64
AEP,Utilities,LSTM,regression,10,5,9,0.4783295527774485,0.6715922355651855,398,42,64
AEP,Utilities,LSTM,regression,10,5,10,0.4939852052897065,0.6741216778755188,398,42,64
AEP,Utilities,LSTM,regression,10,5,11,0.5023308809678159,0.6769720911979675,398,42,64
AMGN,Healthcare,LSTM,regression,10,5,1,0.48996771070825396,1.0923823118209839,398,42,64
AMGN,Healthcare,LSTM,regression,10,5,2,0.4805616275149973,1.0889266729354858,398,42,64
AMGN,Healthcare,LSTM,regression,10,5,3,0.5310493093639163,1.0853126049041748,398,42,64
AMGN,Healthcare,LSTM,regression,10,5,4,0.5146231974788646,1.080755591392517,398,42,64
AMGN,Healthcare,LSTM,regression,10,5,5,0.48413863194048706,1.0749659538269043,398,42,64
AMGN,Healthcare,LSTM,regression,10,5,6,0.47757047654396323,1.068336844444275,398,42,64
AMGN,Healthcare,LSTM,regression,10,5,7,0.4854089318208359,1.0603609085083008,398,42,64
AMGN,Healthcare,LSTM,regression,10,5,8,0.48023919004890786,1.0498123168945312,398,42,64
AMGN,Healthcare,LSTM,regression,10,5,9,0.4794758129958531,1.0397999286651611,398,42,64
AMGN,Healthcare,LSTM,regression,10,5,10,0.48254403097545684,1.029091477394104,398,42,64
AMGN,Healthcare,LSTM,regression,10,5,11,0.47739260010982876,1.0166101455688477,398,42,64
