date,capital_start,capital_end,equity_start,equity_end,daily_pnl_realized,daily_return,early_exits_today,allocation_mode,budget_pre_caps,budget_post_caps,mpt_used,mpt_fallback_used,mpt_weights,exits_today,investments_made,H,initial_capital,initial_training_days,allow_overlap,early_exit_enabled,seed,model_save_path,min_sequence_length,max_sequence_length,kelly_fraction,sector_confidence_threshold,retrain_interval,max_day_gap,mpt_window_days,mpt_lambda,mpt_ridge_eps,mpt_max_weight,mpt_long_only,mpt_use_equal_fallback,mpt_only_budget_fraction,max_total_utilization,max_new_daily_utilization,max_ticker_utilization,max_sector_utilization,max_position_size,max_positions_per_ticker,min_trade_dollars,kelly_trade_cap,drawdown_throttle_levels,model_feature_set,model_feature_group,model_mcc_mean,model_sequence_length,model_hidden1,model_hidden2,model_num_layers,model_dropout,model_inter_rnn_drop,model_learning_rate,model_weight_decay,model_batch_size,model_max_epochs,model_early_patience,model_early_min_delta,model_lr_patience,model_lr_factor
2017-03-30,100000.0,74415.9007780062,100000.0,100000.0,0.0,0.0,0,HYBRID_KELLY_MPT,25584.099221993805,25584.0992219938,True,False,"{'BBL': 0.03632531887413327, 'SPLP': 1.3010426069826053e-18, 'UN': 0.3, 'HSBC': 0.06367468112586663, 'CELG': 0.3, 'GD': 1.2002118049414534e-16, 'CHTR': 0.3, 'CSCO': 0.0, 'PCG': 0.0}",[],"[{'ticker': 'UN', 'sector': 'Consumer Goods', 'expected_rise': 0.011368603388155473, 'prob_up': 0.782608687877655, 'investment_fraction': 0.056870992688976774, 'investment_amount': 7675.229766598141, 'predicted_prob': 0.782608687877655, 'allocated_amount': 7675.229766598141, 'exit_date': Timestamp('2017-04-06 00:00:00')}, {'ticker': 'HSBC', 'sector': 'Financial', 'expected_rise': 0.0065933119849751615, 'prob_up': 0.6666666865348816, 'investment_fraction': 0.03131169989243514, 'investment_amount': 1629.059359852988, 'predicted_prob': 0.6666666865348816, 'allocated_amount': 1629.059359852988, 'exit_date': Timestamp('2017-04-06 00:00:00')}, {'ticker': 'CELG', 'sector': 'Healthcare', 'expected_rise': 0.010317346216606387, 'prob_up': 0.600483775138855, 'investment_fraction': 0.02887778187422556, 'investment_amount': 7675.229766598141, 'predicted_prob': 0.600483775138855, 'allocated_amount': 7675.229766598141, 'exit_date': Timestamp('2017-04-06 00:00:00')}, {'ticker': 'CHTR', 'sector': 'Services', 'expected_rise': 0.009179023087954295, 'prob_up': 0.5979381203651428, 'investment_fraction': 0.03012377698102712, 'investment_amount': 7675.229766598141, 'predicted_prob': 0.5979381203651428, 'allocated_amount': 7675.229766598141, 'exit_date': Timestamp('2017-04-06 00:00:00')}, {'ticker': 'BBL', 'sector': 'Basic Matierials', 'expected_rise': 0.006318120081384833, 'prob_up': 0.5740740895271301, 'investment_fraction': 0.015750849699983294, 'investment_amount': 929.3505623463898, 'predicted_prob': 0.5740740895271301, 'allocated_amount': 929.3505623463898, 'exit_date': Timestamp('2017-04-06 00:00:00')}]",5,100000.0,1100,True,True,42,/mnt/primary/simulation/trained_models,12,12,0.1,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.25,0.7,0.3,0.2,0.45,0.1,3,100.0,0.3,"[[0.05, 0.5], [0.1, 0.25]]",finbert,nlp,0.12391010219229814,15,128,128,1,0.1,0.0,0.0012010437381766,1.329798022137856e-06,16,50,20,0.0028240604065876,10,0.8
2017-03-31,74415.9007780062,54737.6643639847,100000.0,100000.0,0.0,0.0,0,HYBRID_KELLY_MPT,19678.236414021496,19678.236414021492,True,False,"{'SLB': 2.358462854938254e-17, 'HRG': 4.020748914742196e-17, 'UN': 0.3000000000000001, 'HSBC': 1.6440691118954173e-16, 'CELG': 0.3000000000000001, 'GD': 1.0429574979026378e-16, 'CHTR': 0.09999999999999946, 'FB': 0.3000000000000001, 'PCG': 0.0}",[],"[{'ticker': 'UN', 'sector': 'Consumer Goods', 'expected_rise': 0.011375358625344657, 'prob_up': 0.782608687877655, 'investment_fraction': 0.05690478549814441, 'investment_amount': 5903.470924206451, 'predicted_prob': 0.782608687877655, 'allocated_amount': 5903.470924206451, 'exit_date': Timestamp('2017-04-07 00:00:00')}, {'ticker': 'CELG', 'sector': 'Healthcare', 'expected_rise': 0.010290188614851759, 'prob_up': 0.600483775138855, 'investment_fraction': 0.02883827422662329, 'investment_amount': 5903.470924206451, 'predicted_prob': 0.600483775138855, 'allocated_amount': 5903.470924206451, 'exit_date': Timestamp('2017-04-07 00:00:00')}, {'ticker': 'CHTR', 'sector': 'Services', 'expected_rise': 0.009163174546176722, 'prob_up': 0.5979381203651428, 'investment_fraction': 0.03009794593311866, 'investment_amount': 1967.823641402139, 'predicted_prob': 0.5979381203651428, 'allocated_amount': 1967.823641402139, 'exit_date': Timestamp('2017-04-07 00:00:00')}, {'ticker': 'FB', 'sector': 'Technology', 'expected_rise': 0.010348637730636542, 'prob_up': 0.587837815284729, 'investment_fraction': 0.027890145201997254, 'investment_amount': 5903.470924206451, 'predicted_prob': 0.587837815284729, 'allocated_amount': 5903.470924206451, 'exit_date': Timestamp('2017-04-07 00:00:00')}]",5,100000.0,1100,True,True,42,/mnt/primary/simulation/trained_models,12,12,0.1,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.25,0.7,0.3,0.2,0.45,0.1,3,100.0,0.3,"[[0.05, 0.5], [0.1, 0.25]]",finbert,nlp,0.12391010219229814,15,128,128,1,0.1,0.0,0.0012010437381766,1.329798022137856e-06,16,50,20,0.0028240604065876,10,0.8
2017-04-03,54737.66436398471,42035.48123786793,100000.0,100000.0,0.0,0.0,0,HYBRID_KELLY_MPT,12702.18312611677,12702.18312611677,True,False,"{'BBL': 0.0, 'HRG': 1.2988742026376343e-16, 'UN': 0.2745110092518842, 'HSBC': 2.1304572689340162e-17, 'CELG': 0.29999999999999993, 'GD': 2.2551405187698492e-17, 'CHTR': 0.2999999999999999, 'MSFT': 0.12548899074811584, 'PCG': 9.806608650131388e-17}",[],"[{'ticker': 'UN', 'sector': 'Consumer Goods', 'expected_rise': 0.007651754891667362, 'prob_up': 0.6885173916816711, 'investment_fraction': 0.03827760382205231, 'investment_amount': 3486.889109652568, 'predicted_prob': 0.6885173916816711, 'allocated_amount': 3486.889109652568, 'exit_date': Timestamp('2017-04-10 00:00:00')}, {'ticker': 'MSFT', 'sector': 'Technology', 'expected_rise': 0.006801531171436377, 'prob_up': 0.6300565004348755, 'investment_fraction': 0.028753708018558283, 'investment_amount': 1593.9841407941406, 'predicted_prob': 0.6300565004348755, 'allocated_amount': 1593.9841407941406, 'exit_date': Timestamp('2017-04-10 00:00:00')}, {'ticker': 'CELG', 'sector': 'Healthcare', 'expected_rise': 0.010262533708159872, 'prob_up': 0.600483775138855, 'investment_fraction': 0.02879794007254153, 'investment_amount': 3810.65493783503, 'predicted_prob': 0.600483775138855, 'allocated_amount': 3810.65493783503, 'exit_date': Timestamp('2017-04-10 00:00:00')}, {'ticker': 'CHTR', 'sector': 'Services', 'expected_rise': 0.009139878363797961, 'prob_up': 0.5979381203651428, 'investment_fraction': 0.03005989445362846, 'investment_amount': 3810.6549378350296, 'predicted_prob': 0.5979381203651428, 'allocated_amount': 3810.6549378350296, 'exit_date': Timestamp('2017-04-10 00:00:00')}]",5,100000.0,1100,True,True,42,/mnt/primary/simulation/trained_models,12,12,0.1,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.25,0.7,0.3,0.2,0.45,0.1,3,100.0,0.3,"[[0.05, 0.5], [0.1, 0.25]]",finbert,nlp,0.12391010219229814,15,128,128,1,0.1,0.0,0.0012010437381766,1.329798022137856e-06,16,50,20,0.0028240604065876,10,0.8
2017-04-04,42035.481237867934,38488.842911303895,100000.0,100000.0,0.0,0.0,0,HYBRID_KELLY_MPT,9963.749553980824,3546.638326564037,True,False,"{'BBL': 0.2999999999999999, 'HRG': 0.0, 'UN': 0.04404581755599792, 'V': 0.0, 'CELG': 0.2999999999999999, 'GD': 0.0, 'CHTR': 0.2999999999999999, 'MSFT': 0.05595418244400244, 'D': 0.0}",[],"[{'ticker': 'MSFT', 'sector': 'Technology', 'expected_rise': 0.006784971734221859, 'prob_up': 0.6300565004348755, 'investment_fraction': 0.02871560834496241, 'investment_amount': 557.5134603697909, 'predicted_prob': 0.6300565004348755, 'allocated_amount': 557.5134603697909, 'exit_date': Timestamp('2017-04-11 00:00:00')}, {'ticker': 'BBL', 'sector': 'Basic Matierials', 'expected_rise': 0.008555697607287544, 'prob_up': 0.6028231978416443, 'investment_fraction': 0.021389661805704854, 'investment_amount': 2989.124866194246, 'predicted_prob': 0.6028231978416443, 'allocated_amount': 2989.124866194246, 'exit_date': Timestamp('2017-04-11 00:00:00')}]",5,100000.0,1100,True,True,42,/mnt/primary/simulation/trained_models,12,12,0.1,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.25,0.7,0.3,0.2,0.45,0.1,3,100.0,0.3,"[[0.05, 0.5], [0.1, 0.25]]",finbert,nlp,0.12391010219229814,15,128,128,1,0.1,0.0,0.0012010437381766,1.329798022137856e-06,16,50,20,0.0028240604065876,10,0.8
2017-04-05,38488.8429113039,35337.226264659344,100000.0,100000.0,0.0,0.0,0,HYBRID_KELLY_MPT,8870.458814222806,3151.61664664455,True,False,"{'BBL': 0.2999999999999998, 'HRG': 1.269600743980526e-16, 'UN': 0.04470646754018155, 'HSBC': 2.4025920142278783e-16, 'CELG': 0.2999999999999998, 'BA': 1.7780915628762278e-16, 'CHTR': 0.30000000000000004, 'MSFT': 0.055293532459818294, 'PCG': 4.000706016471512e-17}",[],"[{'ticker': 'MSFT', 'sector': 'Technology', 'expected_rise': 0.006768293040322325, 'prob_up': 0.6300565004348755, 'investment_fraction': 0.028677148514395054, 'investment_amount': 490.47900237771, 'predicted_prob': 0.6300565004348755, 'allocated_amount': 490.47900237771, 'exit_date': Timestamp('2017-04-12 00:00:00')}, {'ticker': 'BBL', 'sector': 'Basic Matierials', 'expected_rise': 0.008526104687553951, 'prob_up': 0.6028231978416443, 'investment_fraction': 0.021341870674838337, 'investment_amount': 2661.13764426684, 'predicted_prob': 0.6028231978416443, 'allocated_amount': 2661.13764426684, 'exit_date': Timestamp('2017-04-12 00:00:00')}]",5,100000.0,1100,True,True,42,/mnt/primary/simulation/trained_models,12,12,0.1,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.25,0.7,0.3,0.2,0.45,0.1,3,100.0,0.3,"[[0.05, 0.5], [0.1, 0.25]]",finbert,nlp,0.12391010219229814,15,128,128,1,0.1,0.0,0.0012010437381766,1.329798022137856e-06,16,50,20,0.0028240604065876,10,0.8
2017-04-06,61133.43379062541,50431.92264137636,100212.10830397226,100212.10830397226,212.10830397227,0.002121083039722471,0,HYBRID_KELLY_MPT,13547.641018785142,10701.511149249052,True,False,"{'SLB': 0.0, 'HRG': 0.0, 'UN': 0.1899169408467755, 'V': 0.0, 'CELG': 0.30000000000000004, 'GE': 0.0, 'CHTR': 0.30000000000000004, 'MSFT': 0.21008305915322445, 'D': 0.0}","[{'date': Timestamp('2017-03-30 00:00:00'), 'exit_date': Timestamp('2017-04-06 00:00:00'), 'ticker': 'UN', 'sector': 'Consumer Goods', 'allocated_amount': 7675.229766598141, 'prob_up': 0.782608687877655, 'expected_rise': 0.011368603388155473, 'actual_return': 0.0028078419011665634, 'pnl': 21.550831739735123, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-03-30 00:00:00'), 'exit_date': Timestamp('2017-04-06 00:00:00'), 'ticker': 'HSBC', 'sector': 'Financial', 'allocated_amount': 1629.059359852988, 'prob_up': 0.6666666865348816, 'expected_rise': 0.0065933119849751615, 'actual_return': -0.00974414152848091, 'pnl': -15.873784960704027, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-03-30 00:00:00'), 'exit_date': Timestamp('2017-04-06 00:00:00'), 'ticker': 'CELG', 'sector': 'Healthcare', 'allocated_amount': 7675.229766598141, 'prob_up': 0.600483775138855, 'expected_rise': 0.010317346216606387, 'actual_return': -0.0003216422815390807, 'pnl': -2.468678413465292, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-03-30 00:00:00'), 'exit_date': Timestamp('2017-04-06 00:00:00'), 'ticker': 'CHTR', 'sector': 'Services', 'allocated_amount': 7675.229766598141, 'prob_up': 0.5979381203651428, 'expected_rise': 0.009179023087954295, 'actual_return': 0.026453715507340547, 'pnl': 203.03834469905902, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-03-30 00:00:00'), 'exit_date': Timestamp('2017-04-06 00:00:00'), 'ticker': 'BBL', 'sector': 'Basic Matierials', 'allocated_amount': 929.3505623463898, 'prob_up': 0.5740740895271301, 'expected_rise': 0.006318120081384833, 'actual_return': 0.0063071903597347045, 'pnl': 5.861590907645176, 'exit_reason': 'scheduled'}]","[{'ticker': 'UN', 'sector': 'Consumer Goods', 'expected_rise': 0.006792021819871922, 'prob_up': 0.6666666865348816, 'investment_fraction': 0.03397682284032762, 'investment_amount': 2572.9265379779667, 'predicted_prob': 0.6666666865348816, 'allocated_amount': 2572.9265379779667, 'exit_date': Timestamp('2017-04-13 00:00:00')}, {'ticker': 'CHTR', 'sector': 'Services', 'expected_rise': 0.009107726292472397, 'prob_up': 0.5979381203651428, 'investment_fraction': 0.030007217505771247, 'investment_amount': 4064.292305635543, 'predicted_prob': 0.5979381203651428, 'allocated_amount': 4064.292305635543, 'exit_date': Timestamp('2017-04-13 00:00:00')}, {'ticker': 'CELG', 'sector': 'Healthcare', 'expected_rise': 0.007442434414841102, 'prob_up': 0.5567893981933594, 'investment_fraction': 0.020951741254063783, 'investment_amount': 4064.292305635543, 'predicted_prob': 0.5567893981933594, 'allocated_amount': 4064.292305635543, 'exit_date': Timestamp('2017-04-13 00:00:00')}]",5,100000.0,1100,True,True,42,/mnt/primary/simulation/trained_models,12,12,0.1,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.25,0.7,0.3,0.2,0.45,0.1,3,100.0,0.3,"[[0.05, 0.5], [0.1, 0.25]]",finbert,nlp,0.12391010219229814,15,128,128,1,0.1,0.0,0.0012010437381766,1.329798022137856e-06,16,50,20,0.0028240604065876,10,0.8
2017-04-07,70248.41261738342,59312.12020866849,100350.36186595784,100350.36186595784,138.25356198556588,0.001379609353853839,0,HYBRID_KELLY_MPT,15443.276475872997,10936.292408714933,True,False,"{'SLB': 0.0, 'SPLP': 1.0204422774798379e-18, 'PG': 1.1923198103203295e-16, 'HSBC': 0.0, 'CELG': 0.2999999999999998, 'GD': 0.10815881757997971, 'CHTR': 0.29999999999999993, 'MSFT': 0.29184118242002055, 'AEP': 0.0}","[{'date': Timestamp('2017-03-31 00:00:00'), 'exit_date': Timestamp('2017-04-07 00:00:00'), 'ticker': 'UN', 'sector': 'Consumer Goods', 'allocated_amount': 5903.470924206451, 'prob_up': 0.782608687877655, 'expected_rise': 0.011375358625344657, 'actual_return': 0.019726247987117418, 'pnl': 116.4533314356337, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-03-31 00:00:00'), 'exit_date': Timestamp('2017-04-07 00:00:00'), 'ticker': 'CELG', 'sector': 'Healthcare', 'allocated_amount': 5903.470924206451, 'prob_up': 0.600483775138855, 'expected_rise': 0.010290188614851759, 'actual_return': 0.009242160250743314, 'pnl': 54.56082431711976, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-03-31 00:00:00'), 'exit_date': Timestamp('2017-04-07 00:00:00'), 'ticker': 'CHTR', 'sector': 'Services', 'allocated_amount': 1967.823641402139, 'prob_up': 0.5979381203651428, 'expected_rise': 0.009163174546176722, 'actual_return': 0.010173490555986708, 'pnl': 20.019635231652035, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-03-31 00:00:00'), 'exit_date': Timestamp('2017-04-07 00:00:00'), 'ticker': 'FB', 'sector': 'Technology', 'allocated_amount': 5903.470924206451, 'prob_up': 0.587837815284729, 'expected_rise': 0.010348637730636542, 'actual_return': -0.00894054187383575, 'pnl': -52.78022899883961, 'exit_reason': 'scheduled'}]","[{'ticker': 'GD', 'sector': 'Industrial Goods', 'expected_rise': 0.0058113744089352565, 'prob_up': 0.6121495366096497, 'investment_fraction': 0.02838482013821156, 'investment_amount': 1670.3265231911394, 'predicted_prob': 0.6121495366096497, 'allocated_amount': 1670.3265231911394, 'exit_date': Timestamp('2017-04-17 00:00:00')}, {'ticker': 'CELG', 'sector': 'Healthcare', 'expected_rise': 0.01023238875676691, 'prob_up': 0.600483775138855, 'investment_fraction': 0.028805945701753145, 'investment_amount': 4632.982942761896, 'predicted_prob': 0.600483775138855, 'allocated_amount': 4632.982942761896, 'exit_date': Timestamp('2017-04-17 00:00:00')}, {'ticker': 'CHTR', 'sector': 'Services', 'expected_rise': 0.009104026602558647, 'prob_up': 0.5979381203651428, 'investment_fraction': 0.03000114407289814, 'investment_amount': 4632.982942761898, 'predicted_prob': 0.5979381203651428, 'allocated_amount': 4632.982942761898, 'exit_date': Timestamp('2017-04-17 00:00:00')}]",5,100000.0,1100,True,True,42,/mnt/primary/simulation/trained_models,12,12,0.1,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.25,0.7,0.3,0.2,0.45,0.1,3,100.0,0.3,"[[0.05, 0.5], [0.1, 0.25]]",finbert,nlp,0.12391010219229814,15,128,128,1,0.1,0.0,0.0012010437381766,1.329798022137856e-06,16,50,20,0.0028240604065876,10,0.8
2017-04-10,72189.46470256538,56334.69800555221,100525.52323373796,100525.52323373797,175.1613677801207,0.001745498118024713,0,HYBRID_KELLY_MPT,15894.567360911637,15854.76669701319,True,False,"{'BBL': 0.10624958709501658, 'HRG': 8.695301423333748e-17, 'PG': 9.08561420542853e-17, 'HSBC': 0.2578849289290349, 'CELG': 0.30000000000000004, 'GD': 0.03336144199766068, 'PCLN': 0.0025040419782877224, 'MSFT': 0.2999999999999999, 'SRE': 3.100818213308543e-17}","[{'date': Timestamp('2017-04-03 00:00:00'), 'exit_date': Timestamp('2017-04-10 00:00:00'), 'ticker': 'UN', 'sector': 'Consumer Goods', 'allocated_amount': 3486.889109652568, 'prob_up': 0.6885173916816711, 'expected_rise': 0.007651754891667362, 'actual_return': 0.02357924271622802, 'pnl': 82.21820464107013, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-04-03 00:00:00'), 'exit_date': Timestamp('2017-04-10 00:00:00'), 'ticker': 'MSFT', 'sector': 'Technology', 'allocated_amount': 1593.9841407941406, 'prob_up': 0.6300565004348755, 'expected_rise': 0.006801531171436377, 'actual_return': -0.00030517161074727905, 'pnl': -0.4864387077517655, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-04-03 00:00:00'), 'exit_date': Timestamp('2017-04-10 00:00:00'), 'ticker': 'CELG', 'sector': 'Healthcare', 'allocated_amount': 3810.65493783503, 'prob_up': 0.600483775138855, 'expected_rise': 0.010262533708159872, 'actual_return': 0.015074526036085611, 'pnl': 57.443817074932355, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-04-03 00:00:00'), 'exit_date': Timestamp('2017-04-10 00:00:00'), 'ticker': 'CHTR', 'sector': 'Services', 'allocated_amount': 3810.6549378350296, 'prob_up': 0.5979381203651428, 'expected_rise': 0.009139878363797961, 'actual_return': 0.009443464537965962, 'pnl': 35.98578477186999, 'exit_reason': 'scheduled'}]","[{'ticker': 'HSBC', 'sector': 'Financial', 'expected_rise': 0.006611105120189051, 'prob_up': 0.6666666865348816, 'investment_fraction': 0.03145923186105471, 'investment_amount': 4098.969374226455, 'predicted_prob': 0.6666666865348816, 'allocated_amount': 4098.969374226455, 'exit_date': Timestamp('2017-04-18 00:00:00')}, {'ticker': 'MSFT', 'sector': 'Technology', 'expected_rise': 0.006738992465066158, 'prob_up': 0.6300565004348755, 'investment_fraction': 0.028639316811648566, 'investment_amount': 4768.370208273489, 'predicted_prob': 0.6300565004348755, 'allocated_amount': 4768.370208273489, 'exit_date': Timestamp('2017-04-18 00:00:00')}, {'ticker': 'GD', 'sector': 'Industrial Goods', 'expected_rise': 0.00579652456137948, 'prob_up': 0.6121495366096497, 'investment_fraction': 0.02834587445757582, 'investment_amount': 530.2656870889642, 'predicted_prob': 0.6121495366096497, 'allocated_amount': 530.2656870889642, 'exit_date': Timestamp('2017-04-18 00:00:00')}, {'ticker': 'CELG', 'sector': 'Healthcare', 'expected_rise': 0.01020577746870927, 'prob_up': 0.600483775138855, 'investment_fraction': 0.028766919461645474, 'investment_amount': 4768.370208273492, 'predicted_prob': 0.600483775138855, 'allocated_amount': 4768.370208273492, 'exit_date': Timestamp('2017-04-18 00:00:00')}, {'ticker': 'BBL', 'sector': 'Basic Matierials', 'expected_rise': 0.00616005776475698, 'prob_up': 0.5740740895271301, 'investment_fraction': 0.015481107300462628, 'investment_amount': 1688.7912191507887, 'predicted_prob': 0.5740740895271301, 'allocated_amount': 1688.7912191507887, 'exit_date': Timestamp('2017-04-18 00:00:00')}]",5,100000.0,1100,True,True,42,/mnt/primary/simulation/trained_models,12,12,0.1,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.25,0.7,0.3,0.2,0.45,0.1,3,100.0,0.3,"[[0.05, 0.5], [0.1, 0.25]]",finbert,nlp,0.12391010219229814,15,128,128,1,0.1,0.0,0.0012010437381766,1.329798022137856e-06,16,50,20,0.0028240604065876,10,0.8
2017-04-11,60036.93588079698,49424.735900721476,100681.1227824187,100681.1227824187,155.5995486807302,0.0015478611170114398,0,HYBRID_KELLY_MPT,15160.285685822146,10612.199980075502,True,False,"{'BBL': 9.540979117872439e-17, 'HRG': 5.197593585602293e-17, 'PG': 6.538450208849879e-17, 'HSBC': 0.03870892387460842, 'CELG': 0.2999999999999997, 'GD': 6.425557049939359e-18, 'CHTR': 0.29999999999999993, 'MSFT': 0.06129107612539171, 'PCG': 0.29999999999999993}","[{'date': Timestamp('2017-04-04 00:00:00'), 'exit_date': Timestamp('2017-04-11 00:00:00'), 'ticker': 'MSFT', 'sector': 'Technology', 'allocated_amount': 557.5134603697909, 'prob_up': 0.6300565004348755, 'expected_rise': 0.006784971734221859, 'actual_return': -0.003803438134636905, 'pnl': -2.1204679557438437, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-04-04 00:00:00'), 'exit_date': Timestamp('2017-04-11 00:00:00'), 'ticker': 'BBL', 'sector': 'Basic Matierials', 'allocated_amount': 2989.124866194246, 'prob_up': 0.6028231978416443, 'expected_rise': 0.008555697607287544, 'actual_return': 0.05276461295418655, 'pnl': 157.72001663647404, 'exit_reason': 'scheduled'}]","[{'ticker': 'PCG', 'sector': 'Utilities', 'expected_rise': 0.008660820795807938, 'prob_up': 0.7226234078407288, 'investment_fraction': 0.045844889700143526, 'investment_amount': 4548.085705746643, 'predicted_prob': 0.7226234078407288, 'allocated_amount': 4548.085705746643, 'exit_date': Timestamp('2017-04-19 00:00:00')}, {'ticker': 'HSBC', 'sector': 'Financial', 'expected_rise': 0.006593562054607124, 'prob_up': 0.6666666865348816, 'investment_fraction': 0.03141509013069903, 'investment_amount': 586.8383445298051, 'predicted_prob': 0.6666666865348816, 'allocated_amount': 586.8383445298051, 'exit_date': Timestamp('2017-04-19 00:00:00')}, {'ticker': 'MSFT', 'sector': 'Technology', 'expected_rise': 0.00675640228038096, 'prob_up': 0.6300565004348755, 'investment_fraction': 0.028713304906904283, 'investment_amount': 929.1902240524114, 'predicted_prob': 0.6300565004348755, 'allocated_amount': 929.1902240524114, 'exit_date': Timestamp('2017-04-19 00:00:00')}, {'ticker': 'CHTR', 'sector': 'Services', 'expected_rise': 0.009065166073271305, 'prob_up': 0.5979381203651428, 'investment_fraction': 0.02993720044297791, 'investment_amount': 4548.085705746643, 'predicted_prob': 0.5979381203651428, 'allocated_amount': 4548.085705746643, 'exit_date': Timestamp('2017-04-19 00:00:00')}]",5,100000.0,1100,True,True,42,/mnt/primary/simulation/trained_models,12,12,0.1,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.25,0.7,0.3,0.2,0.45,0.1,3,100.0,0.3,"[[0.05, 0.5], [0.1, 0.25]]",finbert,nlp,0.12391010219229814,15,128,128,1,0.1,0.0,0.0012010437381766,1.329798022137856e-06,16,50,20,0.0028240604065876,10,0.8
2017-04-12,52576.388640156285,47466.6462456642,100681.15887520896,100681.15887520896,0.03609279025441037,3.5848617163658503e-07,0,HYBRID_KELLY_MPT,12774.355986230225,5109.742394492092,True,False,"{'RDS-B': 0.0, 'HRG': 0.0, 'PG': 0.0, 'HSBC': 0.0, 'CELG': 0.29999999999999993, 'BA': 0.016550040364556453, 'CHTR': 0.29999999999999993, 'MSFT': 0.08344995963544377, 'PCG': 0.29999999999999993}","[{'date': Timestamp('2017-04-05 00:00:00'), 'exit_date': Timestamp('2017-04-12 00:00:00'), 'ticker': 'MSFT', 'sector': 'Technology', 'allocated_amount': 490.47900237771, 'prob_up': 0.6300565004348755, 'expected_rise': 0.006768293040322325, 'actual_return': -0.005033480934517387, 'pnl': -2.4688167072493115, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-04-05 00:00:00'), 'exit_date': Timestamp('2017-04-12 00:00:00'), 'ticker': 'BBL', 'sector': 'Basic Matierials', 'allocated_amount': 2661.13764426684, 'prob_up': 0.6028231978416443, 'expected_rise': 0.008526104687553951, 'actual_return': 0.0009412927222687273, 'pnl': 2.504909497503722, 'exit_reason': 'scheduled'}]","[{'ticker': 'PCG', 'sector': 'Utilities', 'expected_rise': 0.00886256491581344, 'prob_up': 0.7286595106124878, 'investment_fraction': 0.04698410087166499, 'investment_amount': 3832.3067958690667, 'predicted_prob': 0.7286595106124878, 'allocated_amount': 3832.3067958690667, 'exit_date': Timestamp('2017-04-20 00:00:00')}, {'ticker': 'MSFT', 'sector': 'Technology', 'expected_rise': 0.0067709167131448054, 'prob_up': 0.6300565004348755, 'investment_fraction': 0.02877498822832361, 'investment_amount': 1066.0194914197018, 'predicted_prob': 0.6300565004348755, 'allocated_amount': 1066.0194914197018, 'exit_date': Timestamp('2017-04-20 00:00:00')}, {'ticker': 'BA', 'sector': 'Industrial Goods', 'expected_rise': 0.006144574398074391, 'prob_up': 0.6105263233184814, 'investment_fraction': 0.02557508444487715, 'investment_amount': 211.41610720332358, 'predicted_prob': 0.6105263233184814, 'allocated_amount': 211.41610720332358, 'exit_date': Timestamp('2017-04-20 00:00:00')}]",5,100000.0,1100,True,True,42,/mnt/primary/simulation/trained_models,12,12,0.1,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.25,0.7,0.3,0.2,0.45,0.1,3,100.0,0.3,"[[0.05, 0.5], [0.1, 0.25]]",finbert,nlp,0.12391010219229814,15,128,128,1,0.1,0.0,0.0012010437381766,1.329798022137856e-06,16,50,20,0.0028240604065876,10,0.8
