date,capital_start,capital_end,equity_start,equity_end,daily_pnl_realized,daily_return,early_exits_today,allocation_mode,budget_pre_caps,budget_post_caps,mpt_used,mpt_fallback_used,mpt_weights,exits_today,investments_made,H,initial_capital,initial_training_days,allow_overlap,early_exit_enabled,seed,model_save_path,min_sequence_length,max_sequence_length,kelly_fraction,sector_confidence_threshold,retrain_interval,max_day_gap,mpt_window_days,mpt_lambda,mpt_ridge_eps,mpt_max_weight,mpt_long_only,mpt_use_equal_fallback,mpt_only_budget_fraction,max_total_utilization,max_new_daily_utilization,max_ticker_utilization,max_sector_utilization,max_position_size,max_positions_per_ticker,min_trade_dollars,kelly_trade_cap,drawdown_throttle_levels,model_feature_set,model_feature_group,model_mcc_mean,model_sequence_length,model_hidden1,model_hidden2,model_num_layers,model_dropout,model_inter_rnn_drop,model_learning_rate,model_weight_decay,model_batch_size,model_max_epochs,model_early_patience,model_early_min_delta,model_lr_patience,model_lr_factor
2017-04-12,100000.0,70000.0,100000.0,100000.0,0.0,0.0,0,KELLY_ONLY,97238.24526890492,30000.0,False,False,,[],"[{'ticker': 'SNP', 'sector': 'Basic Matierials', 'expected_rise': 0.03004428890374683, 'prob_up': 0.9990234375, 'investment_fraction': 0.24952016837949567, 'investment_amount': 24952.016837949566, 'predicted_prob': 0.9990234375, 'allocated_amount': 10000.0, 'exit_date': Timestamp('2017-04-20 00:00:00')}, {'ticker': 'MA', 'sector': 'Financial', 'expected_rise': 0.010320343157266055, 'prob_up': 0.7388916015625, 'investment_fraction': 0.12464460582281015, 'investment_amount': 12464.460582281015, 'predicted_prob': 0.7388916015625, 'allocated_amount': 10000.0, 'exit_date': Timestamp('2017-04-20 00:00:00')}, {'ticker': 'PEP', 'sector': 'Consumer Goods', 'expected_rise': 0.00646136492900898, 'prob_up': 0.7220703125, 'investment_fraction': 0.11304893686023516, 'investment_amount': 11304.893686023517, 'predicted_prob': 0.7220703125, 'allocated_amount': 10000.0, 'exit_date': Timestamp('2017-04-20 00:00:00')}]",5,100000.0,1109,True,True,42,/mnt/primary/simulation/trained_models,12,12,0.25,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.3,0.7,0.3,0.5,0.5,0.1,3,100.0,0.5,"[[0.08, 0.6], [0.15, 0.35]]",sector_sentiment,sector,0.15218895851243996,10,128,64,1,0.1,0.4,0.0013980200793613,4.976620161572353e-05,16,50,20,0.0070831179355666,10,0.4
2017-04-13,70000.0,40000.0,100000.0,100000.0,0.0,0.0,0,KELLY_ONLY,68114.25468888659,30000.0,False,False,,[],"[{'ticker': 'SNP', 'sector': 'Basic Matierials', 'expected_rise': 0.030044337624547425, 'prob_up': 0.9990234375, 'investment_fraction': 0.24952057300955388, 'investment_amount': 17466.440110668773, 'predicted_prob': 0.9990234375, 'allocated_amount': 10000.0, 'exit_date': Timestamp('2017-04-21 00:00:00')}, {'ticker': 'MA', 'sector': 'Financial', 'expected_rise': 0.010328186255667955, 'prob_up': 0.7388916015625, 'investment_fraction': 0.12473933134635495, 'investment_amount': 8731.753194244846, 'predicted_prob': 0.7388916015625, 'allocated_amount': 8731.753194244846, 'exit_date': Timestamp('2017-04-21 00:00:00')}, {'ticker': 'PEP', 'sector': 'Consumer Goods', 'expected_rise': 0.006462079994524958, 'prob_up': 0.7220703125, 'investment_fraction': 0.11305361249323242, 'investment_amount': 7913.75287452627, 'predicted_prob': 0.7220703125, 'allocated_amount': 7913.75287452627, 'exit_date': Timestamp('2017-04-21 00:00:00')}, {'ticker': 'D', 'sector': 'Utilities', 'expected_rise': 0.007728135403647507, 'prob_up': 0.717948717948718, 'investment_fraction': 0.10926417789889283, 'investment_amount': 7648.492452922498, 'predicted_prob': 0.717948717948718, 'allocated_amount': 3354.4939312288843, 'exit_date': Timestamp('2017-04-21 00:00:00')}]",5,100000.0,1109,True,True,42,/mnt/primary/simulation/trained_models,12,12,0.25,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.3,0.7,0.3,0.5,0.5,0.1,3,100.0,0.5,"[[0.08, 0.6], [0.15, 0.35]]",sector_sentiment,sector,0.15218895851243996,10,128,64,1,0.1,0.4,0.0013980200793613,4.976620161572353e-05,16,50,20,0.0070831179355666,10,0.4
2017-04-17,40000.0,30019.175670031676,100000.0,100000.0,0.0,0.0,0,KELLY_ONLY,36115.13357485474,9980.824329968322,False,False,,[],"[{'ticker': 'SNP', 'sector': 'Basic Matierials', 'expected_rise': 0.03004434186769281, 'prob_up': 0.9990234375, 'investment_fraction': 0.24952060824920805, 'investment_amount': 9980.824329968322, 'predicted_prob': 0.9990234375, 'allocated_amount': 9980.824329968322, 'exit_date': Timestamp('2017-04-24 00:00:00')}]",5,100000.0,1109,True,True,42,/mnt/primary/simulation/trained_models,12,12,0.25,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.3,0.7,0.3,0.5,0.5,0.1,3,100.0,0.5,"[[0.08, 0.6], [0.15, 0.35]]",sector_sentiment,sector,0.15218895851243996,10,128,64,1,0.1,0.4,0.0013980200793613,4.976620161572353e-05,16,50,20,0.0070831179355666,10,0.4
2017-04-18,30019.175670031676,30019.175670031676,100000.0,100000.0,0.0,0.0,0,KELLY_ONLY,22671.376465919107,0.0,False,False,,[],[],5,100000.0,1109,True,True,42,/mnt/primary/simulation/trained_models,12,12,0.25,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.3,0.7,0.3,0.5,0.5,0.1,3,100.0,0.5,"[[0.08, 0.6], [0.15, 0.35]]",sector_sentiment,sector,0.15218895851243996,10,128,64,1,0.1,0.4,0.0013980200793613,4.976620161572353e-05,16,50,20,0.0070831179355666,10,0.4
2017-04-19,30019.175670031676,30019.175670031676,100000.0,100000.0,0.0,0.0,0,KELLY_ONLY,20286.255093760792,0.0,False,False,,[],[],5,100000.0,1109,True,True,42,/mnt/primary/simulation/trained_models,12,12,0.25,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.3,0.7,0.3,0.5,0.5,0.1,3,100.0,0.5,"[[0.08, 0.6], [0.15, 0.35]]",sector_sentiment,sector,0.15218895851243996,10,128,64,1,0.1,0.4,0.0013980200793613,4.976620161572353e-05,16,50,20,0.0070831179355666,10,0.4
2017-04-20,60057.2517556752,30045.82892998215,100038.07608564352,100038.07608564352,38.076085643521395,0.00038076085643523605,0,KELLY_ONLY,38713.759075544374,30011.422825693055,False,False,,"[{'date': Timestamp('2017-04-12 00:00:00'), 'exit_date': Timestamp('2017-04-20 00:00:00'), 'ticker': 'SNP', 'sector': 'Basic Matierials', 'allocated_amount': 10000.0, 'prob_up': 0.9990234375, 'expected_rise': 0.03004428890374683, 'actual_return': -0.02400585509193054, 'pnl': -240.0585509193054, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-04-12 00:00:00'), 'exit_date': Timestamp('2017-04-20 00:00:00'), 'ticker': 'MA', 'sector': 'Financial', 'allocated_amount': 10000.0, 'prob_up': 0.7388916015625, 'expected_rise': 0.010320343157266055, 'actual_return': 0.027989548506418327, 'pnl': 279.8954850641833, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-04-12 00:00:00'), 'exit_date': Timestamp('2017-04-20 00:00:00'), 'ticker': 'PEP', 'sector': 'Consumer Goods', 'allocated_amount': 10000.0, 'prob_up': 0.7220703125, 'expected_rise': 0.00646136492900898, 'actual_return': -0.00017608485013564934, 'pnl': -1.7608485013564934, 'exit_reason': 'scheduled'}]","[{'ticker': 'MA', 'sector': 'Financial', 'expected_rise': 0.010270709515589197, 'prob_up': 0.7388916015625, 'investment_fraction': 0.12455163682311515, 'investment_amount': 7480.229009267252, 'predicted_prob': 0.7388916015625, 'allocated_amount': 7480.229009267252, 'exit_date': Timestamp('2017-04-27 00:00:00')}, {'ticker': 'CSCO', 'sector': 'Technology', 'expected_rise': 0.008152469505090704, 'prob_up': 0.67506103515625, 'investment_fraction': 0.09268252995387644, 'investment_amount': 5566.258034792865, 'predicted_prob': 0.67506103515625, 'allocated_amount': 5566.258034792865, 'exit_date': Timestamp('2017-04-27 00:00:00')}, {'ticker': 'PCLN', 'sector': 'Services', 'expected_rise': 0.011398809037808839, 'prob_up': 0.6649484536082474, 'investment_fraction': 0.09229853389742033, 'investment_amount': 5543.196286957094, 'predicted_prob': 0.6649484536082474, 'allocated_amount': 5543.196286957094, 'exit_date': Timestamp('2017-04-27 00:00:00')}, {'ticker': 'CODI', 'sector': 'Conglomerates', 'expected_rise': 0.006380519267785099, 'prob_up': 0.66455078125, 'investment_fraction': 0.0825251395457538, 'investment_amount': 4956.233081871564, 'predicted_prob': 0.66455078125, 'allocated_amount': 4956.233081871564, 'exit_date': Timestamp('2017-04-27 00:00:00')}, {'ticker': 'SLB', 'sector': 'Basic Matierials', 'expected_rise': 0.006854034066613503, 'prob_up': 0.6346153846153846, 'investment_fraction': 0.07040990180931737, 'investment_amount': 4228.625199054544, 'predicted_prob': 0.6346153846153846, 'allocated_amount': 4228.625199054544, 'exit_date': Timestamp('2017-04-27 00:00:00')}, {'ticker': 'UTX', 'sector': 'Industrial Goods', 'expected_rise': 0.004255954602168699, 'prob_up': 0.6153846153846154, 'investment_fraction': 0.0589768744023393, 'investment_amount': 3541.9889937441276, 'predicted_prob': 0.6153846153846154, 'allocated_amount': 2236.8812137497334, 'exit_date': Timestamp('2017-04-27 00:00:00')}]",5,100000.0,1109,True,True,42,/mnt/primary/simulation/trained_models,12,12,0.25,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.3,0.7,0.3,0.5,0.5,0.1,3,100.0,0.5,"[[0.08, 0.6], [0.15, 0.35]]",sector_sentiment,sector,0.15218895851243996,10,128,64,1,0.1,0.4,0.0013980200793613,4.976620161572353e-05,16,50,20,0.0070831179355666,10,0.4
2017-04-21,60233.124122853274,30165.512739298872,100225.37127851465,100225.37127851465,187.2951928711227,0.001872239053365865,0,KELLY_ONLY,41444.95448364786,30067.611383554395,False,False,,"[{'date': Timestamp('2017-04-13 00:00:00'), 'exit_date': Timestamp('2017-04-21 00:00:00'), 'ticker': 'SNP', 'sector': 'Basic Matierials', 'allocated_amount': 10000.0, 'prob_up': 0.9990234375, 'expected_rise': 0.030044337624547425, 'actual_return': -0.0105263284158994, 'pnl': -105.263284158994, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-04-13 00:00:00'), 'exit_date': Timestamp('2017-04-21 00:00:00'), 'ticker': 'MA', 'sector': 'Financial', 'allocated_amount': 8731.753194244846, 'prob_up': 0.7388916015625, 'expected_rise': 0.010328186255667955, 'actual_return': 0.0274230891258489, 'pnl': 239.45164607069222, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-04-13 00:00:00'), 'exit_date': Timestamp('2017-04-21 00:00:00'), 'ticker': 'PEP', 'sector': 'Consumer Goods', 'allocated_amount': 7913.75287452627, 'prob_up': 0.7220703125, 'expected_rise': 0.006462079994524958, 'actual_return': 0.006656017039403661, 'pnl': 52.67407397847656, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-04-13 00:00:00'), 'exit_date': Timestamp('2017-04-21 00:00:00'), 'ticker': 'D', 'sector': 'Utilities', 'allocated_amount': 3354.4939312288843, 'prob_up': 0.717948717948718, 'expected_rise': 0.007728135403647507, 'actual_return': 0.00012900812755067825, 'pnl': 0.432756980947952, 'exit_reason': 'scheduled'}]","[{'ticker': 'MA', 'sector': 'Financial', 'expected_rise': 0.010279053654501172, 'prob_up': 0.7388916015625, 'investment_fraction': 0.12458457966611118, 'investment_amount': 7504.118450822376, 'predicted_prob': 0.7388916015625, 'allocated_amount': 7504.118450822376, 'exit_date': Timestamp('2017-04-28 00:00:00')}, {'ticker': 'CSCO', 'sector': 'Technology', 'expected_rise': 0.00813539820208959, 'prob_up': 0.67506103515625, 'investment_fraction': 0.09259493519551641, 'investment_amount': 5577.282224779095, 'predicted_prob': 0.67506103515625, 'allocated_amount': 5577.282224779095, 'exit_date': Timestamp('2017-04-28 00:00:00')}, {'ticker': 'AMZN', 'sector': 'Services', 'expected_rise': 0.012566980340513957, 'prob_up': 0.6728971962616822, 'investment_fraction': 0.0975455495054156, 'investment_amount': 5875.473190991625, 'predicted_prob': 0.6728971962616822, 'allocated_amount': 5875.473190991625, 'exit_date': Timestamp('2017-04-28 00:00:00')}, {'ticker': 'RDS-B', 'sector': 'Basic Matierials', 'expected_rise': 0.008531517721915767, 'prob_up': 0.6666666666666666, 'investment_fraction': 0.08367234912706434, 'investment_amount': 5039.846990621179, 'predicted_prob': 0.6666666666666666, 'allocated_amount': 5039.846990621179, 'exit_date': Timestamp('2017-04-28 00:00:00')}, {'ticker': 'CODI', 'sector': 'Conglomerates', 'expected_rise': 0.006385456744029161, 'prob_up': 0.66455078125, 'investment_fraction': 0.08258900047915814, 'investment_amount': 4974.5935170435205, 'predicted_prob': 0.66455078125, 'allocated_amount': 4974.5935170435205, 'exit_date': Timestamp('2017-04-28 00:00:00')}, {'ticker': 'HON', 'sector': 'Industrial Goods', 'expected_rise': 0.00611525927949366, 'prob_up': 0.6388888888888888, 'investment_fraction': 0.0835279891277941, 'investment_amount': 5031.151736866761, 'predicted_prob': 0.6388888888888888, 'allocated_amount': 1096.2970092965988, 'exit_date': Timestamp('2017-04-28 00:00:00')}]",5,100000.0,1109,True,True,42,/mnt/primary/simulation/trained_models,12,12,0.25,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.3,0.7,0.3,0.5,0.5,0.1,3,100.0,0.5,"[[0.08, 0.6], [0.15, 0.35]]",sector_sentiment,sector,0.15218895851243996,10,128,64,1,0.1,0.4,0.0013980200793613,4.976620161572353e-05,16,50,20,0.0070831179355666,10,0.4
2017-04-24,40032.36713714082,30033.420403916483,100111.40134638827,100111.40134638827,-113.9699321263739,-0.0011371365421003476,0,KELLY_ONLY,29545.243644217935,9998.946733224335,False,False,,"[{'date': Timestamp('2017-04-17 00:00:00'), 'exit_date': Timestamp('2017-04-24 00:00:00'), 'ticker': 'SNP', 'sector': 'Basic Matierials', 'allocated_amount': 9980.824329968322, 'prob_up': 0.9990234375, 'expected_rise': 0.03004434186769281, 'actual_return': -0.0114188896987365, 'pnl': -113.9699321263739, 'exit_reason': 'scheduled'}]","[{'ticker': 'BRK-A', 'sector': 'Financial', 'expected_rise': 0.011379362491307792, 'prob_up': 0.8432861328125, 'investment_fraction': 0.18095773857801378, 'investment_amount': 7244.166627061799, 'predicted_prob': 0.8432861328125, 'allocated_amount': 7244.166627061799, 'exit_date': Timestamp('2017-05-01 00:00:00')}, {'ticker': 'CSCO', 'sector': 'Technology', 'expected_rise': 0.008124848297764099, 'prob_up': 0.67506103515625, 'investment_fraction': 0.09254070154992222, 'investment_amount': 3704.623339575063, 'predicted_prob': 0.67506103515625, 'allocated_amount': 2754.780106162536, 'exit_date': Timestamp('2017-05-01 00:00:00')}]",5,100000.0,1109,True,True,42,/mnt/primary/simulation/trained_models,12,12,0.25,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.3,0.7,0.3,0.5,0.5,0.1,3,100.0,0.5,"[[0.08, 0.6], [0.15, 0.35]]",sector_sentiment,sector,0.15218895851243996,10,128,64,1,0.1,0.4,0.0013980200793613,4.976620161572353e-05,16,50,20,0.0070831179355666,10,0.4
2017-04-25,30033.42040391649,30033.420403916483,100111.40134638827,100111.40134638827,0.0,0.0,0,KELLY_ONLY,20550.902922005676,0.0,False,False,,[],[],5,100000.0,1109,True,True,42,/mnt/primary/simulation/trained_models,12,12,0.25,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.3,0.7,0.3,0.5,0.5,0.1,3,100.0,0.5,"[[0.08, 0.6], [0.15, 0.35]]",sector_sentiment,sector,0.15218895851243996,10,128,64,1,0.1,0.4,0.0013980200793613,4.976620161572353e-05,16,50,20,0.0070831179355666,10,0.4
2017-04-26,30033.42040391649,30033.420403916483,100111.40134638827,100111.40134638827,0.0,0.0,0,KELLY_ONLY,21234.520366468467,0.0,False,False,,[],[],5,100000.0,1109,True,True,42,/mnt/primary/simulation/trained_models,12,12,0.25,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.3,0.7,0.3,0.5,0.5,0.1,3,100.0,0.5,"[[0.08, 0.6], [0.15, 0.35]]",sector_sentiment,sector,0.15218895851243996,10,128,64,1,0.1,0.4,0.0013980200793613,4.976620161572353e-05,16,50,20,0.0070831179355666,10,0.4
