date,capital_start,capital_end,equity_start,equity_end,daily_pnl_realized,daily_return,early_exits_today,allocation_mode,budget_pre_caps,budget_post_caps,mpt_used,mpt_fallback_used,mpt_weights,exits_today,investments_made,H,initial_capital,initial_training_days,allow_overlap,early_exit_enabled,seed,model_save_path,min_sequence_length,max_sequence_length,kelly_fraction,sector_confidence_threshold,retrain_interval,max_day_gap,mpt_window_days,mpt_lambda,mpt_ridge_eps,mpt_max_weight,mpt_long_only,mpt_use_equal_fallback,mpt_only_budget_fraction,max_total_utilization,max_new_daily_utilization,max_ticker_utilization,max_sector_utilization,max_position_size,max_positions_per_ticker,min_trade_dollars,kelly_trade_cap,drawdown_throttle_levels,model_feature_set,model_feature_group,model_mcc_mean,model_sequence_length,model_hidden1,model_hidden2,model_num_layers,model_dropout,model_inter_rnn_drop,model_learning_rate,model_weight_decay,model_batch_size,model_max_epochs,model_early_patience,model_early_min_delta,model_lr_patience,model_lr_factor
2017-04-11,100000.0,80000.0,100000.0,100000.0,0.0,0.0,0,KELLY_ONLY,91713.50149086915,20000.0,False,False,,[],"[{'ticker': 'XOM', 'sector': 'Basic Matierials', 'expected_rise': 0.01150132879304298, 'prob_up': 0.836962890625, 'investment_fraction': 0.19730986079602428, 'investment_amount': 19730.98607960243, 'predicted_prob': 0.836962890625, 'allocated_amount': 10000.0, 'exit_date': Timestamp('2017-04-19 00:00:00')}, {'ticker': 'PM', 'sector': 'Consumer Goods', 'expected_rise': 0.009787572002696775, 'prob_up': 0.80408935546875, 'investment_fraction': 0.17512938801978462, 'investment_amount': 17512.93880197846, 'predicted_prob': 0.80408935546875, 'allocated_amount': 10000.0, 'exit_date': Timestamp('2017-04-19 00:00:00')}]",5,100000.0,853,True,False,42,/mnt/primary/simulation/trained_models_meta,12,12,0.3,0.3,200,5,60,1.0,0.0001,0.4,True,True,0.3,0.8,0.2,0.2,0.45,0.1,3,100.0,0.5,"[[0.08, 0.6], [0.15, 0.35]]",meta,base,0.1451768429443134,15,128,32,1,0.6000000000000001,0.0,0.001415745628709,2.5137050405220336e-07,32.0,50,10,0.0046437191828983,10,0.8
2017-04-12,80000.0,60000.0,100000.0,100000.0,0.0,0.0,0,KELLY_ONLY,73428.02202552704,20000.0,False,False,,[],"[{'ticker': 'XOM', 'sector': 'Basic Matierials', 'expected_rise': 0.011478503473172457, 'prob_up': 0.836962890625, 'investment_fraction': 0.19722586050732033, 'investment_amount': 15778.068840585625, 'predicted_prob': 0.836962890625, 'allocated_amount': 10000.0, 'exit_date': Timestamp('2017-04-20 00:00:00')}, {'ticker': 'PM', 'sector': 'Consumer Goods', 'expected_rise': 0.009797774317906602, 'prob_up': 0.80408935546875, 'investment_fraction': 0.17531193842335657, 'investment_amount': 14024.955073868527, 'predicted_prob': 0.80408935546875, 'allocated_amount': 10000.0, 'exit_date': Timestamp('2017-04-20 00:00:00')}]",5,100000.0,853,True,False,42,/mnt/primary/simulation/trained_models_meta,12,12,0.3,0.3,200,5,60,1.0,0.0001,0.4,True,True,0.3,0.8,0.2,0.2,0.45,0.1,3,100.0,0.5,"[[0.08, 0.6], [0.15, 0.35]]",meta,base,0.1451768429443134,15,128,32,1,0.6000000000000001,0.0,0.001415745628709,2.5137050405220336e-07,32.0,50,10,0.0046437191828983,10,0.8
2017-04-13,60000.0,40000.0,100000.0,100000.0,0.0,0.0,0,KELLY_ONLY,55424.4405179759,20000.0,False,False,,[],"[{'ticker': 'BSAC', 'sector': 'Financial', 'expected_rise': 0.010594713366159431, 'prob_up': 0.6956521739130435, 'investment_fraction': 0.12270677556543454, 'investment_amount': 7362.406533926072, 'predicted_prob': 0.6956521739130435, 'allocated_amount': 7362.406533926072, 'exit_date': Timestamp('2017-04-21 00:00:00')}, {'ticker': 'CHTR', 'sector': 'Services', 'expected_rise': 0.013158610550804419, 'prob_up': 0.6923076923076923, 'investment_fraction': 0.13356705462679597, 'investment_amount': 8014.023277607758, 'predicted_prob': 0.6923076923076923, 'allocated_amount': 8014.023277607758, 'exit_date': Timestamp('2017-04-21 00:00:00')}, {'ticker': 'AGFS', 'sector': 'Conglomerates', 'expected_rise': 0.03120665428165914, 'prob_up': 0.6666666666666666, 'investment_fraction': 0.12129777465797839, 'investment_amount': 7277.866479478704, 'predicted_prob': 0.6666666666666666, 'allocated_amount': 4623.5701884661685, 'exit_date': Timestamp('2017-04-21 00:00:00')}]",5,100000.0,853,True,False,42,/mnt/primary/simulation/trained_models_meta,12,12,0.3,0.3,200,5,60,1.0,0.0001,0.4,True,True,0.3,0.8,0.2,0.2,0.45,0.1,3,100.0,0.5,"[[0.08, 0.6], [0.15, 0.35]]",meta,base,0.1451768429443134,15,128,32,1,0.6000000000000001,0.0,0.001415745628709,2.5137050405220336e-07,32.0,50,10,0.0046437191828983,10,0.8
2017-04-17,40000.0,20000.000000000004,100000.0,100000.0,0.0,0.0,0,KELLY_ONLY,36927.37169482238,20000.0,False,False,,[],"[{'ticker': 'BSAC', 'sector': 'Financial', 'expected_rise': 0.010594713366159431, 'prob_up': 0.6956521739130435, 'investment_fraction': 0.12270677556543454, 'investment_amount': 4908.271022617381, 'predicted_prob': 0.6956521739130435, 'allocated_amount': 4908.271022617381, 'exit_date': Timestamp('2017-04-24 00:00:00')}, {'ticker': 'CHTR', 'sector': 'Services', 'expected_rise': 0.013161533566861082, 'prob_up': 0.6923076923076923, 'investment_fraction': 0.13359672482972568, 'investment_amount': 5343.868993189027, 'predicted_prob': 0.6923076923076923, 'allocated_amount': 5343.868993189027, 'exit_date': Timestamp('2017-04-24 00:00:00')}, {'ticker': 'AGFS', 'sector': 'Conglomerates', 'expected_rise': 0.0308588565211586, 'prob_up': 0.6666666666666666, 'investment_fraction': 0.12076218162515054, 'investment_amount': 4830.4872650060215, 'predicted_prob': 0.6666666666666666, 'allocated_amount': 4830.4872650060215, 'exit_date': Timestamp('2017-04-24 00:00:00')}, {'ticker': 'SRE', 'sector': 'Utilities', 'expected_rise': 0.0031250002320346564, 'prob_up': 0.5929203539823009, 'investment_fraction': 0.05222467045176319, 'investment_amount': 2088.9868180705275, 'predicted_prob': 0.5929203539823009, 'allocated_amount': 2088.9868180705275, 'exit_date': Timestamp('2017-04-24 00:00:00')}, {'ticker': 'VZ', 'sector': 'Technology', 'expected_rise': 0.0021309071310073755, 'prob_up': 0.5789794921875, 'investment_fraction': 0.03936929853900962, 'investment_amount': 1574.7719415603847, 'predicted_prob': 0.5789794921875, 'allocated_amount': 1574.7719415603847, 'exit_date': Timestamp('2017-04-24 00:00:00')}, {'ticker': 'NVS', 'sector': 'Healthcare', 'expected_rise': 0.0023604944470257596, 'prob_up': 0.5714285714285714, 'investment_fraction': 0.0396639391409685, 'investment_amount': 1586.55756563874, 'predicted_prob': 0.5714285714285714, 'allocated_amount': 1253.6139595566565, 'exit_date': Timestamp('2017-04-24 00:00:00')}]",5,100000.0,853,True,False,42,/mnt/primary/simulation/trained_models_meta,12,12,0.3,0.3,200,5,60,1.0,0.0001,0.4,True,True,0.3,0.8,0.2,0.2,0.45,0.1,3,100.0,0.5,"[[0.08, 0.6], [0.15, 0.35]]",meta,base,0.1451768429443134,15,128,32,1,0.6000000000000001,0.0,0.001415745628709,2.5137050405220336e-07,32.0,50,10,0.0046437191828983,10,0.8
2017-04-18,20000.0,20000.000000000004,100000.0,100000.0,0.0,0.0,0,KELLY_ONLY,18479.380145307223,0.0,False,False,,[],[],5,100000.0,853,True,False,42,/mnt/primary/simulation/trained_models_meta,12,12,0.3,0.3,200,5,60,1.0,0.0001,0.4,True,True,0.3,0.8,0.2,0.2,0.45,0.1,3,100.0,0.5,"[[0.08, 0.6], [0.15, 0.35]]",meta,base,0.1451768429443134,15,128,32,1,0.6000000000000001,0.0,0.001415745628709,2.5137050405220336e-07,32.0,50,10,0.0046437191828983,10,0.8
2017-04-19,39759.523632657045,19951.9047265314,99759.52363265704,99759.52363265704,-240.47636734295662,-0.0024047636734295663,0,KELLY_ONLY,37916.31185485553,19807.618906125645,False,False,,"[{'date': Timestamp('2017-04-11 00:00:00'), 'exit_date': Timestamp('2017-04-19 00:00:00'), 'ticker': 'XOM', 'sector': 'Basic Matierials', 'allocated_amount': 10000.0, 'prob_up': 0.836962890625, 'expected_rise': 0.01150132879304298, 'actual_return': -0.02836791542095196, 'pnl': -283.6791542095196, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-04-11 00:00:00'), 'exit_date': Timestamp('2017-04-19 00:00:00'), 'ticker': 'PM', 'sector': 'Consumer Goods', 'allocated_amount': 10000.0, 'prob_up': 0.80408935546875, 'expected_rise': 0.009787572002696775, 'actual_return': 0.004320278686656298, 'pnl': 43.20278686656298, 'exit_reason': 'scheduled'}]","[{'ticker': 'XOM', 'sector': 'Basic Matierials', 'expected_rise': 0.011456038036370493, 'prob_up': 0.836962890625, 'investment_fraction': 0.1971561465156984, 'investment_amount': 7838.834466714506, 'predicted_prob': 0.836962890625, 'allocated_amount': 7838.834466714506, 'exit_date': Timestamp('2017-04-26 00:00:00')}, {'ticker': 'PM', 'sector': 'Consumer Goods', 'expected_rise': 0.00975123087870889, 'prob_up': 0.80408935546875, 'investment_fraction': 0.17508358775361116, 'investment_amount': 6961.240044980086, 'predicted_prob': 0.80408935546875, 'allocated_amount': 6961.240044980086, 'exit_date': Timestamp('2017-04-26 00:00:00')}, {'ticker': 'AGFS', 'sector': 'Conglomerates', 'expected_rise': 0.041112856298235856, 'prob_up': 0.7419354838709677, 'investment_fraction': 0.1613967883828174, 'investment_amount': 6417.059421941576, 'predicted_prob': 0.7419354838709677, 'allocated_amount': 5007.544394431054, 'exit_date': Timestamp('2017-04-26 00:00:00')}]",5,100000.0,853,True,False,42,/mnt/primary/simulation/trained_models_meta,12,12,0.3,0.3,200,5,60,1.0,0.0001,0.4,True,True,0.3,0.8,0.2,0.2,0.45,0.1,3,100.0,0.5,"[[0.08, 0.6], [0.15, 0.35]]",meta,base,0.1451768429443134,15,128,32,1,0.6000000000000001,0.0,0.001415745628709,2.5137050405220336e-07,32.0,50,10,0.0046437191828983,10,0.8
2017-04-20,39381.69738389223,19837.86325800357,99189.31629001787,99189.31629001786,-570.2073426391719,-0.005715818619371538,0,KELLY_ONLY,37814.73888965519,19543.834125888658,False,False,,"[{'date': Timestamp('2017-04-12 00:00:00'), 'exit_date': Timestamp('2017-04-20 00:00:00'), 'ticker': 'XOM', 'sector': 'Basic Matierials', 'allocated_amount': 10000.0, 'prob_up': 0.836962890625, 'expected_rise': 0.011478503473172457, 'actual_return': -0.023622983926443464, 'pnl': -236.22983926443464, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-04-12 00:00:00'), 'exit_date': Timestamp('2017-04-20 00:00:00'), 'ticker': 'PM', 'sector': 'Consumer Goods', 'allocated_amount': 10000.0, 'prob_up': 0.80408935546875, 'expected_rise': 0.009797774317906602, 'actual_return': -0.03339775033747372, 'pnl': -333.9775033747372, 'exit_reason': 'scheduled'}]","[{'ticker': 'XOM', 'sector': 'Basic Matierials', 'expected_rise': 0.011452470606799872, 'prob_up': 0.836962890625, 'investment_fraction': 0.19709475175907515, 'investment_amount': 7761.925869729258, 'predicted_prob': 0.836962890625, 'allocated_amount': 7761.925869729258, 'exit_date': Timestamp('2017-04-27 00:00:00')}, {'ticker': 'PM', 'sector': 'Consumer Goods', 'expected_rise': 0.009731066569732584, 'prob_up': 0.80408935546875, 'investment_fraction': 0.17498416600196845, 'investment_amount': 6891.173472462284, 'predicted_prob': 0.80408935546875, 'allocated_amount': 6891.173472462284, 'exit_date': Timestamp('2017-04-27 00:00:00')}, {'ticker': 'BSAC', 'sector': 'Financial', 'expected_rise': 0.01325684830254044, 'prob_up': 0.75, 'investment_fraction': 0.15399871018289724, 'investment_amount': 6064.7306019325815, 'predicted_prob': 0.75, 'allocated_amount': 4890.734783697117, 'exit_date': Timestamp('2017-04-27 00:00:00')}]",5,100000.0,853,True,False,42,/mnt/primary/simulation/trained_models_meta,12,12,0.3,0.3,200,5,60,1.0,0.0001,0.4,True,True,0.3,0.8,0.2,0.2,0.45,0.1,3,100.0,0.5,"[[0.08, 0.6], [0.15, 0.35]]",meta,base,0.1451768429443134,15,128,32,1,0.6000000000000001,0.0,0.001415745628709,2.5137050405220336e-07,32.0,50,10,0.0046437191828983,10,0.8
2017-04-21,40554.15362516811,20573.03229373163,99905.60665718242,99905.60665718242,716.2903671645505,0.007221446764188011,0,KELLY_ONLY,38952.91319267048,19981.121331436487,False,False,,"[{'date': Timestamp('2017-04-13 00:00:00'), 'exit_date': Timestamp('2017-04-21 00:00:00'), 'ticker': 'BSAC', 'sector': 'Financial', 'allocated_amount': 7362.406533926072, 'prob_up': 0.6956521739130435, 'expected_rise': 0.010594713366159431, 'actual_return': -0.04415901244480125, 'pnl': -325.11660175532745, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-04-13 00:00:00'), 'exit_date': Timestamp('2017-04-21 00:00:00'), 'ticker': 'CHTR', 'sector': 'Services', 'allocated_amount': 8014.023277607758, 'prob_up': 0.6923076923076923, 'expected_rise': 0.013158610550804419, 'actual_return': 0.02569700303030298, 'pnl': 205.93638044960517, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-04-13 00:00:00'), 'exit_date': Timestamp('2017-04-21 00:00:00'), 'ticker': 'AGFS', 'sector': 'Conglomerates', 'allocated_amount': 4623.5701884661685, 'prob_up': 0.6666666666666666, 'expected_rise': 0.03120665428165914, 'actual_return': 0.1806981519507187, 'pnl': 835.4705884702728, 'exit_reason': 'scheduled'}]","[{'ticker': 'XOM', 'sector': 'Basic Matierials', 'expected_rise': 0.011450766506045928, 'prob_up': 0.836962890625, 'investment_fraction': 0.19706542452248121, 'investment_amount': 7991.821500293676, 'predicted_prob': 0.836962890625, 'allocated_amount': 4380.360994992723, 'exit_date': Timestamp('2017-04-28 00:00:00')}, {'ticker': 'PM', 'sector': 'Consumer Goods', 'expected_rise': 0.009723080125781965, 'prob_up': 0.80408935546875, 'investment_fraction': 0.17484055366266257, 'investment_amount': 7090.510673145068, 'predicted_prob': 0.80408935546875, 'allocated_amount': 6128.707813994117, 'exit_date': Timestamp('2017-04-28 00:00:00')}, {'ticker': 'BSAC', 'sector': 'Financial', 'expected_rise': 0.013246040540996514, 'prob_up': 0.75, 'investment_fraction': 0.1538731613873053, 'investment_amount': 6240.195825691067, 'predicted_prob': 0.75, 'allocated_amount': 6240.195825691067, 'exit_date': Timestamp('2017-04-28 00:00:00')}, {'ticker': 'CHTR', 'sector': 'Services', 'expected_rise': 0.013116360078492095, 'prob_up': 0.6923076923076923, 'investment_fraction': 0.13363118861698953, 'investment_amount': 5419.29975228721, 'predicted_prob': 0.6923076923076923, 'allocated_amount': 3231.8566967585793, 'exit_date': Timestamp('2017-04-28 00:00:00')}]",5,100000.0,853,True,False,42,/mnt/primary/simulation/trained_models_meta,12,12,0.3,0.3,200,5,60,1.0,0.0001,0.4,True,True,0.3,0.8,0.2,0.2,0.45,0.1,3,100.0,0.5,"[[0.08, 0.6], [0.15, 0.35]]",meta,base,0.1451768429443134,15,128,32,1,0.6000000000000001,0.0,0.001415745628709,2.5137050405220336e-07,32.0,50,10,0.0046437191828983,10,0.8
2017-04-24,41429.135341621,21344.207361148045,100761.70970507179,100761.70970507177,856.1030478893487,0.008569119156915939,0,KELLY_ONLY,35489.90339469054,20084.92798047295,False,False,,"[{'date': Timestamp('2017-04-17 00:00:00'), 'exit_date': Timestamp('2017-04-24 00:00:00'), 'ticker': 'BSAC', 'sector': 'Financial', 'allocated_amount': 4908.271022617381, 'prob_up': 0.6956521739130435, 'expected_rise': 0.010594713366159431, 'actual_return': -0.05629925196850383, 'pnl': -276.3319870320419, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-04-17 00:00:00'), 'exit_date': Timestamp('2017-04-24 00:00:00'), 'ticker': 'CHTR', 'sector': 'Services', 'allocated_amount': 5343.868993189027, 'prob_up': 0.6923076923076923, 'expected_rise': 0.013161533566861082, 'actual_return': 0.030270009850012602, 'pnl': 161.75896706100878, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-04-17 00:00:00'), 'exit_date': Timestamp('2017-04-24 00:00:00'), 'ticker': 'AGFS', 'sector': 'Conglomerates', 'allocated_amount': 4830.4872650060215, 'prob_up': 0.6666666666666666, 'expected_rise': 0.0308588565211586, 'actual_return': 0.20416666666666683, 'pnl': 986.2244832720635, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-04-17 00:00:00'), 'exit_date': Timestamp('2017-04-24 00:00:00'), 'ticker': 'SRE', 'sector': 'Utilities', 'allocated_amount': 2088.9868180705275, 'prob_up': 0.5929203539823009, 'expected_rise': 0.0031250002320346564, 'actual_return': 0.009264216831209371, 'pnl': 19.35282684014349, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-04-17 00:00:00'), 'exit_date': Timestamp('2017-04-24 00:00:00'), 'ticker': 'VZ', 'sector': 'Technology', 'allocated_amount': 1574.7719415603847, 'prob_up': 0.5789794921875, 'expected_rise': 0.0021309071310073755, 'actual_return': -0.036058225034660385, 'pnl': -56.78348104705341, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-04-17 00:00:00'), 'exit_date': Timestamp('2017-04-24 00:00:00'), 'ticker': 'NVS', 'sector': 'Healthcare', 'allocated_amount': 1253.6139595566565, 'prob_up': 0.5714285714285714, 'expected_rise': 0.0023604944470257596, 'actual_return': 0.01745532476598055, 'pnl': 21.882238795228247, 'exit_reason': 'scheduled'}]","[{'ticker': 'BSAC', 'sector': 'Financial', 'expected_rise': 0.01323427771908661, 'prob_up': 0.75, 'investment_fraction': 0.15373651809465413, 'investment_amount': 6369.17101509299, 'predicted_prob': 0.75, 'allocated_amount': 6369.17101509299, 'exit_date': Timestamp('2017-05-01 00:00:00')}, {'ticker': 'AGFS', 'sector': 'Conglomerates', 'expected_rise': 0.0318919832915112, 'prob_up': 0.6666666666666666, 'investment_fraction': 0.12260676839204701, 'investment_amount': 5079.4924015128945, 'predicted_prob': 0.6666666666666666, 'allocated_amount': 5079.4924015128945, 'exit_date': Timestamp('2017-05-01 00:00:00')}, {'ticker': 'VZ', 'sector': 'Technology', 'expected_rise': 0.0020917070325841974, 'prob_up': 0.5789794921875, 'investment_fraction': 0.038789658859953426, 'investment_amount': 1607.0220267643183, 'predicted_prob': 0.5789794921875, 'allocated_amount': 1607.0220267643183, 'exit_date': Timestamp('2017-05-01 00:00:00')}, {'ticker': 'PCG', 'sector': 'Utilities', 'expected_rise': 0.003771239107511158, 'prob_up': 0.576611328125, 'investment_fraction': 0.0569713326222662, 'investment_amount': 2360.2730498003734, 'predicted_prob': 0.576611328125, 'allocated_amount': 2360.2730498003734, 'exit_date': Timestamp('2017-05-01 00:00:00')}, {'ticker': 'NVS', 'sector': 'Healthcare', 'expected_rise': 0.002379604536090133, 'prob_up': 0.5714285714285714, 'investment_fraction': 0.040060732978368166, 'investment_amount': 1659.6815284453542, 'predicted_prob': 0.5714285714285714, 'allocated_amount': 1659.6815284453542, 'exit_date': Timestamp('2017-05-01 00:00:00')}, {'ticker': 'HON', 'sector': 'Industrial Goods', 'expected_rise': 0.0024912327178104286, 'prob_up': 0.55478515625, 'investment_fraction': 0.0430183124518775, 'investment_amount': 1782.2114887369723, 'predicted_prob': 0.55478515625, 'allocated_amount': 1782.2114887369723, 'exit_date': Timestamp('2017-05-01 00:00:00')}, {'ticker': 'CHTR', 'sector': 'Services', 'expected_rise': 0.0029064028261504976, 'prob_up': 0.5000000000000001, 'investment_fraction': 0.029618684049321373, 'investment_amount': 1227.076470120046, 'predicted_prob': 0.5000000000000001, 'allocated_amount': 1227.076470120046, 'exit_date': Timestamp('2017-05-01 00:00:00')}]",5,100000.0,853,True,False,42,/mnt/primary/simulation/trained_models_meta,12,12,0.3,0.3,200,5,60,1.0,0.0001,0.4,True,True,0.3,0.8,0.2,0.2,0.45,0.1,3,100.0,0.5,"[[0.08, 0.6], [0.15, 0.35]]",meta,base,0.1451768429443134,15,128,32,1,0.6000000000000001,0.0,0.001415745628709,2.5137050405220336e-07,32.0,50,10,0.0046437191828983,10,0.8
2017-04-25,21344.207361148045,20152.341941014354,100761.70970507177,100761.70970507177,0.0,0.0,0,KELLY_ONLY,19548.974283397532,1191.8654201336903,False,False,,[],"[{'ticker': 'AGFS', 'sector': 'Conglomerates', 'expected_rise': 0.0324563316759198, 'prob_up': 0.6666666666666666, 'investment_fraction': 0.12343732134689121, 'investment_amount': 2634.671782932712, 'predicted_prob': 0.6666666666666666, 'allocated_amount': 1191.8654201336903, 'exit_date': Timestamp('2017-05-02 00:00:00')}]",5,100000.0,853,True,False,42,/mnt/primary/simulation/trained_models_meta,12,12,0.3,0.3,200,5,60,1.0,0.0001,0.4,True,True,0.3,0.8,0.2,0.2,0.45,0.1,3,100.0,0.5,"[[0.08, 0.6], [0.15, 0.35]]",meta,base,0.1451768429443134,15,128,32,1,0.6000000000000001,0.0,0.001415745628709,2.5137050405220336e-07,32.0,50,10,0.0046437191828983,10,0.8
