date,capital_start,capital_end,equity_start,equity_end,daily_pnl_realized,daily_return,early_exits_today,allocation_mode,budget_pre_caps,budget_post_caps,mpt_used,mpt_fallback_used,mpt_weights,exits_today,investments_made,H,initial_capital,initial_training_days,allow_overlap,early_exit_enabled,seed,model_save_path,min_sequence_length,max_sequence_length,kelly_fraction,sector_confidence_threshold,retrain_interval,max_day_gap,mpt_window_days,mpt_lambda,mpt_ridge_eps,mpt_max_weight,mpt_long_only,mpt_use_equal_fallback,mpt_only_budget_fraction,max_total_utilization,max_new_daily_utilization,max_ticker_utilization,max_sector_utilization,max_position_size,max_positions_per_ticker,min_trade_dollars,kelly_trade_cap,drawdown_throttle_levels,model_feature_set,model_feature_group,model_mcc_mean,model_type,model_n_classes,model_ordinal_head,model_sequence_length,model_hidden1,model_hidden2,model_num_layers,model_dropout,model_inter_rnn_drop,model_learning_rate,model_weight_decay,model_batch_size,model_max_epochs,model_early_stopping_patience,model_early_stopping_min_delta,model_lr_patience,model_lr_factor,model_horizon_steps,model_huber_delta,model_t_min,model_t_max,model_t_steps,model_tau_min,model_tau_max,model_tau_steps,model_lambda_balance,model_coord_rounds
2017-04-12,100000.0,75000.0,100000.0,100000.0,0.0,0.0,0,MPT_ONLY,25000.0,25000.0,True,False,"{'IEP': 0.29999999999999977, 'TM': 2.884624886393937e-18, 'BRK-A': 3.649312202993049e-17, 'UNH': 0.08532573553160727, 'GD': 0.014674264468392935, 'CHTR': 0.29999999999999993, 'FB': 0.3}",[],"[{'ticker': 'IEP', 'sector': 'Conglomerates', 'prob_up': 0.541015625, 'predicted_prob': 0.541015625, 'expected_rise': 0.007426378317177296, 'bucket_idx': 5, 'investment_fraction': 0.020270039048372324, 'investment_amount': 7499.9999999999945, 'allocated_amount': 7499.9999999999945, 'exit_date': Timestamp('2017-04-20 00:00:00')}, {'ticker': 'CHTR', 'sector': 'Services', 'prob_up': 0.5107421875, 'predicted_prob': 0.5107421875, 'expected_rise': 0.004826474003493786, 'bucket_idx': 5, 'investment_fraction': 0.014689532803409427, 'investment_amount': 7499.999999999998, 'allocated_amount': 7499.999999999998, 'exit_date': Timestamp('2017-04-20 00:00:00')}, {'ticker': 'GD', 'sector': 'Industrial Goods', 'prob_up': 0.477294921875, 'predicted_prob': 0.477294921875, 'expected_rise': 0.0026698363944888115, 'bucket_idx': 0, 'investment_fraction': 0.0034739288029324022, 'investment_amount': 366.85661170982337, 'allocated_amount': 366.85661170982337, 'exit_date': Timestamp('2017-04-20 00:00:00')}, {'ticker': 'UNH', 'sector': 'Healthcare', 'prob_up': 0.476806640625, 'predicted_prob': 0.476806640625, 'expected_rise': 0.003191745840013027, 'bucket_idx': 0, 'investment_fraction': 0.004778048216895193, 'investment_amount': 2133.143388290182, 'allocated_amount': 2133.143388290182, 'exit_date': Timestamp('2017-04-20 00:00:00')}, {'ticker': 'FB', 'sector': 'Technology', 'prob_up': 0.454345703125, 'predicted_prob': 0.454345703125, 'expected_rise': 0.010014016181230545, 'bucket_idx': 0, 'investment_fraction': 0.004831537781198692, 'investment_amount': 7500.0, 'allocated_amount': 7500.0, 'exit_date': Timestamp('2017-04-20 00:00:00')}]",5,100000.0,1109,True,False,42,/mnt/primary/simulation/trained_models_multiclass,12,12,0.1,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.25,0.7,0.3,0.2,0.45,0.1,3,100.0,0.3,"[[0.05, 0.5], [0.1, 0.25]]",sector,sector,0.14460302093247346,BiGRU,6,corn,20,128,128,1,0.3,0.4,0.002368185640959,2.5898782569408105e-05,64,30,10,0.0038640829279896,7,0.4,5,1.3109464249779392,1.0437863717804818,2.6961818009299283,15,0.3419711337313805,0.7051296774893804,31,0.0665674589000914,2
2017-04-13,75000.0,50000.00000000001,100000.0,100000.0,0.0,0.0,0,MPT_ONLY,25000.0,24999.999999999996,True,False,"{'SPLP': 0.0, 'TM': 9.796230029584023e-17, 'BAC': 2.13221751657316e-17, 'CELG': 0.30000000000000004, 'HON': 0.10088435941855603, 'HD': 0.29911564058144374, 'FB': 0.3000000000000001}",[],"[{'ticker': 'HON', 'sector': 'Industrial Goods', 'prob_up': 0.53125, 'predicted_prob': 0.53125, 'expected_rise': 0.0017993723740801215, 'bucket_idx': 0, 'investment_fraction': 0.013508473185600773, 'investment_amount': 2522.108985463901, 'allocated_amount': 2522.108985463901, 'exit_date': Timestamp('2017-04-21 00:00:00')}, {'ticker': 'CELG', 'sector': 'Healthcare', 'prob_up': 0.51513671875, 'predicted_prob': 0.51513671875, 'expected_rise': 0.003684387542307377, 'bucket_idx': 0, 'investment_fraction': 0.013403287922799191, 'investment_amount': 7500.000000000001, 'allocated_amount': 7500.000000000001, 'exit_date': Timestamp('2017-04-21 00:00:00')}, {'ticker': 'HD', 'sector': 'Services', 'prob_up': 0.46240234375, 'predicted_prob': 0.46240234375, 'expected_rise': 0.002515006810426712, 'bucket_idx': 0, 'investment_fraction': 0.0016669977239711143, 'investment_amount': 7477.891014536093, 'allocated_amount': 7477.891014536093, 'exit_date': Timestamp('2017-04-21 00:00:00')}, {'ticker': 'FB', 'sector': 'Technology', 'prob_up': 0.453125, 'predicted_prob': 0.453125, 'expected_rise': 0.009990341030061245, 'bucket_idx': 0, 'investment_fraction': 0.004654699392555634, 'investment_amount': 7500.000000000003, 'allocated_amount': 7500.000000000003, 'exit_date': Timestamp('2017-04-21 00:00:00')}]",5,100000.0,1109,True,False,42,/mnt/primary/simulation/trained_models_multiclass,12,12,0.1,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.25,0.7,0.3,0.2,0.45,0.1,3,100.0,0.3,"[[0.05, 0.5], [0.1, 0.25]]",sector,sector,0.14460302093247346,BiGRU,6,corn,20,128,128,1,0.3,0.4,0.002368185640959,2.5898782569408105e-05,64,30,10,0.0038640829279896,7,0.4,5,1.3109464249779392,1.0437863717804818,2.6961818009299283,15,0.3419711337313805,0.7051296774893804,31,0.0665674589000914,2
2017-04-17,50000.00000000001,30000.0,100000.0,100000.0,0.0,0.0,0,MPT_ONLY,25000.0,20000.000000000015,True,False,"{'IEP': 0.3000000000000001, 'TM': 0.0, 'V': 0.3000000000000001, 'UNH': 0.08468379443118912, 'GD': 0.01531620556881055, 'CHTR': 0.3000000000000001, 'ORCL': 0.0}",[],"[{'ticker': 'IEP', 'sector': 'Conglomerates', 'prob_up': 0.546875, 'predicted_prob': 0.546875, 'expected_rise': 0.007497825659811497, 'bucket_idx': 5, 'investment_fraction': 0.02127325487753949, 'investment_amount': 7500.000000000003, 'allocated_amount': 7500.000000000003, 'exit_date': Timestamp('2017-04-24 00:00:00')}, {'ticker': 'CHTR', 'sector': 'Services', 'prob_up': 0.51123046875, 'predicted_prob': 0.51123046875, 'expected_rise': 0.00482384255155921, 'bucket_idx': 5, 'investment_fraction': 0.01473993261803302, 'investment_amount': 7500.000000000003, 'allocated_amount': 7500.000000000003, 'exit_date': Timestamp('2017-04-24 00:00:00')}, {'ticker': 'V', 'sector': 'Financial', 'prob_up': 0.50927734375, 'predicted_prob': 0.50927734375, 'expected_rise': 0.005258460529148579, 'bucket_idx': 0, 'investment_fraction': 0.00964749285497827, 'investment_amount': 7500.000000000003, 'allocated_amount': 5000.000000000007, 'exit_date': Timestamp('2017-04-24 00:00:00')}]",5,100000.0,1109,True,False,42,/mnt/primary/simulation/trained_models_multiclass,12,12,0.1,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.25,0.7,0.3,0.2,0.45,0.1,3,100.0,0.3,"[[0.05, 0.5], [0.1, 0.25]]",sector,sector,0.14460302093247346,BiGRU,6,corn,20,128,128,1,0.3,0.4,0.002368185640959,2.5898782569408105e-05,64,30,10,0.0038640829279896,7,0.4,5,1.3109464249779392,1.0437863717804818,2.6961818009299283,15,0.3419711337313805,0.7051296774893804,31,0.0665674589000914,2
2017-04-18,30000.0,30000.0,100000.0,100000.0,0.0,0.0,0,MPT_ONLY,25000.0,0.0,True,False,"{'IEP': 0.2999999999999998, 'TM': 0.0, 'V': 0.2266740166067156, 'UNH': 4.8572257327350586e-17, 'HON': 0.0, 'CHTR': 0.17332598339328464, 'FB': 0.29999999999999993}",[],[],5,100000.0,1109,True,False,42,/mnt/primary/simulation/trained_models_multiclass,12,12,0.1,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.25,0.7,0.3,0.2,0.45,0.1,3,100.0,0.3,"[[0.05, 0.5], [0.1, 0.25]]",sector,sector,0.14460302093247346,BiGRU,6,corn,20,128,128,1,0.3,0.4,0.002368185640959,2.5898782569408105e-05,64,30,10,0.0038640829279896,7,0.4,5,1.3109464249779392,1.0437863717804818,2.6961818009299283,15,0.3419711337313805,0.7051296774893804,31,0.0665674589000914,2
2017-04-19,30000.0,30000.0,100000.0,100000.0,0.0,0.0,0,MPT_ONLY,25000.0,0.0,True,False,"{'IEP': 0.2999999999999999, 'TM': 0.0, 'BAC': 0.0, 'CELG': 0.23263570232829117, 'HON': 0.0, 'UPS': 0.167364297671709, 'FB': 0.2999999999999999}",[],[],5,100000.0,1109,True,False,42,/mnt/primary/simulation/trained_models_multiclass,12,12,0.1,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.25,0.7,0.3,0.2,0.45,0.1,3,100.0,0.3,"[[0.05, 0.5], [0.1, 0.25]]",sector,sector,0.14460302093247346,BiGRU,6,corn,20,128,128,1,0.3,0.4,0.002368185640959,2.5898782569408105e-05,64,30,10,0.0038640829279896,7,0.4,5,1.3109464249779392,1.0437863717804818,2.6961818009299283,15,0.3419711337313805,0.7051296774893804,31,0.0665674589000914,2
2017-04-20,55408.73124509857,30306.548433823937,100408.73124509858,100408.73124509858,408.7312450985754,0.004087312450985703,0,MPT_ONLY,25102.182811274644,25102.182811274633,True,False,"{'SPLP': 3.143706373360873e-16, 'TM': 1.650293008902613e-16, 'V': 0.2999999999999997, 'AMGN': 0.044445739692023103, 'GD': 0.055554260307977124, 'CHTR': 0.2999999999999998, 'FB': 0.29999999999999977}","[{'date': Timestamp('2017-04-12 00:00:00'), 'exit_date': Timestamp('2017-04-20 00:00:00'), 'ticker': 'IEP', 'sector': 'Conglomerates', 'allocated_amount': 7499.9999999999945, 'prob_up': 0.541015625, 'expected_rise': 0.007426378317177296, 'actual_return': 0.010472237977982912, 'pnl': 78.54178483487179, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-04-12 00:00:00'), 'exit_date': Timestamp('2017-04-20 00:00:00'), 'ticker': 'CHTR', 'sector': 'Services', 'allocated_amount': 7499.999999999998, 'prob_up': 0.5107421875, 'expected_rise': 0.004826474003493786, 'actual_return': 0.0030486564206575473, 'pnl': 22.8649231549316, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-04-12 00:00:00'), 'exit_date': Timestamp('2017-04-20 00:00:00'), 'ticker': 'GD', 'sector': 'Industrial Goods', 'allocated_amount': 366.85661170982337, 'prob_up': 0.477294921875, 'expected_rise': 0.0026698363944888115, 'actual_return': 0.009606144887971402, 'pnl': 3.5240777651948294, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-04-12 00:00:00'), 'exit_date': Timestamp('2017-04-20 00:00:00'), 'ticker': 'UNH', 'sector': 'Healthcare', 'allocated_amount': 2133.143388290182, 'prob_up': 0.476806640625, 'expected_rise': 0.003191745840013027, 'actual_return': 0.03611980594491193, 'pnl': 77.0487252377133, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-04-12 00:00:00'), 'exit_date': Timestamp('2017-04-20 00:00:00'), 'ticker': 'FB', 'sector': 'Technology', 'allocated_amount': 7500.0, 'prob_up': 0.454345703125, 'expected_rise': 0.010014016181230545, 'actual_return': 0.03023356454744852, 'pnl': 226.7517341058639, 'exit_reason': 'scheduled'}]","[{'ticker': 'CHTR', 'sector': 'Services', 'prob_up': 0.51171875, 'predicted_prob': 0.51171875, 'expected_rise': 0.004813220351934433, 'bucket_idx': 5, 'investment_fraction': 0.014893466112277532, 'investment_amount': 7530.654843382389, 'allocated_amount': 7530.654843382389, 'exit_date': Timestamp('2017-04-27 00:00:00')}, {'ticker': 'V', 'sector': 'Financial', 'prob_up': 0.50927734375, 'predicted_prob': 0.50927734375, 'expected_rise': 0.005286816973239183, 'bucket_idx': 0, 'investment_fraction': 0.00954912227226133, 'investment_amount': 7530.654843382386, 'allocated_amount': 7530.654843382386, 'exit_date': Timestamp('2017-04-27 00:00:00')}, {'ticker': 'AMGN', 'sector': 'Healthcare', 'prob_up': 0.50244140625, 'predicted_prob': 0.50244140625, 'expected_rise': 0.002560330554842949, 'bucket_idx': 0, 'investment_fraction': 0.0050959742124085, 'investment_amount': 1115.6850829314897, 'allocated_amount': 1115.6850829314897, 'exit_date': Timestamp('2017-04-27 00:00:00')}, {'ticker': 'GD', 'sector': 'Industrial Goods', 'prob_up': 0.474365234375, 'predicted_prob': 0.474365234375, 'expected_rise': 0.002626449102535844, 'bucket_idx': 0, 'investment_fraction': 0.0029346993853079763, 'investment_amount': 1394.5331981959805, 'allocated_amount': 1394.5331981959805, 'exit_date': Timestamp('2017-04-27 00:00:00')}, {'ticker': 'FB', 'sector': 'Technology', 'prob_up': 0.44921875, 'predicted_prob': 0.44921875, 'expected_rise': 0.009920462965965271, 'bucket_idx': 0, 'investment_fraction': 0.004012808177592553, 'investment_amount': 7530.654843382387, 'allocated_amount': 7530.654843382387, 'exit_date': Timestamp('2017-04-27 00:00:00')}]",5,100000.0,1109,True,False,42,/mnt/primary/simulation/trained_models_multiclass,12,12,0.1,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.25,0.7,0.3,0.2,0.45,0.1,3,100.0,0.3,"[[0.05, 0.5], [0.1, 0.25]]",sector,sector,0.14460302093247346,BiGRU,6,corn,20,128,128,1,0.3,0.4,0.002368185640959,2.5898782569408105e-05,64,30,10,0.0038640829279896,7,0.4,5,1.3109464249779392,1.0437863717804818,2.6961818009299283,15,0.3419711337313805,0.7051296774893804,31,0.0665674589000914,2
2017-04-21,55709.30329322889,30506.431767103008,100811.48610450354,100811.48610450354,402.7548594049525,0.004011153755362429,0,MPT_ONLY,25202.871526125884,25202.87152612587,True,False,"{'IEP': 0.2999999999999998, 'TM': 2.26870067520524e-16, 'V': 0.3, 'UNH': 0.057972680480275526, 'GD': 1.746838180637535e-16, 'UPS': 0.04202731951972436, 'FB': 0.2999999999999998}","[{'date': Timestamp('2017-04-13 00:00:00'), 'exit_date': Timestamp('2017-04-21 00:00:00'), 'ticker': 'HON', 'sector': 'Industrial Goods', 'allocated_amount': 2522.108985463901, 'prob_up': 0.53125, 'expected_rise': 0.0017993723740801215, 'actual_return': 0.037387771428571304, 'pnl': 94.29603426647019, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-04-13 00:00:00'), 'exit_date': Timestamp('2017-04-21 00:00:00'), 'ticker': 'CELG', 'sector': 'Healthcare', 'allocated_amount': 7500.000000000001, 'prob_up': 0.51513671875, 'expected_rise': 0.003684387542307377, 'actual_return': -0.017597388933645375, 'pnl': -131.98041700234032, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-04-13 00:00:00'), 'exit_date': Timestamp('2017-04-21 00:00:00'), 'ticker': 'HD', 'sector': 'Services', 'allocated_amount': 7477.891014536093, 'prob_up': 0.46240234375, 'expected_rise': 0.002515006810426712, 'actual_return': 0.028030949817532846, 'pnl': 209.61238776944103, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-04-13 00:00:00'), 'exit_date': Timestamp('2017-04-21 00:00:00'), 'ticker': 'FB', 'sector': 'Technology', 'allocated_amount': 7500.000000000003, 'prob_up': 0.453125, 'expected_rise': 0.009990341030061245, 'actual_return': 0.0307769139161842, 'pnl': 230.8268543713816, 'exit_reason': 'scheduled'}]","[{'ticker': 'IEP', 'sector': 'Conglomerates', 'prob_up': 0.54736328125, 'predicted_prob': 0.54736328125, 'expected_rise': 0.007574958261102438, 'bucket_idx': 5, 'investment_fraction': 0.021322977268509537, 'investment_amount': 7560.861457837761, 'allocated_amount': 7560.861457837761, 'exit_date': Timestamp('2017-04-28 00:00:00')}, {'ticker': 'V', 'sector': 'Financial', 'prob_up': 0.5087890625, 'predicted_prob': 0.5087890625, 'expected_rise': 0.005288210231810808, 'bucket_idx': 0, 'investment_fraction': 0.009479063318754461, 'investment_amount': 7560.861457837765, 'allocated_amount': 7560.861457837765, 'exit_date': Timestamp('2017-04-28 00:00:00')}, {'ticker': 'UPS', 'sector': 'Services', 'prob_up': 0.505859375, 'predicted_prob': 0.505859375, 'expected_rise': 0.0030872866045683622, 'bucket_idx': 5, 'investment_fraction': 0.004711665574473462, 'investment_amount': 1059.2091344430557, 'allocated_amount': 1059.2091344430557, 'exit_date': Timestamp('2017-04-28 00:00:00')}, {'ticker': 'UNH', 'sector': 'Healthcare', 'prob_up': 0.48095703125, 'predicted_prob': 0.48095703125, 'expected_rise': 0.003194772405549884, 'bucket_idx': 0, 'investment_fraction': 0.005523621468839963, 'investment_amount': 1461.07801816953, 'allocated_amount': 1461.07801816953, 'exit_date': Timestamp('2017-04-28 00:00:00')}, {'ticker': 'FB', 'sector': 'Technology', 'prob_up': 0.448974609375, 'predicted_prob': 0.448974609375, 'expected_rise': 0.009933803230524063, 'bucket_idx': 0, 'investment_fraction': 0.003958529623944407, 'investment_amount': 7560.861457837761, 'allocated_amount': 7560.861457837761, 'exit_date': Timestamp('2017-04-28 00:00:00')}]",5,100000.0,1109,True,False,42,/mnt/primary/simulation/trained_models_multiclass,12,12,0.1,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.25,0.7,0.3,0.2,0.45,0.1,3,100.0,0.3,"[[0.05, 0.5], [0.1, 0.25]]",sector,sector,0.14460302093247346,BiGRU,6,corn,20,128,128,1,0.3,0.4,0.002368185640959,2.5898782569408105e-05,64,30,10,0.0038640829279896,7,0.4,5,1.3109464249779392,1.0437863717804818,2.6961818009299283,15,0.3419711337313805,0.7051296774893804,31,0.0665674589000914,2
2017-04-24,51079.30966099346,30415.30919951819,101384.36399839396,101384.36399839395,572.8778938904397,0.005682664902852075,0,MPT_ONLY,25346.09099959849,20664.000461475272,True,False,"{'IEP': 0.3000000000000001, 'TM': 0.0, 'BRK-A': 3.0470533890221426e-17, 'UNH': 0.3000000000000001, 'HON': 0.08901623884683783, 'UPS': 0.3000000000000001, 'ORCL': 0.010983761153161846}","[{'date': Timestamp('2017-04-17 00:00:00'), 'exit_date': Timestamp('2017-04-24 00:00:00'), 'ticker': 'IEP', 'sector': 'Conglomerates', 'allocated_amount': 7500.000000000003, 'prob_up': 0.546875, 'expected_rise': 0.007497825659811497, 'actual_return': 0.030970629162946794, 'pnl': 232.27971872210105, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-04-17 00:00:00'), 'exit_date': Timestamp('2017-04-24 00:00:00'), 'ticker': 'CHTR', 'sector': 'Services', 'allocated_amount': 7500.000000000003, 'prob_up': 0.51123046875, 'expected_rise': 0.00482384255155921, 'actual_return': 0.030270009850012602, 'pnl': 227.0250738750946, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-04-17 00:00:00'), 'exit_date': Timestamp('2017-04-24 00:00:00'), 'ticker': 'V', 'sector': 'Financial', 'allocated_amount': 5000.000000000007, 'prob_up': 0.50927734375, 'expected_rise': 0.005258460529148579, 'actual_return': 0.022714620258648788, 'pnl': 113.57310129324411, 'exit_reason': 'scheduled'}]","[{'ticker': 'IEP', 'sector': 'Conglomerates', 'prob_up': 0.54736328125, 'predicted_prob': 0.54736328125, 'expected_rise': 0.007574958261102438, 'bucket_idx': 5, 'investment_fraction': 0.021287939019959026, 'investment_amount': 7603.82729987955, 'allocated_amount': 7603.82729987955, 'exit_date': Timestamp('2017-05-01 00:00:00')}, {'ticker': 'HON', 'sector': 'Industrial Goods', 'prob_up': 0.51904296875, 'predicted_prob': 0.51904296875, 'expected_rise': 0.0017523624701425433, 'bucket_idx': 0, 'investment_fraction': 0.011379570983473775, 'investment_amount': 2256.213690253946, 'allocated_amount': 2256.213690253946, 'exit_date': Timestamp('2017-05-01 00:00:00')}, {'ticker': 'UPS', 'sector': 'Services', 'prob_up': 0.509765625, 'predicted_prob': 0.509765625, 'expected_rise': 0.0031314496882259846, 'bucket_idx': 5, 'investment_fraction': 0.005477253665728588, 'investment_amount': 7603.82729987955, 'allocated_amount': 7603.82729987955, 'exit_date': Timestamp('2017-05-01 00:00:00')}, {'ticker': 'ORCL', 'sector': 'Technology', 'prob_up': 0.49658203125, 'predicted_prob': 0.49658203125, 'expected_rise': 0.0012660108041018248, 'bucket_idx': 0, 'investment_fraction': 0.002930966558131637, 'investment_amount': 278.395409705895, 'allocated_amount': 278.395409705895, 'exit_date': Timestamp('2017-05-01 00:00:00')}, {'ticker': 'UNH', 'sector': 'Healthcare', 'prob_up': 0.4814453125, 'predicted_prob': 0.4814453125, 'expected_rise': 0.0031965940725058317, 'bucket_idx': 0, 'investment_fraction': 0.0056532926065132995, 'investment_amount': 7603.82729987955, 'allocated_amount': 2921.7367617563286, 'exit_date': Timestamp('2017-05-01 00:00:00')}]",5,100000.0,1109,True,False,42,/mnt/primary/simulation/trained_models_multiclass,12,12,0.1,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.25,0.7,0.3,0.2,0.45,0.1,3,100.0,0.3,"[[0.05, 0.5], [0.1, 0.25]]",sector,sector,0.14460302093247346,BiGRU,6,corn,20,128,128,1,0.3,0.4,0.002368185640959,2.5898782569408105e-05,64,30,10,0.0038640829279896,7,0.4,5,1.3109464249779392,1.0437863717804818,2.6961818009299283,15,0.3419711337313805,0.7051296774893804,31,0.0665674589000914,2
2017-04-25,30415.30919951819,30415.30919951819,101384.36399839395,101384.36399839395,0.0,0.0,0,MPT_ONLY,25346.090999598488,0.0,True,False,"{'IEP': 0.30000000000000004, 'TM': 0.0, 'V': 0.16290174112884015, 'AMGN': 0.10518890962771299, 'HON': 0.0, 'CHTR': 0.13190934924344683, 'FB': 0.30000000000000004}",[],[],5,100000.0,1109,True,False,42,/mnt/primary/simulation/trained_models_multiclass,12,12,0.1,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.25,0.7,0.3,0.2,0.45,0.1,3,100.0,0.3,"[[0.05, 0.5], [0.1, 0.25]]",sector,sector,0.14460302093247346,BiGRU,6,corn,20,128,128,1,0.3,0.4,0.002368185640959,2.5898782569408105e-05,64,30,10,0.0038640829279896,7,0.4,5,1.3109464249779392,1.0437863717804818,2.6961818009299283,15,0.3419711337313805,0.7051296774893804,31,0.0665674589000914,2
2017-04-26,30415.30919951819,30415.30919951819,101384.36399839395,101384.36399839395,0.0,0.0,0,MPT_ONLY,25346.090999598488,0.0,True,False,"{'IEP': 0.29999999999999977, 'TM': 3.226585665316861e-16, 'V': 0.1532135669819146, 'AMGN': 0.13024014864330127, 'HON': 3.7296554733501353e-16, 'CHTR': 0.11654628437478408, 'FB': 0.2999999999999997}",[],[],5,100000.0,1109,True,False,42,/mnt/primary/simulation/trained_models_multiclass,12,12,0.1,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.25,0.7,0.3,0.2,0.45,0.1,3,100.0,0.3,"[[0.05, 0.5], [0.1, 0.25]]",sector,sector,0.14460302093247346,BiGRU,6,corn,20,128,128,1,0.3,0.4,0.002368185640959,2.5898782569408105e-05,64,30,10,0.0038640829279896,7,0.4,5,1.3109464249779392,1.0437863717804818,2.6961818009299283,15,0.3419711337313805,0.7051296774893804,31,0.0665674589000914,2
